Date,Playlist Count,Playlist Total Reach,Editorial Playlist Count,Editorial Playlist Total Reach
"Jun 02, 2022",244,"170,481",,
"Jun 03, 2022","2,924","1,917,769",2,"1,114,653"
"Jun 04, 2022","3,892","19,016,422",2,"1,114,828"
"Jun 05, 2022","4,521","26,929,116",2,"1,115,109"
"Jun 06, 2022","5,151","27,613,444",5,"1,119,015"
"Jun 07, 2022","5,546","10,562,489",5,"1,119,180"
"Jun 08, 2022","5,834","11,153,901",6,"1,674,319"
"Jun 09, 2022","6,108","8,983,456",6,"1,674,539"
"Jun 10, 2022","6,388","9,144,361",6,"1,674,732"
"Jun 11, 2022","6,550","5,316,574",6,"1,674,982"
"Jun 12, 2022","6,713","5,216,900",5,"1,646,476"
"Jun 13, 2022","6,879","5,298,766",5,"1,646,642"
"Jun 14, 2022","7,021","5,529,880",5,"1,646,745"
"Jun 15, 2022","7,158","5,553,151",5,"1,646,969"
"Jun 16, 2022","7,268","7,558,221",5,"1,647,101"
"Jun 17, 2022","7,466","7,555,345",5,"1,647,185"
"Jun 18, 2022","7,593","7,345,248",5,"1,647,301"
"Jun 19, 2022","7,715","7,114,700",5,"1,647,350"
"Jun 20, 2022","7,825","7,113,475",5,"1,647,399"
"Jun 21, 2022","7,912","7,125,231",5,"1,647,462"
"Jun 22, 2022","8,009","7,184,274",5,"1,647,526"
"Jun 23, 2022","8,066","7,175,490",5,"1,647,694"
"Jun 24, 2022","8,143","5,462,060",6,"1,971,201"
"Jun 25, 2022","8,213","5,473,170",6,"1,971,425"
"Jun 26, 2022","8,282","5,478,140",6,"1,971,606"
"Jun 27, 2022","8,382","5,464,402",6,"1,971,846"
"Jun 28, 2022","8,454","5,472,711",6,"1,972,056"
"Jun 29, 2022","8,524","5,502,110",6,"1,972,255"
"Jun 30, 2022","8,589","5,501,906",6,"1,972,490"
"Jul 01, 2022","8,655","5,583,245",6,"1,972,709"
"Jul 02, 2022","8,706","5,587,800",6,"1,972,913"
"Jul 03, 2022","8,760","5,584,666",6,"1,973,093"
"Jul 04, 2022","8,801","5,587,291",6,"1,973,238"
"Jul 05, 2022","8,850","5,509,849",6,"1,973,431"
"Jul 06, 2022","8,900","5,436,870",6,"1,973,581"
"Jul 07, 2022","8,953","5,439,624",6,"1,973,694"
"Jul 08, 2022","9,001","5,675,461",6,"1,973,837"
"Jul 09, 2022","9,036","5,659,546",6,"1,974,174"
"Jul 10, 2022","9,071","5,661,623",6,"1,974,378"
"Jul 11, 2022","9,115","5,664,487",6,"1,974,602"
"Jul 12, 2022","9,153","5,664,068",6,"1,974,740"
"Jul 13, 2022","9,193","5,673,364",6,"1,974,918"
"Jul 14, 2022","9,229","5,538,989",6,"1,975,145"
"Jul 15, 2022","9,254","4,985,216",5,"1,419,575"
