Date,Playlist Count,Playlist Total Reach,Editorial Playlist Count,Editorial Playlist Total Reach
"Jun 03, 2022","1,393","613,790",,
"Jun 04, 2022","1,818","4,027,732",,
"Jun 05, 2022","2,028","4,052,366",,
"Jun 06, 2022","2,237","4,107,315",,
"Jun 07, 2022","2,361","620,946",,
"Jun 08, 2022","2,457","590,622",,
"Jun 09, 2022","2,533","606,150",,
"Jun 10, 2022","2,612","602,191",,
"Jun 11, 2022","2,665","497,847",,
"Jun 12, 2022","2,710","470,429",,
"Jun 13, 2022","2,758","470,719",,
"Jun 14, 2022","2,789","472,008",,
"Jun 15, 2022","2,830","472,998",,
"Jun 16, 2022","2,870","474,977",,
"Jun 17, 2022","2,928","475,196",,
"Jun 18, 2022","2,960","475,990",,
"Jun 19, 2022","2,988","475,914",,
"Jun 20, 2022","3,017","476,477",,
"Jun 21, 2022","3,032","477,058",,
"Jun 22, 2022","3,048","478,413",,
"Jun 23, 2022","3,061","479,863",,
"Jun 24, 2022","3,069","480,742",,
"Jun 25, 2022","3,090","481,396",,
"Jun 26, 2022","3,102","479,074",,
"Jun 27, 2022","3,125","479,457",,
"Jun 28, 2022","3,139","559,032",,
"Jun 29, 2022","3,148","559,322",,
"Jun 30, 2022","3,166","559,914",,
"Jul 01, 2022","3,180","560,143",,
"Jul 02, 2022","3,192","560,318",,
"Jul 03, 2022","3,199","564,684",,
"Jul 04, 2022","3,208","564,961",,
"Jul 05, 2022","3,220","571,721",,
"Jul 06, 2022","3,237","574,565",,
"Jul 07, 2022","3,248","574,779",,
"Jul 08, 2022","3,256","575,182",,
"Jul 09, 2022","3,265","577,048",,
"Jul 10, 2022","3,282","576,468",,
"Jul 11, 2022","3,292","576,563",,
"Jul 12, 2022","3,297","576,759",,
"Jul 13, 2022","3,305","577,190",,
"Jul 14, 2022","3,309","577,694",,
"Jul 15, 2022","3,318","578,580",,
"Jul 16, 2022","3,325","591,477",,
"Jul 17, 2022","3,329","591,936",,
"Jul 18, 2022","3,339","597,448",,
"Jul 19, 2022","3,346","598,036",,
"Jul 20, 2022","3,346","598,474",,
"Jul 21, 2022","3,352","598,492",,
"Jul 22, 2022","3,356","599,478",,
"Jul 23, 2022","3,359","599,914",,
"Jul 24, 2022","3,366","600,336",,
"Jul 25, 2022","3,377","601,125",,
"Jul 26, 2022","3,385","601,747",,
"Jul 27, 2022","3,384","602,741",,
"Jul 28, 2022","3,394","604,782",,
"Jul 29, 2022","3,398","605,457",,
"Jul 30, 2022","3,405","605,116",,
"Jul 31, 2022","3,402","605,736",,
"Aug 01, 2022","3,410","606,545",,
"Aug 02, 2022","3,412","607,209",,
"Aug 03, 2022","3,419","607,699",,
"Aug 04, 2022","3,419","608,109",,
"Aug 05, 2022","3,422","610,271",1,"1,747"
"Aug 06, 2022","3,427","611,354",1,"1,758"
"Aug 07, 2022","3,429","611,448",1,"1,764"
"Aug 08, 2022","3,427","606,817",1,"1,775"
"Aug 09, 2022","3,434","606,973",1,"1,779"
"Aug 10, 2022","3,438","607,122",1,"1,783"
"Aug 11, 2022","3,441","607,138",1,"1,786"
"Aug 12, 2022","3,445","607,314",1,"1,789"
"Aug 13, 2022","3,448","607,465",1,"1,791"
"Aug 14, 2022","3,451","607,874",1,"1,794"
"Aug 15, 2022","3,449","607,981",1,"1,797"
"Aug 16, 2022","3,456","608,210",1,"1,800"
"Aug 17, 2022","3,461","608,283",1,"1,804"
"Aug 18, 2022","3,459","607,993",1,"1,806"
"Aug 19, 2022","3,465","608,156",1,"1,808"
"Aug 20, 2022","3,471","608,232",1,"1,810"
"Aug 21, 2022","3,474","608,222",1,"1,816"
"Aug 22, 2022","3,478","608,344",1,"1,820"
"Aug 23, 2022","3,478","608,451",1,"1,829"
"Aug 24, 2022","3,482","608,716",1,"1,832"
"Aug 25, 2022","3,486","608,805",1,"1,837"
"Aug 26, 2022","3,488","608,857",1,"1,846"
"Aug 27, 2022","3,487","609,081",1,"1,846"
"Aug 28, 2022","3,488","609,163",1,"1,848"
"Aug 29, 2022","3,486","609,673",1,"1,858"
"Aug 30, 2022","3,487","609,735",1,"1,860"
"Aug 31, 2022","3,486","609,741",1,"1,858"
"Sep 01, 2022","3,487","609,723",1,"1,863"
"Sep 02, 2022","3,489","609,720",1,"1,866"
"Sep 03, 2022","3,493","609,826",1,"1,865"
"Sep 04, 2022","3,494","609,757",1,"1,865"
"Sep 05, 2022","3,496","609,304",1,"1,869"
"Sep 06, 2022","3,498","609,456",1,"1,872"
"Sep 07, 2022","3,504","610,083",1,"1,870"
"Sep 08, 2022","3,506","610,428",1,"1,873"
"Sep 09, 2022","3,509","610,577",1,"1,878"
"Sep 10, 2022","3,513","610,822",1,"1,877"
"Sep 11, 2022","3,511","611,130",1,"1,879"
"Sep 12, 2022","3,519","611,253",1,"1,887"
"Sep 13, 2022","3,526","612,010",1,"1,889"
"Sep 14, 2022","3,532","612,149",1,"1,893"
"Sep 15, 2022","3,540","612,355",1,"1,899"
"Sep 16, 2022","3,545","612,458",1,"1,903"
"Sep 17, 2022","3,547","612,508",1,"1,912"
"Sep 18, 2022","3,549","612,598",1,"1,916"
"Sep 19, 2022","3,550","612,663",1,"1,922"
"Sep 20, 2022","3,552","612,771",1,"1,929"
"Sep 21, 2022","3,554","612,878",1,"1,932"
"Sep 22, 2022","3,558","613,128",1,"1,934"
"Sep 23, 2022","3,563","613,266",1,"1,936"
"Sep 24, 2022","3,565","600,733",1,"1,939"
"Sep 25, 2022","3,566","600,877",1,"1,947"
"Sep 26, 2022","3,566","600,934",1,"1,951"
"Sep 27, 2022","3,565","600,828",1,"1,952"
"Sep 28, 2022","3,570","600,917",1,"1,958"
"Sep 29, 2022","3,575","601,135",1,"1,961"
"Sep 30, 2022","3,575","595,703",1,"1,960"
"Oct 01, 2022","3,575","595,897",1,"1,964"
"Oct 02, 2022","3,573","595,955",1,"1,963"
"Oct 03, 2022","3,572","596,030",1,"1,964"
"Oct 04, 2022","3,574","596,476",1,"1,967"
"Oct 05, 2022","3,573","597,041",1,"1,969"
"Oct 06, 2022","3,575","596,826",1,"1,972"
"Oct 07, 2022","3,577","596,451",1,"1,973"
"Oct 08, 2022","3,574","596,813",1,"1,974"
"Oct 09, 2022","3,574","597,161",1,"1,977"
"Oct 10, 2022","3,577","597,362",1,"1,977"
"Oct 11, 2022","3,579","597,636",1,"1,978"
"Oct 12, 2022","3,583","597,704",1,"1,980"
"Oct 13, 2022","3,584","597,649",1,"1,985"
"Oct 14, 2022","3,584","597,916",1,"1,987"
"Oct 15, 2022","3,583","597,837",1,"1,987"
"Oct 16, 2022","3,586","598,198",1,"1,991"
"Oct 17, 2022","3,585","598,303",1,"1,995"
"Oct 18, 2022","3,585","598,247",1,"1,995"
"Oct 19, 2022","3,585","598,531",1,"1,999"
"Oct 20, 2022","3,590","598,811",1,"2,001"
"Oct 21, 2022","3,593","599,400",1,"2,002"
"Oct 22, 2022","3,594","600,000",1,"2,005"
"Oct 23, 2022","3,595","600,505",1,"2,004"
"Oct 24, 2022","3,596","600,423",1,"2,007"
"Oct 25, 2022","3,601","600,697",1,"2,009"
