"DateTime","Spotify Streams","Change"
"2023-05-01 00:00:00",17514714,36778
"2023-04-30 00:00:00",17477936,20098
"2023-04-29 00:00:00",17457839,20098
"2023-04-28 00:00:00",17437741,19712
"2023-04-27 00:00:00",17418029,0
"2023-04-26 00:00:00",17418029,20302
"2023-04-25 00:00:00",17397727,25820
"2023-04-24 00:00:00",17371907,25820
"2023-04-23 00:00:00",17346087,0
"2023-04-22 00:00:00",17346087,40547
"2023-04-21 00:00:00",17305540,21631
"2023-04-20 00:00:00",17283910,21631
"2023-04-19 00:00:00",17262279,21798
"2023-04-18 00:00:00",17240481,17960
"2023-04-17 00:00:00",17222521,0
"2023-04-16 00:00:00",17222521,39656
"2023-04-15 00:00:00",17182865,18065
"2023-04-14 00:00:00",17164800,16705
"2023-04-13 00:00:00",17148095,16759
"2023-04-12 00:00:00",17131336,15087
"2023-04-11 00:00:00",17116249,12211
"2023-04-10 00:00:00",17104038,13842
"2023-04-09 00:00:00",17090196,15045
"2023-04-08 00:00:00",17075151,17224
"2023-04-07 00:00:00",17057927,16710
"2023-04-06 00:00:00",17041217,16679
"2023-04-05 00:00:00",17024538,15814
"2023-04-04 00:00:00",17008724,13768
"2023-04-03 00:00:00",16994956,14408
"2023-04-02 00:00:00",16980548,16484
"2023-04-01 00:00:00",16964064,16868
"2023-03-31 00:00:00",16947196,16439
"2023-03-30 00:00:00",16930757,16663
"2023-03-29 00:00:00",16914094,16629
"2023-03-28 00:00:00",16897465,13940
"2023-03-27 00:00:00",16883525,14724
"2023-03-26 00:00:00",16868801,0
"2023-03-25 00:00:00",16868801,33671
"2023-03-24 00:00:00",16835130,17497
"2023-03-23 00:00:00",16817633,17539
"2023-03-22 00:00:00",16800094,16699
"2023-03-21 00:00:00",16783395,14085
"2023-03-20 00:00:00",16769310,14813
"2023-03-19 00:00:00",16754497,17084
"2023-03-18 00:00:00",16737413,17546
"2023-03-17 00:00:00",16719867,0
"2023-03-16 00:00:00",16719867,37155
"2023-03-15 00:00:00",16682712,18409
"2023-03-14 00:00:00",16664303,15928
"2023-03-13 00:00:00",16648375,17203
"2023-03-12 00:00:00",16631172,20540
"2023-03-11 00:00:00",16610632,21110
"2023-03-10 00:00:00",16589522,21037
