Date,Playlist Count,Playlist Total Reach,Editorial Playlist Count,Editorial Playlist Total Reach
"Jun 02, 2022",340,"872,014",1,"457,121"
"Jun 03, 2022","4,197","4,257,794",2,"2,986,376"
"Jun 04, 2022","5,522","23,918,474",2,"2,987,718"
"Jun 05, 2022","6,286","29,716,753",2,"2,988,931"
"Jun 06, 2022","7,039","30,544,087",5,"2,994,617"
"Jun 07, 2022","7,706","11,427,397",6,"2,997,464"
"Jun 08, 2022","8,155","11,460,347",6,"2,998,723"
"Jun 09, 2022","8,537","11,501,194",6,"3,000,185"
"Jun 10, 2022","8,964","11,473,645",7,"3,001,839"
"Jun 11, 2022","9,205","11,126,637",7,"3,003,937"
"Jun 12, 2022","9,442","11,026,055",7,"3,006,035"
"Jun 13, 2022","9,690","7,622,757",7,"3,008,589"
"Jun 14, 2022","9,909","7,637,870",7,"3,010,818"
"Jun 15, 2022","10,118","7,578,689",7,"3,012,191"
"Jun 16, 2022","10,278","7,548,768",7,"3,013,549"
"Jun 17, 2022","10,532","9,635,153",7,"3,014,878"
"Jun 18, 2022","10,710","9,468,816",7,"3,016,280"
"Jun 19, 2022","10,848","9,470,008",7,"3,017,596"
"Jun 20, 2022","10,961","9,469,275",7,"3,018,796"
"Jun 21, 2022","11,070","9,470,221",6,"3,019,707"
"Jun 22, 2022","11,195","9,553,550",7,"3,030,528"
"Jun 23, 2022","11,281","9,812,797",7,"3,032,079"
"Jun 24, 2022","11,429","9,794,001",7,"3,033,121"
"Jun 25, 2022","11,532","9,792,159",7,"3,036,643"
"Jun 26, 2022","11,612","9,745,036",7,"3,039,123"
"Jun 27, 2022","11,728","9,749,919",7,"3,040,735"
"Jun 28, 2022","11,832","9,752,394",7,"3,042,043"
"Jun 29, 2022","11,925","9,749,746",7,"3,043,579"
"Jun 30, 2022","12,013","9,747,081",6,"3,035,689"
"Jul 01, 2022","12,094","7,261,443",5,"2,577,194"
"Jul 02, 2022","12,147","7,270,459",5,"2,578,920"
"Jul 03, 2022","12,201","7,274,967",5,"2,580,537"
"Jul 04, 2022","12,266","7,283,823",5,"2,581,992"
"Jul 05, 2022","12,322","7,276,200",5,"2,583,401"
"Jul 06, 2022","12,384","7,358,280",5,"2,584,809"
"Jul 07, 2022","12,439","7,360,526",5,"2,586,257"
"Jul 08, 2022","12,493","7,345,143",5,"2,587,616"
"Jul 09, 2022","12,542","7,327,266",5,"2,588,912"
"Jul 10, 2022","12,597","7,373,842",5,"2,589,977"
"Jul 11, 2022","12,630","7,392,399",5,"2,591,003"
"Jul 12, 2022","12,673","7,392,060",5,"2,592,000"
"Jul 13, 2022","12,706","7,280,199",5,"2,593,034"
"Jul 14, 2022","12,759","7,161,674",5,"2,594,256"
"Jul 15, 2022","12,809","7,188,179",5,"2,595,348"
"Jul 16, 2022","12,854","7,153,569",5,"2,596,345"
"Jul 17, 2022","12,882","6,997,814",5,"2,597,277"
"Jul 18, 2022","12,926","7,003,621",5,"2,598,223"
"Jul 19, 2022","12,962","7,003,493",5,"2,599,291"
"Jul 20, 2022","12,997","6,862,413",5,"2,600,348"
"Jul 21, 2022","13,025","6,870,252",5,"2,601,333"
"Jul 22, 2022","13,041","6,800,107",5,"2,602,730"
"Jul 23, 2022","13,069","6,809,376",5,"2,604,317"
"Jul 24, 2022","13,088","6,717,392",5,"2,605,884"
"Jul 25, 2022","13,125","6,722,052",5,"2,607,297"
"Jul 26, 2022","13,158","6,720,742",5,"2,608,578"
"Jul 27, 2022","13,191","6,731,033",5,"2,609,726"
"Jul 28, 2022","13,246","6,734,706",5,"2,610,710"
"Jul 29, 2022","13,284","6,740,339",5,"2,611,591"
"Jul 30, 2022","13,309","6,744,086",5,"2,612,501"
"Jul 31, 2022","13,322","6,742,799",5,"2,613,301"
"Aug 01, 2022","13,359","6,742,274",5,"2,614,031"
"Aug 02, 2022","13,400","6,741,055",5,"2,614,652"
"Aug 03, 2022","13,424","6,743,746",5,"2,615,391"
"Aug 04, 2022","13,461","6,750,065",5,"2,616,255"
"Aug 05, 2022","13,498","6,787,420",5,"2,617,194"
"Aug 06, 2022","13,526","6,795,251",5,"2,624,873"
"Aug 07, 2022","13,567","6,766,609",5,"2,629,942"
"Aug 08, 2022","13,595","6,772,664",5,"2,632,491"
"Aug 09, 2022","13,619","6,793,830",5,"2,633,604"
"Aug 10, 2022","13,654","6,799,067",5,"2,634,337"
"Aug 11, 2022","13,681","6,828,992",5,"2,635,172"
"Aug 12, 2022","13,703","6,887,603",5,"2,635,885"
"Aug 13, 2022","13,716","6,902,102",5,"2,637,160"
"Aug 14, 2022","13,741","6,913,213",5,"2,638,482"
"Aug 15, 2022","13,757","6,895,219",5,"2,639,590"
"Aug 16, 2022","13,786","6,898,235",5,"2,640,725"
"Aug 17, 2022","13,810","6,924,856",5,"2,641,722"
"Aug 18, 2022","13,831","6,927,377",5,"2,642,699"
"Aug 19, 2022","13,855","6,905,279",5,"2,644,103"
"Aug 20, 2022","13,888","6,931,745",5,"2,645,387"
"Aug 21, 2022","13,913","6,897,753",5,"2,646,541"
"Aug 22, 2022","13,941","6,877,288",5,"2,647,583"
"Aug 23, 2022","13,965","6,916,739",5,"2,648,534"
"Aug 24, 2022","13,983","6,922,473",5,"2,649,383"
"Aug 25, 2022","13,998","6,897,911",5,"2,650,536"
"Aug 26, 2022","14,027","6,906,910",5,"2,651,573"
"Aug 27, 2022","14,040","6,909,865",5,"2,653,722"
"Aug 28, 2022","14,054","6,907,554",5,"2,655,483"
"Aug 29, 2022","14,077","6,911,194",5,"2,656,932"
"Aug 30, 2022","14,091","7,211,265",5,"2,658,395"
"Aug 31, 2022","14,099","7,201,174",5,"2,659,167"
"Sep 01, 2022","14,111","7,192,937",5,"2,659,351"
"Sep 02, 2022","14,129","7,201,194",5,"2,659,266"
"Sep 03, 2022","14,149","7,206,598",5,"2,659,756"
"Sep 04, 2022","14,183","7,204,377",5,"2,659,459"
"Sep 05, 2022","14,219","7,230,837",5,"2,659,830"
"Sep 06, 2022","14,247","7,236,265",5,"2,660,826"
"Sep 07, 2022","14,274","7,198,985",5,"2,661,881"
"Sep 08, 2022","14,286","7,200,020",5,"2,662,922"
"Sep 09, 2022","14,326","7,203,131",5,"2,663,967"
"Sep 10, 2022","14,346","7,260,386",5,"2,665,172"
"Sep 11, 2022","14,349","7,086,297",5,"2,666,307"
"Sep 12, 2022","14,375","7,084,038",5,"2,667,270"
"Sep 13, 2022","14,398","7,086,744",5,"2,668,250"
"Sep 14, 2022","14,424","7,094,292",5,"2,669,300"
"Sep 15, 2022","14,440","7,096,934",5,"2,670,430"
"Sep 16, 2022","14,455","7,108,883",5,"2,671,685"
"Sep 17, 2022","14,471","7,103,871",5,"2,672,793"
"Sep 18, 2022","14,490","7,096,611",5,"2,673,697"
"Sep 19, 2022","14,503","7,089,493",5,"2,674,477"
"Sep 20, 2022","14,524","7,117,822",5,"2,675,354"
"Sep 21, 2022","14,547","7,111,562",5,"2,676,025"
"Sep 22, 2022","14,566","7,121,390",5,"2,676,681"
"Sep 23, 2022","14,585","7,123,862",5,"2,677,404"
"Sep 24, 2022","14,599","7,127,882",5,"2,678,278"
"Sep 25, 2022","14,624","7,131,686",5,"2,679,056"
"Sep 26, 2022","14,629","7,185,471",5,"2,679,702"
"Sep 27, 2022","14,657","7,317,845",5,"2,680,353"
"Sep 28, 2022","14,676","7,326,392",5,"2,681,107"
"Sep 29, 2022","14,688","7,333,983",5,"2,681,796"
"Sep 30, 2022","14,700","7,508,588",5,"2,682,611"
"Oct 01, 2022","14,707","7,890,229",5,"2,683,678"
"Oct 02, 2022","14,722","7,895,293",5,"2,684,748"
"Oct 03, 2022","14,732","7,903,711",5,"2,685,702"
"Oct 04, 2022","14,739","7,896,597",5,"2,686,691"
"Oct 05, 2022","14,751","7,915,441",5,"2,687,746"
"Oct 06, 2022","14,754","7,917,537",5,"2,688,757"
"Oct 07, 2022","14,763","7,924,063",5,"2,689,760"
"Oct 08, 2022","14,765","8,013,316",5,"2,691,088"
"Oct 09, 2022","14,775","8,014,797",5,"2,692,611"
