"DateTime","Spotify Streams","Change"
"2023-05-01 00:00:00",76827943,332716
"2023-04-30 00:00:00",76495227,182374
"2023-04-29 00:00:00",76312854,182374
"2023-04-28 00:00:00",76130480,174214
"2023-04-27 00:00:00",75956266,0
"2023-04-26 00:00:00",75956266,167706
"2023-04-25 00:00:00",75788560,226982
"2023-04-24 00:00:00",75561579,226982
"2023-04-23 00:00:00",75334597,0
"2023-04-22 00:00:00",75334597,355852
"2023-04-21 00:00:00",74978745,179175
"2023-04-20 00:00:00",74799571,179175
"2023-04-19 00:00:00",74620396,171828
"2023-04-18 00:00:00",74448568,151300
"2023-04-17 00:00:00",74297268,0
"2023-04-16 00:00:00",74297268,349988
"2023-04-15 00:00:00",73947280,143592
"2023-04-14 00:00:00",73803688,138364
"2023-04-13 00:00:00",73665324,138088
"2023-04-12 00:00:00",73527236,126781
"2023-04-11 00:00:00",73400455,107699
"2023-04-10 00:00:00",73292756,122021
"2023-04-09 00:00:00",73170735,127261
"2023-04-08 00:00:00",73043474,138577
"2023-04-07 00:00:00",72904897,138191
"2023-04-06 00:00:00",72766706,139696
"2023-04-05 00:00:00",72627010,134170
"2023-04-04 00:00:00",72492840,115791
"2023-04-03 00:00:00",72377049,126981
"2023-04-02 00:00:00",72250068,140317
"2023-04-01 00:00:00",72109751,143368
"2023-03-31 00:00:00",71966383,142361
"2023-03-30 00:00:00",71824022,141303
"2023-03-29 00:00:00",71682719,136929
"2023-03-28 00:00:00",71545790,121310
"2023-03-27 00:00:00",71424480,131285
"2023-03-26 00:00:00",71293195,142753
"2023-03-25 00:00:00",71150442,145510
"2023-03-24 00:00:00",71004932,148834
"2023-03-23 00:00:00",70856098,148589
"2023-03-22 00:00:00",70707509,142683
"2023-03-21 00:00:00",70564826,123113
"2023-03-20 00:00:00",70441713,135910
"2023-03-19 00:00:00",70305803,151752
"2023-03-18 00:00:00",70154051,149690
"2023-03-17 00:00:00",70004361,0
"2023-03-16 00:00:00",70004361,298244
"2023-03-15 00:00:00",69706117,142617
"2023-03-14 00:00:00",69563500,126016
"2023-03-13 00:00:00",69437484,139370
"2023-03-12 00:00:00",69298114,154053
"2023-03-11 00:00:00",69144061,0
"2023-03-10 00:00:00",69144061,315877
"2023-03-09 00:00:00",68828184,146778
"2023-03-08 00:00:00",68681406,142921
"2023-03-07 00:00:00",68538485,0
