"DateTime","Spotify Streams","Change"
"2023-05-29 00:00:00",1480912,15043
"2023-05-28 00:00:00",1465869,17171
"2023-05-27 00:00:00",1448698,22445
"2023-05-26 00:00:00",1426253,30689
"2023-05-25 00:00:00",1395564,31870
"2023-05-24 00:00:00",1363694,21829
"2023-05-23 00:00:00",1341865,16061
"2023-05-22 00:00:00",1325804,18177
"2023-05-21 00:00:00",1307627,15015
"2023-05-20 00:00:00",1292612,0
"2023-05-19 00:00:00",1292612,27712
"2023-05-18 00:00:00",1264900,15069
"2023-05-17 00:00:00",1249831,12463
"2023-05-16 00:00:00",1237368,12463
"2023-05-15 00:00:00",1224905,5957
"2023-05-14 00:00:00",1218949,5957
"2023-05-13 00:00:00",1212992,33338
"2023-05-12 00:00:00",1179654,0
"2023-05-11 00:00:00",1179654,20894
"2023-05-10 00:00:00",1158760,20894
"2023-05-09 00:00:00",1137866,33167
"2023-05-08 00:00:00",1104699,15247
"2023-05-07 00:00:00",1089452,17949
"2023-05-06 00:00:00",1071503,17780
"2023-05-05 00:00:00",1053723,17301
"2023-05-04 00:00:00",1036422,16355
"2023-05-03 00:00:00",1020067,16355
"2023-05-02 00:00:00",1003712,13475
"2023-05-01 00:00:00",990237,15810
"2023-04-30 00:00:00",974427,15810
"2023-04-29 00:00:00",958617,0
"2023-04-28 00:00:00",958617,17376
"2023-04-27 00:00:00",941241,33125
"2023-04-26 00:00:00",908116,16609
"2023-04-25 00:00:00",891507,0
"2023-04-24 00:00:00",891507,12515
"2023-04-23 00:00:00",878992,28996
"2023-04-22 00:00:00",849996,17562
"2023-04-21 00:00:00",832434,17137
"2023-04-20 00:00:00",815297,17995
"2023-04-19 00:00:00",797302,15215
"2023-04-18 00:00:00",782087,15215
"2023-04-17 00:00:00",766872,15215
"2023-04-16 00:00:00",751657,18462
"2023-04-15 00:00:00",733195,18303
"2023-04-14 00:00:00",714892,19973
"2023-04-13 00:00:00",694919,26297
"2023-04-12 00:00:00",668622,26878
"2023-04-11 00:00:00",641744,21789
"2023-04-10 00:00:00",619955,24092
"2023-04-09 00:00:00",595863,22108
"2023-04-08 00:00:00",573755,21206
"2023-04-07 00:00:00",552549,28221
"2023-04-06 00:00:00",524328,32212
"2023-04-05 00:00:00",492116,34462
"2023-04-04 00:00:00",457654,28511
"2023-04-03 00:00:00",429143,30696
"2023-04-02 00:00:00",398447,0
"2023-04-01 00:00:00",398447,33766
"2023-03-31 00:00:00",364681,46999
"2023-03-30 00:00:00",317682,22895
"2023-03-29 00:00:00",294787,21205
"2023-03-28 00:00:00",273582,18081
"2023-03-27 00:00:00",255501,15807
"2023-03-26 00:00:00",239694,0
