"DateTime","Spotify Streams","Change"
"2023-05-29 00:00:00",453476,2380
"2023-05-28 00:00:00",451096,2725
"2023-05-27 00:00:00",448371,2888
"2023-05-26 00:00:00",445483,2829
"2023-05-25 00:00:00",442654,3006
"2023-05-24 00:00:00",439648,2968
"2023-05-23 00:00:00",436680,2479
"2023-05-22 00:00:00",434201,2617
"2023-05-21 00:00:00",431584,2812
"2023-05-20 00:00:00",428772,0
"2023-05-19 00:00:00",428772,3067
"2023-05-18 00:00:00",425705,6274
"2023-05-17 00:00:00",419431,2954
"2023-05-16 00:00:00",416477,2954
"2023-05-15 00:00:00",413523,1507
"2023-05-14 00:00:00",412017,1507
"2023-05-13 00:00:00",410510,7006
"2023-05-12 00:00:00",403504,0
"2023-05-11 00:00:00",403504,3643
"2023-05-10 00:00:00",399861,3643
"2023-05-09 00:00:00",396218,6416
"2023-05-08 00:00:00",389802,3228
"2023-05-07 00:00:00",386574,3704
"2023-05-06 00:00:00",382870,3872
"2023-05-05 00:00:00",378998,3935
"2023-05-04 00:00:00",375063,3745
"2023-05-03 00:00:00",371318,3745
"2023-05-02 00:00:00",367573,3265
"2023-05-01 00:00:00",364308,3788
"2023-04-30 00:00:00",360520,3788
"2023-04-29 00:00:00",356732,0
"2023-04-28 00:00:00",356732,4177
"2023-04-27 00:00:00",352555,9072
"2023-04-26 00:00:00",343483,3973
"2023-04-25 00:00:00",339510,0
"2023-04-24 00:00:00",339510,3411
"2023-04-23 00:00:00",336099,7992
"2023-04-22 00:00:00",328107,4572
"2023-04-21 00:00:00",323535,4715
"2023-04-20 00:00:00",318820,4867
"2023-04-19 00:00:00",313953,4262
"2023-04-18 00:00:00",309691,4262
"2023-04-17 00:00:00",305428,4262
"2023-04-16 00:00:00",301166,4951
"2023-04-15 00:00:00",296215,4901
"2023-04-14 00:00:00",291314,5205
"2023-04-13 00:00:00",286109,5148
"2023-04-12 00:00:00",280961,4996
"2023-04-11 00:00:00",275965,4062
"2023-04-10 00:00:00",271903,4751
"2023-04-09 00:00:00",267152,6024
"2023-04-08 00:00:00",261128,6473
"2023-04-07 00:00:00",254655,6374
"2023-04-06 00:00:00",248281,6408
"2023-04-05 00:00:00",241873,6057
"2023-04-04 00:00:00",235816,5271
"2023-04-03 00:00:00",230545,5659
"2023-04-02 00:00:00",224886,0
"2023-04-01 00:00:00",224886,6637
"2023-03-31 00:00:00",218249,14245
"2023-03-30 00:00:00",204004,6894
"2023-03-29 00:00:00",197110,7089
"2023-03-28 00:00:00",190021,5982
"2023-03-27 00:00:00",184039,6442
"2023-03-26 00:00:00",177597,0
