Date,Playlist Count,Playlist Total Reach,Editorial Playlist Count,Editorial Playlist Total Reach
"Nov 11, 2022",161,"4,357,978",,
"Nov 12, 2022",198,"4,371,501",,
"Nov 13, 2022",211,"4,380,289",,
"Nov 14, 2022",219,"4,381,550",,
"Nov 15, 2022",221,"4,381,988",,
"Nov 16, 2022",231,"4,383,268",,
"Nov 17, 2022",231,"4,383,908",,
"Nov 18, 2022",168,"4,356,442",,
"Nov 19, 2022",181,"61,135",,
"Nov 20, 2022",197,"56,496",,
"Nov 21, 2022",218,"55,715",,
"Nov 22, 2022",239,"55,419",,
"Nov 23, 2022",260,"55,464",,
"Nov 24, 2022",281,"55,369",,
"Nov 25, 2022",300,"55,823",,
"Nov 26, 2022",305,"55,875",,
"Nov 27, 2022",314,"14,686",,
"Nov 28, 2022",339,"15,688",,
"Nov 29, 2022",350,"15,315",,
"Nov 30, 2022",356,"15,363",,
"Dec 01, 2022",363,"15,387",,
"Dec 02, 2022",369,"15,423",,
"Dec 03, 2022",364,"15,060",,
"Dec 04, 2022",393,"16,046",,
"Dec 05, 2022",405,"16,685",,
"Dec 06, 2022",408,"16,812",,
"Dec 07, 2022",408,"16,708",,
"Dec 08, 2022",404,"16,202",,
"Dec 09, 2022",401,"16,198",,
"Dec 10, 2022",403,"16,210",,
"Dec 11, 2022",384,"15,517",,
"Dec 12, 2022",388,"15,196",,
"Dec 13, 2022",389,"15,192",,
"Dec 14, 2022",396,"15,724",,
"Dec 15, 2022",399,"15,242",,
"Dec 16, 2022",404,"16,290",,
"Dec 17, 2022",402,"15,586",,
"Dec 18, 2022",408,"20,545",,
"Dec 19, 2022",410,"15,610",,
"Dec 20, 2022",409,"15,337",,
"Dec 21, 2022",411,"15,667",,
"Dec 22, 2022",415,"15,803",,
"Dec 23, 2022",417,"15,216",,
"Dec 24, 2022",411,"14,811",,
"Dec 25, 2022",404,"14,616",,
"Dec 26, 2022",399,"15,008",,
"Dec 27, 2022",387,"15,116",,
"Dec 28, 2022",381,"15,796",,
"Dec 29, 2022",374,"15,741",,
"Dec 30, 2022",367,"20,435",,
"Dec 31, 2022",366,"20,341",,
"Jan 01, 2023",357,"14,403",,
"Jan 02, 2023",352,"14,433",,
"Jan 03, 2023",349,"14,366",,
"Jan 04, 2023",346,"13,811",,
"Jan 05, 2023",338,"13,515",,
"Jan 06, 2023",334,"13,497",,
"Jan 07, 2023",334,"13,497",,
"Jan 08, 2023",334,"13,497",,
"Jan 09, 2023",334,"13,515",,
"Jan 10, 2023",336,"13,745",,
"Jan 11, 2023",342,"21,002",,
"Jan 12, 2023",347,"21,867",,
"Jan 13, 2023",350,"21,970",,
"Jan 14, 2023",351,"21,975",,
"Jan 15, 2023",357,"22,115",,
"Jan 16, 2023",598,"25,359",,
"Jan 17, 2023",599,"25,379",,
"Jan 18, 2023",600,"25,412",,
"Jan 19, 2023",601,"25,416",,
"Jan 20, 2023",602,"25,454",,
"Jan 21, 2023",603,"25,480",,
"Jan 22, 2023",602,"25,474",,
"Jan 23, 2023",602,"25,503",,
"Jan 24, 2023",602,"25,492",,
"Jan 25, 2023",604,"25,509",,
"Jan 26, 2023",605,"25,530",,
"Jan 27, 2023",609,"25,928",,
"Jan 28, 2023",609,"25,929",,
"Jan 29, 2023",609,"25,949",,
"Jan 30, 2023",611,"26,001",,
"Jan 31, 2023",612,"26,009",,
"Feb 01, 2023",613,"26,075",,
"Feb 02, 2023",612,"26,093",,
"Feb 03, 2023",612,"26,105",,
"Feb 04, 2023",611,"26,104",,
"Feb 05, 2023",610,"25,736",,
"Feb 06, 2023",610,"25,739",,
"Feb 07, 2023",608,"25,725",,
"Feb 08, 2023",609,"25,728",,
"Feb 09, 2023",609,"25,730",,
"Feb 10, 2023",609,"25,719",,
"Feb 11, 2023",609,"25,724",,
"Feb 12, 2023",609,"25,746",,
"Feb 13, 2023",609,"25,744",,
"Feb 14, 2023",609,"25,787",,
"Feb 15, 2023",608,"25,697",,
"Feb 16, 2023",608,"25,697",,
"Feb 17, 2023",610,"25,721",,
"Feb 18, 2023",610,"25,725",,
"Feb 19, 2023",611,"25,736",,
"Feb 20, 2023",611,"25,749",,
"Feb 21, 2023",610,"25,745",,
"Feb 22, 2023",610,"25,754",,
"Feb 23, 2023",610,"25,759",,
"Feb 24, 2023",609,"25,763",,
"Feb 25, 2023",608,"25,758",,
"Feb 26, 2023",607,"25,751",,
"Feb 27, 2023",608,"25,793",,
"Mar 01, 2023",607,"25,778",,
"Mar 02, 2023",607,"25,757",,
"Mar 03, 2023",607,"25,754",,
"Mar 04, 2023",608,"25,753",,
"Mar 05, 2023",608,"25,750",,
"Mar 06, 2023",609,"25,751",,
"Mar 07, 2023",608,"25,625",,
"Mar 08, 2023",610,"25,631",,
"Mar 09, 2023",610,"25,624",,
"Mar 10, 2023",611,"25,803",,
"Mar 11, 2023",611,"25,803",,
"Mar 12, 2023",611,"25,802",,
"Mar 13, 2023",611,"25,807",,
"Mar 14, 2023",611,"25,808",,
"Mar 15, 2023",612,"25,813",,
"Mar 16, 2023",613,"25,812",,
"Mar 17, 2023",613,"25,828",,
"Mar 18, 2023",614,"25,832",,
"Mar 19, 2023",613,"25,830",,
"Mar 20, 2023",613,"25,833",,
"Mar 21, 2023",615,"25,877",,
"Mar 22, 2023",615,"25,901",,
"Mar 23, 2023",614,"25,878",,
"Mar 24, 2023",616,"25,927",,
"Mar 25, 2023",619,"26,036",,
"Mar 26, 2023",619,"26,131",,
"Mar 27, 2023",620,"26,151",,
"Mar 28, 2023",620,"26,152",,
"Mar 29, 2023",621,"26,149",,
"Mar 30, 2023",623,"26,158",,
"Mar 31, 2023",624,"26,171",,
"Apr 01, 2023",625,"26,222",,
"Apr 02, 2023",626,"26,232",,
"Apr 03, 2023",628,"26,239",,
"Apr 04, 2023",628,"26,247",,
"Apr 05, 2023",629,"26,249",,
