"DateTime","Spotify Streams","Change"
"2023-05-29 00:00:00",1183661,7494
"2023-05-28 00:00:00",1176167,8473
"2023-05-27 00:00:00",1167694,8473
"2023-05-26 00:00:00",1159221,8473
"2023-05-25 00:00:00",1150748,0
"2023-05-24 00:00:00",1150748,8863
"2023-05-23 00:00:00",1141885,8054
"2023-05-22 00:00:00",1133831,10762
"2023-05-21 00:00:00",1123070,10762
"2023-05-20 00:00:00",1112308,8088
"2023-05-19 00:00:00",1104221,8088
"2023-05-18 00:00:00",1096133,8324
"2023-05-17 00:00:00",1087809,8222
"2023-05-16 00:00:00",1079587,7120
"2023-05-15 00:00:00",1072467,8746
"2023-05-14 00:00:00",1063721,0
"2023-05-13 00:00:00",1063721,20172
"2023-05-12 00:00:00",1043549,0
"2023-05-11 00:00:00",1043549,21476
"2023-05-10 00:00:00",1022073,10083
"2023-05-09 00:00:00",1011990,10083
"2023-05-08 00:00:00",1001907,11394
"2023-05-07 00:00:00",990513,13782
"2023-05-06 00:00:00",976731,14740
"2023-05-05 00:00:00",961991,14740
"2023-05-04 00:00:00",947251,15151
"2023-05-03 00:00:00",932100,13653
"2023-05-02 00:00:00",918447,12545
"2023-05-01 00:00:00",905902,0
"2023-04-30 00:00:00",905902,24853
"2023-04-29 00:00:00",881049,24853
"2023-04-28 00:00:00",856196,0
"2023-04-27 00:00:00",856196,36344
"2023-04-26 00:00:00",819852,18933
"2023-04-25 00:00:00",800919,16380
"2023-04-24 00:00:00",784539,20233
"2023-04-23 00:00:00",764306,24900
"2023-04-22 00:00:00",739406,26058
"2023-04-21 00:00:00",713348,26058
"2023-04-20 00:00:00",687291,26058
"2023-04-19 00:00:00",661233,14841
"2023-04-18 00:00:00",646392,14841
"2023-04-17 00:00:00",631551,60815
"2023-04-16 00:00:00",570736,47929
"2023-04-15 00:00:00",522807,52819
"2023-04-14 00:00:00",469988,60410
"2023-04-13 00:00:00",409578,0
"2023-04-12 00:00:00",409578,128811
"2023-04-11 00:00:00",280767,57553
"2023-04-10 00:00:00",223214,88550
"2023-04-09 00:00:00",134664,0
"2023-04-08 00:00:00",134664,0
