"DateTime","Spotify Streams","Change"
"2023-05-29 00:00:00",2025277,23724
"2023-05-28 00:00:00",2001553,24774
"2023-05-27 00:00:00",1976779,24774
"2023-05-26 00:00:00",1952006,24774
"2023-05-25 00:00:00",1927232,0
"2023-05-24 00:00:00",1927232,22239
"2023-05-23 00:00:00",1904993,21636
"2023-05-22 00:00:00",1883357,30886
"2023-05-21 00:00:00",1852471,30886
"2023-05-20 00:00:00",1821585,22463
"2023-05-19 00:00:00",1799122,22463
"2023-05-18 00:00:00",1776659,22460
"2023-05-17 00:00:00",1754199,22150
"2023-05-16 00:00:00",1732049,19506
"2023-05-15 00:00:00",1712543,22992
"2023-05-14 00:00:00",1689551,0
"2023-05-13 00:00:00",1689551,51828
"2023-05-12 00:00:00",1637723,0
"2023-05-11 00:00:00",1637723,52485
"2023-05-10 00:00:00",1585238,24074
"2023-05-09 00:00:00",1561165,24074
"2023-05-08 00:00:00",1537091,27308
"2023-05-07 00:00:00",1509783,31098
"2023-05-06 00:00:00",1478685,32666
"2023-05-05 00:00:00",1446019,32666
"2023-05-04 00:00:00",1413353,32563
"2023-05-03 00:00:00",1380790,30649
"2023-05-02 00:00:00",1350141,28190
"2023-05-01 00:00:00",1321951,0
"2023-04-30 00:00:00",1321951,54592
"2023-04-29 00:00:00",1267360,54592
"2023-04-28 00:00:00",1212768,0
"2023-04-27 00:00:00",1212768,76027
"2023-04-26 00:00:00",1136741,38588
"2023-04-25 00:00:00",1098153,34303
"2023-04-24 00:00:00",1063850,42348
"2023-04-23 00:00:00",1021502,0
"2023-04-22 00:00:00",1021502,59455
"2023-04-21 00:00:00",962047,59455
"2023-04-20 00:00:00",902591,59455
"2023-04-19 00:00:00",843136,24023
"2023-04-18 00:00:00",819114,24023
"2023-04-17 00:00:00",795091,96371
"2023-04-16 00:00:00",698720,67618
"2023-04-15 00:00:00",631102,75194
"2023-04-14 00:00:00",555908,80442
"2023-04-13 00:00:00",475466,0
"2023-04-12 00:00:00",475466,163418
"2023-04-11 00:00:00",312048,72198
"2023-04-10 00:00:00",239850,101989
"2023-04-09 00:00:00",137861,0
"2023-04-08 00:00:00",137861,0
