Date,Playlist Count,Playlist Total Reach,Editorial Playlist Count,Editorial Playlist Total Reach
"Apr 07, 2023",35,"9,046,491",3,"865,007"
"Apr 08, 2023",137,"13,970,691",8,"3,495,956"
"Apr 09, 2023",241,"14,514,839",8,"3,498,428"
"Apr 10, 2023",337,"14,596,337",8,"3,499,184"
"Apr 11, 2023",428,"15,747,772",9,"4,364,239"
"Apr 12, 2023",520,"15,876,031",9,"4,364,973"
"Apr 13, 2023",624,"16,020,681",9,"4,365,859"
"Apr 14, 2023",719,"13,460,452",10,"4,495,113"
"Apr 15, 2023",810,"7,587,642",9,"4,495,553"
"Apr 16, 2023","1,016","7,430,308",8,"4,450,426"
"Apr 17, 2023","1,165","7,443,992",8,"4,451,283"
"Apr 18, 2023","1,421","7,457,091",8,"4,452,328"
"Apr 19, 2023","1,912","6,113,655",7,"3,588,583"
"Apr 20, 2023","2,227","6,125,152",7,"3,588,522"
"Apr 21, 2023","2,428","6,129,450",7,"3,590,304"
"Apr 22, 2023","2,660","6,138,623",7,"3,592,086"
"Apr 23, 2023","2,877","5,899,719",6,"3,380,282"
"Apr 24, 2023","3,123","5,903,319",6,"3,380,704"
"Apr 25, 2023","3,341","5,965,350",6,"3,381,174"
"Apr 26, 2023","3,557","5,760,055",6,"3,381,550"
"Apr 27, 2023","3,749","5,752,933",6,"3,382,788"
"Apr 28, 2023","3,928","5,968,194",6,"3,383,855"
"Apr 29, 2023","4,113","5,973,301",6,"3,385,460"
"Apr 30, 2023","4,348","4,826,523",6,"3,387,530"
"May 01, 2023","4,572","4,832,309",6,"3,389,736"
"May 02, 2023","4,762","4,897,053",6,"3,390,906"
"May 03, 2023","4,937","4,936,844",6,"3,392,025"
"May 04, 2023","5,120","4,758,345",6,"3,392,886"
"May 05, 2023","5,276","4,756,284",6,"3,393,589"
"May 06, 2023","5,408","4,947,084",6,"3,394,546"
"May 07, 2023","5,582","5,123,118",6,"3,386,242"
"May 08, 2023","5,723","5,112,092",6,"3,384,598"
"May 09, 2023","5,823","4,918,553",6,"3,384,595"
"May 10, 2023","5,911","4,923,093",6,"3,384,548"
"May 11, 2023","6,016","4,926,311",6,"3,385,083"
"May 12, 2023","6,156","4,916,929",6,"3,388,811"
"May 13, 2023","6,269","4,942,444",6,"3,389,486"
"May 14, 2023","6,424","4,810,204",6,"3,390,305"
"May 15, 2023","6,529","4,803,025",6,"3,390,639"
"May 16, 2023","6,611","4,803,500",6,"3,389,028"
"May 17, 2023","6,726","4,805,517",6,"3,389,004"
"May 18, 2023","6,793","4,812,955",6,"3,391,747"
"May 19, 2023","6,889","4,818,112",6,"3,392,694"
"May 20, 2023","7,007","4,843,972",6,"3,393,247"
"May 21, 2023","7,095","4,671,086",5,"3,314,201"
"May 22, 2023","7,182","4,675,149",5,"3,314,472"
"May 23, 2023","7,261","4,679,719",6,"3,317,269"
"May 24, 2023","7,354","4,722,515",6,"3,318,241"
"May 25, 2023","7,456","4,727,267",6,"3,319,020"
"May 26, 2023","7,606","4,721,689",6,"3,319,850"
"May 27, 2023","7,749","5,039,768",6,"3,320,816"
"May 28, 2023","7,853","5,061,012",7,"3,324,513"
"May 29, 2023","7,996","5,069,351",7,"3,325,339"
Invalid date,,,,
