"DateTime","Spotify Streams","Change"
"2023-05-29 00:00:00",1251217,10463
"2023-05-28 00:00:00",1240754,11332
"2023-05-27 00:00:00",1229422,11332
"2023-05-26 00:00:00",1218089,11332
"2023-05-25 00:00:00",1206757,0
"2023-05-24 00:00:00",1206757,11298
"2023-05-23 00:00:00",1195459,11027
"2023-05-22 00:00:00",1184432,15847
"2023-05-21 00:00:00",1168585,15847
"2023-05-20 00:00:00",1152738,11355
"2023-05-19 00:00:00",1141384,11355
"2023-05-18 00:00:00",1130029,11388
"2023-05-17 00:00:00",1118641,11441
"2023-05-16 00:00:00",1107200,10117
"2023-05-15 00:00:00",1097083,12146
"2023-05-14 00:00:00",1084937,0
"2023-05-13 00:00:00",1084937,26763
"2023-05-12 00:00:00",1058174,0
"2023-05-11 00:00:00",1058174,27185
"2023-05-10 00:00:00",1030989,12420
"2023-05-09 00:00:00",1018570,12420
"2023-05-08 00:00:00",1006150,14381
"2023-05-07 00:00:00",991769,16787
"2023-05-06 00:00:00",974982,17388
"2023-05-05 00:00:00",957595,17388
"2023-05-04 00:00:00",940207,17821
"2023-05-03 00:00:00",922386,16333
"2023-05-02 00:00:00",906053,15775
"2023-05-01 00:00:00",890278,0
"2023-04-30 00:00:00",890278,30934
"2023-04-29 00:00:00",859344,30934
"2023-04-28 00:00:00",828410,0
"2023-04-27 00:00:00",828410,42721
"2023-04-26 00:00:00",785689,21452
"2023-04-25 00:00:00",764237,18685
"2023-04-24 00:00:00",745552,22653
"2023-04-23 00:00:00",722899,27189
"2023-04-22 00:00:00",695710,28899
"2023-04-21 00:00:00",666811,28899
"2023-04-20 00:00:00",637912,28899
"2023-04-19 00:00:00",609013,15894
"2023-04-18 00:00:00",593119,15894
"2023-04-17 00:00:00",577225,62980
"2023-04-16 00:00:00",514245,45212
"2023-04-15 00:00:00",469033,52213
"2023-04-14 00:00:00",416820,58225
"2023-04-13 00:00:00",358595,0
"2023-04-12 00:00:00",358595,120308
"2023-04-11 00:00:00",238287,53049
"2023-04-10 00:00:00",185238,77274
"2023-04-09 00:00:00",107964,0
"2023-04-08 00:00:00",107964,0
