Date,Playlist Count,Playlist Total Reach,Editorial Playlist Count,Editorial Playlist Total Reach
"Apr 08, 2023",14,"136,068",,
"Apr 09, 2023",48,"148,824",,
"Apr 10, 2023",67,"150,266",,
"Apr 11, 2023",89,"154,973",,
"Apr 12, 2023",112,"153,738",,
"Apr 13, 2023",136,"153,520",,
"Apr 14, 2023",166,"162,703",,
"Apr 15, 2023",187,"160,484",,
"Apr 16, 2023",227,"141,008",,
"Apr 17, 2023",259,"142,358",,
"Apr 18, 2023",321,"145,516",,
"Apr 19, 2023",434,"147,558",,
"Apr 20, 2023",486,"153,016",,
"Apr 21, 2023",526,"152,979",,
"Apr 22, 2023",565,"153,384",,
"Apr 23, 2023",591,"153,610",,
"Apr 24, 2023",630,"153,970",,
"Apr 25, 2023",657,"154,074",,
"Apr 26, 2023",693,"154,586",,
"Apr 27, 2023",720,"154,744",,
"Apr 28, 2023",751,"164,711",,
"Apr 29, 2023",788,"168,011",,
"Apr 30, 2023",819,"168,289",,
"May 01, 2023",863,"168,767",,
"May 02, 2023",884,"168,890",,
"May 03, 2023",915,"169,023",,
"May 04, 2023",931,"169,566",1,477
"May 05, 2023",942,"169,597",1,477
"May 06, 2023",963,"170,007",1,477
"May 07, 2023",980,"170,251",1,477
"May 08, 2023",999,"170,959",2,"1,069"
"May 09, 2023","1,004","170,973",2,"1,070"
"May 10, 2023","1,010","171,033",2,"1,072"
"May 11, 2023","1,024","172,373",2,"1,072"
"May 12, 2023","1,039","172,457",2,"1,074"
"May 13, 2023","1,052","173,405",2,"1,074"
"May 14, 2023","1,071","173,684",2,"1,074"
"May 15, 2023","1,082","173,811",2,"1,075"
"May 16, 2023","1,087","173,891",2,"1,076"
"May 17, 2023","1,098","173,921",2,"1,076"
"May 18, 2023","1,108","173,960",2,"1,077"
"May 19, 2023","1,116","174,008",2,"1,077"
"May 20, 2023","1,120","174,055",2,"1,078"
"May 21, 2023","1,123","174,187",2,"1,078"
"May 22, 2023","1,129","174,256",2,"1,078"
"May 23, 2023","1,136","174,299",2,"1,078"
"May 24, 2023","1,143","174,338",2,"1,078"
"May 25, 2023","1,149","174,398",2,"1,078"
"May 26, 2023","1,160","174,538",2,"1,078"
"May 27, 2023","1,162","174,558",2,"1,078"
"May 28, 2023","1,171","174,618",2,"1,078"
"May 29, 2023","1,178","186,645",2,"1,078"
Invalid date,,,,
