"DateTime","Spotify Streams","Change"
"2023-05-29 00:00:00",901270,5536
"2023-05-28 00:00:00",895734,6334
"2023-05-27 00:00:00",889400,6334
"2023-05-26 00:00:00",883067,6334
"2023-05-25 00:00:00",876733,0
"2023-05-24 00:00:00",876733,6380
"2023-05-23 00:00:00",870353,5884
"2023-05-22 00:00:00",864469,8322
"2023-05-21 00:00:00",856147,8322
"2023-05-20 00:00:00",847825,6425
"2023-05-19 00:00:00",841401,6425
"2023-05-18 00:00:00",834976,6615
"2023-05-17 00:00:00",828361,6308
"2023-05-16 00:00:00",822053,5712
"2023-05-15 00:00:00",816341,6366
"2023-05-14 00:00:00",809975,0
"2023-05-13 00:00:00",809975,15433
"2023-05-12 00:00:00",794542,0
"2023-05-11 00:00:00",794542,16190
"2023-05-10 00:00:00",778352,7539
"2023-05-09 00:00:00",770813,7539
"2023-05-08 00:00:00",763274,8203
"2023-05-07 00:00:00",755071,10087
"2023-05-06 00:00:00",744984,12397
"2023-05-05 00:00:00",732588,12397
"2023-05-04 00:00:00",720191,11946
"2023-05-03 00:00:00",708245,11144
"2023-05-02 00:00:00",697101,10437
"2023-05-01 00:00:00",686664,0
"2023-04-30 00:00:00",686664,20725
"2023-04-29 00:00:00",665940,20725
"2023-04-28 00:00:00",645215,0
"2023-04-27 00:00:00",645215,31335
"2023-04-26 00:00:00",613880,16033
"2023-04-25 00:00:00",597847,13464
"2023-04-24 00:00:00",584383,16275
"2023-04-23 00:00:00",568108,0
"2023-04-22 00:00:00",568108,27072
"2023-04-21 00:00:00",541036,27072
"2023-04-20 00:00:00",513964,27072
"2023-04-19 00:00:00",486892,11729
"2023-04-18 00:00:00",475163,11729
"2023-04-17 00:00:00",463434,45265
"2023-04-16 00:00:00",418169,33650
"2023-04-15 00:00:00",384519,39894
"2023-04-14 00:00:00",344625,45102
"2023-04-13 00:00:00",299523,0
"2023-04-12 00:00:00",299523,97306
"2023-04-11 00:00:00",202217,43405
"2023-04-10 00:00:00",158812,65360
"2023-04-09 00:00:00",93452,0
"2023-04-08 00:00:00",93452,0
