Date,Playlist Count,Playlist Total Reach,Editorial Playlist Count,Editorial Playlist Total Reach
"Apr 07, 2023",1,3,,
"Apr 08, 2023",28,"1,315,028",1,"1,165,105"
"Apr 09, 2023",60,"1,326,871",1,"1,165,178"
"Apr 10, 2023",87,"1,346,989",1,"1,165,218"
"Apr 11, 2023",118,"1,351,363",1,"1,165,276"
"Apr 12, 2023",148,"1,357,838",1,"1,165,378"
"Apr 13, 2023",187,"1,356,164",1,"1,165,477"
"Apr 14, 2023",218,"1,377,782",1,"1,165,588"
"Apr 15, 2023",245,"1,376,313",1,"1,165,674"
"Apr 16, 2023",302,"1,373,936",1,"1,165,731"
"Apr 17, 2023",342,"1,375,384",1,"1,165,798"
"Apr 18, 2023",419,"1,378,823",1,"1,165,852"
"Apr 19, 2023",570,"1,385,875",1,"1,165,972"
"Apr 20, 2023",653,"1,386,826",1,"1,166,083"
"Apr 21, 2023",704,"1,386,817",1,"1,166,136"
"Apr 22, 2023",769,"1,389,945",1,"1,166,223"
"Apr 23, 2023",810,"1,389,638",1,"1,166,295"
"Apr 24, 2023",864,"1,391,098",1,"1,166,343"
"Apr 25, 2023",922,"1,391,657",1,"1,166,433"
"Apr 26, 2023",978,"1,392,525",1,"1,166,528"
"Apr 27, 2023","1,020","1,393,032",1,"1,166,634"
"Apr 28, 2023","1,060","1,396,176",1,"1,166,734"
"Apr 29, 2023","1,097","1,396,997",1,"1,166,965"
"Apr 30, 2023","1,146","230,515",,
"May 01, 2023","1,199","230,985",,
"May 02, 2023","1,233","231,467",,
"May 03, 2023","1,284","232,615",,
"May 04, 2023","1,323","232,966",,
"May 05, 2023","1,343","233,232",,
"May 06, 2023","1,368","233,804",,
"May 07, 2023","1,393","234,105",,
"May 08, 2023","1,416","234,355",,
"May 09, 2023","1,427","234,514",,
"May 10, 2023","1,442","235,300",,
"May 11, 2023","1,458","236,836",,
"May 12, 2023","1,489","237,247",,
"May 13, 2023","1,504","238,352",,
"May 14, 2023","1,529","238,911",,
"May 15, 2023","1,544","239,098",,
"May 16, 2023","1,554","239,319",,
"May 17, 2023","1,575","239,603",,
"May 18, 2023","1,579","239,759",,
"May 19, 2023","1,583","239,932",,
"May 20, 2023","1,594","240,150",,
"May 21, 2023","1,608","240,311",,
"May 22, 2023","1,616","241,140",,
"May 23, 2023","1,628","242,608",,
"May 24, 2023","1,630","241,167",,
"May 25, 2023","1,636","242,733",,
"May 26, 2023","1,650","242,987",,
"May 27, 2023","1,658","243,273",,
"May 28, 2023","1,668","243,428",,
"May 29, 2023","1,678","243,546",,
Invalid date,,,,
