"DateTime","Spotify Streams","Change"
"2023-05-14 00:00:00",6301572,12681
"2023-05-13 00:00:00",6288891,13198
"2023-05-12 00:00:00",6275693,13198
"2023-05-11 00:00:00",6262495,12810
"2023-05-10 00:00:00",6249685,13048
"2023-05-09 00:00:00",6236637,0
"2023-05-08 00:00:00",6236637,24057
"2023-05-07 00:00:00",6212580,13788
"2023-05-06 00:00:00",6198792,0
"2023-05-05 00:00:00",6198792,27300
"2023-05-04 00:00:00",6171492,13581
"2023-05-03 00:00:00",6157911,13259
"2023-05-02 00:00:00",6144652,13086
"2023-05-01 00:00:00",6131566,13086
"2023-04-30 00:00:00",6118480,13086
"2023-04-29 00:00:00",6105394,13760
"2023-04-28 00:00:00",6091635,13760
"2023-04-27 00:00:00",6077875,13224
"2023-04-26 00:00:00",6064651,12661
"2023-04-25 00:00:00",6051990,12661
"2023-04-24 00:00:00",6039329,13138
"2023-04-23 00:00:00",6026191,13933
"2023-04-22 00:00:00",6012258,14106
"2023-04-21 00:00:00",5998152,13984
"2023-04-20 00:00:00",5984169,13984
"2023-04-19 00:00:00",5970185,14242
"2023-04-18 00:00:00",5955943,12369
"2023-04-17 00:00:00",5943574,13256
"2023-04-16 00:00:00",5930318,14560
"2023-04-15 00:00:00",5915758,14665
"2023-04-14 00:00:00",5901093,14506
"2023-04-13 00:00:00",5886587,14504
"2023-04-12 00:00:00",5872083,14401
"2023-04-11 00:00:00",5857682,13294
"2023-04-10 00:00:00",5844388,15020
"2023-04-09 00:00:00",5829368,15520
"2023-04-08 00:00:00",5813848,15729
"2023-04-07 00:00:00",5798119,15881
"2023-04-06 00:00:00",5782238,15558
"2023-04-05 00:00:00",5766680,15722
"2023-04-04 00:00:00",5750958,13911
"2023-04-03 00:00:00",5737047,14483
"2023-04-02 00:00:00",5722564,15551
"2023-04-01 00:00:00",5707013,15293
"2023-03-31 00:00:00",5691720,14221
"2023-03-30 00:00:00",5677499,14161
"2023-03-29 00:00:00",5663338,14015
"2023-03-28 00:00:00",5649323,13170
"2023-03-27 00:00:00",5636153,13571
"2023-03-26 00:00:00",5622582,14234
"2023-03-25 00:00:00",5608348,14616
"2023-03-24 00:00:00",5593732,14924
"2023-03-23 00:00:00",5578808,14881
"2023-03-22 00:00:00",5563927,14956
"2023-03-21 00:00:00",5548971,13557
"2023-03-20 00:00:00",5535414,14518
"2023-03-19 00:00:00",5520896,15048
"2023-03-18 00:00:00",5505848,14677
"2023-03-17 00:00:00",5491171,14917
"2023-03-16 00:00:00",5476254,14892
"2023-03-15 00:00:00",5461362,14550
"2023-03-14 00:00:00",5446812,0
"2023-03-13 00:00:00",5446812,13624
"2023-03-12 00:00:00",5433188,29322
"2023-03-11 00:00:00",5403866,14802
"2023-03-10 00:00:00",5389064,14198
"2023-03-09 00:00:00",5374866,13960
"2023-03-08 00:00:00",5360906,14088
"2023-03-07 00:00:00",5346818,12570
"2023-03-06 00:00:00",5334248,13672
"2023-03-05 00:00:00",5320576,14629
"2023-03-04 00:00:00",5305947,14740
"2023-03-03 00:00:00",5291207,14350
"2023-03-02 00:00:00",5276857,14628
"2023-03-01 00:00:00",5262229,14361
"2023-02-28 00:00:00",5247868,12966
"2023-02-27 00:00:00",5234902,13398
"2023-02-26 00:00:00",5221504,14221
"2023-02-25 00:00:00",5207283,14170
"2023-02-24 00:00:00",5193113,14094
"2023-02-23 00:00:00",5179019,14702
"2023-02-22 00:00:00",5164317,13790
"2023-02-21 00:00:00",5150527,12879
"2023-02-20 00:00:00",5137648,13594
"2023-02-19 00:00:00",5124054,14310
"2023-02-18 00:00:00",5109744,14567
"2023-02-17 00:00:00",5095177,14535
"2023-02-16 00:00:00",5080642,14617
"2023-02-15 00:00:00",5066025,13777
"2023-02-14 00:00:00",5052248,12990
"2023-02-13 00:00:00",5039258,13811
"2023-02-12 00:00:00",5025447,15018
"2023-02-11 00:00:00",5010429,14999
"2023-02-10 00:00:00",4995430,14873
"2023-02-09 00:00:00",4980557,14538
"2023-02-08 00:00:00",4966019,14935
"2023-02-07 00:00:00",4951084,13266
"2023-02-06 00:00:00",4937818,14118
"2023-02-05 00:00:00",4923700,15279
"2023-02-04 00:00:00",4908421,15334
"2023-02-03 00:00:00",4893087,0
"2023-02-02 00:00:00",4893087,31303
"2023-02-01 00:00:00",4861784,15247
"2023-01-31 00:00:00",4846537,13641
"2023-01-30 00:00:00",4832896,14366
"2023-01-29 00:00:00",4818530,15962
"2023-01-28 00:00:00",4802568,0
"2023-01-27 00:00:00",4802568,32625
"2023-01-26 00:00:00",4769943,16354
"2023-01-25 00:00:00",4753589,16200
"2023-01-24 00:00:00",4737389,14323
"2023-01-23 00:00:00",4723066,15205
"2023-01-22 00:00:00",4707861,16820
"2023-01-21 00:00:00",4691041,17401
"2023-01-20 00:00:00",4673640,17437
"2023-01-19 00:00:00",4656203,17280
"2023-01-18 00:00:00",4638923,16020
"2023-01-17 00:00:00",4622903,14732
"2023-01-16 00:00:00",4608171,14720
"2023-01-15 00:00:00",4593451,17790
"2023-01-14 00:00:00",4575661,17006
"2023-01-13 00:00:00",4558655,16973
"2023-01-12 00:00:00",4541682,16835
"2023-01-11 00:00:00",4524847,17565
"2023-01-10 00:00:00",4507282,0
"2023-01-09 00:00:00",4507282,30770
"2023-01-08 00:00:00",4476512,17272
"2023-01-07 00:00:00",4459240,17754
"2023-01-06 00:00:00",4441486,17364
"2023-01-05 00:00:00",4424122,0
"2023-01-04 00:00:00",4424122,33748
"2023-01-03 00:00:00",4390374,0
"2023-01-02 00:00:00",4390374,31113
"2023-01-01 00:00:00",4359261,17249
"2022-12-31 00:00:00",4342012,17402
"2022-12-30 00:00:00",4324610,17616
"2022-12-29 00:00:00",4306994,17890
"2022-12-28 00:00:00",4289104,16496
"2022-12-27 00:00:00",4272608,15236
"2022-12-26 00:00:00",4257372,16661
"2022-12-25 00:00:00",4240711,17475
"2022-12-24 00:00:00",4223236,18565
"2022-12-23 00:00:00",4204671,18843
"2022-12-22 00:00:00",4185828,0
"2022-12-21 00:00:00",4185828,37442
"2022-12-20 00:00:00",4148386,16135
"2022-12-19 00:00:00",4132251,18050
"2022-12-18 00:00:00",4114201,19354
"2022-12-17 00:00:00",4094847,19574
"2022-12-16 00:00:00",4075273,18777
"2022-12-15 00:00:00",4056496,19759
"2022-12-14 00:00:00",4036737,21049
"2022-12-13 00:00:00",4015688,17835
"2022-12-12 00:00:00",3997853,16472
"2022-12-11 00:00:00",3981381,17902
"2022-12-10 00:00:00",3963479,19069
"2022-12-09 00:00:00",3944410,19447
"2022-12-08 00:00:00",3924963,18819
"2022-12-07 00:00:00",3906144,19251
"2022-12-06 00:00:00",3886893,18352
"2022-12-05 00:00:00",3868541,18352
"2022-12-04 00:00:00",3850189,18352
"2022-12-03 00:00:00",3831836,18352
"2022-12-02 00:00:00",3813484,18352
"2022-12-01 00:00:00",3795132,18139
"2022-11-30 00:00:00",3776993,17919
"2022-11-29 00:00:00",3759074,16286
"2022-11-28 00:00:00",3742788,16543
"2022-11-27 00:00:00",3726245,16238
"2022-11-26 00:00:00",3710007,18007
"2022-11-25 00:00:00",3692000,20017
"2022-11-24 00:00:00",3671983,19679
"2022-11-23 00:00:00",3652304,19557
"2022-11-22 00:00:00",3632747,17952
"2022-11-21 00:00:00",3614795,18546
"2022-11-20 00:00:00",3596249,20087
"2022-11-19 00:00:00",3576162,21034
"2022-11-18 00:00:00",3555128,20844
"2022-11-17 00:00:00",3534284,20348
"2022-11-16 00:00:00",3513936,20485
"2022-11-15 00:00:00",3493451,17880
"2022-11-14 00:00:00",3475571,18931
"2022-11-13 00:00:00",3456640,21452
"2022-11-12 00:00:00",3435188,21324
"2022-11-11 00:00:00",3413864,21457
"2022-11-10 00:00:00",3392407,20973
"2022-11-09 00:00:00",3371434,20135
"2022-11-08 00:00:00",3351299,18616
"2022-11-07 00:00:00",3332683,18841
"2022-11-06 00:00:00",3313842,20234
"2022-11-05 00:00:00",3293608,21736
"2022-11-04 00:00:00",3271872,21020
"2022-11-03 00:00:00",3250852,19738
"2022-11-02 00:00:00",3231114,19876
"2022-11-01 00:00:00",3211238,17716
"2022-10-31 00:00:00",3193522,19348
"2022-10-30 00:00:00",3174174,21268
"2022-10-29 00:00:00",3152906,21675
