"DateTime","Spotify Streams","Change"
"2023-05-14 00:00:00",3055490,3838
"2023-05-13 00:00:00",3051652,4014
"2023-05-12 00:00:00",3047638,4014
"2023-05-11 00:00:00",3043624,3941
"2023-05-10 00:00:00",3039683,3818
"2023-05-09 00:00:00",3035865,0
"2023-05-08 00:00:00",3035865,8201
"2023-05-07 00:00:00",3027664,4254
"2023-05-06 00:00:00",3023410,0
"2023-05-05 00:00:00",3023410,8549
"2023-05-04 00:00:00",3014861,4208
"2023-05-03 00:00:00",3010653,4081
"2023-05-02 00:00:00",3006572,4406
"2023-05-01 00:00:00",3002166,4406
"2023-04-30 00:00:00",2997761,4406
"2023-04-29 00:00:00",2993355,4209
"2023-04-28 00:00:00",2989147,4209
"2023-04-27 00:00:00",2984938,4053
"2023-04-26 00:00:00",2980885,4294
"2023-04-25 00:00:00",2976592,4294
"2023-04-24 00:00:00",2972298,4470
"2023-04-23 00:00:00",2967828,4376
"2023-04-22 00:00:00",2963452,4420
"2023-04-21 00:00:00",2959032,4305
"2023-04-20 00:00:00",2954727,4305
"2023-04-19 00:00:00",2950422,4419
"2023-04-18 00:00:00",2946003,4179
"2023-04-17 00:00:00",2941824,4539
"2023-04-16 00:00:00",2937285,4606
"2023-04-15 00:00:00",2932679,4704
"2023-04-14 00:00:00",2927975,4498
"2023-04-13 00:00:00",2923477,4553
"2023-04-12 00:00:00",2918924,4845
"2023-04-11 00:00:00",2914079,4641
"2023-04-10 00:00:00",2909438,5211
"2023-04-09 00:00:00",2904227,5510
"2023-04-08 00:00:00",2898717,5632
"2023-04-07 00:00:00",2893085,5533
"2023-04-06 00:00:00",2887552,5220
"2023-04-05 00:00:00",2882332,5317
"2023-04-04 00:00:00",2877015,5021
"2023-04-03 00:00:00",2871994,5262
"2023-04-02 00:00:00",2866732,5344
"2023-04-01 00:00:00",2861388,4992
"2023-03-31 00:00:00",2856396,4708
"2023-03-30 00:00:00",2851688,4604
"2023-03-29 00:00:00",2847084,4466
"2023-03-28 00:00:00",2842618,4540
"2023-03-27 00:00:00",2838078,4823
"2023-03-26 00:00:00",2833255,4561
"2023-03-25 00:00:00",2828694,4779
"2023-03-24 00:00:00",2823915,4659
"2023-03-23 00:00:00",2819256,4647
"2023-03-22 00:00:00",2814609,4850
"2023-03-21 00:00:00",2809759,4850
"2023-03-20 00:00:00",2804909,5130
"2023-03-19 00:00:00",2799779,5220
"2023-03-18 00:00:00",2794559,5119
"2023-03-17 00:00:00",2789440,5049
"2023-03-16 00:00:00",2784391,5123
"2023-03-15 00:00:00",2779268,5267
"2023-03-14 00:00:00",2774001,0
"2023-03-13 00:00:00",2774001,5406
"2023-03-12 00:00:00",2768595,10058
"2023-03-11 00:00:00",2758537,4791
"2023-03-10 00:00:00",2753746,4518
"2023-03-09 00:00:00",2749228,4574
"2023-03-08 00:00:00",2744654,4504
"2023-03-07 00:00:00",2740150,4400
"2023-03-06 00:00:00",2735750,4939
"2023-03-05 00:00:00",2730811,4791
"2023-03-04 00:00:00",2726020,4680
"2023-03-03 00:00:00",2721340,4659
"2023-03-02 00:00:00",2716681,4587
"2023-03-01 00:00:00",2712094,4903
"2023-02-28 00:00:00",2707191,4610
"2023-02-27 00:00:00",2702581,4850
"2023-02-26 00:00:00",2697731,5326
"2023-02-25 00:00:00",2692405,4777
"2023-02-24 00:00:00",2687628,4777
"2023-02-23 00:00:00",2682851,4957
"2023-02-22 00:00:00",2677894,4950
"2023-02-21 00:00:00",2672944,4788
"2023-02-20 00:00:00",2668156,4769
"2023-02-19 00:00:00",2663387,5111
"2023-02-18 00:00:00",2658276,4858
"2023-02-17 00:00:00",2653418,4810
"2023-02-16 00:00:00",2648608,4914
"2023-02-15 00:00:00",2643694,4746
"2023-02-14 00:00:00",2638948,4968
"2023-02-13 00:00:00",2633980,5117
"2023-02-12 00:00:00",2628863,5067
"2023-02-11 00:00:00",2623796,5045
"2023-02-10 00:00:00",2618751,5022
"2023-02-09 00:00:00",2613729,4916
"2023-02-08 00:00:00",2608813,5179
"2023-02-07 00:00:00",2603634,5210
"2023-02-06 00:00:00",2598424,5319
"2023-02-05 00:00:00",2593105,5590
"2023-02-04 00:00:00",2587515,5927
"2023-02-03 00:00:00",2581588,0
"2023-02-02 00:00:00",2581588,12436
"2023-02-01 00:00:00",2569152,5925
"2023-01-31 00:00:00",2563227,5878
"2023-01-30 00:00:00",2557349,6042
"2023-01-29 00:00:00",2551307,5870
"2023-01-28 00:00:00",2545437,0
"2023-01-27 00:00:00",2545437,11939
"2023-01-26 00:00:00",2533498,5795
"2023-01-25 00:00:00",2527703,5907
"2023-01-24 00:00:00",2521796,5875
"2023-01-23 00:00:00",2515921,5861
"2023-01-22 00:00:00",2510060,5904
"2023-01-21 00:00:00",2504156,6129
"2023-01-20 00:00:00",2498027,6139
"2023-01-19 00:00:00",2491888,6347
"2023-01-18 00:00:00",2485541,6414
"2023-01-17 00:00:00",2479127,5933
"2023-01-16 00:00:00",2473194,5668
"2023-01-15 00:00:00",2467526,6533
"2023-01-14 00:00:00",2460993,6203
"2023-01-13 00:00:00",2454790,6393
"2023-01-12 00:00:00",2448397,6210
"2023-01-11 00:00:00",2442187,6440
"2023-01-10 00:00:00",2435747,0
"2023-01-09 00:00:00",2435747,12756
"2023-01-08 00:00:00",2422991,6353
"2023-01-07 00:00:00",2416638,6838
"2023-01-06 00:00:00",2409800,6704
"2023-01-05 00:00:00",2403096,0
"2023-01-04 00:00:00",2403096,13977
"2023-01-03 00:00:00",2389119,0
"2023-01-02 00:00:00",2389119,13068
"2023-01-01 00:00:00",2376051,7297
"2022-12-31 00:00:00",2368754,7604
"2022-12-30 00:00:00",2361150,7689
"2022-12-29 00:00:00",2353461,7643
"2022-12-28 00:00:00",2345818,6759
"2022-12-27 00:00:00",2339059,6470
"2022-12-26 00:00:00",2332589,6930
"2022-12-25 00:00:00",2325659,7483
"2022-12-24 00:00:00",2318176,7660
"2022-12-23 00:00:00",2310516,7444
