Date,Playlist Count,Playlist Total Reach,Editorial Playlist Count,Editorial Playlist Total Reach
"Aug 13, 2022","1,017","366,144",,
"Aug 14, 2022","1,122","394,658",,
"Aug 15, 2022","1,219","399,476",1,675
"Aug 16, 2022","1,271","403,251",1,675
"Aug 17, 2022","1,333","408,952",1,675
"Aug 18, 2022","1,386","410,890",1,675
"Aug 19, 2022","1,419","409,307",1,675
"Aug 20, 2022","1,441","405,094",1,675
"Aug 21, 2022","1,462","379,704",1,675
"Aug 22, 2022","1,480","380,130",1,675
"Aug 23, 2022","1,503","381,422",1,675
"Aug 24, 2022","1,521","381,968",1,675
"Aug 25, 2022","1,543","355,422",1,675
"Aug 26, 2022","1,571","431,817",1,675
"Aug 27, 2022","1,586","431,562",1,675
"Aug 28, 2022","1,599","429,489",1,675
"Aug 29, 2022","1,609","428,652",1,675
"Aug 30, 2022","1,616","429,752",1,675
"Aug 31, 2022","1,630","429,908",1,675
"Sep 01, 2022","1,636","430,043",1,675
"Sep 02, 2022","1,645","430,094",1,675
"Sep 03, 2022","1,653","430,250",1,675
"Sep 04, 2022","1,659","430,217",1,675
"Sep 05, 2022","1,667","430,276",1,675
"Sep 06, 2022","1,672","431,001",1,675
"Sep 07, 2022","1,684","431,257",1,675
"Sep 08, 2022","1,690","431,361",1,675
"Sep 09, 2022","1,701","431,573",1,675
"Sep 10, 2022","1,709","432,120",1,675
"Sep 11, 2022","1,715","432,318",1,675
"Sep 12, 2022","1,719","432,480",1,675
"Sep 13, 2022","1,724","432,552",1,675
"Sep 14, 2022","1,729","432,595",1,675
"Sep 15, 2022","1,731","431,321",1,675
"Sep 16, 2022","1,737","439,691",1,675
"Sep 17, 2022","1,744","439,925",1,675
"Sep 18, 2022","1,749","440,159",1,675
"Sep 19, 2022","1,748","440,389",1,675
"Sep 20, 2022","1,753","440,737",1,675
"Sep 21, 2022","1,758","440,901",1,675
"Sep 22, 2022","1,763","441,268",1,675
"Sep 23, 2022","1,772","442,520",1,675
"Sep 24, 2022","1,777","442,884",1,675
"Sep 25, 2022","1,783","443,160",1,675
"Sep 26, 2022","1,789","443,372",1,675
"Sep 27, 2022","1,793","443,882",1,675
"Sep 28, 2022","1,797","444,133",1,675
"Sep 29, 2022","1,802","444,316",1,675
"Sep 30, 2022","1,810","444,526",1,675
"Oct 01, 2022","1,814","444,727",1,675
"Oct 02, 2022","1,820","444,907",1,675
"Oct 03, 2022","1,827","445,175",1,675
"Oct 04, 2022","1,832","445,467",1,675
"Oct 05, 2022","1,841","446,144",1,675
"Oct 06, 2022","1,843","446,382",1,675
"Oct 07, 2022","1,850","446,610",1,675
"Oct 08, 2022","1,875","446,180",1,675
"Oct 09, 2022","1,883","446,438",1,675
"Oct 10, 2022","1,893","446,724",1,675
"Oct 11, 2022","1,897","446,966",1,675
"Oct 12, 2022","1,904","447,231",1,675
"Oct 13, 2022","1,911","447,400",1,675
"Oct 14, 2022","1,915","447,641",1,675
"Oct 15, 2022","1,923","448,803",1,675
"Oct 16, 2022","1,927","448,946",1,675
"Oct 17, 2022","1,930","449,113",1,675
"Oct 18, 2022","1,933","449,274",1,675
"Oct 19, 2022","1,938","449,452",1,675
"Oct 20, 2022","1,945","452,478",1,675
"Oct 21, 2022","1,953","452,728",1,675
"Oct 22, 2022","1,957","453,001",1,675
"Oct 23, 2022","1,961","453,309",1,675
"Oct 24, 2022","1,965","453,533",1,675
"Oct 25, 2022","1,966","453,697",1,675
"Oct 26, 2022","1,971","454,096",1,675
"Oct 27, 2022","1,973","454,273",1,675
"Oct 28, 2022","1,975","455,000",1,675
"Oct 29, 2022","1,978","455,125",1,675
"Oct 30, 2022","1,979","455,236",1,675
"Oct 31, 2022","1,980","455,412",1,675
"Nov 01, 2022","1,981","456,458",1,675
"Nov 02, 2022","1,986","456,820",1,675
"Nov 03, 2022","1,991","465,132",1,675
"Nov 04, 2022","1,997","465,083",1,675
"Nov 05, 2022","1,996","465,262",1,675
"Nov 06, 2022","1,999","465,852",1,675
"Nov 07, 2022","2,001","465,965",1,675
"Nov 08, 2022","2,008","466,106",1,675
"Nov 09, 2022","2,010","466,425",1,675
"Nov 10, 2022","2,015","466,610",1,675
"Nov 11, 2022","2,020","466,991",1,674
"Nov 12, 2022","2,022","467,269",1,674
"Nov 13, 2022","2,022","476,770",1,674
"Nov 14, 2022","2,025","476,846",1,674
"Nov 15, 2022","2,029","476,966",1,674
"Nov 16, 2022","2,029","476,985",1,674
"Nov 17, 2022","2,030","473,571",1,674
"Nov 18, 2022","1,994","473,262",1,674
"Nov 19, 2022","1,996","454,482",1,674
"Nov 20, 2022","2,006","455,235",1,674
"Nov 21, 2022","2,017","453,987",1,674
"Nov 22, 2022","2,026","456,669",1,674
"Nov 23, 2022","2,031","457,754",1,674
"Nov 24, 2022","2,037","458,248",1,674
"Nov 25, 2022","2,044","459,109",1,674
"Nov 26, 2022","2,047","454,857",1,674
"Nov 27, 2022","2,050","459,224",1,674
"Nov 28, 2022","2,061","459,751",1,674
"Nov 29, 2022","2,071","461,045",1,674
"Nov 30, 2022","2,076","461,294",1,674
"Dec 01, 2022","2,078","459,924",1,674
"Dec 02, 2022","2,086","461,802",1,674
"Dec 03, 2022","2,063","461,328",1,674
"Dec 04, 2022","2,051","453,055",1,674
"Dec 05, 2022","2,022","451,816",1,674
"Dec 06, 2022","2,025","452,714",1,673
"Dec 07, 2022","2,004","452,398",1,673
"Dec 08, 2022","1,999","450,374",1,673
"Dec 09, 2022","1,995","449,958",1,673
"Dec 10, 2022","1,994","459,145",1,673
"Dec 11, 2022","1,990","297,574",1,673
"Dec 12, 2022","1,988","459,815",1,673
"Dec 13, 2022","1,993","456,623",1,673
"Dec 14, 2022","1,991","455,254",1,673
"Dec 15, 2022","1,991","451,991",1,673
"Dec 16, 2022","1,994","450,475",1,673
"Dec 17, 2022","1,998","447,903",1,673
"Dec 18, 2022","2,018","446,166",1,673
"Dec 19, 2022","2,030","459,230",1,673
"Dec 20, 2022","2,031","294,165",1,672
"Dec 21, 2022","2,037","296,146",1,672
"Dec 22, 2022","2,034","291,317",1,672
"Dec 23, 2022","2,034","300,417",1,672
"Dec 24, 2022","2,012","292,959",1,672
"Dec 25, 2022","1,981","296,778",1,672
"Dec 26, 2022","1,962","292,961",1,672
"Dec 27, 2022","1,950","297,476",1,672
"Dec 28, 2022","1,925","292,507",1,672
"Dec 29, 2022","1,894","280,996",1,672
"Dec 30, 2022","1,873","293,143",1,672
"Dec 31, 2022","1,845","286,312",1,672
"Jan 01, 2023","1,822","283,482",1,672
"Jan 02, 2023","1,848","299,462",1,672
"Jan 03, 2023","1,826","455,321",1,672
"Jan 04, 2023","1,814","442,772",1,672
"Jan 05, 2023","1,780","428,067",1,672
"Jan 06, 2023","1,758","424,527",1,672
"Jan 07, 2023","1,758","424,521",1,672
"Jan 08, 2023","1,759","424,504",1,672
"Jan 09, 2023","1,759","190,671",1,671
"Jan 10, 2023","1,781","219,014",1,671
"Jan 11, 2023","1,805","398,667",1,671
"Jan 12, 2023","1,814","471,943",1,671
"Jan 13, 2023","1,819","473,861",1,671
"Jan 14, 2023","1,826","474,898",1,671
"Jan 15, 2023","1,837","475,809",1,671
"Jan 16, 2023","2,524","485,087",1,671
"Jan 17, 2023","2,526","485,327",1,671
"Jan 18, 2023","2,526","485,428",1,671
"Jan 19, 2023","2,529","485,515",1,671
"Jan 20, 2023","2,527","485,736",1,671
"Jan 21, 2023","2,527","485,789",1,671
"Jan 22, 2023","2,528","485,878",1,671
"Jan 23, 2023","2,531","486,123",1,671
"Jan 24, 2023","2,529","486,132",1,671
"Jan 25, 2023","2,531","486,186",1,671
"Jan 26, 2023","2,534","486,260",1,671
"Jan 27, 2023","2,534","486,226",1,671
"Jan 28, 2023","2,535","486,314",1,671
"Jan 29, 2023","2,536","486,538",1,671
"Jan 30, 2023","2,538","486,563",1,670
"Jan 31, 2023","2,538","486,608",1,670
"Feb 01, 2023","2,540","488,443",1,670
"Feb 02, 2023","2,541","488,519",1,670
"Feb 03, 2023","2,541","488,548",1,670
"Feb 04, 2023","2,539","488,642",1,670
"Feb 05, 2023","2,538","488,682",1,670
"Feb 06, 2023","2,539","488,766",1,670
"Feb 07, 2023","2,538","488,895",1,670
"Feb 08, 2023","2,542","515,260",1,670
"Feb 09, 2023","2,542","515,525",1,670
"Feb 10, 2023","2,543","515,937",1,670
"Feb 11, 2023","2,543","516,132",1,670
"Feb 12, 2023","2,544","516,357",1,670
"Feb 13, 2023","2,546","516,633",1,670
"Feb 14, 2023","2,546","516,851",1,670
"Feb 15, 2023","2,548","519,167",1,670
"Feb 16, 2023","2,548","519,563",1,670
"Feb 17, 2023","2,548","519,910",1,670
"Feb 18, 2023","2,547","520,347",1,670
"Feb 19, 2023","2,547","520,792",1,670
"Feb 20, 2023","2,546","521,015",1,670
"Feb 21, 2023","2,547","521,691",1,670
"Feb 22, 2023","2,546","522,089",1,669
"Feb 23, 2023","2,543","522,419",1,669
"Feb 24, 2023","2,540","522,918",1,669
"Feb 25, 2023","2,538","523,385",1,669
"Feb 26, 2023","2,538","524,024",1,669
"Feb 27, 2023","2,538","524,520",1,669
"Mar 01, 2023","2,535","525,225",1,669
"Mar 02, 2023","2,537","525,565",1,669
"Mar 03, 2023","2,539","526,125",1,669
"Mar 04, 2023","2,552","526,674",1,669
"Mar 05, 2023","2,559","527,151",1,669
"Mar 06, 2023","2,561","525,418",1,669
"Mar 07, 2023","2,569","525,872",1,669
"Mar 08, 2023","2,572","527,203",1,669
"Mar 09, 2023","2,574","527,659",1,669
"Mar 10, 2023","2,577","528,161",1,669
"Mar 11, 2023","2,581","528,564",1,669
"Mar 12, 2023","2,585","529,000",1,669
"Mar 13, 2023","2,586","529,413",1,669
"Mar 14, 2023","2,587","530,257",1,669
"Mar 15, 2023","2,588","530,975",1,669
"Mar 16, 2023","2,585","526,696",1,669
"Mar 17, 2023","2,590","532,126",1,669
"Mar 18, 2023","2,591","532,587",1,669
"Mar 19, 2023","2,592","533,196",1,668
"Mar 20, 2023","2,592","533,658",1,668
"Mar 21, 2023","2,594","534,209",1,668
"Mar 22, 2023","2,598","534,726",1,668
"Mar 23, 2023","2,602","535,546",1,668
"Mar 24, 2023","2,606","535,977",1,668
"Mar 25, 2023","2,611","536,604",1,668
"Mar 26, 2023","2,615","537,071",1,668
"Mar 27, 2023","2,618","537,489",1,668
"Mar 28, 2023","2,618","537,860",1,668
"Mar 29, 2023","2,626","538,314",1,668
"Mar 30, 2023","2,633","538,690",1,668
"Mar 31, 2023","2,638","539,176",1,668
"Apr 01, 2023","2,645","539,885",1,668
"Apr 02, 2023","2,652","541,120",1,668
"Apr 03, 2023","2,656","541,660",1,668
"Apr 04, 2023","2,660","542,287",1,668
"Apr 05, 2023","2,661","542,776",1,668
"Apr 06, 2023","2,662","543,189",1,668
"Apr 07, 2023","2,666","543,763",1,668
"Apr 08, 2023","2,669","544,257",1,668
"Apr 09, 2023","2,681","544,736",1,668
"Apr 10, 2023","2,683","545,101",1,668
"Apr 11, 2023","2,687","545,438",1,668
"Apr 12, 2023","2,696","545,777",1,668
"Apr 13, 2023","2,699","546,224",1,668
"Apr 14, 2023","2,700","546,541",1,668
"Apr 15, 2023","2,700","547,010",1,668
"Apr 16, 2023","2,704","535,797",1,668
"Apr 17, 2023","2,712","536,370",1,668
"Apr 18, 2023","2,714","536,737",1,668
"Apr 19, 2023","2,719","537,129",1,668
"Apr 20, 2023","2,722","537,533",1,668
"Apr 21, 2023","2,734","539,400",1,668
"Apr 22, 2023","2,741","539,764",1,668
"Apr 23, 2023","2,748","540,147",1,668
"Apr 24, 2023","2,754","541,031",1,668
"Apr 25, 2023","2,759","541,436",1,668
"Apr 26, 2023","2,764","541,831",1,668
"Apr 27, 2023","2,774","542,212",1,668
"Apr 28, 2023","2,789","542,980",1,668
"Apr 29, 2023","2,795","543,355",1,668
"Apr 30, 2023","2,800","543,697",1,668
"May 01, 2023","2,804","544,067",1,668
"May 02, 2023","2,807","544,410",1,668
"May 03, 2023","2,809","544,732",1,668
"May 04, 2023","2,812","545,085",1,668
"May 05, 2023","2,819","545,474",1,668
"May 06, 2023","2,829","545,327",1,668
"May 07, 2023","2,837","545,685",1,668
"May 08, 2023","2,843","546,122",1,668
"May 09, 2023","2,852","549,069",1,668
"May 10, 2023","2,859","549,487",1,668
"May 11, 2023","2,861","549,904",1,668
"May 12, 2023","2,863","550,324",1,668
"May 13, 2023","2,867","550,664",1,668
"May 14, 2023","2,873","551,018",1,668
"May 15, 2023","2,882","551,401",1,668
Invalid date,,,,
