"DateTime","Spotify Streams","Change"
"2023-05-14 00:00:00",6607642,11894
"2023-05-13 00:00:00",6595748,12005
"2023-05-12 00:00:00",6583744,12005
"2023-05-11 00:00:00",6571739,12185
"2023-05-10 00:00:00",6559554,11670
"2023-05-09 00:00:00",6547884,0
"2023-05-08 00:00:00",6547884,21829
"2023-05-07 00:00:00",6526055,12537
"2023-05-06 00:00:00",6513518,0
"2023-05-05 00:00:00",6513518,25227
"2023-05-04 00:00:00",6488291,12413
"2023-05-03 00:00:00",6475878,12326
"2023-05-02 00:00:00",6463552,11732
"2023-05-01 00:00:00",6451820,11732
"2023-04-30 00:00:00",6440089,11732
"2023-04-29 00:00:00",6428357,12585
"2023-04-28 00:00:00",6415773,12585
"2023-04-27 00:00:00",6403188,12235
"2023-04-26 00:00:00",6390953,11874
"2023-04-25 00:00:00",6379080,11874
"2023-04-24 00:00:00",6367206,11869
"2023-04-23 00:00:00",6355337,13032
"2023-04-22 00:00:00",6342305,13358
"2023-04-21 00:00:00",6328947,13049
"2023-04-20 00:00:00",6315899,13049
"2023-04-19 00:00:00",6302850,12627
"2023-04-18 00:00:00",6290223,11274
"2023-04-17 00:00:00",6278949,12006
"2023-04-16 00:00:00",6266943,13612
"2023-04-15 00:00:00",6253331,13514
"2023-04-14 00:00:00",6239817,13079
"2023-04-13 00:00:00",6226738,13671
"2023-04-12 00:00:00",6213067,13620
"2023-04-11 00:00:00",6199447,12130
"2023-04-10 00:00:00",6187317,13714
"2023-04-09 00:00:00",6173603,14464
"2023-04-08 00:00:00",6159139,15273
"2023-04-07 00:00:00",6143866,14790
"2023-04-06 00:00:00",6129076,14405
"2023-04-05 00:00:00",6114671,14237
"2023-04-04 00:00:00",6100434,12899
"2023-04-03 00:00:00",6087535,13576
"2023-04-02 00:00:00",6073959,14843
"2023-04-01 00:00:00",6059116,14532
"2023-03-31 00:00:00",6044584,13649
"2023-03-30 00:00:00",6030935,13530
"2023-03-29 00:00:00",6017405,13495
"2023-03-28 00:00:00",6003910,11962
"2023-03-27 00:00:00",5991948,12691
"2023-03-26 00:00:00",5979257,13542
"2023-03-25 00:00:00",5965715,13513
"2023-03-24 00:00:00",5952202,13728
"2023-03-23 00:00:00",5938474,13845
"2023-03-22 00:00:00",5924629,13911
"2023-03-21 00:00:00",5910718,12572
"2023-03-20 00:00:00",5898146,13368
"2023-03-19 00:00:00",5884778,13999
"2023-03-18 00:00:00",5870779,14199
"2023-03-17 00:00:00",5856580,14152
"2023-03-16 00:00:00",5842428,13993
"2023-03-15 00:00:00",5828435,13828
"2023-03-14 00:00:00",5814607,0
"2023-03-13 00:00:00",5814607,12793
"2023-03-12 00:00:00",5801814,27275
"2023-03-11 00:00:00",5774539,14027
"2023-03-10 00:00:00",5760512,13783
"2023-03-09 00:00:00",5746729,13589
"2023-03-08 00:00:00",5733140,13534
"2023-03-07 00:00:00",5719606,12055
"2023-03-06 00:00:00",5707551,12669
"2023-03-05 00:00:00",5694882,14065
"2023-03-04 00:00:00",5680817,14360
"2023-03-03 00:00:00",5666457,14005
"2023-03-02 00:00:00",5652452,13966
"2023-03-01 00:00:00",5638486,13957
"2023-02-28 00:00:00",5624529,12479
"2023-02-27 00:00:00",5612050,12570
"2023-02-26 00:00:00",5599480,13819
"2023-02-25 00:00:00",5585661,14108
"2023-02-24 00:00:00",5571553,14150
"2023-02-23 00:00:00",5557403,14383
"2023-02-22 00:00:00",5543020,13596
"2023-02-21 00:00:00",5529424,12557
"2023-02-20 00:00:00",5516867,13052
"2023-02-19 00:00:00",5503815,14726
"2023-02-18 00:00:00",5489089,14504
"2023-02-17 00:00:00",5474585,14637
"2023-02-16 00:00:00",5459948,14565
"2023-02-15 00:00:00",5445383,13824
"2023-02-14 00:00:00",5431559,13248
"2023-02-13 00:00:00",5418311,13543
"2023-02-12 00:00:00",5404768,15379
"2023-02-11 00:00:00",5389389,15287
"2023-02-10 00:00:00",5374102,15189
"2023-02-09 00:00:00",5358913,15076
"2023-02-08 00:00:00",5343837,15262
"2023-02-07 00:00:00",5328575,13346
"2023-02-06 00:00:00",5315229,14180
"2023-02-05 00:00:00",5301049,15786
"2023-02-04 00:00:00",5285263,16019
"2023-02-03 00:00:00",5269244,0
"2023-02-02 00:00:00",5269244,32476
"2023-02-01 00:00:00",5236768,16533
"2023-01-31 00:00:00",5220235,13705
"2023-01-30 00:00:00",5206530,14714
"2023-01-29 00:00:00",5191816,16765
"2023-01-28 00:00:00",5175051,0
"2023-01-27 00:00:00",5175051,33273
"2023-01-26 00:00:00",5141778,16799
"2023-01-25 00:00:00",5124979,16769
"2023-01-24 00:00:00",5108210,14733
"2023-01-23 00:00:00",5093477,15347
"2023-01-22 00:00:00",5078130,17325
"2023-01-21 00:00:00",5060805,17700
"2023-01-20 00:00:00",5043105,17879
"2023-01-19 00:00:00",5025226,18179
"2023-01-18 00:00:00",5007047,16656
"2023-01-17 00:00:00",4990391,15487
"2023-01-16 00:00:00",4974904,15618
"2023-01-15 00:00:00",4959286,18261
"2023-01-14 00:00:00",4941025,18301
"2023-01-13 00:00:00",4922724,18570
"2023-01-12 00:00:00",4904154,18760
"2023-01-11 00:00:00",4885394,18385
"2023-01-10 00:00:00",4867009,0
"2023-01-09 00:00:00",4867009,31998
"2023-01-08 00:00:00",4835011,17894
"2023-01-07 00:00:00",4817117,18611
"2023-01-06 00:00:00",4798506,18457
"2023-01-05 00:00:00",4780049,0
"2023-01-04 00:00:00",4780049,35648
"2023-01-03 00:00:00",4744401,0
"2023-01-02 00:00:00",4744401,32951
"2023-01-01 00:00:00",4711450,18473
"2022-12-31 00:00:00",4692977,18656
"2022-12-30 00:00:00",4674321,18794
"2022-12-29 00:00:00",4655527,18874
"2022-12-28 00:00:00",4636653,16841
"2022-12-27 00:00:00",4619812,15528
"2022-12-26 00:00:00",4604284,17204
"2022-12-25 00:00:00",4587080,18195
"2022-12-24 00:00:00",4568885,19423
"2022-12-23 00:00:00",4549462,19542
"2022-12-22 00:00:00",4529920,0
"2022-12-21 00:00:00",4529920,39077
"2022-12-20 00:00:00",4490843,17388
"2022-12-19 00:00:00",4473455,18923
"2022-12-18 00:00:00",4454532,20489
"2022-12-17 00:00:00",4434043,20613
"2022-12-16 00:00:00",4413430,20024
"2022-12-15 00:00:00",4393406,20483
"2022-12-14 00:00:00",4372923,20420
