"DateTime","Spotify Streams","Change"
"2023-05-14 00:00:00",6255843,9826
"2023-05-13 00:00:00",6246017,10188
"2023-05-12 00:00:00",6235829,10188
"2023-05-11 00:00:00",6225641,9966
"2023-05-10 00:00:00",6215675,9994
"2023-05-09 00:00:00",6205681,0
"2023-05-08 00:00:00",6205681,19105
"2023-05-07 00:00:00",6186576,10599
"2023-05-06 00:00:00",6175977,0
"2023-05-05 00:00:00",6175977,21363
"2023-05-04 00:00:00",6154614,10981
"2023-05-03 00:00:00",6143633,10793
"2023-05-02 00:00:00",6132840,10302
"2023-05-01 00:00:00",6122538,10302
"2023-04-30 00:00:00",6112236,10302
"2023-04-29 00:00:00",6101934,10717
"2023-04-28 00:00:00",6091217,10717
"2023-04-27 00:00:00",6080500,10384
"2023-04-26 00:00:00",6070116,10250
"2023-04-25 00:00:00",6059867,10250
"2023-04-24 00:00:00",6049617,10513
"2023-04-23 00:00:00",6039104,11103
"2023-04-22 00:00:00",6028001,11284
"2023-04-21 00:00:00",6016717,11032
"2023-04-20 00:00:00",6005686,11032
"2023-04-19 00:00:00",5994654,11156
"2023-04-18 00:00:00",5983498,9928
"2023-04-17 00:00:00",5973570,10877
"2023-04-16 00:00:00",5962693,11350
"2023-04-15 00:00:00",5951343,11461
"2023-04-14 00:00:00",5939882,11422
"2023-04-13 00:00:00",5928460,11530
"2023-04-12 00:00:00",5916930,11147
"2023-04-11 00:00:00",5905783,10505
"2023-04-10 00:00:00",5895278,11875
"2023-04-09 00:00:00",5883403,12742
"2023-04-08 00:00:00",5870661,13318
"2023-04-07 00:00:00",5857343,12775
"2023-04-06 00:00:00",5844568,12531
"2023-04-05 00:00:00",5832037,12578
"2023-04-04 00:00:00",5819459,11332
"2023-04-03 00:00:00",5808127,12096
"2023-04-02 00:00:00",5796031,12762
"2023-04-01 00:00:00",5783269,12157
"2023-03-31 00:00:00",5771112,11746
"2023-03-30 00:00:00",5759366,11433
"2023-03-29 00:00:00",5747933,11420
"2023-03-28 00:00:00",5736513,10453
"2023-03-27 00:00:00",5726060,11048
"2023-03-26 00:00:00",5715012,11616
"2023-03-25 00:00:00",5703396,11445
"2023-03-24 00:00:00",5691951,11876
"2023-03-23 00:00:00",5680075,11754
"2023-03-22 00:00:00",5668321,12344
"2023-03-21 00:00:00",5655977,11244
"2023-03-20 00:00:00",5644733,11793
"2023-03-19 00:00:00",5632940,12189
"2023-03-18 00:00:00",5620751,12075
"2023-03-17 00:00:00",5608676,12067
"2023-03-16 00:00:00",5596609,12054
"2023-03-15 00:00:00",5584555,11987
"2023-03-14 00:00:00",5572568,0
"2023-03-13 00:00:00",5572568,11184
"2023-03-12 00:00:00",5561384,23639
"2023-03-11 00:00:00",5537745,12003
"2023-03-10 00:00:00",5525742,11587
"2023-03-09 00:00:00",5514155,11489
"2023-03-08 00:00:00",5502666,11338
"2023-03-07 00:00:00",5491328,10207
"2023-03-06 00:00:00",5481121,11556
"2023-03-05 00:00:00",5469565,12283
"2023-03-04 00:00:00",5457282,12147
"2023-03-03 00:00:00",5445135,11687
"2023-03-02 00:00:00",5433448,11744
"2023-03-01 00:00:00",5421704,11910
"2023-02-28 00:00:00",5409794,10687
"2023-02-27 00:00:00",5399107,11518
"2023-02-26 00:00:00",5387589,12171
"2023-02-25 00:00:00",5375418,11944
"2023-02-24 00:00:00",5363474,12496
"2023-02-23 00:00:00",5350978,12388
"2023-02-22 00:00:00",5338590,11778
"2023-02-21 00:00:00",5326812,11195
"2023-02-20 00:00:00",5315617,11503
"2023-02-19 00:00:00",5304114,12474
"2023-02-18 00:00:00",5291640,12502
"2023-02-17 00:00:00",5279138,12400
"2023-02-16 00:00:00",5266738,12503
"2023-02-15 00:00:00",5254235,11692
"2023-02-14 00:00:00",5242543,11580
"2023-02-13 00:00:00",5230963,12014
"2023-02-12 00:00:00",5218949,12901
"2023-02-11 00:00:00",5206048,12709
"2023-02-10 00:00:00",5193339,12752
"2023-02-09 00:00:00",5180587,12800
"2023-02-08 00:00:00",5167787,13046
"2023-02-07 00:00:00",5154741,11849
"2023-02-06 00:00:00",5142892,12677
"2023-02-05 00:00:00",5130215,13989
"2023-02-04 00:00:00",5116226,14103
"2023-02-03 00:00:00",5102123,0
"2023-02-02 00:00:00",5102123,28001
"2023-02-01 00:00:00",5074122,14297
"2023-01-31 00:00:00",5059825,12611
"2023-01-30 00:00:00",5047214,13146
"2023-01-29 00:00:00",5034068,14469
"2023-01-28 00:00:00",5019599,0
"2023-01-27 00:00:00",5019599,28943
"2023-01-26 00:00:00",4990656,14690
"2023-01-25 00:00:00",4975966,14705
"2023-01-24 00:00:00",4961261,13240
"2023-01-23 00:00:00",4948021,13810
"2023-01-22 00:00:00",4934211,14932
"2023-01-21 00:00:00",4919279,15352
"2023-01-20 00:00:00",4903927,15258
