Date,Playlist Count,Playlist Total Reach,Editorial Playlist Count,Editorial Playlist Total Reach
"Aug 13, 2022","1,208","198,629",,
"Aug 14, 2022","1,343","209,610",,
"Aug 15, 2022","1,443","317,631",1,675
"Aug 16, 2022","1,493","319,940",1,675
"Aug 17, 2022","1,551","322,079",1,675
"Aug 18, 2022","1,589","323,533",1,675
"Aug 19, 2022","1,625","329,157",1,675
"Aug 20, 2022","1,649","324,903",1,675
"Aug 21, 2022","1,673","295,730",1,675
"Aug 22, 2022","1,693","305,653",1,675
"Aug 23, 2022","1,716","307,226",1,675
"Aug 24, 2022","1,740","2,245,685",1,675
"Aug 25, 2022","1,760","2,218,885",1,675
"Aug 26, 2022","1,779","2,357,981",1,675
"Aug 27, 2022","1,790","2,358,309",1,675
"Aug 28, 2022","1,795","2,362,756",1,675
"Aug 29, 2022","1,800","2,358,920",1,675
"Aug 30, 2022","1,805","2,359,156",1,675
"Aug 31, 2022","1,819","2,398,874",1,675
"Sep 01, 2022","1,822","2,399,004",1,675
"Sep 02, 2022","1,831","2,448,364",1,675
"Sep 03, 2022","1,836","2,448,510",1,675
"Sep 04, 2022","1,840","2,448,386",1,675
"Sep 05, 2022","1,850","2,450,378",1,675
"Sep 06, 2022","1,855","2,451,215",1,675
"Sep 07, 2022","1,864","2,451,533",1,675
"Sep 08, 2022","1,873","2,451,800",1,675
"Sep 09, 2022","1,882","2,452,126",1,675
"Sep 10, 2022","1,884","2,452,355",1,675
"Sep 11, 2022","1,888","2,452,708",1,675
"Sep 12, 2022","1,896","2,448,253",1,675
"Sep 13, 2022","1,898","2,448,221",1,675
"Sep 14, 2022","1,899","2,448,357",1,675
"Sep 15, 2022","1,908","2,448,764",1,675
"Sep 16, 2022","1,911","2,457,161",1,675
"Sep 17, 2022","1,913","416,436",1,675
"Sep 18, 2022","1,918","416,716",1,675
"Sep 19, 2022","1,922","416,949",1,675
"Sep 20, 2022","1,924","353,999",1,675
"Sep 21, 2022","1,927","354,167",1,675
"Sep 22, 2022","1,928","354,448",1,675
"Sep 23, 2022","1,934","355,728",1,675
"Sep 24, 2022","1,941","356,337",1,675
"Sep 25, 2022","1,949","356,587",1,675
"Sep 26, 2022","1,952","356,910",1,675
"Sep 27, 2022","1,956","357,818",1,675
"Sep 28, 2022","1,956","357,970",1,675
"Sep 29, 2022","1,957","356,718",1,675
"Sep 30, 2022","1,963","356,900",1,675
"Oct 01, 2022","1,966","357,133",1,675
"Oct 02, 2022","1,969","357,339",1,675
"Oct 03, 2022","1,971","357,424",1,675
"Oct 04, 2022","1,975","357,920",1,675
"Oct 05, 2022","1,979","358,612",1,675
"Oct 06, 2022","1,985","358,898",1,675
"Oct 07, 2022","1,990","359,077",1,675
"Oct 08, 2022","1,992","358,680",1,675
"Oct 09, 2022","1,996","358,988",1,675
"Oct 10, 2022","1,999","359,030",1,675
"Oct 11, 2022","1,998","359,328",1,675
"Oct 12, 2022","1,999","359,545",1,675
"Oct 13, 2022","1,997","359,687",1,675
"Oct 14, 2022","2,001","359,963",1,675
"Oct 15, 2022","2,005","361,090",1,675
"Oct 16, 2022","2,008","361,250",1,675
"Oct 17, 2022","2,008","361,379",1,675
"Oct 18, 2022","2,012","361,551",1,675
"Oct 19, 2022","2,010","361,685",1,675
"Oct 20, 2022","2,013","361,891",1,675
"Oct 21, 2022","2,015","362,069",1,675
"Oct 22, 2022","2,017","362,418",1,675
"Oct 23, 2022","2,018","362,716",1,675
"Oct 24, 2022","2,023","363,001",1,675
"Oct 25, 2022","2,025","363,239",1,675
"Oct 26, 2022","2,025","363,392",1,675
"Oct 27, 2022","2,026","363,563",1,675
"Oct 28, 2022","2,026","363,860",1,675
"Oct 29, 2022","2,027","363,995",1,675
"Oct 30, 2022","2,025","364,097",1,675
"Oct 31, 2022","2,025","364,228",1,675
"Nov 01, 2022","2,026","365,274",1,675
"Nov 02, 2022","2,028","365,602",1,675
"Nov 03, 2022","2,032","373,818",1,675
"Nov 04, 2022","2,036","373,993",1,675
"Nov 05, 2022","2,035","374,147",1,675
"Nov 06, 2022","2,033","374,456",1,675
"Nov 07, 2022","2,034","374,600",1,675
"Nov 08, 2022","2,038","374,724",1,675
"Nov 09, 2022","2,040","375,014",1,675
"Nov 10, 2022","2,042","375,191",1,675
"Nov 11, 2022","2,044","375,346",1,674
"Nov 12, 2022","2,044","375,570",1,674
"Nov 13, 2022","2,042","375,661",1,674
"Nov 14, 2022","2,042","375,686",1,674
"Nov 15, 2022","2,042","375,721",1,674
"Nov 16, 2022","2,042","375,779",1,674
"Nov 17, 2022","2,039","375,844",1,674
"Nov 18, 2022","2,014","375,639",1,674
"Nov 19, 2022","2,014","375,261",1,674
"Nov 20, 2022","2,023","376,974",1,674
"Nov 21, 2022","2,033","377,383",1,674
"Nov 22, 2022","2,045","378,771",1,674
"Nov 23, 2022","2,049","379,867",1,674
"Nov 24, 2022","2,051","380,396",1,674
"Nov 25, 2022","2,061","381,293",1,674
"Nov 26, 2022","2,065","376,065",1,674
"Nov 27, 2022","2,065","380,427",1,674
"Nov 28, 2022","2,076","381,979",1,674
"Nov 29, 2022","2,080","383,042",1,674
"Nov 30, 2022","2,084","383,261",1,674
"Dec 01, 2022","2,084","383,243",1,674
"Dec 02, 2022","2,082","383,535",1,674
"Dec 03, 2022","2,066","382,827",1,674
"Dec 04, 2022","2,057","374,525",1,674
"Dec 05, 2022","2,036","374,655",1,674
"Dec 06, 2022","2,038","374,431",1,673
"Dec 07, 2022","2,016","371,298",1,673
"Dec 08, 2022","2,005","372,143",1,673
"Dec 09, 2022","2,001","371,726",1,673
"Dec 10, 2022","2,005","380,974",1,673
"Dec 11, 2022","2,004","380,961",1,673
"Dec 12, 2022","1,999","370,553",1,673
"Dec 13, 2022","2,002","365,046",1,673
"Dec 14, 2022","2,002","372,749",1,673
"Dec 15, 2022","1,999","366,652",1,673
"Dec 16, 2022","2,005","368,379",1,673
"Dec 17, 2022","1,997","324,593",1,673
"Dec 18, 2022","2,017","371,888",1,673
"Dec 19, 2022","2,023","380,698",1,673
"Dec 20, 2022","2,026","374,034",1,672
"Dec 21, 2022","2,028","373,310",1,672
"Dec 22, 2022","2,027","373,473",1,672
"Dec 23, 2022","2,026","380,601",1,672
"Dec 24, 2022","1,999","334,599",1,672
"Dec 25, 2022","1,971","368,839",1,672
"Dec 26, 2022","1,947","375,732",1,672
"Dec 27, 2022","1,922","377,304",1,672
"Dec 28, 2022","1,884","376,670",1,672
"Dec 29, 2022","1,850","360,693",1,672
"Dec 30, 2022","1,825","371,067",1,672
"Dec 31, 2022","1,808","372,121",1,672
"Jan 01, 2023","1,779","365,584",1,672
"Jan 02, 2023","1,809","378,766",1,672
"Jan 03, 2023","1,781","374,389",1,672
"Jan 04, 2023","1,767","328,131",1,672
"Jan 05, 2023","1,731","315,905",1,672
"Jan 06, 2023","1,712","311,410",1,672
"Jan 07, 2023","1,712","311,393",1,672
"Jan 08, 2023","1,713","311,390",1,672
"Jan 09, 2023","1,713","311,384",1,671
"Jan 10, 2023","1,731","330,006",1,671
"Jan 11, 2023","1,749","389,951",1,671
"Jan 12, 2023","1,757","391,265",1,671
"Jan 13, 2023","1,767","391,475",1,671
"Jan 14, 2023","1,772","392,214",1,671
"Jan 15, 2023","1,780","393,088",1,671
"Jan 16, 2023","2,472","401,948",1,671
"Jan 17, 2023","2,472","402,032",1,671
"Jan 18, 2023","2,474","402,324",1,671
"Jan 19, 2023","2,477","402,381",1,671
"Jan 20, 2023","2,474","402,486",1,671
"Jan 21, 2023","2,476","402,510",1,671
"Jan 22, 2023","2,478","402,708",1,671
"Jan 23, 2023","2,480","402,827",1,671
"Jan 24, 2023","2,480","402,875",1,671
"Jan 25, 2023","2,481","402,906",1,671
"Jan 26, 2023","2,481","402,954",1,671
"Jan 27, 2023","2,479","402,914",1,671
"Jan 28, 2023","2,481","404,141",1,671
"Jan 29, 2023","2,481","404,266",1,671
"Jan 30, 2023","2,481","404,419",1,670
"Jan 31, 2023","2,479","404,405",1,670
"Feb 01, 2023","2,479","404,484",1,670
"Feb 02, 2023","2,477","404,574",1,670
"Feb 03, 2023","2,475","428,437",1,670
"Feb 04, 2023","2,474","428,477",1,670
"Feb 05, 2023","2,474","428,533",1,670
"Feb 06, 2023","2,475","428,600",1,670
"Feb 07, 2023","2,475","428,707",1,670
"Feb 08, 2023","2,476","455,022",1,670
"Feb 09, 2023","2,477","455,201",1,670
"Feb 10, 2023","2,477","455,471",1,670
"Feb 11, 2023","2,479","455,661",1,670
"Feb 12, 2023","2,479","455,822",1,670
"Feb 13, 2023","2,485","456,080",1,670
"Feb 14, 2023","2,484","456,234",1,670
"Feb 15, 2023","2,485","458,487",1,670
"Feb 16, 2023","2,486","458,881",1,670
"Feb 17, 2023","2,484","459,198",1,670
"Feb 18, 2023","2,482","453,002",1,670
"Feb 19, 2023","2,483","453,389",1,670
"Feb 20, 2023","2,481","453,524",1,670
"Feb 21, 2023","2,480","454,105",1,670
"Feb 22, 2023","2,480","454,446",1,669
"Feb 23, 2023","2,480","454,764",1,669
"Feb 24, 2023","2,477","455,132",1,669
"Feb 25, 2023","2,476","455,529",1,669
"Feb 26, 2023","2,475","456,036",1,669
"Feb 27, 2023","2,475","456,449",1,669
"Mar 01, 2023","2,472","457,060",1,669
"Mar 02, 2023","2,477","457,381",1,669
"Mar 03, 2023","2,485","457,821",1,669
"Mar 04, 2023","2,493","458,291",1,669
"Mar 05, 2023","2,497","458,674",1,669
"Mar 06, 2023","2,499","459,175",1,669
"Mar 07, 2023","2,510","459,610",1,669
"Mar 08, 2023","2,513","461,091",1,669
"Mar 09, 2023","2,513","461,502",1,669
"Mar 10, 2023","2,515","461,942",1,669
"Mar 11, 2023","2,516","462,270",1,669
"Mar 12, 2023","2,518","462,627",1,669
"Mar 13, 2023","2,519","462,992",1,669
"Mar 14, 2023","2,519","462,317",1,669
"Mar 15, 2023","2,519","463,012",1,669
"Mar 16, 2023","2,517","459,406",1,669
"Mar 17, 2023","2,521","441,345",1,669
"Mar 18, 2023","2,520","441,781",1,669
"Mar 19, 2023","2,522","442,511",1,668
"Mar 20, 2023","2,522","442,923",1,668
"Mar 21, 2023","2,524","443,405",1,668
"Mar 22, 2023","2,524","443,827",1,668
"Mar 23, 2023","2,531","444,575",1,668
"Mar 24, 2023","2,533","444,966",1,668
"Mar 25, 2023","2,535","445,574",1,668
"Mar 26, 2023","2,536","445,937",1,668
"Mar 27, 2023","2,538","446,330",1,668
"Mar 28, 2023","2,538","446,660",1,668
"Mar 29, 2023","2,544","447,017",1,668
"Mar 30, 2023","2,547","447,353",1,668
"Mar 31, 2023","2,552","447,775",1,668
"Apr 01, 2023","2,556","448,499",1,668
"Apr 02, 2023","2,563","449,756",1,668
"Apr 03, 2023","2,566","450,312",1,668
"Apr 04, 2023","2,569","450,881",1,668
"Apr 05, 2023","2,572","451,323",1,668
"Apr 06, 2023","2,573","451,734",1,668
"Apr 07, 2023","2,577","452,271",1,668
"Apr 08, 2023","2,579","452,731",1,668
"Apr 09, 2023","2,586","453,151",1,668
"Apr 10, 2023","2,589","453,497",1,668
"Apr 11, 2023","2,591","453,826",1,668
"Apr 12, 2023","2,598","454,173",1,668
"Apr 13, 2023","2,601","454,515",1,668
"Apr 14, 2023","2,608","454,842",1,668
"Apr 15, 2023","2,613","455,563",1,668
"Apr 16, 2023","2,618","456,303",1,668
"Apr 17, 2023","2,624","457,001",1,668
"Apr 18, 2023","2,628","457,374",1,668
"Apr 19, 2023","2,637","457,791",1,668
"Apr 20, 2023","2,640","458,187",1,668
"Apr 21, 2023","2,651","458,626",1,668
"Apr 22, 2023","2,655","458,976",1,668
"Apr 23, 2023","2,660","459,440",1,668
"Apr 24, 2023","2,666","459,794",1,668
"Apr 25, 2023","2,670","460,126",1,668
"Apr 26, 2023","2,674","460,440",1,668
"Apr 27, 2023","2,683","460,792",1,668
"Apr 28, 2023","2,698","461,499",1,668
"Apr 29, 2023","2,703","461,810",1,668
"Apr 30, 2023","2,706","462,167",1,668
"May 01, 2023","2,708","462,524",1,668
"May 02, 2023","2,712","462,889",1,668
"May 03, 2023","2,717","463,294",1,668
"May 04, 2023","2,723","463,630",1,668
"May 05, 2023","2,726","463,997",1,668
"May 06, 2023","2,732","464,263",1,668
"May 07, 2023","2,741","464,624",1,668
"May 08, 2023","2,745","465,018",1,668
"May 09, 2023","2,753","467,705",1,668
"May 10, 2023","2,758","468,336",1,668
"May 11, 2023","2,759","468,726",1,668
"May 12, 2023","2,759","469,094",1,668
"May 13, 2023","2,761","469,391",1,668
"May 14, 2023","2,765","469,745",1,668
"May 15, 2023","2,773","470,064",1,668
Invalid date,,,,
