"DateTime","Spotify Streams","Change"
"2023-05-14 00:00:00",7593914,11241
"2023-05-13 00:00:00",7582673,11273
"2023-05-12 00:00:00",7571400,11273
"2023-05-11 00:00:00",7560127,10818
"2023-05-10 00:00:00",7549309,10984
"2023-05-09 00:00:00",7538325,0
"2023-05-08 00:00:00",7538325,20753
"2023-05-07 00:00:00",7517572,11504
"2023-05-06 00:00:00",7506068,0
"2023-05-05 00:00:00",7506068,24152
"2023-05-04 00:00:00",7481916,12104
"2023-05-03 00:00:00",7469812,11976
"2023-05-02 00:00:00",7457836,11427
"2023-05-01 00:00:00",7446409,11427
"2023-04-30 00:00:00",7434982,11427
"2023-04-29 00:00:00",7423555,11963
"2023-04-28 00:00:00",7411593,11963
"2023-04-27 00:00:00",7399630,11755
"2023-04-26 00:00:00",7387875,11436
"2023-04-25 00:00:00",7376439,11436
"2023-04-24 00:00:00",7365003,12068
"2023-04-23 00:00:00",7352935,12215
"2023-04-22 00:00:00",7340720,12720
"2023-04-21 00:00:00",7328000,12631
"2023-04-20 00:00:00",7315369,12631
"2023-04-19 00:00:00",7302738,12541
"2023-04-18 00:00:00",7290197,11400
"2023-04-17 00:00:00",7278797,11862
"2023-04-16 00:00:00",7266935,12909
"2023-04-15 00:00:00",7254026,13316
"2023-04-14 00:00:00",7240710,12859
"2023-04-13 00:00:00",7227851,12835
"2023-04-12 00:00:00",7215016,12787
"2023-04-11 00:00:00",7202229,11738
"2023-04-10 00:00:00",7190491,13070
"2023-04-09 00:00:00",7177421,14183
"2023-04-08 00:00:00",7163238,15069
"2023-04-07 00:00:00",7148169,14625
"2023-04-06 00:00:00",7133544,14368
"2023-04-05 00:00:00",7119176,14336
"2023-04-04 00:00:00",7104840,12825
"2023-04-03 00:00:00",7092015,13890
"2023-04-02 00:00:00",7078125,14288
"2023-04-01 00:00:00",7063837,13623
"2023-03-31 00:00:00",7050214,13075
"2023-03-30 00:00:00",7037139,12949
"2023-03-29 00:00:00",7024190,12746
"2023-03-28 00:00:00",7011444,11741
"2023-03-27 00:00:00",6999703,12755
"2023-03-26 00:00:00",6986948,12970
"2023-03-25 00:00:00",6973978,13004
"2023-03-24 00:00:00",6960974,13811
"2023-03-23 00:00:00",6947163,13467
"2023-03-22 00:00:00",6933696,13705
"2023-03-21 00:00:00",6919991,12535
"2023-03-20 00:00:00",6907456,12829
"2023-03-19 00:00:00",6894627,13844
"2023-03-18 00:00:00",6880783,13826
"2023-03-17 00:00:00",6866957,13856
"2023-03-16 00:00:00",6853101,13872
"2023-03-15 00:00:00",6839229,13598
"2023-03-14 00:00:00",6825631,0
"2023-03-13 00:00:00",6825631,12481
"2023-03-12 00:00:00",6813150,26976
"2023-03-11 00:00:00",6786174,13317
"2023-03-10 00:00:00",6772857,13143
"2023-03-09 00:00:00",6759714,12770
"2023-03-08 00:00:00",6746944,13146
"2023-03-07 00:00:00",6733798,11746
"2023-03-06 00:00:00",6722052,12771
"2023-03-05 00:00:00",6709281,13298
"2023-03-04 00:00:00",6695983,13633
"2023-03-03 00:00:00",6682350,13032
"2023-03-02 00:00:00",6669318,13155
"2023-03-01 00:00:00",6656163,12892
"2023-02-28 00:00:00",6643271,12259
"2023-02-27 00:00:00",6631012,12592
"2023-02-26 00:00:00",6618420,13653
"2023-02-25 00:00:00",6604767,13677
"2023-02-24 00:00:00",6591090,13540
"2023-02-23 00:00:00",6577550,13927
"2023-02-22 00:00:00",6563623,13276
"2023-02-21 00:00:00",6550347,12409
"2023-02-20 00:00:00",6537938,13667
"2023-02-19 00:00:00",6524271,14020
"2023-02-18 00:00:00",6510251,13888
"2023-02-17 00:00:00",6496363,13868
"2023-02-16 00:00:00",6482495,14438
"2023-02-15 00:00:00",6468057,12981
"2023-02-14 00:00:00",6455076,12961
"2023-02-13 00:00:00",6442115,13673
"2023-02-12 00:00:00",6428442,14754
"2023-02-11 00:00:00",6413688,14932
"2023-02-10 00:00:00",6398756,14526
"2023-02-09 00:00:00",6384230,14566
"2023-02-08 00:00:00",6369664,14815
"2023-02-07 00:00:00",6354849,13419
"2023-02-06 00:00:00",6341430,14439
"2023-02-05 00:00:00",6326991,15299
"2023-02-04 00:00:00",6311692,15492
"2023-02-03 00:00:00",6296200,0
"2023-02-02 00:00:00",6296200,31724
"2023-02-01 00:00:00",6264476,15826
"2023-01-31 00:00:00",6248650,14648
"2023-01-30 00:00:00",6234002,15575
"2023-01-29 00:00:00",6218427,16422
"2023-01-28 00:00:00",6202005,0
"2023-01-27 00:00:00",6202005,33073
"2023-01-26 00:00:00",6168932,16673
"2023-01-25 00:00:00",6152259,16518
"2023-01-24 00:00:00",6135741,15070
"2023-01-23 00:00:00",6120671,15908
"2023-01-22 00:00:00",6104763,17254
"2023-01-21 00:00:00",6087509,17094
"2023-01-20 00:00:00",6070415,17517
"2023-01-19 00:00:00",6052898,17576
"2023-01-18 00:00:00",6035322,16668
"2023-01-17 00:00:00",6018654,15357
"2023-01-16 00:00:00",6003297,15212
