Date,Playlist Count,Playlist Total Reach,Editorial Playlist Count,Editorial Playlist Total Reach
"Aug 13, 2022",986,"188,865",,
"Aug 14, 2022","1,086","196,575",,
"Aug 15, 2022","1,178","200,919",1,675
"Aug 16, 2022","1,223","203,966",1,675
"Aug 17, 2022","1,281","207,110",1,675
"Aug 18, 2022","1,319","209,093",1,675
"Aug 19, 2022","1,354","206,342",1,675
"Aug 20, 2022","1,375","202,021",1,675
"Aug 21, 2022","1,398","176,778",1,675
"Aug 22, 2022","1,420","177,525",1,675
"Aug 23, 2022","1,432","178,514",1,675
"Aug 24, 2022","1,450","180,746",1,675
"Aug 25, 2022","1,466","154,105",1,675
"Aug 26, 2022","1,478","230,377",1,675
"Aug 27, 2022","1,492","230,905",1,675
"Aug 28, 2022","1,499","235,240",1,675
"Aug 29, 2022","1,503","234,188",1,675
"Aug 30, 2022","1,510","233,767",1,675
"Aug 31, 2022","1,523","233,942",1,675
"Sep 01, 2022","1,530","234,039",1,675
"Sep 02, 2022","1,538","232,730",1,675
"Sep 03, 2022","1,540","232,492",1,675
"Sep 04, 2022","1,547","232,512",1,675
"Sep 05, 2022","1,555","233,024",1,675
"Sep 06, 2022","1,559","233,772",1,675
"Sep 07, 2022","1,570","234,021",1,675
"Sep 08, 2022","1,579","234,150",1,675
"Sep 09, 2022","1,585","234,314",1,675
"Sep 10, 2022","1,589","234,404",1,675
"Sep 11, 2022","1,591","234,536",1,675
"Sep 12, 2022","1,595","229,978",1,675
"Sep 13, 2022","1,596","230,089",1,675
"Sep 14, 2022","1,593","230,081",1,675
"Sep 15, 2022","1,597","230,365",1,675
"Sep 16, 2022","1,602","238,743",1,675
"Sep 17, 2022","1,632","239,042",1,675
"Sep 18, 2022","1,637","239,299",1,675
"Sep 19, 2022","1,642","239,514",1,675
"Sep 20, 2022","1,644","239,761",1,675
"Sep 21, 2022","1,646","239,929",1,675
"Sep 22, 2022","1,649","240,125",1,675
"Sep 23, 2022","1,656","241,339",1,675
"Sep 24, 2022","1,666","241,768",1,675
"Sep 25, 2022","1,671","242,079",1,675
"Sep 26, 2022","1,672","242,289",1,675
"Sep 27, 2022","1,675","242,649",1,675
"Sep 28, 2022","1,678","242,875",1,675
"Sep 29, 2022","1,683","243,138",1,675
"Sep 30, 2022","1,692","244,053",1,675
"Oct 01, 2022","1,696","244,280",1,675
"Oct 02, 2022","1,698","244,460",1,675
"Oct 03, 2022","1,705","244,687",1,675
"Oct 04, 2022","1,709","244,959",1,675
"Oct 05, 2022","1,712","245,620",1,675
"Oct 06, 2022","1,717","245,906",1,675
"Oct 07, 2022","1,720","246,104",1,675
"Oct 08, 2022","1,720","245,544",1,675
"Oct 09, 2022","1,721","245,745",1,675
"Oct 10, 2022","1,725","245,887",1,675
"Oct 11, 2022","1,725","245,525",1,675
"Oct 12, 2022","1,728","245,703",1,675
"Oct 13, 2022","1,730","245,920",1,675
"Oct 14, 2022","1,735","246,203",1,675
"Oct 15, 2022","1,737","246,339",1,675
"Oct 16, 2022","1,743","246,512",1,675
"Oct 17, 2022","1,745","246,668",1,675
"Oct 18, 2022","1,745","246,797",1,675
"Oct 19, 2022","1,746","246,966",1,675
"Oct 20, 2022","1,751","247,205",1,675
"Oct 21, 2022","1,761","247,505",1,675
"Oct 22, 2022","1,765","247,885",1,675
"Oct 23, 2022","1,764","248,169",1,675
"Oct 24, 2022","1,771","248,471",1,675
"Oct 25, 2022","1,773","248,660",1,675
"Oct 26, 2022","1,775","249,579",1,675
"Oct 27, 2022","1,777","249,778",1,675
"Oct 28, 2022","1,778","249,944",1,675
"Oct 29, 2022","1,779","250,086",1,675
"Oct 30, 2022","1,780","250,212",1,675
"Oct 31, 2022","1,782","250,393",1,675
"Nov 01, 2022","1,783","251,456",1,675
"Nov 02, 2022","1,788","251,815",1,675
"Nov 03, 2022","1,792","260,047",1,675
"Nov 04, 2022","1,798","260,267",1,675
"Nov 05, 2022","1,799","260,445",1,675
"Nov 06, 2022","1,805","260,701",1,675
"Nov 07, 2022","1,807","260,738",1,675
"Nov 08, 2022","1,808","260,866",1,675
"Nov 09, 2022","1,808","261,130",1,675
"Nov 10, 2022","1,809","261,306",1,675
"Nov 11, 2022","1,811","261,632",1,674
"Nov 12, 2022","1,812","261,883",1,674
"Nov 13, 2022","1,809","261,953",1,674
"Nov 14, 2022","1,810","261,991",1,674
"Nov 15, 2022","1,811","262,032",1,674
"Nov 16, 2022","1,811","262,107",1,674
"Nov 17, 2022","1,809","262,180",1,674
"Nov 18, 2022","1,787","262,015",1,674
"Nov 19, 2022","1,788","261,671",1,674
"Nov 20, 2022","1,792","263,323",1,674
"Nov 21, 2022","1,804","262,404",1,674
"Nov 22, 2022","1,811","265,151",1,674
"Nov 23, 2022","1,813","266,284",1,674
"Nov 24, 2022","1,816","266,800",1,674
"Nov 25, 2022","1,822","267,628",1,674
"Nov 26, 2022","1,826","262,448",1,674
"Nov 27, 2022","1,826","266,824",1,674
"Nov 28, 2022","1,833","268,324",1,674
"Nov 29, 2022","1,835","269,396",1,674
"Nov 30, 2022","1,842","269,640",1,674
"Dec 01, 2022","1,840","268,257",1,674
"Dec 02, 2022","1,845","270,013",1,674
"Dec 03, 2022","1,831","269,743",1,674
"Dec 04, 2022","1,823","261,481",1,674
"Dec 05, 2022","1,796","261,162",1,674
"Dec 06, 2022","1,794","261,074",1,673
"Dec 07, 2022","1,785","260,905",1,673
"Dec 08, 2022","1,780","260,912",1,673
"Dec 09, 2022","1,773","260,491",1,673
"Dec 10, 2022","1,772","271,118",1,673
"Dec 11, 2022","1,768","270,479",1,673
"Dec 12, 2022","1,764","266,710",1,673
"Dec 13, 2022","1,772","262,101",1,673
"Dec 14, 2022","1,772","260,773",1,673
"Dec 15, 2022","1,768","254,800",1,673
"Dec 16, 2022","1,771","259,872",1,673
"Dec 17, 2022","1,771","257,462",1,673
"Dec 18, 2022","1,791","258,476",1,673
"Dec 19, 2022","1,796","265,180",1,673
"Dec 20, 2022","1,799","262,733",1,672
"Dec 21, 2022","1,802","263,297",1,672
"Dec 22, 2022","1,800","257,784",1,672
"Dec 23, 2022","1,798","264,880",1,672
"Dec 24, 2022","1,779","262,759",1,672
"Dec 25, 2022","1,757","265,517",1,672
"Dec 26, 2022","1,749","259,863",1,672
"Dec 27, 2022","1,737","263,887",1,672
"Dec 28, 2022","1,722","265,230",1,672
"Dec 29, 2022","1,697","248,866",1,672
"Dec 30, 2022","1,674","260,584",1,672
"Dec 31, 2022","1,656","257,895",1,672
"Jan 01, 2023","1,633","251,158",1,672
"Jan 02, 2023","1,659","265,092",1,672
"Jan 03, 2023","1,638","262,277",1,672
"Jan 04, 2023","1,631","262,973",1,672
"Jan 05, 2023","1,599","251,208",1,672
"Jan 06, 2023","1,578","248,116",1,672
"Jan 07, 2023","1,579","248,118",1,672
"Jan 08, 2023","1,580","248,108",1,672
"Jan 09, 2023","1,583","248,107",1,671
"Jan 10, 2023","1,606","263,328",1,671
"Jan 11, 2023","1,621","277,042",1,671
"Jan 12, 2023","1,631","279,207",1,671
"Jan 13, 2023","1,639","279,132",1,671
"Jan 14, 2023","1,644","279,719",1,671
"Jan 15, 2023","1,655","279,972",1,671
"Jan 16, 2023","2,274","286,416",1,671
"Jan 17, 2023","2,276","286,545",1,671
"Jan 18, 2023","2,280","286,943",1,671
"Jan 19, 2023","2,283","286,994",1,671
"Jan 20, 2023","2,278","287,162",1,671
"Jan 21, 2023","2,281","287,200",1,671
"Jan 22, 2023","2,283","287,436",1,671
"Jan 23, 2023","2,286","287,694",1,671
"Jan 24, 2023","2,286","287,751",1,671
"Jan 25, 2023","2,285","287,766",1,671
"Jan 26, 2023","2,285","287,819",1,671
"Jan 27, 2023","2,287","287,807",1,671
"Jan 28, 2023","2,288","287,864",1,671
"Jan 29, 2023","2,290","288,082",1,671
"Jan 30, 2023","2,293","288,118",1,670
"Jan 31, 2023","2,292","288,175",1,670
"Feb 01, 2023","2,293","290,006",1,670
"Feb 02, 2023","2,296","290,123",1,670
"Feb 03, 2023","2,296","314,019",1,670
"Feb 04, 2023","2,295","314,081",1,670
"Feb 05, 2023","2,295","314,141",1,670
"Feb 06, 2023","2,295","314,241",1,670
"Feb 07, 2023","2,298","314,361",1,670
"Feb 08, 2023","2,298","314,371",1,670
"Feb 09, 2023","2,299","314,459",1,670
"Feb 10, 2023","2,300","314,615",1,670
"Feb 11, 2023","2,301","314,676",1,670
"Feb 12, 2023","2,301","314,676",1,670
"Feb 13, 2023","2,304","314,779",1,670
"Feb 14, 2023","2,303","314,852",1,670
"Feb 15, 2023","2,302","316,970",1,670
"Feb 16, 2023","2,302","317,164",1,670
"Feb 17, 2023","2,300","317,320",1,670
"Feb 18, 2023","2,299","317,467",1,670
"Feb 19, 2023","2,301","317,710",1,670
"Feb 20, 2023","2,301","317,714",1,670
"Feb 21, 2023","2,302","318,146",1,670
"Feb 22, 2023","2,303","318,384",1,669
"Feb 23, 2023","2,303","318,586",1,669
"Feb 24, 2023","2,301","318,876",1,669
"Feb 25, 2023","2,299","319,171",1,669
"Feb 26, 2023","2,298","319,575",1,669
"Feb 27, 2023","2,298","319,911",1,669
"Mar 01, 2023","2,296","320,252",1,669
"Mar 02, 2023","2,297","320,506",1,669
"Mar 03, 2023","2,302","320,933",1,669
"Mar 04, 2023","2,314","321,357",1,669
"Mar 05, 2023","2,318","321,691",1,669
"Mar 06, 2023","2,320","322,114",1,669
"Mar 07, 2023","2,325","322,420",1,669
"Mar 08, 2023","2,331","323,828",1,669
"Mar 09, 2023","2,332","324,153",1,669
"Mar 10, 2023","2,336","324,508",1,669
"Mar 11, 2023","2,336","324,766",1,669
"Mar 12, 2023","2,337","325,061",1,669
"Mar 13, 2023","2,337","325,335",1,669
"Mar 14, 2023","2,338","324,587",1,669
"Mar 15, 2023","2,339","325,210",1,669
"Mar 16, 2023","2,338","321,795",1,669
"Mar 17, 2023","2,340","303,669",1,669
"Mar 18, 2023","2,341","304,041",1,669
"Mar 19, 2023","2,341","304,541",1,668
"Mar 20, 2023","2,342","304,880",1,668
"Mar 21, 2023","2,345","305,325",1,668
"Mar 22, 2023","2,345","305,741",1,668
"Mar 23, 2023","2,348","306,065",1,668
"Mar 24, 2023","2,352","306,416",1,668
"Mar 25, 2023","2,355","307,106",1,668
"Mar 26, 2023","2,357","307,470",1,668
"Mar 27, 2023","2,362","307,833",1,668
"Mar 28, 2023","2,362","308,124",1,668
"Mar 29, 2023","2,366","308,432",1,668
"Mar 30, 2023","2,371","308,730",1,668
"Mar 31, 2023","2,374","309,133",1,668
"Apr 01, 2023","2,377","309,725",1,668
"Apr 02, 2023","2,381","310,849",1,668
"Apr 03, 2023","2,383","311,327",1,668
"Apr 04, 2023","2,389","311,864",1,668
"Apr 05, 2023","2,392","312,247",1,668
"Apr 06, 2023","2,389","312,579",1,668
"Apr 07, 2023","2,393","313,040",1,668
"Apr 08, 2023","2,395","313,450",1,668
"Apr 09, 2023","2,402","313,841",1,668
"Apr 10, 2023","2,404","314,242",1,668
"Apr 11, 2023","2,408","314,552",1,668
"Apr 12, 2023","2,412","314,819",1,668
"Apr 13, 2023","2,412","315,094",1,668
"Apr 14, 2023","2,415","315,364",1,668
"Apr 15, 2023","2,419","315,753",1,668
"Apr 16, 2023","2,426","316,460",1,668
"Apr 17, 2023","2,434","316,955",1,668
"Apr 18, 2023","2,437","317,293",1,668
"Apr 19, 2023","2,442","317,455",1,668
"Apr 20, 2023","2,441","317,763",1,668
"Apr 21, 2023","2,448","318,203",1,668
"Apr 22, 2023","2,453","318,520",1,668
"Apr 23, 2023","2,456","318,832",1,668
"Apr 24, 2023","2,461","319,179",1,668
"Apr 25, 2023","2,469","319,505",1,668
"Apr 26, 2023","2,473","319,763",1,668
"Apr 27, 2023","2,483","320,075",1,668
"Apr 28, 2023","2,495","320,747",1,668
"Apr 29, 2023","2,498","321,020",1,668
"Apr 30, 2023","2,502","321,312",1,668
"May 01, 2023","2,503","321,655",1,668
"May 02, 2023","2,505","321,922",1,668
"May 03, 2023","2,511","322,199",1,668
"May 04, 2023","2,516","322,485",1,668
"May 05, 2023","2,518","322,790",1,668
"May 06, 2023","2,523","323,038",1,668
"May 07, 2023","2,535","323,381",1,668
"May 08, 2023","2,541","323,761",1,668
"May 09, 2023","2,554","326,458",1,668
"May 10, 2023","2,560","326,802",1,668
"May 11, 2023","2,561","327,183",1,668
"May 12, 2023","2,563","327,491",1,668
"May 13, 2023","2,568","327,834",1,668
"May 14, 2023","2,575","328,207",1,668
"May 15, 2023","2,583","328,587",1,668
Invalid date,,,,
