"DateTime","Spotify Streams","Change"
"2023-05-14 00:00:00",6500593,11258
"2023-05-13 00:00:00",6489335,11345
"2023-05-12 00:00:00",6477990,11345
"2023-05-11 00:00:00",6466645,11132
"2023-05-10 00:00:00",6455513,11266
"2023-05-09 00:00:00",6444247,0
"2023-05-08 00:00:00",6444247,20997
"2023-05-07 00:00:00",6423250,11800
"2023-05-06 00:00:00",6411450,0
"2023-05-05 00:00:00",6411450,23739
"2023-05-04 00:00:00",6387711,12115
"2023-05-03 00:00:00",6375596,11808
"2023-05-02 00:00:00",6363788,11530
"2023-05-01 00:00:00",6352258,11530
"2023-04-30 00:00:00",6340728,11530
"2023-04-29 00:00:00",6329198,11795
"2023-04-28 00:00:00",6317403,11795
"2023-04-27 00:00:00",6305608,11344
"2023-04-26 00:00:00",6294264,10982
"2023-04-25 00:00:00",6283282,10982
"2023-04-24 00:00:00",6272300,11221
"2023-04-23 00:00:00",6261079,11831
"2023-04-22 00:00:00",6249248,11970
"2023-04-21 00:00:00",6237278,11960
"2023-04-20 00:00:00",6225319,11960
"2023-04-19 00:00:00",6213359,11894
"2023-04-18 00:00:00",6201465,10515
"2023-04-17 00:00:00",6190950,11361
"2023-04-16 00:00:00",6179589,12350
"2023-04-15 00:00:00",6167239,12440
"2023-04-14 00:00:00",6154799,12125
"2023-04-13 00:00:00",6142674,12414
"2023-04-12 00:00:00",6130260,12618
"2023-04-11 00:00:00",6117642,11485
"2023-04-10 00:00:00",6106157,12766
"2023-04-09 00:00:00",6093391,13424
"2023-04-08 00:00:00",6079967,14147
"2023-04-07 00:00:00",6065820,13664
"2023-04-06 00:00:00",6052156,13282
"2023-04-05 00:00:00",6038874,13631
"2023-04-04 00:00:00",6025243,12208
"2023-04-03 00:00:00",6013035,12886
"2023-04-02 00:00:00",6000149,13669
"2023-04-01 00:00:00",5986480,12970
"2023-03-31 00:00:00",5973510,12792
"2023-03-30 00:00:00",5960718,12752
"2023-03-29 00:00:00",5947966,12430
"2023-03-28 00:00:00",5935536,11695
"2023-03-27 00:00:00",5923841,12339
"2023-03-26 00:00:00",5911502,12886
"2023-03-25 00:00:00",5898616,12773
"2023-03-24 00:00:00",5885843,12816
"2023-03-23 00:00:00",5873027,13019
"2023-03-22 00:00:00",5860008,13384
"2023-03-21 00:00:00",5846624,12309
"2023-03-20 00:00:00",5834315,12954
"2023-03-19 00:00:00",5821361,13742
"2023-03-18 00:00:00",5807619,13495
"2023-03-17 00:00:00",5794124,13920
"2023-03-16 00:00:00",5780204,13623
"2023-03-15 00:00:00",5766581,13152
"2023-03-14 00:00:00",5753429,0
"2023-03-13 00:00:00",5753429,12722
"2023-03-12 00:00:00",5740707,27305
"2023-03-11 00:00:00",5713402,13772
"2023-03-10 00:00:00",5699630,13013
"2023-03-09 00:00:00",5686617,12910
"2023-03-08 00:00:00",5673707,13049
"2023-03-07 00:00:00",5660658,12086
"2023-03-06 00:00:00",5648572,12689
"2023-03-05 00:00:00",5635883,13570
"2023-03-04 00:00:00",5622313,14032
"2023-03-03 00:00:00",5608281,13290
"2023-03-02 00:00:00",5594991,13074
"2023-03-01 00:00:00",5581917,13264
"2023-02-28 00:00:00",5568653,11997
"2023-02-27 00:00:00",5556656,13248
"2023-02-26 00:00:00",5543408,13731
"2023-02-25 00:00:00",5529677,13644
"2023-02-24 00:00:00",5516033,13909
"2023-02-23 00:00:00",5502124,14544
"2023-02-22 00:00:00",5487580,13377
"2023-02-21 00:00:00",5474203,12418
"2023-02-20 00:00:00",5461785,12980
"2023-02-19 00:00:00",5448805,14258
"2023-02-18 00:00:00",5434547,14495
"2023-02-17 00:00:00",5420052,14166
"2023-02-16 00:00:00",5405886,14288
"2023-02-15 00:00:00",5391598,13028
"2023-02-14 00:00:00",5378570,12817
"2023-02-13 00:00:00",5365753,13445
"2023-02-12 00:00:00",5352308,14563
"2023-02-11 00:00:00",5337745,14690
"2023-02-10 00:00:00",5323055,14925
"2023-02-09 00:00:00",5308130,15316
"2023-02-08 00:00:00",5292814,15297
"2023-02-07 00:00:00",5277517,13819
"2023-02-06 00:00:00",5263698,14250
"2023-02-05 00:00:00",5249448,15802
"2023-02-04 00:00:00",5233646,15874
"2023-02-03 00:00:00",5217772,0
"2023-02-02 00:00:00",5217772,31784
"2023-02-01 00:00:00",5185988,16092
"2023-01-31 00:00:00",5169896,14368
"2023-01-30 00:00:00",5155528,15377
"2023-01-29 00:00:00",5140151,16641
"2023-01-28 00:00:00",5123510,0
"2023-01-27 00:00:00",5123510,33366
"2023-01-26 00:00:00",5090144,16809
"2023-01-25 00:00:00",5073335,16626
"2023-01-24 00:00:00",5056709,15763
"2023-01-23 00:00:00",5040946,16077
"2023-01-22 00:00:00",5024869,17465
"2023-01-21 00:00:00",5007404,18397
"2023-01-20 00:00:00",4989007,18635
"2023-01-19 00:00:00",4970372,18656
"2023-01-18 00:00:00",4951716,16884
"2023-01-17 00:00:00",4934832,16067
"2023-01-16 00:00:00",4918765,15674
"2023-01-15 00:00:00",4903091,19219
"2023-01-14 00:00:00",4883872,18703
"2023-01-13 00:00:00",4865169,18186
"2023-01-12 00:00:00",4846983,18138
"2023-01-11 00:00:00",4828845,18291
"2023-01-10 00:00:00",4810554,0
"2023-01-09 00:00:00",4810554,32660
"2023-01-08 00:00:00",4777894,17704
"2023-01-07 00:00:00",4760190,18310
"2023-01-06 00:00:00",4741880,18205
"2023-01-05 00:00:00",4723675,0
"2023-01-04 00:00:00",4723675,35904
"2023-01-03 00:00:00",4687771,0
"2023-01-02 00:00:00",4687771,33994
"2023-01-01 00:00:00",4653777,18546
"2022-12-31 00:00:00",4635231,18433
"2022-12-30 00:00:00",4616798,19055
"2022-12-29 00:00:00",4597743,18809
"2022-12-28 00:00:00",4578934,16985
"2022-12-27 00:00:00",4561949,16147
"2022-12-26 00:00:00",4545802,17269
"2022-12-25 00:00:00",4528533,18401
"2022-12-24 00:00:00",4510132,19055
"2022-12-23 00:00:00",4491077,18921
"2022-12-22 00:00:00",4472156,0
"2022-12-21 00:00:00",4472156,37600
"2022-12-20 00:00:00",4434556,16487
"2022-12-19 00:00:00",4418069,18275
"2022-12-18 00:00:00",4399794,19389
"2022-12-17 00:00:00",4380405,19427
"2022-12-16 00:00:00",4360978,18828
"2022-12-15 00:00:00",4342150,19023
"2022-12-14 00:00:00",4323127,19587
"2022-12-13 00:00:00",4303540,17217
"2022-12-12 00:00:00",4286323,17856
"2022-12-11 00:00:00",4268467,19292
"2022-12-10 00:00:00",4249175,20424
"2022-12-09 00:00:00",4228751,20550
