"DateTime","Spotify Streams","Change"
"2023-05-14 00:00:00",7300654,13227
"2023-05-13 00:00:00",7287427,13438
"2023-05-12 00:00:00",7273990,13438
"2023-05-11 00:00:00",7260552,13402
"2023-05-10 00:00:00",7247150,13102
"2023-05-09 00:00:00",7234048,0
"2023-05-08 00:00:00",7234048,24623
"2023-05-07 00:00:00",7209425,13769
"2023-05-06 00:00:00",7195656,0
"2023-05-05 00:00:00",7195656,28318
"2023-05-04 00:00:00",7167338,13812
"2023-05-03 00:00:00",7153526,14050
"2023-05-02 00:00:00",7139476,13237
"2023-05-01 00:00:00",7126239,13237
"2023-04-30 00:00:00",7113002,13237
"2023-04-29 00:00:00",7099765,14185
"2023-04-28 00:00:00",7085580,14185
"2023-04-27 00:00:00",7071395,13893
"2023-04-26 00:00:00",7057502,13608
"2023-04-25 00:00:00",7043894,13608
"2023-04-24 00:00:00",7030286,13795
"2023-04-23 00:00:00",7016491,14493
"2023-04-22 00:00:00",7001998,14827
"2023-04-21 00:00:00",6987171,14627
"2023-04-20 00:00:00",6972545,14627
"2023-04-19 00:00:00",6957918,14494
"2023-04-18 00:00:00",6943424,13036
"2023-04-17 00:00:00",6930388,13759
"2023-04-16 00:00:00",6916629,15467
"2023-04-15 00:00:00",6901162,15288
"2023-04-14 00:00:00",6885874,15111
"2023-04-13 00:00:00",6870763,14913
"2023-04-12 00:00:00",6855850,14865
"2023-04-11 00:00:00",6840985,13646
"2023-04-10 00:00:00",6827339,14896
"2023-04-09 00:00:00",6812443,16039
"2023-04-08 00:00:00",6796404,16897
"2023-04-07 00:00:00",6779507,16867
"2023-04-06 00:00:00",6762640,16329
"2023-04-05 00:00:00",6746311,15873
"2023-04-04 00:00:00",6730438,14409
"2023-04-03 00:00:00",6716029,15384
"2023-04-02 00:00:00",6700645,16512
"2023-04-01 00:00:00",6684133,15637
"2023-03-31 00:00:00",6668496,15264
"2023-03-30 00:00:00",6653232,15103
"2023-03-29 00:00:00",6638129,15142
"2023-03-28 00:00:00",6622987,13642
"2023-03-27 00:00:00",6609345,15005
"2023-03-26 00:00:00",6594340,15484
"2023-03-25 00:00:00",6578856,15654
"2023-03-24 00:00:00",6563202,15562
"2023-03-23 00:00:00",6547640,15679
"2023-03-22 00:00:00",6531961,16198
"2023-03-21 00:00:00",6515763,14525
"2023-03-20 00:00:00",6501238,15226
"2023-03-19 00:00:00",6486012,16331
"2023-03-18 00:00:00",6469681,16240
"2023-03-17 00:00:00",6453441,16500
"2023-03-16 00:00:00",6436941,16523
"2023-03-15 00:00:00",6420418,15825
"2023-03-14 00:00:00",6404593,0
"2023-03-13 00:00:00",6404593,14591
"2023-03-12 00:00:00",6390002,32072
"2023-03-11 00:00:00",6357930,16417
"2023-03-10 00:00:00",6341513,15583
"2023-03-09 00:00:00",6325930,15659
"2023-03-08 00:00:00",6310271,15789
"2023-03-07 00:00:00",6294482,14088
"2023-03-06 00:00:00",6280394,15119
"2023-03-05 00:00:00",6265275,16662
"2023-03-04 00:00:00",6248613,16781
"2023-03-03 00:00:00",6231832,16340
"2023-03-02 00:00:00",6215492,16537
"2023-03-01 00:00:00",6198955,16414
"2023-02-28 00:00:00",6182541,14722
"2023-02-27 00:00:00",6167819,14905
"2023-02-26 00:00:00",6152914,16395
"2023-02-25 00:00:00",6136519,16427
"2023-02-24 00:00:00",6120092,16878
"2023-02-23 00:00:00",6103214,17056
"2023-02-22 00:00:00",6086158,15675
"2023-02-21 00:00:00",6070483,14575
"2023-02-20 00:00:00",6055908,15689
"2023-02-19 00:00:00",6040219,15702
"2023-02-18 00:00:00",6024517,16209
"2023-02-17 00:00:00",6008308,15656
"2023-02-16 00:00:00",5992652,15596
"2023-02-15 00:00:00",5977056,15338
"2023-02-14 00:00:00",5961718,14170
"2023-02-13 00:00:00",5947548,15130
"2023-02-12 00:00:00",5932418,16435
"2023-02-11 00:00:00",5915983,16420
"2023-02-10 00:00:00",5899563,16598
"2023-02-09 00:00:00",5882965,16656
"2023-02-08 00:00:00",5866309,16809
"2023-02-07 00:00:00",5849500,15018
"2023-02-06 00:00:00",5834482,15420
"2023-02-05 00:00:00",5819062,17074
"2023-02-04 00:00:00",5801988,17353
"2023-02-03 00:00:00",5784635,0
"2023-02-02 00:00:00",5784635,35011
"2023-02-01 00:00:00",5749624,17139
"2023-01-31 00:00:00",5732485,14894
"2023-01-30 00:00:00",5717591,16177
"2023-01-29 00:00:00",5701414,17926
"2023-01-28 00:00:00",5683488,0
"2023-01-27 00:00:00",5683488,35937
"2023-01-26 00:00:00",5647551,17881
"2023-01-25 00:00:00",5629670,17955
"2023-01-24 00:00:00",5611715,15919
"2023-01-23 00:00:00",5595796,16619
"2023-01-22 00:00:00",5579177,18334
"2023-01-21 00:00:00",5560843,18691
"2023-01-20 00:00:00",5542152,19777
"2023-01-19 00:00:00",5522375,19323
"2023-01-18 00:00:00",5503052,17683
"2023-01-17 00:00:00",5485369,16409
"2023-01-16 00:00:00",5468960,16182
"2023-01-15 00:00:00",5452778,19906
"2023-01-14 00:00:00",5432872,19238
"2023-01-13 00:00:00",5413634,18798
"2023-01-12 00:00:00",5394836,18984
"2023-01-11 00:00:00",5375852,19122
"2023-01-10 00:00:00",5356730,0
"2023-01-09 00:00:00",5356730,34202
"2023-01-08 00:00:00",5322528,19071
"2023-01-07 00:00:00",5303457,19500
"2023-01-06 00:00:00",5283957,19110
"2023-01-05 00:00:00",5264847,0
"2023-01-04 00:00:00",5264847,37321
"2023-01-03 00:00:00",5227526,0
"2023-01-02 00:00:00",5227526,34578
"2023-01-01 00:00:00",5192948,19564
"2022-12-31 00:00:00",5173384,19833
"2022-12-30 00:00:00",5153551,19804
"2022-12-29 00:00:00",5133747,19496
"2022-12-28 00:00:00",5114251,17896
"2022-12-27 00:00:00",5096355,16167
"2022-12-26 00:00:00",5080188,17885
"2022-12-25 00:00:00",5062303,19095
"2022-12-24 00:00:00",5043208,19989
"2022-12-23 00:00:00",5023219,20190
"2022-12-22 00:00:00",5003029,0
"2022-12-21 00:00:00",5003029,41172
"2022-12-20 00:00:00",4961857,17899
"2022-12-19 00:00:00",4943958,19504
"2022-12-18 00:00:00",4924454,20573
"2022-12-17 00:00:00",4903881,20880
"2022-12-16 00:00:00",4883001,19917
"2022-12-15 00:00:00",4863084,20445
"2022-12-14 00:00:00",4842639,20671
"2022-12-13 00:00:00",4821968,18387
"2022-12-12 00:00:00",4803581,18951
"2022-12-11 00:00:00",4784630,20373
"2022-12-10 00:00:00",4764257,22072
"2022-12-09 00:00:00",4742185,22321
"2022-12-08 00:00:00",4719864,21976
"2022-12-07 00:00:00",4697888,22211
"2022-12-06 00:00:00",4675677,21351
"2022-12-05 00:00:00",4654326,21351
"2022-12-04 00:00:00",4632975,21351
"2022-12-03 00:00:00",4611624,21351
"2022-12-02 00:00:00",4590273,21351
"2022-12-01 00:00:00",4568922,21155
"2022-11-30 00:00:00",4547767,20775
"2022-11-29 00:00:00",4526992,18962
"2022-11-28 00:00:00",4508030,19159
"2022-11-27 00:00:00",4488871,19162
"2022-11-26 00:00:00",4469709,20852
"2022-11-25 00:00:00",4448857,23171
"2022-11-24 00:00:00",4425686,22818
"2022-11-23 00:00:00",4402868,22739
"2022-11-22 00:00:00",4380129,20944
"2022-11-21 00:00:00",4359185,22491
"2022-11-20 00:00:00",4336694,23309
"2022-11-19 00:00:00",4313385,25261
"2022-11-18 00:00:00",4288124,23956
"2022-11-17 00:00:00",4264168,23668
"2022-11-16 00:00:00",4240500,23435
"2022-11-15 00:00:00",4217065,21061
"2022-11-14 00:00:00",4196004,22239
"2022-11-13 00:00:00",4173765,24350
"2022-11-12 00:00:00",4149415,24985
"2022-11-11 00:00:00",4124430,24009
"2022-11-10 00:00:00",4100421,23429
"2022-11-09 00:00:00",4076992,23466
"2022-11-08 00:00:00",4053526,21656
"2022-11-07 00:00:00",4031870,22593
"2022-11-06 00:00:00",4009277,23557
"2022-11-05 00:00:00",3985720,25053
"2022-11-04 00:00:00",3960667,24550
"2022-11-03 00:00:00",3936117,22977
"2022-11-02 00:00:00",3913140,23547
"2022-11-01 00:00:00",3889593,21237
"2022-10-31 00:00:00",3868356,22759
"2022-10-30 00:00:00",3845597,24844
"2022-10-29 00:00:00",3820753,25911
"2022-10-28 00:00:00",3794842,26099
"2022-10-27 00:00:00",3768743,25807
"2022-10-26 00:00:00",3742936,26280
"2022-10-25 00:00:00",3716656,23726
"2022-10-24 00:00:00",3692930,24776
"2022-10-23 00:00:00",3668154,28123
"2022-10-22 00:00:00",3640031,28064
"2022-10-21 00:00:00",3611967,27183
"2022-10-20 00:00:00",3584784,27938
"2022-10-19 00:00:00",3556846,27635
"2022-10-18 00:00:00",3529211,24616
"2022-10-17 00:00:00",3504595,25823
"2022-10-16 00:00:00",3478772,28768
"2022-10-15 00:00:00",3450004,31292
"2022-10-14 00:00:00",3418712,29821
"2022-10-13 00:00:00",3388891,30735
"2022-10-12 00:00:00",3358156,30807
"2022-10-11 00:00:00",3327349,28272
"2022-10-10 00:00:00",3299077,29706
"2022-10-09 00:00:00",3269371,32359
"2022-10-08 00:00:00",3237012,34177
"2022-10-07 00:00:00",3202835,33807
"2022-10-06 00:00:00",3169028,33873
"2022-10-05 00:00:00",3135155,33409
"2022-10-04 00:00:00",3101746,29362
"2022-10-03 00:00:00",3072384,31071
"2022-10-02 00:00:00",3041313,32747
"2022-10-01 00:00:00",3008566,32827
"2022-09-30 00:00:00",2975739,33151
"2022-09-29 00:00:00",2942588,33742
"2022-09-28 00:00:00",2908846,34510
"2022-09-27 00:00:00",2874336,31775
"2022-09-26 00:00:00",2842561,33914
"2022-09-25 00:00:00",2808647,36681
"2022-09-24 00:00:00",2771966,37640
"2022-09-23 00:00:00",2734326,69008
"2022-09-22 00:00:00",2665318,0
"2022-09-21 00:00:00",2665318,34844
"2022-09-20 00:00:00",2630474,32771
"2022-09-19 00:00:00",2597703,35586
"2022-09-18 00:00:00",2562117,38179
"2022-09-17 00:00:00",2523938,38052
"2022-09-16 00:00:00",2485886,38263
"2022-09-15 00:00:00",2447623,38281
"2022-09-14 00:00:00",2409342,39254
"2022-09-13 00:00:00",2370088,35750
"2022-09-12 00:00:00",2334338,39410
"2022-09-11 00:00:00",2294928,41007
"2022-09-10 00:00:00",2253921,42431
"2022-09-09 00:00:00",2211490,43381
"2022-09-08 00:00:00",2168109,86984
"2022-09-07 00:00:00",2081125,0
"2022-09-06 00:00:00",2081125,42358
"2022-09-05 00:00:00",2038767,44999
"2022-09-04 00:00:00",1993768,50005
"2022-09-03 00:00:00",1943763,51469
"2022-09-02 00:00:00",1892294,51712
"2022-09-01 00:00:00",1840582,53219
"2022-08-31 00:00:00",1787363,54800
"2022-08-30 00:00:00",1732563,50599
"2022-08-29 00:00:00",1681964,53590
"2022-08-28 00:00:00",1628374,59655
"2022-08-27 00:00:00",1568719,63958
"2022-08-26 00:00:00",1504761,67353
"2022-08-25 00:00:00",1437408,70516
"2022-08-24 00:00:00",1366892,72383
"2022-08-23 00:00:00",1294509,79973
"2022-08-22 00:00:00",1214536,79973
"2022-08-21 00:00:00",1134564,79973
"2022-08-20 00:00:00",1054591,100836
"2022-08-19 00:00:00",953755,107302
"2022-08-18 00:00:00",846453,118947
"2022-08-17 00:00:00",727506,138855
"2022-08-16 00:00:00",588651,140806
"2022-08-15 00:00:00",447845,182847
"2022-08-14 00:00:00",264998,0
