Date,Playlist Count,Playlist Total Reach,Editorial Playlist Count,Editorial Playlist Total Reach
"Aug 13, 2022","1,013","190,732",,
"Aug 14, 2022","1,126","202,169",,
"Aug 15, 2022","1,228","207,030",1,675
"Aug 16, 2022","1,270","210,931",1,675
"Aug 17, 2022","1,323","212,412",1,675
"Aug 18, 2022","1,359","214,028",1,675
"Aug 19, 2022","1,389","215,898",1,675
"Aug 20, 2022","1,403","211,571",1,675
"Aug 21, 2022","1,423","186,362",1,675
"Aug 22, 2022","1,441","186,877",1,675
"Aug 23, 2022","1,454","188,356",1,675
"Aug 24, 2022","1,462","190,275",1,675
"Aug 25, 2022","1,476","163,603",1,675
"Aug 26, 2022","1,495","239,875",1,675
"Aug 27, 2022","1,506","239,600",1,675
"Aug 28, 2022","1,513","243,863",1,675
"Aug 29, 2022","1,512","242,712",1,675
"Aug 30, 2022","1,515","243,059",1,675
"Aug 31, 2022","1,527","243,164",1,675
"Sep 01, 2022","1,536","243,347",1,675
"Sep 02, 2022","1,539","242,131",1,675
"Sep 03, 2022","1,545","242,218",1,675
"Sep 04, 2022","1,550","242,190",1,675
"Sep 05, 2022","1,554","242,882",1,675
"Sep 06, 2022","1,559","243,599",1,675
"Sep 07, 2022","1,568","243,794",1,675
"Sep 08, 2022","1,578","244,002",1,675
"Sep 09, 2022","1,582","244,070",1,675
"Sep 10, 2022","1,583","244,135",1,675
"Sep 11, 2022","1,585","244,310",1,675
"Sep 12, 2022","1,589","239,667",1,675
"Sep 13, 2022","1,588","239,792",1,675
"Sep 14, 2022","1,592","239,827",1,675
"Sep 15, 2022","1,598","239,926",1,675
"Sep 16, 2022","1,602","248,261",1,675
"Sep 17, 2022","1,604","248,275",1,675
"Sep 18, 2022","1,604","248,460",1,675
"Sep 19, 2022","1,606","248,598",1,675
"Sep 20, 2022","1,608","248,970",1,675
"Sep 21, 2022","1,611","249,099",1,675
"Sep 22, 2022","1,616","249,365",1,675
"Sep 23, 2022","1,624","250,649",1,675
"Sep 24, 2022","1,628","250,983",1,675
"Sep 25, 2022","1,634","251,212",1,675
"Sep 26, 2022","1,635","251,417",1,675
"Sep 27, 2022","1,636","251,739",1,675
"Sep 28, 2022","1,636","251,923",1,675
"Sep 29, 2022","1,639","252,134",1,675
"Sep 30, 2022","1,643","252,345",1,675
"Oct 01, 2022","1,648","252,550",1,675
"Oct 02, 2022","1,651","252,716",1,675
"Oct 03, 2022","1,656","252,949",1,675
"Oct 04, 2022","1,660","253,231",1,675
"Oct 05, 2022","1,664","253,885",1,675
"Oct 06, 2022","1,668","254,166",1,675
"Oct 07, 2022","1,676","254,382",1,675
"Oct 08, 2022","1,677","253,851",1,675
"Oct 09, 2022","1,678","254,039",1,675
"Oct 10, 2022","1,682","254,153",1,675
"Oct 11, 2022","1,684","254,410",1,675
"Oct 12, 2022","1,686","254,662",1,675
"Oct 13, 2022","1,686","254,826",1,675
"Oct 14, 2022","1,688","255,093",1,675
"Oct 15, 2022","1,691","255,261",1,675
"Oct 16, 2022","1,694","255,427",1,675
"Oct 17, 2022","1,698","255,600",1,675
"Oct 18, 2022","1,700","255,774",1,675
"Oct 19, 2022","1,700","255,912",1,675
"Oct 20, 2022","1,703","256,172",1,675
"Oct 21, 2022","1,709","256,384",1,675
"Oct 22, 2022","1,712","256,669",1,675
"Oct 23, 2022","1,712","256,995",1,675
"Oct 24, 2022","1,716","257,266",1,675
"Oct 25, 2022","1,719","257,449",1,675
"Oct 26, 2022","1,720","257,634",1,675
"Oct 27, 2022","1,721","257,846",1,675
"Oct 28, 2022","1,723","258,028",1,675
"Oct 29, 2022","1,722","258,170",1,675
"Oct 30, 2022","1,722","258,296",1,675
"Oct 31, 2022","1,722","258,439",1,675
"Nov 01, 2022","1,723","259,702",1,675
"Nov 02, 2022","1,726","260,085",1,675
"Nov 03, 2022","1,731","268,309",1,675
"Nov 04, 2022","1,732","268,511",1,675
"Nov 05, 2022","1,734","268,711",1,675
"Nov 06, 2022","1,736","269,278",1,675
"Nov 07, 2022","1,738","269,428",1,675
"Nov 08, 2022","1,738","269,436",1,675
"Nov 09, 2022","1,738","269,703",1,675
"Nov 10, 2022","1,737","269,882",1,675
"Nov 11, 2022","1,739","270,225",1,674
"Nov 12, 2022","1,740","270,466",1,674
"Nov 13, 2022","1,736","270,539",1,674
"Nov 14, 2022","1,738","270,606",1,674
"Nov 15, 2022","1,738","270,643",1,674
"Nov 16, 2022","1,737","270,707",1,674
"Nov 17, 2022","1,736","270,797",1,674
"Nov 18, 2022","1,715","270,637",1,674
"Nov 19, 2022","1,717","270,355",1,674
"Nov 20, 2022","1,721","272,036",1,674
"Nov 21, 2022","1,728","272,436",1,674
"Nov 22, 2022","1,735","273,864",1,674
"Nov 23, 2022","1,738","274,977",1,674
"Nov 24, 2022","1,743","275,526",1,674
"Nov 25, 2022","1,747","276,426",1,674
"Nov 26, 2022","1,750","272,208",1,674
"Nov 27, 2022","1,750","276,578",1,674
"Nov 28, 2022","1,756","277,134",1,674
"Nov 29, 2022","1,763","278,216",1,674
"Nov 30, 2022","1,767","278,473",1,674
"Dec 01, 2022","1,763","278,497",1,674
"Dec 02, 2022","1,766","278,861",1,674
"Dec 03, 2022","1,745","278,321",1,674
"Dec 04, 2022","1,737","270,337",1,674
"Dec 05, 2022","1,712","268,348",1,674
"Dec 06, 2022","1,711","269,437",1,673
"Dec 07, 2022","1,700","269,826",1,673
"Dec 08, 2022","1,692","270,056",1,673
"Dec 09, 2022","1,688","269,640",1,673
"Dec 10, 2022","1,688","278,936",1,673
"Dec 11, 2022","1,680","275,741",1,673
"Dec 12, 2022","1,669","270,454",1,673
"Dec 13, 2022","1,676","270,045",1,673
"Dec 14, 2022","1,676","269,910",1,673
"Dec 15, 2022","1,673","265,699",1,673
"Dec 16, 2022","1,676","271,136",1,673
"Dec 17, 2022","1,677","266,309",1,673
"Dec 18, 2022","1,695","272,358",1,673
"Dec 19, 2022","1,702","278,381",1,673
"Dec 20, 2022","1,705","277,789",1,672
"Dec 21, 2022","1,706","274,032",1,672
"Dec 22, 2022","1,703","267,696",1,672
"Dec 23, 2022","1,703","276,929",1,672
"Dec 24, 2022","1,686","275,222",1,672
"Dec 25, 2022","1,661","277,055",1,672
"Dec 26, 2022","1,644","273,031",1,672
"Dec 27, 2022","1,634","274,131",1,672
"Dec 28, 2022","1,614","274,004",1,672
"Dec 29, 2022","1,583","258,542",1,672
"Dec 30, 2022","1,568","272,667",1,672
"Dec 31, 2022","1,551","270,611",1,672
"Jan 01, 2023","1,528","261,905",1,672
"Jan 02, 2023","1,554","277,198",1,672
"Jan 03, 2023","1,534","269,678",1,672
"Jan 04, 2023","1,525","269,199",1,672
"Jan 05, 2023","1,488","257,332",1,672
"Jan 06, 2023","1,468","255,595",1,672
"Jan 07, 2023","1,468","255,596",1,672
"Jan 08, 2023","1,469","255,586",1,672
"Jan 09, 2023","1,469","255,579",1,671
"Jan 10, 2023","1,488","271,053",1,671
