"DateTime","Spotify Streams","Change"
"2023-05-14 00:00:00",5736605,9696
"2023-05-13 00:00:00",5726909,9878
"2023-05-12 00:00:00",5717031,9878
"2023-05-11 00:00:00",5707153,9635
"2023-05-10 00:00:00",5697518,9757
"2023-05-09 00:00:00",5687761,0
"2023-05-08 00:00:00",5687761,18365
"2023-05-07 00:00:00",5669396,10042
"2023-05-06 00:00:00",5659354,0
"2023-05-05 00:00:00",5659354,20888
"2023-05-04 00:00:00",5638466,10408
"2023-05-03 00:00:00",5628058,10588
"2023-05-02 00:00:00",5617470,10236
"2023-05-01 00:00:00",5607234,10236
"2023-04-30 00:00:00",5596997,10236
"2023-04-29 00:00:00",5586761,10505
"2023-04-28 00:00:00",5576256,10505
"2023-04-27 00:00:00",5565751,10350
"2023-04-26 00:00:00",5555401,9972
"2023-04-25 00:00:00",5545430,9972
"2023-04-24 00:00:00",5535458,10122
"2023-04-23 00:00:00",5525336,10706
"2023-04-22 00:00:00",5514630,10901
"2023-04-21 00:00:00",5503729,10901
"2023-04-20 00:00:00",5492829,10901
"2023-04-19 00:00:00",5481928,10968
"2023-04-18 00:00:00",5470960,9451
"2023-04-17 00:00:00",5461509,10184
"2023-04-16 00:00:00",5451325,10974
"2023-04-15 00:00:00",5440351,11053
"2023-04-14 00:00:00",5429298,11107
"2023-04-13 00:00:00",5418191,11335
"2023-04-12 00:00:00",5406856,11183
"2023-04-11 00:00:00",5395673,10096
"2023-04-10 00:00:00",5385577,11470
"2023-04-09 00:00:00",5374107,11745
"2023-04-08 00:00:00",5362362,12434
"2023-04-07 00:00:00",5349928,12468
"2023-04-06 00:00:00",5337460,11972
"2023-04-05 00:00:00",5325488,12258
"2023-04-04 00:00:00",5313230,11045
"2023-04-03 00:00:00",5302185,11833
"2023-04-02 00:00:00",5290352,12425
"2023-04-01 00:00:00",5277927,12129
"2023-03-31 00:00:00",5265798,11414
"2023-03-30 00:00:00",5254384,11310
"2023-03-29 00:00:00",5243074,11365
"2023-03-28 00:00:00",5231709,10409
"2023-03-27 00:00:00",5221300,11085
"2023-03-26 00:00:00",5210215,11540
"2023-03-25 00:00:00",5198675,11412
"2023-03-24 00:00:00",5187263,11670
