Date,Playlist Count,Playlist Total Reach,Editorial Playlist Count,Editorial Playlist Total Reach
"Aug 13, 2022","1,450","237,578",,
"Aug 14, 2022","1,597","252,887",,
"Aug 15, 2022","1,738","362,360",1,675
"Aug 16, 2022","1,810","365,004",1,675
"Aug 17, 2022","1,873","369,988",1,675
"Aug 18, 2022","1,941","373,835",1,675
"Aug 19, 2022","1,984","379,495",1,675
"Aug 20, 2022","2,025","272,310",1,675
"Aug 21, 2022","2,055","228,781",1,675
"Aug 22, 2022","2,099","335,168",1,675
"Aug 23, 2022","2,158","338,087",1,675
"Aug 24, 2022","2,197","2,379,833",1,675
"Aug 25, 2022","2,236","2,355,721",1,675
"Aug 26, 2022","2,261","2,494,516",1,675
"Aug 27, 2022","2,280","2,495,026",1,675
"Aug 28, 2022","2,304","2,500,452",1,675
"Aug 29, 2022","2,312","2,499,636",1,675
"Aug 30, 2022","2,319","2,500,103",1,675
"Aug 31, 2022","2,347","2,500,651",1,675
"Sep 01, 2022","2,363","2,501,092",1,675
"Sep 02, 2022","2,373","2,501,559",1,675
"Sep 03, 2022","2,381","2,501,982",1,675
"Sep 04, 2022","2,394","2,502,034",1,675
"Sep 05, 2022","2,403","2,504,546",1,675
"Sep 06, 2022","2,416","2,505,562",1,675
"Sep 07, 2022","2,427","2,505,976",1,675
"Sep 08, 2022","2,443","2,505,057",1,675
"Sep 09, 2022","2,451","2,505,548",1,675
"Sep 10, 2022","2,461","2,505,996",1,675
"Sep 11, 2022","2,468","2,505,643",1,675
"Sep 12, 2022","2,474","2,395,334",1,675
"Sep 13, 2022","2,475","2,395,580",1,675
"Sep 14, 2022","2,477","2,395,777",1,675
"Sep 15, 2022","2,483","2,396,118",1,675
"Sep 16, 2022","2,495","2,404,673",1,675
"Sep 17, 2022","2,498","364,013",1,675
"Sep 18, 2022","2,507","364,382",1,675
"Sep 19, 2022","2,507","364,667",1,675
"Sep 20, 2022","2,511","301,782",1,675
"Sep 21, 2022","2,526","302,015",1,675
"Sep 22, 2022","2,701","304,315",1,675
"Sep 23, 2022","2,746","306,078",1,675
"Sep 24, 2022","2,760","306,551",1,675
"Sep 25, 2022","2,781","309,083",1,675
"Sep 26, 2022","2,790","309,393",1,675
"Sep 27, 2022","2,804","309,753",1,675
"Sep 28, 2022","2,822","310,122",1,675
"Sep 29, 2022","2,839","310,789",1,675
"Sep 30, 2022","2,855","419,471",1,675
"Oct 01, 2022","2,868","419,959",1,675
"Oct 02, 2022","2,883","420,386",1,675
"Oct 03, 2022","2,899","312,163",1,675
"Oct 04, 2022","2,931","313,218",1,675
"Oct 05, 2022","2,953","424,211",1,675
"Oct 06, 2022","2,975","424,735",1,675
"Oct 07, 2022","3,008","425,410",1,675
"Oct 08, 2022","3,019","315,534",1,675
"Oct 09, 2022","3,022","425,663",1,675
"Oct 10, 2022","3,036","426,136",1,675
"Oct 11, 2022","3,051","426,880",1,675
"Oct 12, 2022","3,060","427,306",1,675
"Oct 13, 2022","3,074","427,584",1,675
"Oct 14, 2022","3,096","428,173",1,675
"Oct 15, 2022","3,104","429,897",1,675
"Oct 16, 2022","3,114","430,405",1,675
"Oct 17, 2022","3,127","430,752",1,675
"Oct 18, 2022","3,137","431,162",1,675
