"DateTime","Spotify Streams","Change"
"2023-05-14 00:00:00",16506094,44056
"2023-05-13 00:00:00",16462038,44287
"2023-05-12 00:00:00",16417751,44287
"2023-05-11 00:00:00",16373464,44159
"2023-05-10 00:00:00",16329305,43705
"2023-05-09 00:00:00",16285600,0
"2023-05-08 00:00:00",16285600,78967
"2023-05-07 00:00:00",16206633,45859
"2023-05-06 00:00:00",16160774,0
"2023-05-05 00:00:00",16160774,95692
"2023-05-04 00:00:00",16065082,47984
"2023-05-03 00:00:00",16017098,46673
"2023-05-02 00:00:00",15970425,43066
"2023-05-01 00:00:00",15927359,43066
"2023-04-30 00:00:00",15884292,43066
"2023-04-29 00:00:00",15841226,47093
"2023-04-28 00:00:00",15794133,47093
"2023-04-27 00:00:00",15747040,47522
"2023-04-26 00:00:00",15699518,44574
"2023-04-25 00:00:00",15654944,44574
"2023-04-24 00:00:00",15610370,44651
"2023-04-23 00:00:00",15565719,48482
"2023-04-22 00:00:00",15517237,48869
"2023-04-21 00:00:00",15468368,49064
"2023-04-20 00:00:00",15419304,49064
"2023-04-19 00:00:00",15370240,48715
"2023-04-18 00:00:00",15321525,41900
"2023-04-17 00:00:00",15279625,44651
"2023-04-16 00:00:00",15234974,50746
"2023-04-15 00:00:00",15184228,50906
"2023-04-14 00:00:00",15133322,50417
"2023-04-13 00:00:00",15082905,52792
"2023-04-12 00:00:00",15030113,51362
"2023-04-11 00:00:00",14978751,45935
"2023-04-10 00:00:00",14932816,50679
"2023-04-09 00:00:00",14882137,55407
"2023-04-08 00:00:00",14826730,57606
"2023-04-07 00:00:00",14769124,57640
"2023-04-06 00:00:00",14711484,56166
"2023-04-05 00:00:00",14655318,56374
"2023-04-04 00:00:00",14598944,51317
"2023-04-03 00:00:00",14547627,52886
"2023-04-02 00:00:00",14494741,57735
"2023-04-01 00:00:00",14437006,56543
"2023-03-31 00:00:00",14380463,54310
"2023-03-30 00:00:00",14326153,52818
"2023-03-29 00:00:00",14273335,52309
"2023-03-28 00:00:00",14221026,46194
"2023-03-27 00:00:00",14174832,49029
"2023-03-26 00:00:00",14125803,54437
"2023-03-25 00:00:00",14071366,55035
"2023-03-24 00:00:00",14016331,56086
"2023-03-23 00:00:00",13960245,54594
"2023-03-22 00:00:00",13905651,55201
"2023-03-21 00:00:00",13850450,48708
"2023-03-20 00:00:00",13801742,50127
"2023-03-19 00:00:00",13751615,55230
"2023-03-18 00:00:00",13696385,57688
"2023-03-17 00:00:00",13638697,57197
