"DateTime","Spotify Streams","Change"
"2023-05-14 00:00:00",24062010,64867
"2023-05-13 00:00:00",23997143,69024
"2023-05-12 00:00:00",23928120,69024
"2023-05-11 00:00:00",23859096,72435
"2023-05-10 00:00:00",23786661,69393
"2023-05-09 00:00:00",23717268,0
"2023-05-08 00:00:00",23717268,126198
"2023-05-07 00:00:00",23591070,72173
"2023-05-06 00:00:00",23518897,0
"2023-05-05 00:00:00",23518897,140905
"2023-05-04 00:00:00",23377992,65428
"2023-05-03 00:00:00",23312564,66143
"2023-05-02 00:00:00",23246421,63026
"2023-05-01 00:00:00",23183395,63026
"2023-04-30 00:00:00",23120370,63026
"2023-04-29 00:00:00",23057344,67175
"2023-04-28 00:00:00",22990170,67175
"2023-04-27 00:00:00",22922995,68511
"2023-04-26 00:00:00",22854484,62956
"2023-04-25 00:00:00",22791528,62956
"2023-04-24 00:00:00",22728572,63338
"2023-04-23 00:00:00",22665234,68668
"2023-04-22 00:00:00",22596566,69267
"2023-04-21 00:00:00",22527299,68580
"2023-04-20 00:00:00",22458719,68580
"2023-04-19 00:00:00",22390139,68323
"2023-04-18 00:00:00",22321816,61284
"2023-04-17 00:00:00",22260532,65524
"2023-04-16 00:00:00",22195008,71347
"2023-04-15 00:00:00",22123661,71226
"2023-04-14 00:00:00",22052435,70360
"2023-04-13 00:00:00",21982075,72329
"2023-04-12 00:00:00",21909746,70848
"2023-04-11 00:00:00",21838898,65224
"2023-04-10 00:00:00",21773674,71463
"2023-04-09 00:00:00",21702211,77539
"2023-04-08 00:00:00",21624672,81724
"2023-04-07 00:00:00",21542948,80521
"2023-04-06 00:00:00",21462427,80355
"2023-04-05 00:00:00",21382072,84016
"2023-04-04 00:00:00",21298056,75244
"2023-04-03 00:00:00",21222812,79220
"2023-04-02 00:00:00",21143592,86917
"2023-04-01 00:00:00",21056675,79017
"2023-03-31 00:00:00",20977658,71869
"2023-03-30 00:00:00",20905789,77343
"2023-03-29 00:00:00",20828446,77354
"2023-03-28 00:00:00",20751092,71212
"2023-03-27 00:00:00",20679880,76472
"2023-03-26 00:00:00",20603408,80574
"2023-03-25 00:00:00",20522834,77525
"2023-03-24 00:00:00",20445309,76124
"2023-03-23 00:00:00",20369185,75920
"2023-03-22 00:00:00",20293265,76564
"2023-03-21 00:00:00",20216701,69345
"2023-03-20 00:00:00",20147356,72077
"2023-03-19 00:00:00",20075279,77661
"2023-03-18 00:00:00",19997618,78433
"2023-03-17 00:00:00",19919185,81037
"2023-03-16 00:00:00",19838148,78648
"2023-03-15 00:00:00",19759500,77253
"2023-03-14 00:00:00",19682247,71889
"2023-03-13 00:00:00",19610358,75140
"2023-03-12 00:00:00",19535218,79995
"2023-03-11 00:00:00",19455223,79064
"2023-03-10 00:00:00",19376159,77487
"2023-03-09 00:00:00",19298672,75574
"2023-03-08 00:00:00",19223098,76184
"2023-03-07 00:00:00",19146914,69965
"2023-03-06 00:00:00",19076949,74402
"2023-03-05 00:00:00",19002547,80578
"2023-03-04 00:00:00",18921969,78798
"2023-03-03 00:00:00",18843171,77155
"2023-03-02 00:00:00",18766016,76395
"2023-03-01 00:00:00",18689621,76420
"2023-02-28 00:00:00",18613201,68071
"2023-02-27 00:00:00",18545130,72553
"2023-02-26 00:00:00",18472577,77920
"2023-02-25 00:00:00",18394657,78091
"2023-02-24 00:00:00",18316566,81121
"2023-02-23 00:00:00",18235445,83729
"2023-02-22 00:00:00",18151716,76309
"2023-02-21 00:00:00",18075407,72195
"2023-02-20 00:00:00",18003212,77367
"2023-02-19 00:00:00",17925845,83445
"2023-02-18 00:00:00",17842400,82718
"2023-02-17 00:00:00",17759682,81993
"2023-02-16 00:00:00",17677689,82911
"2023-02-15 00:00:00",17594778,78784
"2023-02-14 00:00:00",17515994,74604
"2023-02-13 00:00:00",17441390,79087
"2023-02-12 00:00:00",17362303,86470
"2023-02-11 00:00:00",17275833,86997
"2023-02-10 00:00:00",17188836,84973
"2023-02-09 00:00:00",17103863,84053
"2023-02-08 00:00:00",17019810,86101
"2023-02-07 00:00:00",16933709,75217
"2023-02-06 00:00:00",16858492,80645
"2023-02-05 00:00:00",16777847,88427
"2023-02-04 00:00:00",16689420,89594
"2023-02-03 00:00:00",16599826,89871
"2023-02-02 00:00:00",16509955,91598
"2023-02-01 00:00:00",16418357,88859
"2023-01-31 00:00:00",16329498,78384
"2023-01-30 00:00:00",16251114,83822
"2023-01-29 00:00:00",16167292,92798
"2023-01-28 00:00:00",16074494,91270
"2023-01-27 00:00:00",15983224,89463
"2023-01-26 00:00:00",15893761,91319
"2023-01-25 00:00:00",15802442,90288
"2023-01-24 00:00:00",15712154,79624
"2023-01-23 00:00:00",15632530,84466
"2023-01-22 00:00:00",15548064,95476
"2023-01-21 00:00:00",15452588,94822
"2023-01-20 00:00:00",15357766,94731
"2023-01-19 00:00:00",15263035,96446
"2023-01-18 00:00:00",15166589,87929
"2023-01-17 00:00:00",15078660,82636
"2023-01-16 00:00:00",14996024,81537
"2023-01-15 00:00:00",14914487,98255
"2023-01-14 00:00:00",14816232,96920
"2023-01-13 00:00:00",14719312,95977
"2023-01-12 00:00:00",14623335,96293
"2023-01-11 00:00:00",14527042,98370
"2023-01-10 00:00:00",14428672,85146
"2023-01-09 00:00:00",14343526,88298
"2023-01-08 00:00:00",14255228,96382
"2023-01-07 00:00:00",14158846,98292
"2023-01-06 00:00:00",14060554,97914
"2023-01-05 00:00:00",13962640,92581
"2023-01-04 00:00:00",13870059,85532
"2023-01-03 00:00:00",13784527,77466
"2023-01-02 00:00:00",13707061,89562
"2023-01-01 00:00:00",13617499,92461
"2022-12-31 00:00:00",13525038,94914
"2022-12-30 00:00:00",13430124,96297
"2022-12-29 00:00:00",13333827,93906
"2022-12-28 00:00:00",13239921,84708
"2022-12-27 00:00:00",13155213,79152
"2022-12-26 00:00:00",13076061,86047
"2022-12-25 00:00:00",12990014,88180
"2022-12-24 00:00:00",12901834,94166
"2022-12-23 00:00:00",12807668,94939
"2022-12-22 00:00:00",12712729,94933
"2022-12-21 00:00:00",12617796,90964
"2022-12-20 00:00:00",12526832,80154
"2022-12-19 00:00:00",12446678,88107
"2022-12-18 00:00:00",12358571,92968
"2022-12-17 00:00:00",12265603,92908
"2022-12-16 00:00:00",12172695,90133
"2022-12-15 00:00:00",12082562,92541
"2022-12-14 00:00:00",11990021,94032
"2022-12-13 00:00:00",11895989,82306
"2022-12-12 00:00:00",11813683,84060
"2022-12-11 00:00:00",11729623,92459
"2022-12-10 00:00:00",11637164,97070
"2022-12-09 00:00:00",11540094,95969
"2022-12-08 00:00:00",11444125,93886
"2022-12-07 00:00:00",11350239,92734
"2022-12-06 00:00:00",11257505,86140
"2022-12-05 00:00:00",11171365,86140
"2022-12-04 00:00:00",11085225,86140
"2022-12-03 00:00:00",10999084,86140
"2022-12-02 00:00:00",10912944,86140
"2022-12-01 00:00:00",10826804,83251
"2022-11-30 00:00:00",10743553,81430
"2022-11-29 00:00:00",10662123,69902
"2022-11-28 00:00:00",10592221,71484
"2022-11-27 00:00:00",10520737,70702
"2022-11-26 00:00:00",10450035,78268
"2022-11-25 00:00:00",10371767,87771
"2022-11-24 00:00:00",10283996,87246
"2022-11-23 00:00:00",10196750,84547
"2022-11-22 00:00:00",10112203,78287
"2022-11-21 00:00:00",10033916,82290
"2022-11-20 00:00:00",9951626,89722
"2022-11-19 00:00:00",9861904,86715
"2022-11-18 00:00:00",9775189,85133
"2022-11-17 00:00:00",9690056,82319
"2022-11-16 00:00:00",9607737,81799
"2022-11-15 00:00:00",9525938,71212
"2022-11-14 00:00:00",9454726,74486
"2022-11-13 00:00:00",9380240,81817
"2022-11-12 00:00:00",9298423,80756
"2022-11-11 00:00:00",9217667,78234
"2022-11-10 00:00:00",9139433,76492
"2022-11-09 00:00:00",9062941,75674
"2022-11-08 00:00:00",8987267,68036
"2022-11-07 00:00:00",8919231,72445
"2022-11-06 00:00:00",8846786,76846
"2022-11-05 00:00:00",8769940,79523
"2022-11-04 00:00:00",8690417,76930
"2022-11-03 00:00:00",8613487,71037
"2022-11-02 00:00:00",8542450,72963
"2022-11-01 00:00:00",8469487,65979
"2022-10-31 00:00:00",8403508,71155
"2022-10-30 00:00:00",8332353,77837
"2022-10-29 00:00:00",8254516,79061
"2022-10-28 00:00:00",8175455,79218
"2022-10-27 00:00:00",8096237,78320
"2022-10-26 00:00:00",8017917,78899
"2022-10-25 00:00:00",7939018,71548
"2022-10-24 00:00:00",7867470,75395
"2022-10-23 00:00:00",7792075,83185
"2022-10-22 00:00:00",7708890,82099
"2022-10-21 00:00:00",7626791,79918
"2022-10-20 00:00:00",7546873,82142
"2022-10-19 00:00:00",7464731,82549
"2022-10-18 00:00:00",7382182,72691
"2022-10-17 00:00:00",7309491,76150
"2022-10-16 00:00:00",7233341,86026
"2022-10-15 00:00:00",7147315,174130
"2022-10-14 00:00:00",6973185,0
"2022-10-13 00:00:00",6973185,84359
"2022-10-12 00:00:00",6888826,84609
"2022-10-11 00:00:00",6804217,76025
"2022-10-10 00:00:00",6728192,81340
"2022-10-09 00:00:00",6646852,88016
"2022-10-08 00:00:00",6558836,86473
"2022-10-07 00:00:00",6472363,85576
"2022-10-06 00:00:00",6386787,85322
"2022-10-05 00:00:00",6301465,87179
"2022-10-04 00:00:00",6214286,77985
"2022-10-03 00:00:00",6136301,84038
"2022-10-02 00:00:00",6052263,87800
"2022-10-01 00:00:00",5964463,86485
"2022-09-30 00:00:00",5877978,87611
"2022-09-29 00:00:00",5790367,89016
"2022-09-28 00:00:00",5701351,91250
"2022-09-27 00:00:00",5610101,85399
"2022-09-26 00:00:00",5524702,88078
"2022-09-25 00:00:00",5436624,97080
"2022-09-24 00:00:00",5339544,98228
"2022-09-23 00:00:00",5241316,183389
