Date,Playlist Count,Playlist Total Reach,Editorial Playlist Count,Editorial Playlist Total Reach
"Aug 13, 2022","1,049","187,153",,
"Aug 14, 2022","1,146","196,711",,
"Aug 15, 2022","1,240","202,057",1,675
"Aug 16, 2022","1,295","207,039",1,675
"Aug 17, 2022","1,364","208,552",1,675
"Aug 18, 2022","1,426","209,774",1,675
"Aug 19, 2022","1,472","214,654",1,675
"Aug 20, 2022","1,492","210,524",1,675
"Aug 21, 2022","1,516","185,179",1,675
"Aug 22, 2022","1,537","185,739",1,675
"Aug 23, 2022","1,557","187,046",1,675
"Aug 24, 2022","1,574","2,228,769",1,675
"Aug 25, 2022","1,601","2,202,179",1,675
"Aug 26, 2022","1,618","2,278,743",1,675
"Aug 27, 2022","1,636","2,341,664",1,675
"Aug 28, 2022","1,641","2,344,138",1,675
"Aug 29, 2022","1,644","2,343,200",1,675
"Aug 30, 2022","1,654","2,343,470",1,675
"Aug 31, 2022","1,665","2,343,713",1,675
"Sep 01, 2022","1,676","2,343,848",1,675
"Sep 02, 2022","1,683","2,341,874",1,675
"Sep 03, 2022","1,688","2,342,027",1,675
"Sep 04, 2022","1,692","2,341,943",1,675
"Sep 05, 2022","1,697","2,342,592",1,675
"Sep 06, 2022","1,702","2,343,479",1,675
"Sep 07, 2022","1,708","2,343,845",1,675
"Sep 08, 2022","1,717","2,344,148",1,675
"Sep 09, 2022","1,723","2,344,504",1,675
"Sep 10, 2022","1,728","2,344,728",1,675
"Sep 11, 2022","1,733","2,345,013",1,675
"Sep 12, 2022","1,736","2,340,559",1,675
"Sep 13, 2022","1,738","2,340,755",1,675
"Sep 14, 2022","1,743","2,341,035",1,675
"Sep 15, 2022","1,748","2,341,308",1,675
"Sep 16, 2022","1,751","2,349,720",1,675
"Sep 17, 2022","1,754","308,994",1,675
"Sep 18, 2022","1,756","309,263",1,675
"Sep 19, 2022","1,757","309,467",1,675
"Sep 20, 2022","1,760","246,527",1,675
"Sep 21, 2022","1,764","246,699",1,675
"Sep 22, 2022","1,766","246,897",1,675
"Sep 23, 2022","1,773","248,153",1,675
"Sep 24, 2022","1,776","248,499",1,675
"Sep 25, 2022","1,782","248,840",1,675
"Sep 26, 2022","1,782","248,977",1,675
"Sep 27, 2022","1,783","249,340",1,675
"Sep 28, 2022","1,784","249,658",1,675
"Sep 29, 2022","1,786","249,868",1,675
"Sep 30, 2022","1,790","249,957",1,675
"Oct 01, 2022","1,791","250,237",1,675
"Oct 02, 2022","1,795","250,431",1,675
"Oct 03, 2022","1,798","250,654",1,675
"Oct 04, 2022","1,801","250,987",1,675
"Oct 05, 2022","1,804","251,653",1,675
"Oct 06, 2022","1,812","251,948",1,675
"Oct 07, 2022","1,818","252,175",1,675
"Oct 08, 2022","1,820","251,603",1,675
"Oct 09, 2022","1,821","251,803",1,675
"Oct 10, 2022","1,825","251,947",1,675
"Oct 11, 2022","1,823","252,176",1,675
"Oct 12, 2022","1,829","252,478",1,675
"Oct 13, 2022","1,837","252,704",1,675
"Oct 14, 2022","1,840","252,964",1,675
"Oct 15, 2022","1,843","253,116",1,675
"Oct 16, 2022","1,847","253,298",1,675
"Oct 17, 2022","1,846","253,467",1,675
"Oct 18, 2022","1,848","253,623",1,675
"Oct 19, 2022","1,850","253,801",1,675
"Oct 20, 2022","1,854","254,031",1,675
"Oct 21, 2022","1,861","254,247",1,675
"Oct 22, 2022","1,862","254,532",1,675
"Oct 23, 2022","1,862","254,819",1,675
"Oct 24, 2022","1,865","255,024",1,675
"Oct 25, 2022","1,866","255,248",1,675
"Oct 26, 2022","1,864","255,398",1,675
"Oct 27, 2022","1,868","255,628",1,675
"Oct 28, 2022","1,867","255,756",1,675
"Oct 29, 2022","1,869","255,911",1,675
"Oct 30, 2022","1,868","256,029",1,675
"Oct 31, 2022","1,869","256,194",1,675
"Nov 01, 2022","1,869","257,248",1,675
"Nov 02, 2022","1,873","257,618",1,675
"Nov 03, 2022","1,882","265,890",1,675
"Nov 04, 2022","1,885","266,063",1,675
"Nov 05, 2022","1,885","266,239",1,675
"Nov 06, 2022","1,889","266,812",1,675
"Nov 07, 2022","1,890","266,942",1,675
"Nov 08, 2022","1,890","267,062",1,675
"Nov 09, 2022","1,892","267,391",1,675
"Nov 10, 2022","1,893","267,569",1,675
"Nov 11, 2022","1,896","267,911",1,674
"Nov 12, 2022","1,894","268,119",1,674
"Nov 13, 2022","1,893","268,208",1,674
"Nov 14, 2022","1,894","268,247",1,674
"Nov 15, 2022","1,897","268,321",1,674
"Nov 16, 2022","1,895","268,377",1,674
"Nov 17, 2022","1,894","268,460",1,674
"Nov 18, 2022","1,870","268,419",1,674
"Nov 19, 2022","1,872","268,075",1,674
"Nov 20, 2022","1,878","269,732",1,674
"Nov 21, 2022","1,885","270,100",1,674
"Nov 22, 2022","1,890","271,456",1,674
"Nov 23, 2022","1,892","272,641",1,674
"Nov 24, 2022","1,892","273,180",1,674
"Nov 25, 2022","1,899","274,065",1,674
"Nov 26, 2022","1,904","269,873",1,674
"Nov 27, 2022","1,908","274,302",1,674
"Nov 28, 2022","1,910","274,836",1,674
"Nov 29, 2022","1,918","275,917",1,674
"Nov 30, 2022","1,922","276,181",1,674
"Dec 01, 2022","1,924","276,212",1,674
"Dec 02, 2022","1,929","276,720",1,674
"Dec 03, 2022","1,911","276,217",1,674
"Dec 04, 2022","1,903","267,960",1,674
"Dec 05, 2022","1,876","266,924",1,674
"Dec 06, 2022","1,874","266,877",1,673
"Dec 07, 2022","1,867","267,498",1,673
"Dec 08, 2022","1,862","267,735",1,673
"Dec 09, 2022","1,855","267,310",1,673
"Dec 10, 2022","1,854","278,016",1,673
"Dec 11, 2022","1,849","284,993",1,673
"Dec 12, 2022","1,845","288,833",1,673
"Dec 13, 2022","1,846","284,236",1,673
"Dec 14, 2022","1,848","283,735",1,673
"Dec 15, 2022","1,843","277,846",1,673
"Dec 16, 2022","1,854","282,865",1,673
"Dec 17, 2022","1,855","280,321",1,673
"Dec 18, 2022","1,873","281,912",1,673
"Dec 19, 2022","1,881","290,313",1,673
"Dec 20, 2022","1,881","286,185",1,672
"Dec 21, 2022","1,884","284,982",1,672
"Dec 22, 2022","1,885","280,754",1,672
"Dec 23, 2022","1,887","289,440",1,672
"Dec 24, 2022","1,871","286,827",1,672
"Dec 25, 2022","1,845","288,734",1,672
"Dec 26, 2022","1,829","283,503",1,672
"Dec 27, 2022","1,810","286,242",1,672
"Dec 28, 2022","1,786","287,518",1,672
"Dec 29, 2022","1,752","271,392",1,672
"Dec 30, 2022","1,727","282,947",1,672
"Dec 31, 2022","1,705","280,675",1,672
"Jan 01, 2023","1,691","274,053",1,672
"Jan 02, 2023","1,720","288,177",1,672
"Jan 03, 2023","1,704","285,583",1,672
"Jan 04, 2023","1,697","275,145",1,672
"Jan 05, 2023","1,668","271,729",1,672
"Jan 06, 2023","1,642","269,841",1,672
"Jan 07, 2023","1,642","269,844",1,672
"Jan 08, 2023","1,644","269,837",1,672
"Jan 09, 2023","1,645","269,832",1,671
"Jan 10, 2023","1,661","284,158",1,671
"Jan 11, 2023","1,680","296,028",1,671
"Jan 12, 2023","1,691","298,046",1,671
"Jan 13, 2023","1,705","298,901",1,671
"Jan 14, 2023","1,714","299,824",1,671
"Jan 15, 2023","1,728","300,098",1,671
"Jan 16, 2023","2,335","308,279",1,671
"Jan 17, 2023","2,335","308,411",1,671
"Jan 18, 2023","2,336","308,732",1,671
"Jan 19, 2023","2,342","308,770",1,671
"Jan 20, 2023","2,342","308,915",1,671
"Jan 21, 2023","2,342","308,969",1,671
"Jan 22, 2023","2,344","309,032",1,671
"Jan 23, 2023","2,347","309,232",1,671
"Jan 24, 2023","2,349","309,322",1,671
"Jan 25, 2023","2,349","309,377",1,671
"Jan 26, 2023","2,351","309,457",1,671
"Jan 27, 2023","2,352","309,450",1,671
"Jan 28, 2023","2,351","309,481",1,671
"Jan 29, 2023","2,353","309,656",1,671
"Jan 30, 2023","2,354","309,698",1,670
"Jan 31, 2023","2,356","309,932",1,670
"Feb 01, 2023","2,358","311,771",1,670
"Feb 02, 2023","2,359","311,830",1,670
"Feb 03, 2023","2,361","311,886",1,670
"Feb 04, 2023","2,359","311,950",1,670
"Feb 05, 2023","2,361","312,014",1,670
"Feb 06, 2023","2,360","312,463",1,670
"Feb 07, 2023","2,362","312,598",1,670
"Feb 08, 2023","2,365","312,653",1,670
"Feb 09, 2023","2,366","312,725",1,670
"Feb 10, 2023","2,368","312,878",1,670
"Feb 11, 2023","2,367","312,955",1,670
"Feb 12, 2023","2,367","313,103",1,670
"Feb 13, 2023","2,366","313,162",1,670
"Feb 14, 2023","2,365","313,267",1,670
"Feb 15, 2023","2,366","315,471",1,670
"Feb 16, 2023","2,368","315,695",1,670
"Feb 17, 2023","2,368","315,845",1,670
"Feb 18, 2023","2,368","316,144",1,670
"Feb 19, 2023","2,369","316,382",1,670
"Feb 20, 2023","2,369","316,699",1,670
"Feb 21, 2023","2,368","317,223",1,670
"Feb 22, 2023","2,368","317,486",1,669
"Feb 23, 2023","2,368","317,725",1,669
"Feb 24, 2023","2,367","318,120",1,669
"Feb 25, 2023","2,365","318,423",1,669
"Feb 26, 2023","2,365","318,910",1,669
"Feb 27, 2023","2,365","319,323",1,669
"Mar 01, 2023","2,360","319,681",1,669
"Mar 02, 2023","2,364","320,082",1,669
"Mar 03, 2023","2,369","320,483",1,669
"Mar 04, 2023","2,379","320,928",1,669
"Mar 05, 2023","2,382","321,421",1,669
"Mar 06, 2023","2,386","321,848",1,669
"Mar 07, 2023","2,393","322,137",1,669
"Mar 08, 2023","2,397","323,735",1,669
"Mar 09, 2023","2,400","324,085",1,669
"Mar 10, 2023","2,402","324,644",1,669
"Mar 11, 2023","2,404","325,104",1,669
"Mar 12, 2023","2,407","325,425",1,669
"Mar 13, 2023","2,410","325,854",1,669
"Mar 14, 2023","2,411","326,361",1,669
"Mar 15, 2023","2,418","327,243",1,669
"Mar 16, 2023","2,417","322,995",1,669
