"DateTime","Spotify Streams","Change"
"2023-05-14 00:00:00",26042422,28633
"2023-05-13 00:00:00",26013789,28657
"2023-05-12 00:00:00",25985133,28657
"2023-05-11 00:00:00",25956476,28317
"2023-05-10 00:00:00",25928159,27607
"2023-05-09 00:00:00",25900552,0
"2023-05-08 00:00:00",25900552,51629
"2023-05-07 00:00:00",25848923,29528
"2023-05-06 00:00:00",25819395,0
"2023-05-05 00:00:00",25819395,61604
"2023-05-04 00:00:00",25757791,29316
"2023-05-03 00:00:00",25728475,28991
"2023-05-02 00:00:00",25699484,31144
"2023-05-01 00:00:00",25668340,31144
"2023-04-30 00:00:00",25637195,31144
"2023-04-29 00:00:00",25606051,30745
"2023-04-28 00:00:00",25575307,30745
"2023-04-27 00:00:00",25544562,30096
"2023-04-26 00:00:00",25514466,27490
"2023-04-25 00:00:00",25486977,27490
"2023-04-24 00:00:00",25459487,28259
"2023-04-23 00:00:00",25431228,30689
"2023-04-22 00:00:00",25400539,30600
"2023-04-21 00:00:00",25369939,29719
"2023-04-20 00:00:00",25340221,29719
"2023-04-19 00:00:00",25310502,29358
"2023-04-18 00:00:00",25281144,26714
"2023-04-17 00:00:00",25254430,28817
"2023-04-16 00:00:00",25225613,31127
"2023-04-15 00:00:00",25194486,31412
"2023-04-14 00:00:00",25163074,30614
"2023-04-13 00:00:00",25132460,31361
"2023-04-12 00:00:00",25101099,30992
"2023-04-11 00:00:00",25070107,27622
"2023-04-10 00:00:00",25042485,31537
"2023-04-09 00:00:00",25010948,33918
"2023-04-08 00:00:00",24977030,36304
"2023-04-07 00:00:00",24940726,35436
"2023-04-06 00:00:00",24905290,36322
"2023-04-05 00:00:00",24868968,35833
"2023-04-04 00:00:00",24833135,32281
"2023-04-03 00:00:00",24800854,34050
"2023-04-02 00:00:00",24766804,36266
"2023-04-01 00:00:00",24730538,32660
"2023-03-31 00:00:00",24697878,31282
"2023-03-30 00:00:00",24666596,31182
"2023-03-29 00:00:00",24635414,31154
"2023-03-28 00:00:00",24604260,28499
"2023-03-27 00:00:00",24575761,30410
"2023-03-26 00:00:00",24545351,32651
"2023-03-25 00:00:00",24512700,32792
"2023-03-24 00:00:00",24479908,32988
"2023-03-23 00:00:00",24446920,33820
"2023-03-22 00:00:00",24413100,33140
"2023-03-21 00:00:00",24379960,30181
"2023-03-20 00:00:00",24349779,32371
"2023-03-19 00:00:00",24317408,34198
"2023-03-18 00:00:00",24283210,33711
"2023-03-17 00:00:00",24249499,33824
"2023-03-16 00:00:00",24215675,33809
"2023-03-15 00:00:00",24181866,32858
"2023-03-14 00:00:00",24149008,0
"2023-03-13 00:00:00",24149008,30456
"2023-03-12 00:00:00",24118552,67860
"2023-03-11 00:00:00",24050692,34031
"2023-03-10 00:00:00",24016661,33579
"2023-03-09 00:00:00",23983082,33786
"2023-03-08 00:00:00",23949296,33748
"2023-03-07 00:00:00",23915548,32345
"2023-03-06 00:00:00",23883203,34457
"2023-03-05 00:00:00",23848746,36856
"2023-03-04 00:00:00",23811890,35771
"2023-03-03 00:00:00",23776119,34985
"2023-03-02 00:00:00",23741134,35288
"2023-03-01 00:00:00",23705846,34914
"2023-02-28 00:00:00",23670932,35106
"2023-02-27 00:00:00",23635826,39911
"2023-02-26 00:00:00",23595915,43552
"2023-02-25 00:00:00",23552363,45662
"2023-02-24 00:00:00",23506701,46369
"2023-02-23 00:00:00",23460332,46741
"2023-02-22 00:00:00",23413591,45514
"2023-02-21 00:00:00",23368077,42740
"2023-02-20 00:00:00",23325337,45862
"2023-02-19 00:00:00",23279475,48605
"2023-02-18 00:00:00",23230870,48167
"2023-02-17 00:00:00",23182703,47889
"2023-02-16 00:00:00",23134814,48542
"2023-02-15 00:00:00",23086272,44060
"2023-02-14 00:00:00",23042212,42367
"2023-02-13 00:00:00",22999845,45468
"2023-02-12 00:00:00",22954377,49075
"2023-02-11 00:00:00",22905302,50114
"2023-02-10 00:00:00",22855188,48862
"2023-02-09 00:00:00",22806326,49235
"2023-02-08 00:00:00",22757091,48413
"2023-02-07 00:00:00",22708678,42625
"2023-02-06 00:00:00",22666053,46519
"2023-02-05 00:00:00",22619534,51855
"2023-02-04 00:00:00",22567679,53089
"2023-02-03 00:00:00",22514590,0
"2023-02-02 00:00:00",22514590,106966
"2023-02-01 00:00:00",22407624,52728
"2023-01-31 00:00:00",22354896,48017
"2023-01-30 00:00:00",22306879,52913
"2023-01-29 00:00:00",22253966,55715
"2023-01-28 00:00:00",22198251,0
"2023-01-27 00:00:00",22198251,113393
"2023-01-26 00:00:00",22084858,56801
"2023-01-25 00:00:00",22028057,55339
"2023-01-24 00:00:00",21972718,51425
"2023-01-23 00:00:00",21921293,55522
"2023-01-22 00:00:00",21865771,57108
"2023-01-21 00:00:00",21808663,56460
"2023-01-20 00:00:00",21752203,55850
"2023-01-19 00:00:00",21696353,56741
"2023-01-18 00:00:00",21639612,52055
"2023-01-17 00:00:00",21587557,48117
"2023-01-16 00:00:00",21539440,49158
"2023-01-15 00:00:00",21490282,59423
"2023-01-14 00:00:00",21430859,59616
"2023-01-13 00:00:00",21371243,59468
"2023-01-12 00:00:00",21311775,60298
"2023-01-11 00:00:00",21251477,60159
"2023-01-10 00:00:00",21191318,0
"2023-01-09 00:00:00",21191318,113630
"2023-01-08 00:00:00",21077688,63690
"2023-01-07 00:00:00",21013998,67396
"2023-01-06 00:00:00",20946602,66392
"2023-01-05 00:00:00",20880210,65032
"2023-01-04 00:00:00",20815178,61620
"2023-01-03 00:00:00",20753558,56189
"2023-01-02 00:00:00",20697369,65345
"2023-01-01 00:00:00",20632024,68849
"2022-12-31 00:00:00",20563175,65790
"2022-12-30 00:00:00",20497385,65209
"2022-12-29 00:00:00",20432176,64130
"2022-12-28 00:00:00",20368046,58469
"2022-12-27 00:00:00",20309577,51327
"2022-12-26 00:00:00",20258250,58381
"2022-12-25 00:00:00",20199869,63787
"2022-12-24 00:00:00",20136082,69084
"2022-12-23 00:00:00",20066998,73304
"2022-12-22 00:00:00",19993694,72213
"2022-12-21 00:00:00",19921481,69532
"2022-12-20 00:00:00",19851949,63763
"2022-12-19 00:00:00",19788186,71910
"2022-12-18 00:00:00",19716276,76116
"2022-12-17 00:00:00",19640160,73116
"2022-12-16 00:00:00",19567044,71839
"2022-12-15 00:00:00",19495205,70834
"2022-12-14 00:00:00",19424371,70096
"2022-12-13 00:00:00",19354275,61458
"2022-12-12 00:00:00",19292817,66659
"2022-12-11 00:00:00",19226158,74643
"2022-12-10 00:00:00",19151515,80230
"2022-12-09 00:00:00",19071285,80169
"2022-12-08 00:00:00",18991116,79097
"2022-12-07 00:00:00",18912019,85924
"2022-12-06 00:00:00",18826095,86237
"2022-12-05 00:00:00",18739858,86237
"2022-12-04 00:00:00",18653621,86237
"2022-12-03 00:00:00",18567384,86237
"2022-12-02 00:00:00",18481147,86237
"2022-12-01 00:00:00",18394910,76728
"2022-11-30 00:00:00",18318182,76004
"2022-11-29 00:00:00",18242178,66612
"2022-11-28 00:00:00",18175566,69425
"2022-11-27 00:00:00",18106141,68735
"2022-11-26 00:00:00",18037406,74834
"2022-11-25 00:00:00",17962572,85741
"2022-11-24 00:00:00",17876831,86777
"2022-11-23 00:00:00",17790054,86444
"2022-11-22 00:00:00",17703610,78612
"2022-11-21 00:00:00",17624998,87818
"2022-11-20 00:00:00",17537180,97499
"2022-11-19 00:00:00",17439681,91759
"2022-11-18 00:00:00",17347922,91153
"2022-11-17 00:00:00",17256769,88073
"2022-11-16 00:00:00",17168696,86793
"2022-11-15 00:00:00",17081903,76849
"2022-11-14 00:00:00",17005054,84757
"2022-11-13 00:00:00",16920297,97180
"2022-11-12 00:00:00",16823117,96100
"2022-11-11 00:00:00",16727017,89959
"2022-11-10 00:00:00",16637058,87990
"2022-11-09 00:00:00",16549068,85662
"2022-11-08 00:00:00",16463406,75793
"2022-11-07 00:00:00",16387613,90137
"2022-11-06 00:00:00",16297476,98634
"2022-11-05 00:00:00",16198842,129580
"2022-11-04 00:00:00",16069262,125696
"2022-11-03 00:00:00",15943566,115271
"2022-11-02 00:00:00",15828295,113273
"2022-11-01 00:00:00",15715022,99736
"2022-10-31 00:00:00",15615286,112672
"2022-10-30 00:00:00",15502614,124779
"2022-10-29 00:00:00",15377835,126367
"2022-10-28 00:00:00",15251468,126209
"2022-10-27 00:00:00",15125259,125087
"2022-10-26 00:00:00",15000172,119139
"2022-10-25 00:00:00",14881033,106212
"2022-10-24 00:00:00",14774821,118905
"2022-10-23 00:00:00",14655916,133266
"2022-10-22 00:00:00",14522650,128920
"2022-10-21 00:00:00",14393730,127979
"2022-10-20 00:00:00",14265751,131492
"2022-10-19 00:00:00",14134259,129525
"2022-10-18 00:00:00",14004734,114971
"2022-10-17 00:00:00",13889763,129051
"2022-10-16 00:00:00",13760712,140521
"2022-10-15 00:00:00",13620191,271471
"2022-10-14 00:00:00",13348720,0
"2022-10-13 00:00:00",13348720,139759
"2022-10-12 00:00:00",13208961,134641
"2022-10-11 00:00:00",13074320,118138
"2022-10-10 00:00:00",12956182,133679
"2022-10-09 00:00:00",12822503,149298
"2022-10-08 00:00:00",12673205,145949
"2022-10-07 00:00:00",12527256,140872
"2022-10-06 00:00:00",12386384,138205
"2022-10-05 00:00:00",12248179,134914
"2022-10-04 00:00:00",12113265,117360
"2022-10-03 00:00:00",11995905,134908
"2022-10-02 00:00:00",11860997,151584
"2022-10-01 00:00:00",11709413,152802
"2022-09-30 00:00:00",11556611,151725
"2022-09-29 00:00:00",11404886,149818
"2022-09-28 00:00:00",11255068,140454
"2022-09-27 00:00:00",11114614,124315
"2022-09-26 00:00:00",10990299,139404
"2022-09-25 00:00:00",10850895,153951
"2022-09-24 00:00:00",10696944,157910
"2022-09-23 00:00:00",10539034,303523
"2022-09-22 00:00:00",10235511,0
"2022-09-21 00:00:00",10235511,147418
"2022-09-20 00:00:00",10088093,133249
"2022-09-19 00:00:00",9954844,151662
"2022-09-18 00:00:00",9803182,167007
"2022-09-17 00:00:00",9636175,169092
"2022-09-16 00:00:00",9467083,167694
"2022-09-15 00:00:00",9299389,167349
"2022-09-14 00:00:00",9132040,166590
"2022-09-13 00:00:00",8965450,142510
"2022-09-12 00:00:00",8822940,158221
"2022-09-11 00:00:00",8664719,178322
"2022-09-10 00:00:00",8486397,191612
"2022-09-09 00:00:00",8294785,194331
"2022-09-08 00:00:00",8100454,372070
"2022-09-07 00:00:00",7728384,0
"2022-09-06 00:00:00",7728384,172723
"2022-09-05 00:00:00",7555661,196190
"2022-09-04 00:00:00",7359471,220649
"2022-09-03 00:00:00",7138822,224028
"2022-09-02 00:00:00",6914794,226372
"2022-09-01 00:00:00",6688422,226219
"2022-08-31 00:00:00",6462203,225308
"2022-08-30 00:00:00",6236895,203302
"2022-08-29 00:00:00",6033593,223844
"2022-08-28 00:00:00",5809749,257483
"2022-08-27 00:00:00",5552266,274644
"2022-08-26 00:00:00",5277622,276424
"2022-08-25 00:00:00",5001198,281347
"2022-08-24 00:00:00",4719851,283392
"2022-08-23 00:00:00",4436459,260458
"2022-08-22 00:00:00",4176001,655804
"2022-08-21 00:00:00",3520197,0
"2022-08-20 00:00:00",3520197,400823
"2022-08-19 00:00:00",3119374,397625
"2022-08-18 00:00:00",2721749,420464
"2022-08-17 00:00:00",2301285,444802
"2022-08-16 00:00:00",1856483,435365
"2022-08-15 00:00:00",1421118,563407
"2022-08-14 00:00:00",857711,0
