Date,Playlist Count,Playlist Total Reach,Editorial Playlist Count,Editorial Playlist Total Reach
"Nov 18, 2022",11,"5,138",,
"Nov 19, 2022",43,"114,331",,
"Nov 20, 2022",98,"121,653",,
"Nov 21, 2022",198,"160,779",,
"Nov 22, 2022",275,"165,906",,
"Nov 23, 2022",319,"143,564",,
"Nov 24, 2022",367,"144,637",,
"Nov 25, 2022",439,"147,191",,
"Nov 26, 2022",464,"139,381",,
"Nov 27, 2022",531,"139,625",,
"Nov 28, 2022",639,"140,316",,
"Nov 29, 2022",701,"140,682",,
"Nov 30, 2022",756,"139,792",,
"Dec 01, 2022",833,"138,853",,
"Dec 02, 2022",891,"143,967",,
"Dec 03, 2022",900,"143,325",,
"Dec 04, 2022",943,"146,546",,
"Dec 05, 2022",966,"132,074",,
"Dec 06, 2022",978,"81,647",,
"Dec 07, 2022",982,"78,777",,
"Dec 08, 2022",985,"78,080",,
"Dec 09, 2022",983,"77,618",,
"Dec 10, 2022",994,"85,095",,
"Dec 11, 2022","1,000","81,298",,
"Dec 12, 2022","1,020","87,644",,
"Dec 13, 2022","1,030","88,195",,
"Dec 14, 2022","1,038","82,643",,
"Dec 15, 2022","1,033","77,143",,
"Dec 16, 2022","1,051","84,113",,
"Dec 17, 2022","1,053","83,176",,
"Dec 18, 2022","1,061","87,430",,
"Dec 19, 2022","1,070","86,341",,
"Dec 20, 2022","1,070","84,664",,
"Dec 21, 2022","1,070","84,255",,
"Dec 22, 2022","1,072","71,535",,
"Dec 23, 2022","1,073","85,952",,
"Dec 24, 2022","1,047","76,185",,
"Dec 25, 2022","1,024","82,134",,
"Dec 26, 2022","1,004","84,961",,
"Dec 27, 2022",999,"83,656",,
"Dec 28, 2022",977,"85,358",,
"Dec 29, 2022",954,"81,346",,
"Dec 30, 2022",941,"78,968",,
"Dec 31, 2022",933,"76,141",,
"Jan 01, 2023",911,"75,072",,
"Jan 02, 2023",903,"78,142",,
"Jan 03, 2023",890,"77,197",,
"Jan 04, 2023",875,"73,947",,
"Jan 05, 2023",849,"56,188",,
"Jan 06, 2023",839,"55,574",,
"Jan 07, 2023",837,"55,570",,
"Jan 08, 2023",838,"55,576",,
"Jan 09, 2023",837,"55,471",,
"Jan 10, 2023",850,"66,012",,
"Jan 11, 2023",876,"77,013",,
