Date,Playlist Count,Playlist Total Reach,Editorial Playlist Count,Editorial Playlist Total Reach
"Nov 18, 2022",9,"5,650",,
"Nov 19, 2022",38,"133,020",,
"Nov 20, 2022",90,"146,188",,
"Nov 21, 2022",183,"189,924",,
"Nov 22, 2022",265,"187,395",,
"Nov 23, 2022",312,"197,993",,
"Nov 24, 2022",368,"203,400",,
"Nov 25, 2022",437,"204,608",,
"Nov 26, 2022",482,"203,580",,
"Nov 27, 2022",543,"203,865",,
"Nov 28, 2022",666,"219,393",,
"Nov 29, 2022",733,"220,296",,
"Nov 30, 2022",789,"219,427",,
"Dec 01, 2022",858,"219,825",,
"Dec 02, 2022",927,"222,658",,
"Dec 03, 2022",940,"199,141",,
"Dec 04, 2022",983,"198,330",,
"Dec 05, 2022","1,015","171,467",,
"Dec 06, 2022","1,039","133,997",,
"Dec 07, 2022","1,039","140,866",,
"Dec 08, 2022","1,034","139,881",,
"Dec 09, 2022","1,027","124,945",,
"Dec 10, 2022","1,039","159,644",,
"Dec 11, 2022","1,046","151,384",,
"Dec 12, 2022","1,065","161,835",,
"Dec 13, 2022","1,079","166,562",,
"Dec 14, 2022","1,084","160,893",,
"Dec 15, 2022","1,086","145,623",,
"Dec 16, 2022","1,100","140,985",,
"Dec 17, 2022","1,102","124,476",,
"Dec 18, 2022","1,109","143,486",,
"Dec 19, 2022","1,117","145,333",,
"Dec 20, 2022","1,119","135,331",,
"Dec 21, 2022","1,126","158,431",,
"Dec 22, 2022","1,130","146,943",,
"Dec 23, 2022","1,134","163,012",,
"Dec 24, 2022","1,102","147,778",,
"Dec 25, 2022","1,064","137,324",,
"Dec 26, 2022","1,040","151,795",,
"Dec 27, 2022","1,019","134,840",,
"Dec 28, 2022","1,001","155,986",,
"Dec 29, 2022",989,"168,288",,
"Dec 30, 2022",973,"163,931",,
"Dec 31, 2022",957,"144,504",,
"Jan 01, 2023",940,"134,757",,
"Jan 02, 2023",936,"156,078",,
"Jan 03, 2023",912,"127,659",,
"Jan 04, 2023",885,"104,729",,
"Jan 05, 2023",862,"90,759",,
"Jan 06, 2023",848,"80,519",,
"Jan 07, 2023",847,"80,517",,
"Jan 08, 2023",848,"80,544",,
"Jan 09, 2023",847,"80,418",,
"Jan 10, 2023",865,"134,007",,
"Jan 11, 2023",893,"145,174",,
"Jan 12, 2023",905,"160,127",,
"Jan 13, 2023",917,"163,993",,
"Jan 14, 2023",922,"161,345",,
"Jan 15, 2023",930,"165,126",,
"Jan 16, 2023","1,575","176,112",,
"Jan 17, 2023","1,575","176,278",,
"Jan 18, 2023","1,577","176,444",,
"Jan 19, 2023","1,577","174,699",,
"Jan 20, 2023","1,580","176,800",,
"Jan 21, 2023","1,580","176,970",,
"Jan 22, 2023","1,580","177,082",,
"Jan 23, 2023","1,582","177,142",,
"Jan 24, 2023","1,582","177,217",,
"Jan 25, 2023","1,582","177,271",,
"Jan 26, 2023","1,583","177,348",,
"Jan 27, 2023","1,582","177,672",,
"Jan 28, 2023","1,580","177,968",,
"Jan 29, 2023","1,580","178,154",,
"Jan 30, 2023","1,576","178,280",,
"Jan 31, 2023","1,575","178,393",,
"Feb 01, 2023","1,576","184,710",,
"Feb 02, 2023","1,575","187,264",,
"Feb 03, 2023","1,577","187,369",,
"Feb 04, 2023","1,575","187,462",,
"Feb 05, 2023","1,574","187,662",,
"Feb 06, 2023","1,573","186,651",,
"Feb 07, 2023","1,572","186,797",,
"Feb 08, 2023","1,572","189,353",,
"Feb 09, 2023","1,573","189,438",,
"Feb 10, 2023","1,575","189,539",,
"Feb 11, 2023","1,577","189,612",,
"Feb 12, 2023","1,574","189,682",,
"Feb 13, 2023","1,571","189,602",,
"Feb 14, 2023","1,570","189,705",,
"Feb 15, 2023","1,572","189,807",,
"Feb 16, 2023","1,572","189,924",,
"Feb 17, 2023","1,572","189,929",,
"Feb 18, 2023","1,572","189,915",,
"Feb 19, 2023","1,571","190,049",,
"Feb 20, 2023","1,569","190,163",,
"Feb 21, 2023","1,568","190,345",,
"Feb 22, 2023","1,567","190,611",,
"Feb 23, 2023","1,568","190,765",,
"Feb 24, 2023","1,568","190,875",,
"Feb 25, 2023","1,566","190,972",,
"Feb 26, 2023","1,565","191,615",,
"Feb 27, 2023","1,565","191,683",,
"Mar 01, 2023","1,561","191,786",,
"Mar 02, 2023","1,563","191,895",,
"Mar 03, 2023","1,566","192,031",,
"Mar 04, 2023","1,567","191,920",,
"Mar 05, 2023","1,571","192,087",,
"Mar 06, 2023","1,573","192,168",,
"Mar 07, 2023","1,575","192,612",,
"Mar 08, 2023","1,575","192,809",,
"Mar 09, 2023","1,573","192,842",,
"Mar 10, 2023","1,574","192,735",,
"Mar 11, 2023","1,581","192,921",,
"Mar 12, 2023","1,582","193,048",,
"Mar 13, 2023","1,583","193,155",,
"Mar 14, 2023","1,586","193,170",,
"Mar 15, 2023","1,588","193,258",,
"Mar 16, 2023","1,592","193,481",,
"Mar 17, 2023","1,594","193,878",,
"Mar 18, 2023","1,594","193,956",,
"Mar 19, 2023","1,594","194,013",,
"Mar 20, 2023","1,594","194,149",,
"Mar 21, 2023","1,595","194,230",,
"Mar 22, 2023","1,596","194,295",,
"Mar 23, 2023","1,599","201,595",,
"Mar 24, 2023","1,601","201,787",,
"Mar 25, 2023","1,606","202,098",,
"Mar 26, 2023","1,608","202,248",,
"Mar 27, 2023","1,610","202,550",,
"Mar 28, 2023","1,611","202,728",,
"Mar 29, 2023","1,613","202,926",,
"Mar 30, 2023","1,615","203,083",,
"Mar 31, 2023","1,618","203,188",,
"Apr 01, 2023","1,619","203,300",,
"Apr 02, 2023","1,621","203,668",,
"Apr 03, 2023","1,620","203,788",,
"Apr 04, 2023","1,622","203,933",,
"Apr 05, 2023","1,625","203,990",,
"Apr 06, 2023","1,628","204,080",,
"Apr 07, 2023","1,631","204,174",,
"Apr 08, 2023","1,634","204,267",,
"Apr 09, 2023","1,636","204,364",,
"Apr 10, 2023","1,635","204,438",,
"Apr 11, 2023","1,638","204,481",,
"Apr 12, 2023","1,639","204,596",,
"Apr 13, 2023","1,640","204,706",,
"Apr 14, 2023","1,645","204,783",,
"Apr 15, 2023","1,646","204,872",,
"Apr 16, 2023","1,653","205,043",,
"Apr 17, 2023","1,651","205,137",,
"Apr 18, 2023","1,652","205,203",,
"Apr 19, 2023","1,654","205,298",,
"Apr 20, 2023","1,659","256,759",,
"Apr 21, 2023","1,662","254,229",,
"Apr 22, 2023","1,666","257,068",,
"Apr 23, 2023","1,670","257,313",,
"Apr 24, 2023","1,671","257,010",,
"Apr 25, 2023","1,676","257,244",,
"Apr 26, 2023","1,680","257,329",,
"Apr 27, 2023","1,681","255,206",,
"Apr 28, 2023","1,685","257,592",,
"Apr 29, 2023","1,692","206,396",,
"Apr 30, 2023","1,692","205,882",,
"May 01, 2023","1,695","206,019",,
"May 02, 2023","1,697","206,141",,
"May 03, 2023","1,702","206,371",,
"May 04, 2023","1,704","206,449",,
"May 05, 2023","1,706","206,568",,
"May 06, 2023","1,705","201,787",,
"May 07, 2023","1,710","206,806",,
"May 08, 2023","1,709","192,695",,
"May 09, 2023","1,711","193,048",,
"May 10, 2023","1,717","193,216",,
"May 11, 2023","1,722","193,382",,
"May 12, 2023","1,726","193,529",,
"May 13, 2023","1,731","193,700",,
"May 14, 2023","1,733","193,866",,
"May 15, 2023","1,736","194,026",,
"May 16, 2023","1,738","194,201",,
"May 17, 2023","1,742","194,362",,
Invalid date,,,,
