"DateTime","Spotify Streams","Change"
"2023-05-17 00:00:00",1944214,1225
"2023-05-16 00:00:00",1942990,1225
"2023-05-15 00:00:00",1941765,2040
"2023-05-14 00:00:00",1939725,5094
"2023-05-13 00:00:00",1934631,2720
"2023-05-12 00:00:00",1931911,2711
"2023-05-11 00:00:00",1929200,0
"2023-05-10 00:00:00",1929200,2556
"2023-05-09 00:00:00",1926644,2556
"2023-05-08 00:00:00",1924088,4954
"2023-05-07 00:00:00",1919134,2632
"2023-05-06 00:00:00",1916502,0
"2023-05-05 00:00:00",1916502,5591
"2023-05-04 00:00:00",1910911,2968
"2023-05-03 00:00:00",1907944,2968
"2023-05-02 00:00:00",1904976,0
"2023-05-01 00:00:00",1904976,3843
"2023-04-30 00:00:00",1901133,3843
"2023-04-29 00:00:00",1897289,3843
"2023-04-28 00:00:00",1893446,3113
"2023-04-27 00:00:00",1890333,3141
"2023-04-26 00:00:00",1887192,3313
"2023-04-25 00:00:00",1883879,0
"2023-04-24 00:00:00",1883879,5260
"2023-04-23 00:00:00",1878619,3105
"2023-04-22 00:00:00",1875514,3139
"2023-04-21 00:00:00",1872375,3139
"2023-04-20 00:00:00",1869237,3139
"2023-04-19 00:00:00",1866098,2818
"2023-04-18 00:00:00",1863281,2818
"2023-04-17 00:00:00",1860463,2960
"2023-04-16 00:00:00",1857503,3382
"2023-04-15 00:00:00",1854121,3306
"2023-04-14 00:00:00",1850815,3172
"2023-04-13 00:00:00",1847643,3225
"2023-04-12 00:00:00",1844418,2973
"2023-04-11 00:00:00",1841445,2615
"2023-04-10 00:00:00",1838830,3082
"2023-04-09 00:00:00",1835748,3243
"2023-04-08 00:00:00",1832505,0
"2023-04-07 00:00:00",1832505,7150
"2023-04-06 00:00:00",1825355,3511
"2023-04-05 00:00:00",1821844,3249
"2023-04-04 00:00:00",1818595,2726
"2023-04-03 00:00:00",1815869,0
"2023-04-02 00:00:00",1815869,6224
"2023-04-01 00:00:00",1809645,3148
"2023-03-31 00:00:00",1806497,3152
"2023-03-30 00:00:00",1803345,3017
"2023-03-29 00:00:00",1800328,3020
"2023-03-28 00:00:00",1797308,2583
"2023-03-27 00:00:00",1794725,2861
"2023-03-26 00:00:00",1791864,3075
"2023-03-25 00:00:00",1788789,3096
"2023-03-24 00:00:00",1785693,2958
"2023-03-23 00:00:00",1782735,3045
"2023-03-22 00:00:00",1779690,2956
"2023-03-21 00:00:00",1776734,2611
"2023-03-20 00:00:00",1774123,0
"2023-03-19 00:00:00",1774123,5958
"2023-03-18 00:00:00",1768165,3187
"2023-03-17 00:00:00",1764978,3112
"2023-03-16 00:00:00",1761866,3175
"2023-03-15 00:00:00",1758691,3032
"2023-03-14 00:00:00",1755659,2637
"2023-03-13 00:00:00",1753022,2986
"2023-03-12 00:00:00",1750036,0
"2023-03-11 00:00:00",1750036,6534
"2023-03-10 00:00:00",1743502,3322
"2023-03-09 00:00:00",1740180,3254
"2023-03-08 00:00:00",1736926,3222
"2023-03-07 00:00:00",1733704,0
"2023-03-06 00:00:00",1733704,5702
"2023-03-05 00:00:00",1728002,3416
"2023-03-04 00:00:00",1724586,3424
"2023-03-03 00:00:00",1721162,0
"2023-03-02 00:00:00",1721162,3273
"2023-03-01 00:00:00",1717889,6588
"2023-02-28 00:00:00",1711301,2766
"2023-02-27 00:00:00",1708535,3109
"2023-02-26 00:00:00",1705426,3399
"2023-02-25 00:00:00",1702027,3784
"2023-02-24 00:00:00",1698243,3882
"2023-02-23 00:00:00",1694361,7714
"2023-02-22 00:00:00",1686647,0
"2023-02-21 00:00:00",1686647,3607
"2023-02-20 00:00:00",1683040,4236
"2023-02-19 00:00:00",1678804,0
"2023-02-18 00:00:00",1678804,4682
"2023-02-17 00:00:00",1674122,10373
"2023-02-16 00:00:00",1663749,4787
"2023-02-15 00:00:00",1658962,4312
"2023-02-14 00:00:00",1654650,3136
"2023-02-13 00:00:00",1651514,3643
"2023-02-12 00:00:00",1647871,3955
"2023-02-11 00:00:00",1643916,3989
"2023-02-10 00:00:00",1639927,4152
"2023-02-09 00:00:00",1635775,4212
"2023-02-08 00:00:00",1631563,3877
"2023-02-07 00:00:00",1627686,3456
"2023-02-06 00:00:00",1624230,0
"2023-02-05 00:00:00",1624230,8073
"2023-02-04 00:00:00",1616157,4227
"2023-02-03 00:00:00",1611930,4380
"2023-02-02 00:00:00",1607550,4431
"2023-02-01 00:00:00",1603119,4032
"2023-01-31 00:00:00",1599087,3641
"2023-01-30 00:00:00",1595446,3968
"2023-01-29 00:00:00",1591478,4492
"2023-01-28 00:00:00",1586986,4492
"2023-01-27 00:00:00",1582494,4616
"2023-01-26 00:00:00",1577878,4732
"2023-01-25 00:00:00",1573146,0
