"DateTime","Spotify Streams","Change"
"2023-05-17 00:00:00",2775573,1754
"2023-05-16 00:00:00",2773819,1754
"2023-05-15 00:00:00",2772065,3137
"2023-05-14 00:00:00",2768928,7413
"2023-05-13 00:00:00",2761515,4236
"2023-05-12 00:00:00",2757279,3877
"2023-05-11 00:00:00",2753402,0
"2023-05-10 00:00:00",2753402,3883
"2023-05-09 00:00:00",2749519,3883
"2023-05-08 00:00:00",2745636,7396
"2023-05-07 00:00:00",2738240,4075
"2023-05-06 00:00:00",2734165,0
"2023-05-05 00:00:00",2734165,8906
"2023-05-04 00:00:00",2725259,4521
"2023-05-03 00:00:00",2720739,4521
"2023-05-02 00:00:00",2716218,0
"2023-05-01 00:00:00",2716218,6034
"2023-04-30 00:00:00",2710184,6034
"2023-04-29 00:00:00",2704151,6034
"2023-04-28 00:00:00",2698117,4929
"2023-04-27 00:00:00",2693188,4958
"2023-04-26 00:00:00",2688230,4814
"2023-04-25 00:00:00",2683416,0
"2023-04-24 00:00:00",2683416,8628
"2023-04-23 00:00:00",2674788,4923
"2023-04-22 00:00:00",2669865,4843
"2023-04-21 00:00:00",2665022,4843
"2023-04-20 00:00:00",2660178,4843
"2023-04-19 00:00:00",2655335,4342
"2023-04-18 00:00:00",2650993,4342
"2023-04-17 00:00:00",2646651,4433
"2023-04-16 00:00:00",2642218,5009
"2023-04-15 00:00:00",2637209,5010
"2023-04-14 00:00:00",2632199,4742
"2023-04-13 00:00:00",2627457,4783
"2023-04-12 00:00:00",2622674,4686
"2023-04-11 00:00:00",2617988,4163
"2023-04-10 00:00:00",2613825,4950
"2023-04-09 00:00:00",2608875,5113
"2023-04-08 00:00:00",2603762,0
"2023-04-07 00:00:00",2603762,10955
"2023-04-06 00:00:00",2592807,5289
"2023-04-05 00:00:00",2587518,5042
"2023-04-04 00:00:00",2582476,4358
"2023-04-03 00:00:00",2578118,0
"2023-04-02 00:00:00",2578118,9594
"2023-04-01 00:00:00",2568524,4799
"2023-03-31 00:00:00",2563725,4472
"2023-03-30 00:00:00",2559253,4347
"2023-03-29 00:00:00",2554906,4146
"2023-03-28 00:00:00",2550760,3797
"2023-03-27 00:00:00",2546963,4198
"2023-03-26 00:00:00",2542765,4569
"2023-03-25 00:00:00",2538196,4647
"2023-03-24 00:00:00",2533549,4635
"2023-03-23 00:00:00",2528914,4906
"2023-03-22 00:00:00",2524008,4795
"2023-03-21 00:00:00",2519213,4076
"2023-03-20 00:00:00",2515137,0
"2023-03-19 00:00:00",2515137,9314
"2023-03-18 00:00:00",2505823,5207
"2023-03-17 00:00:00",2500616,4898
"2023-03-16 00:00:00",2495718,5036
"2023-03-15 00:00:00",2490682,4806
"2023-03-14 00:00:00",2485876,4166
"2023-03-13 00:00:00",2481710,4675
"2023-03-12 00:00:00",2477035,0
"2023-03-11 00:00:00",2477035,10552
"2023-03-10 00:00:00",2466483,5155
"2023-03-09 00:00:00",2461328,5224
"2023-03-08 00:00:00",2456104,5179
"2023-03-07 00:00:00",2450925,4565
"2023-03-06 00:00:00",2446360,4925
"2023-03-05 00:00:00",2441435,5430
"2023-03-04 00:00:00",2436005,5544
"2023-03-03 00:00:00",2430461,0
"2023-03-02 00:00:00",2430461,5499
"2023-03-01 00:00:00",2424962,10487
"2023-02-28 00:00:00",2414475,4476
"2023-02-27 00:00:00",2409999,4986
"2023-02-26 00:00:00",2405013,5615
"2023-02-25 00:00:00",2399398,5988
"2023-02-24 00:00:00",2393410,6392
"2023-02-23 00:00:00",2387018,12518
"2023-02-22 00:00:00",2374500,0
"2023-02-21 00:00:00",2374500,5891
"2023-02-20 00:00:00",2368609,6842
"2023-02-19 00:00:00",2361767,0
"2023-02-18 00:00:00",2361767,7629
"2023-02-17 00:00:00",2354138,16991
"2023-02-16 00:00:00",2337147,7942
"2023-02-15 00:00:00",2329205,7066
"2023-02-14 00:00:00",2322139,5179
"2023-02-13 00:00:00",2316960,5846
"2023-02-12 00:00:00",2311114,6267
"2023-02-11 00:00:00",2304847,6584
"2023-02-10 00:00:00",2298263,6450
"2023-02-09 00:00:00",2291813,6286
"2023-02-08 00:00:00",2285527,6276
"2023-02-07 00:00:00",2279251,5625
"2023-02-06 00:00:00",2273626,0
"2023-02-05 00:00:00",2273626,12884
"2023-02-04 00:00:00",2260742,6650
"2023-02-03 00:00:00",2254092,6668
"2023-02-02 00:00:00",2247424,6880
"2023-02-01 00:00:00",2240544,6461
"2023-01-31 00:00:00",2234083,5817
"2023-01-30 00:00:00",2228266,6441
"2023-01-29 00:00:00",2221825,7180
"2023-01-28 00:00:00",2214646,7180
"2023-01-27 00:00:00",2207466,7529
"2023-01-26 00:00:00",2199937,7510
"2023-01-25 00:00:00",2192427,0
"2023-01-24 00:00:00",2192427,13812
"2023-01-23 00:00:00",2178615,0
"2023-01-22 00:00:00",2178615,15560
"2023-01-21 00:00:00",2163055,0
"2023-01-20 00:00:00",2163055,16239
"2023-01-19 00:00:00",2146816,8062
"2023-01-18 00:00:00",2138754,8087
"2023-01-17 00:00:00",2130667,6596
"2023-01-16 00:00:00",2124071,7302
"2023-01-15 00:00:00",2116769,8388
"2023-01-14 00:00:00",2108381,8894
"2023-01-13 00:00:00",2099487,8656
"2023-01-12 00:00:00",2090831,8552
"2023-01-11 00:00:00",2082279,8176
"2023-01-10 00:00:00",2074103,7873
"2023-01-09 00:00:00",2066230,8080
"2023-01-08 00:00:00",2058150,8654
"2023-01-07 00:00:00",2049496,8915
"2023-01-06 00:00:00",2040581,9104
"2023-01-05 00:00:00",2031477,8923
"2023-01-04 00:00:00",2022554,8130
"2023-01-03 00:00:00",2014424,7180
"2023-01-02 00:00:00",2007244,8715
"2023-01-01 00:00:00",1998529,9555
"2022-12-31 00:00:00",1988974,9704
"2022-12-30 00:00:00",1979270,10185
"2022-12-29 00:00:00",1969085,9611
"2022-12-28 00:00:00",1959474,8427
"2022-12-27 00:00:00",1951047,7223
"2022-12-26 00:00:00",1943824,9648
