"DateTime","Spotify Streams","Change"
"2023-05-17 00:00:00",2545714,1676
"2023-05-16 00:00:00",2544039,1676
"2023-05-15 00:00:00",2542363,2709
"2023-05-14 00:00:00",2539654,6472
"2023-05-13 00:00:00",2533182,3667
"2023-05-12 00:00:00",2529515,3671
"2023-05-11 00:00:00",2525844,0
"2023-05-10 00:00:00",2525844,3522
"2023-05-09 00:00:00",2522323,3522
"2023-05-08 00:00:00",2518801,6405
"2023-05-07 00:00:00",2512396,3771
"2023-05-06 00:00:00",2508625,0
"2023-05-05 00:00:00",2508625,7922
"2023-05-04 00:00:00",2500703,3863
"2023-05-03 00:00:00",2496840,3863
"2023-05-02 00:00:00",2492977,0
"2023-05-01 00:00:00",2492977,5231
"2023-04-30 00:00:00",2487746,5231
"2023-04-29 00:00:00",2482514,5231
"2023-04-28 00:00:00",2477283,4178
"2023-04-27 00:00:00",2473105,4409
"2023-04-26 00:00:00",2468696,4207
"2023-04-25 00:00:00",2464489,0
"2023-04-24 00:00:00",2464489,7401
"2023-04-23 00:00:00",2457088,4357
"2023-04-22 00:00:00",2452731,4343
"2023-04-21 00:00:00",2448388,4343
"2023-04-20 00:00:00",2444046,4343
"2023-04-19 00:00:00",2439703,3937
"2023-04-18 00:00:00",2435767,3937
"2023-04-17 00:00:00",2431830,4158
"2023-04-16 00:00:00",2427672,4444
"2023-04-15 00:00:00",2423228,4535
"2023-04-14 00:00:00",2418693,4406
"2023-04-13 00:00:00",2414287,4398
"2023-04-12 00:00:00",2409889,4358
"2023-04-11 00:00:00",2405531,3934
"2023-04-10 00:00:00",2401597,4301
"2023-04-09 00:00:00",2397296,4544
"2023-04-08 00:00:00",2392752,0
"2023-04-07 00:00:00",2392752,9820
"2023-04-06 00:00:00",2382932,4783
"2023-04-05 00:00:00",2378149,4617
"2023-04-04 00:00:00",2373532,3913
"2023-04-03 00:00:00",2369619,4103
"2023-04-02 00:00:00",2365516,4588
"2023-04-01 00:00:00",2360928,4253
"2023-03-31 00:00:00",2356675,4173
"2023-03-30 00:00:00",2352502,4089
"2023-03-29 00:00:00",2348413,3991
"2023-03-28 00:00:00",2344422,3469
"2023-03-27 00:00:00",2340953,3786
"2023-03-26 00:00:00",2337167,4288
"2023-03-25 00:00:00",2332879,4221
"2023-03-24 00:00:00",2328658,4302
"2023-03-23 00:00:00",2324356,4385
"2023-03-22 00:00:00",2319971,4232
"2023-03-21 00:00:00",2315739,3576
"2023-03-20 00:00:00",2312163,0
"2023-03-19 00:00:00",2312163,8294
"2023-03-18 00:00:00",2303869,4338
"2023-03-17 00:00:00",2299531,4336
"2023-03-16 00:00:00",2295195,4418
"2023-03-15 00:00:00",2290777,4378
"2023-03-14 00:00:00",2286399,3738
"2023-03-13 00:00:00",2282661,4258
"2023-03-12 00:00:00",2278403,0
"2023-03-11 00:00:00",2278403,9403
"2023-03-10 00:00:00",2269000,4533
"2023-03-09 00:00:00",2264467,4541
"2023-03-08 00:00:00",2259926,4393
"2023-03-07 00:00:00",2255533,0
"2023-03-06 00:00:00",2255533,7916
"2023-03-05 00:00:00",2247617,4729
"2023-03-04 00:00:00",2242888,4671
"2023-03-03 00:00:00",2238217,0
"2023-03-02 00:00:00",2238217,4740
"2023-03-01 00:00:00",2233477,9383
"2023-02-28 00:00:00",2224094,3995
"2023-02-27 00:00:00",2220099,4435
"2023-02-26 00:00:00",2215664,4837
"2023-02-25 00:00:00",2210827,5359
"2023-02-24 00:00:00",2205468,5503
"2023-02-23 00:00:00",2199965,10994
"2023-02-22 00:00:00",2188971,0
"2023-02-21 00:00:00",2188971,5163
"2023-02-20 00:00:00",2183808,6009
"2023-02-19 00:00:00",2177799,0
"2023-02-18 00:00:00",2177799,6628
"2023-02-17 00:00:00",2171171,15174
"2023-02-16 00:00:00",2155997,6961
"2023-02-15 00:00:00",2149036,6271
"2023-02-14 00:00:00",2142765,4609
"2023-02-13 00:00:00",2138156,5238
"2023-02-12 00:00:00",2132918,5660
"2023-02-11 00:00:00",2127258,5694
"2023-02-10 00:00:00",2121564,5945
"2023-02-09 00:00:00",2115619,5754
"2023-02-08 00:00:00",2109865,5668
