Date,Playlist Count,Playlist Total Reach,Editorial Playlist Count,Editorial Playlist Total Reach
"Nov 18, 2022",9,"5,648",,
"Nov 19, 2022",36,"97,746",,
"Nov 20, 2022",89,"110,945",,
"Nov 21, 2022",193,"151,346",,
"Nov 22, 2022",271,"154,718",,
"Nov 23, 2022",314,"122,548",,
"Nov 24, 2022",379,"122,253",,
"Nov 25, 2022",436,"123,481",,
"Nov 26, 2022",471,"123,964",,
"Nov 27, 2022",544,"120,685",,
"Nov 28, 2022",664,"121,521",,
"Nov 29, 2022",727,"122,315",,
"Nov 30, 2022",777,"121,335",,
"Dec 01, 2022",847,"121,461",,
"Dec 02, 2022",909,"121,772",,
"Dec 03, 2022",927,"121,986",,
"Dec 04, 2022",976,"123,076",,
"Dec 05, 2022",998,"108,470",,
"Dec 06, 2022","1,018","57,672",,
"Dec 07, 2022","1,022","54,712",,
"Dec 08, 2022","1,029","54,291",,
"Dec 09, 2022","1,022","53,607",,
"Dec 10, 2022","1,037","101,168",,
"Dec 11, 2022","1,046","98,300",,
"Dec 12, 2022","1,071","104,582",,
"Dec 13, 2022","1,078","103,867",,
"Dec 14, 2022","1,088","98,424",,
"Dec 15, 2022","1,087","90,471",,
"Dec 16, 2022","1,108","108,411",,
"Dec 17, 2022","1,110","103,845",,
"Dec 18, 2022","1,113","75,631",,
"Dec 19, 2022","1,123","104,150",,
"Dec 20, 2022","1,128","101,952",,
"Dec 21, 2022","1,129","101,282",,
"Dec 22, 2022","1,130","103,592",,
"Dec 23, 2022","1,132","104,952",,
"Dec 24, 2022","1,114","74,447",,
"Dec 25, 2022","1,090","99,307",,
"Dec 26, 2022","1,075","104,233",,
"Dec 27, 2022","1,060","79,339",,
"Dec 28, 2022","1,037","81,229",,
"Dec 29, 2022","1,027","79,659",,
"Dec 30, 2022","1,018","82,150",,
"Dec 31, 2022","1,007","76,961",,
"Jan 01, 2023",990,"93,956",,
"Jan 02, 2023",995,"102,882",1,190
"Jan 03, 2023",973,"102,176",1,190
"Jan 04, 2023",958,"98,166",1,190
"Jan 05, 2023",937,"94,860",1,190
"Jan 06, 2023",917,"69,717",1,190
"Jan 07, 2023",915,"69,203",1,190
"Jan 08, 2023",915,"69,203",1,190
"Jan 09, 2023",912,"68,966",1,190
"Jan 10, 2023",927,"87,025",1,190
"Jan 11, 2023",948,"111,736",,
"Jan 12, 2023",955,"112,405",,
"Jan 13, 2023",965,"116,340",,
"Jan 14, 2023",970,"114,061",,
"Jan 15, 2023",984,"117,170",,
"Jan 16, 2023","1,670","128,965",,
"Jan 17, 2023","1,675","129,067",,
"Jan 18, 2023","1,683","129,146",,
"Jan 19, 2023","1,691","129,236",,
"Jan 20, 2023","1,694","129,596",,
"Jan 21, 2023","1,701","129,105",,
"Jan 22, 2023","1,701","129,271",,
"Jan 23, 2023","1,704","129,365",,
"Jan 24, 2023","1,706","129,501",,
"Jan 25, 2023","1,705","129,244",,
"Jan 26, 2023","1,708","129,362",,
"Jan 27, 2023","1,708","129,401",,
"Jan 28, 2023","1,707","129,416",,
"Jan 29, 2023","1,709","129,415",,
"Jan 30, 2023","1,709","129,336",,
"Jan 31, 2023","1,708","129,451",,
"Feb 01, 2023","1,709","129,504",,
"Feb 02, 2023","1,709","129,630",,
"Feb 03, 2023","1,713","129,699",,
"Feb 04, 2023","1,711","129,724",,
"Feb 05, 2023","1,710","129,543",,
"Feb 06, 2023","1,713","129,640",,
"Feb 07, 2023","1,712","129,766",,
"Feb 08, 2023","1,715","132,340",,
"Feb 09, 2023","1,717","132,407",,
"Feb 10, 2023","1,719","132,603",,
"Feb 11, 2023","1,723","133,041",,
"Feb 12, 2023","1,723","133,039",,
"Feb 13, 2023","1,723","133,080",,
"Feb 14, 2023","1,723","133,139",,
"Feb 15, 2023","1,726","133,212",,
"Feb 16, 2023","1,726","133,121",,
"Feb 17, 2023","1,727","133,140",,
"Feb 18, 2023","1,727","133,179",,
"Feb 19, 2023","1,727","133,180",,
"Feb 20, 2023","1,726","133,214",,
"Feb 21, 2023","1,724","133,266",,
"Feb 22, 2023","1,723","133,304",,
"Feb 23, 2023","1,723","133,336",,
"Feb 24, 2023","1,722","133,379",,
"Feb 25, 2023","1,720","133,387",,
"Feb 26, 2023","1,719","133,417",,
"Feb 27, 2023","1,719","133,464",,
"Mar 01, 2023","1,714","133,397",,
"Mar 02, 2023","1,718","133,569",,
"Mar 03, 2023","1,717","133,565",,
"Mar 04, 2023","1,720","133,321",,
"Mar 05, 2023","1,725","133,377",,
"Mar 06, 2023","1,726","133,400",,
"Mar 07, 2023","1,731","132,449",,
