"DateTime","Spotify Streams","Change"
"2023-05-17 00:00:00",2410600,2291
"2023-05-16 00:00:00",2408310,2291
"2023-05-15 00:00:00",2406019,4026
"2023-05-14 00:00:00",2401993,9519
"2023-05-13 00:00:00",2392474,5078
"2023-05-12 00:00:00",2387396,5042
"2023-05-11 00:00:00",2382354,0
"2023-05-10 00:00:00",2382354,4770
"2023-05-09 00:00:00",2377584,4770
"2023-05-08 00:00:00",2372814,8923
"2023-05-07 00:00:00",2363891,5137
"2023-05-06 00:00:00",2358754,0
"2023-05-05 00:00:00",2358754,10707
"2023-05-04 00:00:00",2348047,5151
"2023-05-03 00:00:00",2342897,5151
"2023-05-02 00:00:00",2337746,0
"2023-05-01 00:00:00",2337746,7027
"2023-04-30 00:00:00",2330719,7027
"2023-04-29 00:00:00",2323693,7027
"2023-04-28 00:00:00",2316666,5443
"2023-04-27 00:00:00",2311223,5393
"2023-04-26 00:00:00",2305830,5294
"2023-04-25 00:00:00",2300536,0
"2023-04-24 00:00:00",2300536,9587
"2023-04-23 00:00:00",2290949,5578
"2023-04-22 00:00:00",2285371,5526
"2023-04-21 00:00:00",2279845,5526
"2023-04-20 00:00:00",2274320,5526
"2023-04-19 00:00:00",2268794,4915
"2023-04-18 00:00:00",2263879,4915
"2023-04-17 00:00:00",2258964,5069
"2023-04-16 00:00:00",2253895,5267
"2023-04-15 00:00:00",2248628,5632
"2023-04-14 00:00:00",2242996,5096
"2023-04-13 00:00:00",2237900,5347
"2023-04-12 00:00:00",2232553,5050
"2023-04-11 00:00:00",2227503,4460
"2023-04-10 00:00:00",2223043,5129
"2023-04-09 00:00:00",2217914,5775
"2023-04-08 00:00:00",2212139,6277
"2023-04-07 00:00:00",2205862,5990
"2023-04-06 00:00:00",2199872,6132
"2023-04-05 00:00:00",2193740,5586
"2023-04-04 00:00:00",2188154,4869
"2023-04-03 00:00:00",2183285,5208
"2023-04-02 00:00:00",2178077,5638
"2023-04-01 00:00:00",2172439,6118
"2023-03-31 00:00:00",2166321,5811
"2023-03-30 00:00:00",2160510,5549
"2023-03-29 00:00:00",2154961,5385
"2023-03-28 00:00:00",2149576,4918
"2023-03-27 00:00:00",2144658,5195
"2023-03-26 00:00:00",2139463,5583
"2023-03-25 00:00:00",2133880,6768
"2023-03-24 00:00:00",2127112,6218
"2023-03-23 00:00:00",2120894,6031
"2023-03-22 00:00:00",2114863,5881
"2023-03-21 00:00:00",2108982,5245
"2023-03-20 00:00:00",2103737,0
"2023-03-19 00:00:00",2103737,11763
"2023-03-18 00:00:00",2091974,6473
"2023-03-17 00:00:00",2085501,6377
"2023-03-16 00:00:00",2079124,6878
"2023-03-15 00:00:00",2072246,6519
"2023-03-14 00:00:00",2065727,5679
"2023-03-13 00:00:00",2060048,6270
"2023-03-12 00:00:00",2053778,0
"2023-03-11 00:00:00",2053778,13565
"2023-03-10 00:00:00",2040213,6705
"2023-03-09 00:00:00",2033508,6982
"2023-03-08 00:00:00",2026526,7080
"2023-03-07 00:00:00",2019446,0
"2023-03-06 00:00:00",2019446,12556
"2023-03-05 00:00:00",2006890,7455
"2023-03-04 00:00:00",1999435,7194
"2023-03-03 00:00:00",1992241,0
"2023-03-02 00:00:00",1992241,6601
"2023-03-01 00:00:00",1985640,12919
"2023-02-28 00:00:00",1972721,5174
"2023-02-27 00:00:00",1967547,5780
"2023-02-26 00:00:00",1961767,6795
"2023-02-25 00:00:00",1954972,7458
"2023-02-24 00:00:00",1947514,7817
"2023-02-23 00:00:00",1939697,14293
"2023-02-22 00:00:00",1925404,0
"2023-02-21 00:00:00",1925404,6185
"2023-02-20 00:00:00",1919219,6767
"2023-02-19 00:00:00",1912452,0
"2023-02-18 00:00:00",1912452,7829
"2023-02-17 00:00:00",1904623,16565
"2023-02-16 00:00:00",1888058,8126
"2023-02-15 00:00:00",1879932,7682
"2023-02-14 00:00:00",1872250,6526
"2023-02-13 00:00:00",1865724,6973
