Date,Playlist Count,Playlist Total Reach,Editorial Playlist Count,Editorial Playlist Total Reach
"Nov 18, 2022",12,"6,086",,
"Nov 19, 2022",45,"110,289",,
"Nov 20, 2022",116,"136,398",,
"Nov 21, 2022",232,"182,566",,
"Nov 22, 2022",340,"189,311",,
"Nov 23, 2022",390,"200,559",,
"Nov 24, 2022",457,"200,932",,
"Nov 25, 2022",544,"202,524",,
"Nov 26, 2022",592,"203,195",,
"Nov 27, 2022",677,"203,839",,
"Nov 28, 2022",823,"219,579",,
"Nov 29, 2022",899,"222,835",,
"Nov 30, 2022",966,"221,732",,
"Dec 01, 2022","1,048","220,824",,
"Dec 02, 2022","1,137","225,527",,
"Dec 03, 2022","1,163","226,807",,
"Dec 04, 2022","1,226","229,086",,
"Dec 05, 2022","1,270","213,796",,
"Dec 06, 2022","1,291","176,290",,
"Dec 07, 2022","1,298","173,454",,
"Dec 08, 2022","1,302","140,779",,
"Dec 09, 2022","1,293","125,834",,
"Dec 10, 2022","1,311","147,113",,
"Dec 11, 2022","1,323","136,169",,
"Dec 12, 2022","1,357","154,708",,
"Dec 13, 2022","1,369","155,041",,
"Dec 14, 2022","1,378","147,952",,
"Dec 15, 2022","1,379","133,885",,
"Dec 16, 2022","1,395","140,138",,
"Dec 17, 2022","1,395","126,413",,
"Dec 18, 2022","1,400","135,039",,
"Dec 19, 2022","1,411","113,412",,
"Dec 20, 2022","1,413","115,527",,
"Dec 21, 2022","1,419","143,083",,
"Dec 22, 2022","1,422","143,395",,
"Dec 23, 2022","1,420","147,092",,
"Dec 24, 2022","1,397","132,290",,
"Dec 25, 2022","1,364","119,082",,
"Dec 26, 2022","1,348","115,928",,
"Dec 27, 2022","1,333","121,197",,
"Dec 28, 2022","1,303","144,431",,
"Dec 29, 2022","1,290","157,319",,
"Dec 30, 2022","1,290","155,751",,
"Dec 31, 2022","1,271","143,465",,
"Jan 01, 2023","1,240","124,854",,
"Jan 02, 2023","1,235","139,434",,
"Jan 03, 2023","1,215","139,651",,
"Jan 04, 2023","1,185","112,414",,
"Jan 05, 2023","1,158","87,298",,
"Jan 06, 2023","1,141","77,735",,
"Jan 07, 2023","1,139","77,450",,
"Jan 08, 2023","1,140","77,453",,
"Jan 09, 2023","1,139","77,332",,
"Jan 10, 2023","1,164","154,664",,
"Jan 11, 2023","1,200","175,153",,
"Jan 12, 2023","1,217","177,884",,
"Jan 13, 2023","1,233","178,743",,
"Jan 14, 2023","1,241","177,277",,
"Jan 15, 2023","1,254","181,016",,
"Jan 16, 2023","2,061","194,607",,
"Jan 17, 2023","2,061","194,786",,
"Jan 18, 2023","2,064","195,043",,
"Jan 19, 2023","2,064","195,248",,
"Jan 20, 2023","2,065","195,479",,
"Jan 21, 2023","2,074","195,729",,
"Jan 22, 2023","2,073","193,260",,
"Jan 23, 2023","2,076","193,463",,
"Jan 24, 2023","2,080","193,715",,
"Jan 25, 2023","2,082","193,655",,
"Jan 26, 2023","2,081","193,749",,
"Jan 27, 2023","2,082","194,473",,
"Jan 28, 2023","2,079","194,655",,
"Jan 29, 2023","2,080","194,867",,
"Jan 30, 2023","2,078","195,002",,
"Jan 31, 2023","2,076","195,229",,
"Feb 01, 2023","2,076","195,421",,
"Feb 02, 2023","2,074","195,593",,
"Feb 03, 2023","2,069","190,417",,
"Feb 04, 2023","2,067","182,493",,
"Feb 05, 2023","2,066","182,618",,
"Feb 06, 2023","2,065","182,807",,
"Feb 07, 2023","2,064","182,542",,
"Feb 08, 2023","2,067","185,172",,
"Feb 09, 2023","2,067","185,369",,
"Feb 10, 2023","2,068","185,656",,
"Feb 11, 2023","2,068","185,785",,
"Feb 12, 2023","2,068","185,847",,
"Feb 13, 2023","2,068","186,031",,
"Feb 14, 2023","2,068","186,171",,
"Feb 15, 2023","2,069","186,325",,
"Feb 16, 2023","2,069","186,473",,
"Feb 17, 2023","2,070","186,606",,
"Feb 18, 2023","2,072","186,778",,
"Feb 19, 2023","2,068","181,370",,
"Feb 20, 2023","2,068","181,576",,
"Feb 21, 2023","2,066","181,731",,
"Feb 22, 2023","2,063","181,947",,
"Feb 23, 2023","2,063","182,072",,
"Feb 24, 2023","2,060","181,657",,
"Feb 25, 2023","2,058","181,859",,
"Feb 26, 2023","2,054","181,940",,
"Feb 27, 2023","2,052","181,998",,
"Mar 01, 2023","2,045","182,213",,
"Mar 02, 2023","2,053","182,422",,
"Mar 03, 2023","2,053","182,502",,
"Mar 04, 2023","2,055","182,355",,
"Mar 05, 2023","2,056","182,487",,
"Mar 06, 2023","2,059","182,614",,
"Mar 07, 2023","2,062","183,061",,
"Mar 08, 2023","2,064","183,357",,
"Mar 09, 2023","2,067","183,520",,
"Mar 10, 2023","2,070","183,625",,
"Mar 11, 2023","2,071","183,774",,
"Mar 12, 2023","2,072","181,920",,
"Mar 13, 2023","2,074","182,096",,
"Mar 14, 2023","2,079","182,968",,
"Mar 15, 2023","2,080","183,125",,
"Mar 16, 2023","2,083","183,266",,
"Mar 17, 2023","2,085","278,273",,
"Mar 18, 2023","2,087","278,638",,
"Mar 19, 2023","2,089","278,842",,
"Mar 20, 2023","2,093","279,027",,
"Mar 21, 2023","2,093","279,306",,
"Mar 22, 2023","2,097","279,532",,
"Mar 23, 2023","2,098","286,975",,
"Mar 24, 2023","2,102","287,258",,
"Mar 25, 2023","2,104","287,634",,
"Mar 26, 2023","2,103","287,809",,
"Mar 27, 2023","2,106","288,221",,
"Mar 28, 2023","2,110","288,474",,
"Mar 29, 2023","2,115","288,706",,
"Mar 30, 2023","2,118","289,355",,
"Mar 31, 2023","2,122","289,586",,
"Apr 01, 2023","2,124","289,778",,
"Apr 02, 2023","2,129","289,926",,
"Apr 03, 2023","2,130","290,104",,
"Apr 04, 2023","2,133","290,351",,
"Apr 05, 2023","2,139","291,857",,
"Apr 06, 2023","2,146","292,311",,
"Apr 07, 2023","2,147","292,711",,
"Apr 08, 2023","2,150","293,262",,
"Apr 09, 2023","2,150","293,637",,
"Apr 10, 2023","2,153","294,040",,
"Apr 11, 2023","2,160","294,435",,
"Apr 12, 2023","2,161","295,052",,
"Apr 13, 2023","2,162","295,507",,
"Apr 14, 2023","2,166","295,912",,
"Apr 15, 2023","2,168","296,242",,
"Apr 16, 2023","2,175","296,857",,
"Apr 17, 2023","2,181","297,133",,
"Apr 18, 2023","2,184","297,593",,
"Apr 19, 2023","2,193","298,213",,
"Apr 20, 2023","2,200","298,646",,
"Apr 21, 2023","2,205","296,103",,
"Apr 22, 2023","2,213","299,070",,
"Apr 23, 2023","2,218","299,327",,
"Apr 24, 2023","2,220","299,187",,
"Apr 25, 2023","2,224","299,298",,
"Apr 26, 2023","2,226","299,684",,
"Apr 27, 2023","2,228","299,943",,
"Apr 28, 2023","2,230","300,187",,
"Apr 29, 2023","2,235","300,450",,
"Apr 30, 2023","2,239","300,593",,
"May 01, 2023","2,242","300,727",,
"May 02, 2023","2,247","300,990",,
"May 03, 2023","2,251","301,152",,
"May 04, 2023","2,257","301,353",,
"May 05, 2023","2,263","301,519",,
"May 06, 2023","2,267","296,879",,
"May 07, 2023","2,275","301,922",,
"May 08, 2023","2,277","301,945",,
"May 09, 2023","2,278","302,518",,
"May 10, 2023","2,282","302,716",,
"May 11, 2023","2,284","301,771",,
"May 12, 2023","2,289","302,710",,
"May 13, 2023","2,296","303,442",,
"May 14, 2023","2,294","303,556",,
"May 15, 2023","2,293","303,378",,
"May 16, 2023","2,295","303,443",,
"May 17, 2023","2,297","303,574",,
Invalid date,,,,
