"DateTime","Spotify Streams","Change"
"2023-05-17 00:00:00",1976168,1459
"2023-05-16 00:00:00",1974710,1459
"2023-05-15 00:00:00",1973251,2554
"2023-05-14 00:00:00",1970697,6134
"2023-05-13 00:00:00",1964563,3492
"2023-05-12 00:00:00",1961071,3330
"2023-05-11 00:00:00",1957741,0
"2023-05-10 00:00:00",1957741,3257
"2023-05-09 00:00:00",1954485,3257
"2023-05-08 00:00:00",1951228,6052
"2023-05-07 00:00:00",1945176,3256
"2023-05-06 00:00:00",1941920,0
"2023-05-05 00:00:00",1941920,6943
"2023-05-04 00:00:00",1934977,3623
"2023-05-03 00:00:00",1931355,3623
"2023-05-02 00:00:00",1927732,0
"2023-05-01 00:00:00",1927732,4675
"2023-04-30 00:00:00",1923057,4675
"2023-04-29 00:00:00",1918383,4675
"2023-04-28 00:00:00",1913708,3905
"2023-04-27 00:00:00",1909803,3979
"2023-04-26 00:00:00",1905824,3984
"2023-04-25 00:00:00",1901840,0
"2023-04-24 00:00:00",1901840,6710
"2023-04-23 00:00:00",1895130,3942
"2023-04-22 00:00:00",1891188,3837
"2023-04-21 00:00:00",1887351,3837
"2023-04-20 00:00:00",1883515,3837
"2023-04-19 00:00:00",1879678,3372
"2023-04-18 00:00:00",1876306,3372
"2023-04-17 00:00:00",1872934,3332
"2023-04-16 00:00:00",1869602,3762
"2023-04-15 00:00:00",1865840,3945
"2023-04-14 00:00:00",1861895,4033
"2023-04-13 00:00:00",1857862,3668
"2023-04-12 00:00:00",1854194,3366
"2023-04-11 00:00:00",1850828,2984
"2023-04-10 00:00:00",1847844,3630
"2023-04-09 00:00:00",1844214,3761
"2023-04-08 00:00:00",1840453,0
"2023-04-07 00:00:00",1840453,8247
"2023-04-06 00:00:00",1832206,4174
"2023-04-05 00:00:00",1828032,4114
"2023-04-04 00:00:00",1823918,3431
"2023-04-03 00:00:00",1820487,0
"2023-04-02 00:00:00",1820487,7615
"2023-04-01 00:00:00",1812872,4138
"2023-03-31 00:00:00",1808734,3934
"2023-03-30 00:00:00",1804800,3930
"2023-03-29 00:00:00",1800870,3942
"2023-03-28 00:00:00",1796928,3401
"2023-03-27 00:00:00",1793527,3442
"2023-03-26 00:00:00",1790085,3712
"2023-03-25 00:00:00",1786373,4085
"2023-03-24 00:00:00",1782288,4125
"2023-03-23 00:00:00",1778163,4073
"2023-03-22 00:00:00",1774090,3866
"2023-03-21 00:00:00",1770224,3382
"2023-03-20 00:00:00",1766842,0
"2023-03-19 00:00:00",1766842,8125
"2023-03-18 00:00:00",1758717,4152
"2023-03-17 00:00:00",1754565,4325
"2023-03-16 00:00:00",1750240,4136
"2023-03-15 00:00:00",1746104,3951
"2023-03-14 00:00:00",1742153,3595
"2023-03-13 00:00:00",1738558,4151
"2023-03-12 00:00:00",1734407,0
"2023-03-11 00:00:00",1734407,8442
"2023-03-10 00:00:00",1725965,4113
"2023-03-09 00:00:00",1721852,4326
"2023-03-08 00:00:00",1717526,4556
"2023-03-07 00:00:00",1712970,0
"2023-03-06 00:00:00",1712970,8479
"2023-03-05 00:00:00",1704491,4486
"2023-03-04 00:00:00",1700005,4763
"2023-03-03 00:00:00",1695242,0
"2023-03-02 00:00:00",1695242,4360
"2023-03-01 00:00:00",1690882,8588
"2023-02-28 00:00:00",1682294,3727
"2023-02-27 00:00:00",1678567,4276
"2023-02-26 00:00:00",1674291,4603
"2023-02-25 00:00:00",1669688,5080
"2023-02-24 00:00:00",1664608,4882
"2023-02-23 00:00:00",1659726,9498
"2023-02-22 00:00:00",1650228,0
"2023-02-21 00:00:00",1650228,4317
"2023-02-20 00:00:00",1645911,5113
"2023-02-19 00:00:00",1640798,0
"2023-02-18 00:00:00",1640798,5529
"2023-02-17 00:00:00",1635269,11748
"2023-02-16 00:00:00",1623521,5659
"2023-02-15 00:00:00",1617862,5065
"2023-02-14 00:00:00",1612797,4217
"2023-02-13 00:00:00",1608580,4898
"2023-02-12 00:00:00",1603682,5387
"2023-02-11 00:00:00",1598295,5441
"2023-02-10 00:00:00",1592854,5452
"2023-02-09 00:00:00",1587402,5289
"2023-02-08 00:00:00",1582113,5033
"2023-02-07 00:00:00",1577080,4388
"2023-02-06 00:00:00",1572692,0
"2023-02-05 00:00:00",1572692,10543
"2023-02-04 00:00:00",1562149,5605
"2023-02-03 00:00:00",1556544,5351
"2023-02-02 00:00:00",1551193,5416
"2023-02-01 00:00:00",1545777,5337
"2023-01-31 00:00:00",1540440,4581
"2023-01-30 00:00:00",1535859,5275
"2023-01-29 00:00:00",1530584,5868
"2023-01-28 00:00:00",1524717,5868
"2023-01-27 00:00:00",1518849,6190
"2023-01-26 00:00:00",1512659,5909
"2023-01-25 00:00:00",1506750,0
"2023-01-24 00:00:00",1506750,10784
"2023-01-23 00:00:00",1495966,0
"2023-01-22 00:00:00",1495966,12194
"2023-01-21 00:00:00",1483772,0
"2023-01-20 00:00:00",1483772,12633
"2023-01-19 00:00:00",1471139,6240
"2023-01-18 00:00:00",1464899,5746
"2023-01-17 00:00:00",1459153,5057
"2023-01-16 00:00:00",1454096,5537
"2023-01-15 00:00:00",1448559,6519
"2023-01-14 00:00:00",1442040,6548
"2023-01-13 00:00:00",1435492,6601
"2023-01-12 00:00:00",1428891,6842
"2023-01-11 00:00:00",1422049,6548
"2023-01-10 00:00:00",1415501,5561
"2023-01-09 00:00:00",1409940,6336
"2023-01-08 00:00:00",1403604,6705
"2023-01-07 00:00:00",1396899,6943
"2023-01-06 00:00:00",1389956,7177
"2023-01-05 00:00:00",1382779,6680
