Date,Playlist Count,Playlist Total Reach,Editorial Playlist Count,Editorial Playlist Total Reach
"Nov 18, 2022",9,"5,553",,
"Nov 19, 2022",41,"132,470",,
"Nov 20, 2022",93,"206,486",,
"Nov 21, 2022",189,"245,480",,
"Nov 22, 2022",268,"247,935",,
"Nov 23, 2022",308,"223,843",,
"Nov 24, 2022",359,"224,308",,
"Nov 25, 2022",422,"225,178",,
"Nov 26, 2022",456,"225,553",,
"Nov 27, 2022",515,"226,061",,
"Nov 28, 2022",636,"227,315",,
"Nov 29, 2022",690,"228,047",,
"Nov 30, 2022",738,"226,686",,
"Dec 01, 2022",796,"227,071",,
"Dec 02, 2022",855,"230,178",,
"Dec 03, 2022",873,"232,381",,
"Dec 04, 2022",908,"231,472",,
"Dec 05, 2022",926,"216,768",,
"Dec 06, 2022",947,"166,873",,
"Dec 07, 2022",951,"164,346",,
"Dec 08, 2022",955,"163,945",,
"Dec 09, 2022",951,"163,394",,
"Dec 10, 2022",958,"104,744",,
"Dec 11, 2022",964,"102,756",,
"Dec 12, 2022",978,"103,521",,
"Dec 13, 2022",990,"103,290",,
"Dec 14, 2022",998,"100,016",,
"Dec 15, 2022",998,"98,931",,
"Dec 16, 2022","1,008","104,104",,
"Dec 17, 2022","1,004","103,405",,
"Dec 18, 2022","1,006","103,002",,
"Dec 19, 2022","1,013","103,232",,
"Dec 20, 2022","1,018","106,993",,
"Dec 21, 2022","1,021","107,129",,
"Dec 22, 2022","1,024","94,137",,
"Dec 23, 2022","1,026","108,777",,
"Dec 24, 2022","1,000","101,366",,
"Dec 25, 2022",979,"109,506",,
"Dec 26, 2022",965,"109,936",,
"Dec 27, 2022",953,"108,775",,
"Dec 28, 2022",934,"109,116",,
"Dec 29, 2022",926,"110,546",,
"Dec 30, 2022",917,"108,578",,
"Dec 31, 2022",911,"102,536",,
"Jan 01, 2023",886,"101,907",,
"Jan 02, 2023",887,"106,806",,
"Jan 03, 2023",873,"106,592",,
"Jan 04, 2023",860,"99,810",,
"Jan 05, 2023",839,"82,661",,
"Jan 06, 2023",827,"82,305",,
"Jan 07, 2023",826,"82,020",,
"Jan 08, 2023",826,"82,032",,
"Jan 09, 2023",826,"82,029",,
"Jan 10, 2023",839,"92,895",,
"Jan 11, 2023",852,"98,916",,
"Jan 12, 2023",858,"114,512",,
"Jan 13, 2023",867,"115,640",,
"Jan 14, 2023",867,"112,298",,
"Jan 15, 2023",877,"115,410",,
"Jan 16, 2023","1,439","124,106",,
"Jan 17, 2023","1,438","124,117",,
"Jan 18, 2023","1,439","124,121",,
"Jan 19, 2023","1,440","124,148",,
"Jan 20, 2023","1,439","124,171",,
"Jan 21, 2023","1,444","124,454",,
"Jan 22, 2023","1,444","124,512",,
"Jan 23, 2023","1,448","124,567",,
"Jan 24, 2023","1,448","124,678",,
"Jan 25, 2023","1,447","123,340",,
"Jan 26, 2023","1,447","123,354",,
"Jan 27, 2023","1,447","123,607",,
"Jan 28, 2023","1,448","123,623",,
"Jan 29, 2023","1,447","123,595",,
"Jan 30, 2023","1,446","123,529",,
"Jan 31, 2023","1,445","123,528",,
"Feb 01, 2023","1,440","125,007",,
"Feb 02, 2023","1,439","123,457",,
"Feb 03, 2023","1,435","123,048",,
"Feb 04, 2023","1,432","123,050",,
"Feb 05, 2023","1,429","123,029",,
"Feb 06, 2023","1,430","123,051",,
"Feb 07, 2023","1,429","123,048",,
"Feb 08, 2023","1,429","125,515",,
"Feb 09, 2023","1,427","125,248",,
"Feb 10, 2023","1,427","125,251",,
"Feb 11, 2023","1,429","125,286",,
"Feb 12, 2023","1,430","125,277",,
"Feb 13, 2023","1,431","125,301",,
"Feb 14, 2023","1,431","125,302",,
"Feb 15, 2023","1,431","125,318",,
"Feb 16, 2023","1,432","125,319",,
"Feb 17, 2023","1,433","125,326",,
"Feb 18, 2023","1,432","125,379",,
"Feb 19, 2023","1,432","125,388",,
"Feb 20, 2023","1,432","125,395",,
"Feb 21, 2023","1,433","125,449",,
"Feb 22, 2023","1,430","125,564",,
"Feb 23, 2023","1,430","125,550",,
"Feb 24, 2023","1,430","125,571",,
"Feb 25, 2023","1,429","125,569",,
