Date,Playlist Count,Playlist Total Reach,Editorial Playlist Count,Editorial Playlist Total Reach
"Nov 11, 2022",3,52,,
"Nov 12, 2022",155,"4,077",,
"Nov 13, 2022",184,"5,339",,
"Nov 14, 2022",205,"6,574",,
"Nov 15, 2022",228,"6,784",,
"Nov 16, 2022",246,"7,313",,
"Nov 17, 2022",243,"7,496",,
"Nov 18, 2022",141,"6,083",,
"Nov 19, 2022",152,"11,537",,
"Nov 20, 2022",180,"10,557",,
"Nov 21, 2022",226,"11,411",,
"Nov 22, 2022",262,"12,039",,
"Nov 23, 2022",282,"37,615",,
"Nov 24, 2022",312,"39,073",,
"Nov 25, 2022",334,"39,542",,
"Nov 26, 2022",342,"39,727",,
"Nov 27, 2022",356,"34,817",,
"Nov 28, 2022",377,"35,118",,
"Nov 29, 2022",399,"35,674",,
"Nov 30, 2022",411,"35,816",,
"Dec 01, 2022",421,"36,435",,
"Dec 02, 2022",434,"36,433",,
"Dec 03, 2022",428,"35,040",,
"Dec 04, 2022",436,"37,164",,
"Dec 05, 2022",437,"36,617",,
"Dec 06, 2022",442,"38,500",,
"Dec 07, 2022",443,"38,811",,
"Dec 08, 2022",446,"37,337",,
"Dec 09, 2022",446,"37,337",,
"Dec 10, 2022",450,"37,238",,
"Dec 11, 2022",454,"48,618",,
"Dec 12, 2022",460,"50,749",,
"Dec 13, 2022",464,"50,654",,
"Dec 14, 2022",465,"49,072",,
"Dec 15, 2022",467,"48,656",,
"Dec 16, 2022",470,"48,476",,
"Dec 17, 2022",473,"41,709",,
"Dec 18, 2022",479,"48,534",,
"Dec 19, 2022",479,"44,399",,
"Dec 20, 2022",480,"44,447",,
"Dec 21, 2022",482,"49,987",,
"Dec 22, 2022",484,"48,525",,
"Dec 23, 2022",482,"49,531",,
"Dec 24, 2022",471,"43,597",,
"Dec 25, 2022",465,"43,439",,
"Dec 26, 2022",468,"41,539",,
"Dec 27, 2022",469,"46,200",,
"Dec 28, 2022",467,"46,121",,
"Dec 29, 2022",458,"50,629",,
"Dec 30, 2022",454,"49,830",,
"Dec 31, 2022",450,"51,191",,
"Jan 01, 2023",446,"45,902",,
"Jan 02, 2023",450,"51,244",,
"Jan 03, 2023",447,"46,437",,
"Jan 04, 2023",442,"44,804",,
"Jan 05, 2023",434,"39,161",,
"Jan 06, 2023",425,"38,807",,
"Jan 07, 2023",424,"38,805",,
"Jan 08, 2023",424,"38,804",,
"Jan 09, 2023",424,"38,807",,
"Jan 10, 2023",438,"49,641",,
"Jan 11, 2023",456,"53,781",,
"Jan 12, 2023",466,"54,058",,
"Jan 13, 2023",480,"54,178",,
"Jan 14, 2023",484,"56,208",,
"Jan 15, 2023",493,"56,316",,
"Jan 16, 2023",890,"60,514",,
"Jan 17, 2023",906,"60,623",,
"Jan 18, 2023",923,"60,964",,
"Jan 19, 2023",938,"61,128",,
"Jan 20, 2023",944,"61,292",,
"Jan 21, 2023",948,"61,355",,
"Jan 22, 2023",952,"61,448",,
"Jan 23, 2023",954,"61,568",,
"Jan 24, 2023",959,"61,671",,
"Jan 25, 2023",962,"61,740",,
"Jan 26, 2023",968,"61,805",,
"Jan 27, 2023",978,"62,023",,
"Jan 28, 2023",984,"62,239",,
"Jan 29, 2023",990,"62,335",,
"Jan 30, 2023",999,"62,439",,
"Jan 31, 2023","1,006","62,513",,
"Feb 01, 2023","1,018","62,653",,
"Feb 02, 2023","1,023","62,889",,
"Feb 03, 2023","1,025","62,972",,
"Feb 04, 2023","1,028","63,068",,
"Feb 05, 2023","1,030","63,144",,
"Feb 06, 2023","1,034","63,223",,
"Feb 07, 2023","1,040","63,330",,
"Feb 08, 2023","1,040","63,562",,
"Feb 09, 2023","1,045","63,642",,
"Feb 10, 2023","1,049","34,104",,
"Feb 11, 2023","1,050","34,301",,
"Feb 12, 2023","1,049","34,312",,
"Feb 13, 2023","1,054","34,362",,
"Feb 14, 2023","1,056","34,396",,
"Feb 15, 2023","1,056","34,427",,
"Feb 16, 2023","1,059","34,454",,
"Feb 17, 2023","1,063","39,795",,
"Feb 18, 2023","1,068","41,262",,
"Feb 19, 2023","1,068","41,342",,
"Feb 20, 2023","1,068","41,450",,
"Feb 21, 2023","1,068","41,517",,
"Feb 22, 2023","1,069","41,420",,
"Feb 23, 2023","1,070","41,480",,
"Feb 24, 2023","1,071","41,521",,
