Date,Playlist Count,Playlist Total Reach,Editorial Playlist Count,Editorial Playlist Total Reach
"Nov 11, 2022",155,"18,651,185",6,"12,093,816"
"Nov 12, 2022",234,"18,816,806",6,"12,096,526"
"Nov 13, 2022",272,"18,824,089",6,"12,099,143"
"Nov 14, 2022",319,"18,845,049",6,"12,101,258"
"Nov 15, 2022",350,"19,006,910",7,"12,261,193"
"Nov 16, 2022",378,"19,032,976",8,"12,284,980"
"Nov 17, 2022",394,"19,037,227",8,"12,287,362"
"Nov 18, 2022",248,"18,909,197",8,"12,286,852"
"Nov 19, 2022",299,"14,381,368",8,"12,287,577"
"Nov 20, 2022",330,"14,334,370",8,"12,290,377"
"Nov 21, 2022",403,"14,340,946",8,"12,291,893"
"Nov 22, 2022",462,"14,341,879",8,"12,291,292"
"Nov 23, 2022",501,"14,348,131",8,"12,296,910"
"Nov 24, 2022",559,"14,356,243",8,"12,303,405"
"Nov 25, 2022",592,"14,361,869",8,"12,307,671"
"Nov 26, 2022",593,"14,369,406",8,"12,310,583"
"Nov 27, 2022",626,"14,216,902",8,"12,313,444"
"Nov 28, 2022",664,"14,220,890",8,"12,316,428"
"Nov 29, 2022",701,"14,224,919",8,"12,319,089"
"Nov 30, 2022",733,"14,228,765",8,"12,321,699"
"Dec 01, 2022",763,"14,230,314",8,"12,322,475"
"Dec 02, 2022",786,"14,318,132",8,"12,325,608"
"Dec 03, 2022",774,"14,163,020",8,"12,170,300"
"Dec 04, 2022",791,"13,845,455",7,"11,982,084"
"Dec 05, 2022",825,"13,846,187",4,"1,263,334"
"Dec 06, 2022",842,"13,885,500",7,"11,985,585"
"Dec 07, 2022",850,"13,886,039",7,"11,989,570"
"Dec 08, 2022",858,"13,890,158",7,"11,992,777"
"Dec 09, 2022",853,"13,868,628",6,"11,971,258"
"Dec 10, 2022",858,"13,890,753",6,"11,977,097"
"Dec 11, 2022",873,"13,909,054",6,"11,979,928"
"Dec 12, 2022",883,"13,910,613",6,"11,981,873"
"Dec 13, 2022",891,"13,914,414",6,"11,984,910"
"Dec 14, 2022",911,"13,919,091",6,"11,986,496"
"Dec 15, 2022",915,"13,920,226",6,"11,989,598"
"Dec 16, 2022",919,"13,927,059",6,"11,993,580"
"Dec 17, 2022",924,"12,285,449",5,"10,353,273"
"Dec 18, 2022",932,"13,934,841",6,"11,998,840"
"Dec 19, 2022",935,"13,938,578",6,"12,001,755"
"Dec 20, 2022",937,"13,944,073",6,"12,004,606"
