Date,Playlist Count,Playlist Total Reach,Editorial Playlist Count,Editorial Playlist Total Reach
"Oct 28, 2022",9,830,,
"Oct 29, 2022",426,"22,326",,
"Oct 30, 2022",476,"25,054",1,25
"Oct 31, 2022",549,"41,764",1,25
"Nov 01, 2022",583,"45,353",1,25
"Nov 02, 2022",608,"45,622",1,25
"Nov 03, 2022",654,"48,084",1,25
"Nov 04, 2022",688,"48,894",1,25
"Nov 05, 2022",702,"47,733",1,25
"Nov 06, 2022",711,"42,963",1,25
"Nov 07, 2022",725,"43,144",1,25
"Nov 08, 2022",744,"44,106",1,25
"Nov 09, 2022",759,"43,673",1,25
"Nov 10, 2022",777,"44,440",1,25
"Nov 11, 2022",784,"44,508",1,25
"Nov 12, 2022",789,"46,616",1,25
"Nov 13, 2022",793,"46,670",1,25
"Nov 14, 2022",797,"46,810",1,25
"Nov 15, 2022",797,"57,832",1,25
"Nov 16, 2022",803,"58,420",1,25
"Nov 17, 2022",802,"58,556",1,25
"Nov 18, 2022",761,"57,506",1,25
"Nov 19, 2022",764,"57,610",1,25
"Nov 20, 2022",780,"58,185",1,25
"Nov 21, 2022",795,"58,404",1,25
"Nov 22, 2022",805,"58,553",1,25
"Nov 23, 2022",811,"58,493",1,25
"Nov 24, 2022",814,"47,498",1,25
"Nov 25, 2022",815,"47,290",1,25
"Nov 26, 2022",820,"47,146",1,25
"Nov 27, 2022",831,"45,736",1,25
"Nov 28, 2022",844,"46,237",1,25
"Nov 29, 2022",853,"46,296",1,25
"Nov 30, 2022",857,"46,500",1,25
"Dec 01, 2022",868,"46,994",1,25
"Dec 02, 2022",869,"46,828",1,25
"Dec 03, 2022",857,"45,291",1,25
"Dec 04, 2022",858,"45,287",1,25
"Dec 05, 2022",844,"26,536",1,25
"Dec 06, 2022",852,"43,902",1,25
"Dec 07, 2022",841,"45,189",1,25
"Dec 08, 2022",834,"44,468",1,25
"Dec 09, 2022",829,"44,457",1,25
"Dec 10, 2022",833,"57,399",1,25
"Dec 11, 2022",840,"40,539",1,25
"Dec 12, 2022",844,"38,882",1,25
"Dec 13, 2022",851,"39,047",1,25
"Dec 14, 2022",864,"54,661",1,25
"Dec 15, 2022",869,"55,866",1,25
"Dec 16, 2022",879,"56,519",1,25
"Dec 17, 2022",881,"57,618",1,25
"Dec 18, 2022",891,"57,956",1,25
"Dec 19, 2022",897,"43,209",1,25
"Dec 20, 2022",899,"42,616",1,25
"Dec 21, 2022",901,"55,490",1,25
"Dec 22, 2022",899,"52,764",1,25
"Dec 23, 2022",900,"53,150",1,25
"Dec 24, 2022",875,"38,342",1,25
"Dec 25, 2022",854,"36,698",1,25
"Dec 26, 2022",843,"41,490",1,25
"Dec 27, 2022",844,"43,867",1,25
"Dec 28, 2022",827,"42,325",1,25
"Dec 29, 2022",818,"44,648",1,25
"Dec 30, 2022",805,"42,607",1,25
"Dec 31, 2022",788,"38,556",1,25
"Jan 01, 2023",776,"40,816",1,25
"Jan 02, 2023",769,"54,562",1,25
"Jan 03, 2023",759,"57,316",1,25
"Jan 04, 2023",759,"43,325",1,25
"Jan 05, 2023",730,"39,471",1,25
"Jan 06, 2023",715,"36,091",1,25
"Jan 07, 2023",715,"36,095",1,25
"Jan 08, 2023",714,"35,778",1,25
"Jan 09, 2023",714,"35,780",1,25
"Jan 10, 2023",726,"54,596",1,25
"Jan 11, 2023",752,"61,484",1,25
"Jan 12, 2023",760,"62,324",1,25
"Jan 13, 2023",776,"66,054",1,25
"Jan 14, 2023",778,"66,528",1,25
"Jan 15, 2023",786,"67,456",1,25
"Jan 16, 2023","1,272","73,992",1,25
"Jan 17, 2023","1,275","74,127",1,25
"Jan 18, 2023","1,276","74,263",1,25
"Jan 19, 2023","1,282","74,978",1,25
"Jan 20, 2023","1,286","75,359",1,25
"Jan 21, 2023","1,286","75,446",1,25
"Jan 22, 2023","1,287","75,568",1,25
"Jan 23, 2023","1,287","75,718",1,25
"Jan 24, 2023","1,289","75,976",1,25
"Jan 25, 2023","1,289","76,140",1,25
"Jan 26, 2023","1,289","76,355",1,25
"Jan 27, 2023","1,290","76,422",1,25
"Jan 28, 2023","1,289","76,471",1,25
"Jan 29, 2023","1,292","76,608",1,25
"Jan 30, 2023","1,291","76,547",1,25
"Jan 31, 2023","1,292","76,622",1,25
"Feb 01, 2023","1,298","77,036",1,25
"Feb 02, 2023","1,303","77,135",1,25
"Feb 03, 2023","1,303","77,192",1,25
"Feb 04, 2023","1,302","77,254",1,25
"Feb 05, 2023","1,301","77,335",1,25
"Feb 06, 2023","1,302","77,381",1,25
"Feb 07, 2023","1,304","77,485",1,25
"Feb 08, 2023","1,305","77,548",1,25
"Feb 09, 2023","1,306","77,558",1,25
"Feb 10, 2023","1,307","77,668",1,25
"Feb 11, 2023","1,306","77,721",1,25
"Feb 12, 2023","1,305","77,950",1,25
"Feb 13, 2023","1,304","77,992",1,25
"Feb 14, 2023","1,305","77,757",1,25
"Feb 15, 2023","1,309","77,824",1,25
"Feb 16, 2023","1,309","77,886",1,25
"Feb 17, 2023","1,310","77,942",1,25
"Feb 18, 2023","1,311","77,978",1,25
"Feb 19, 2023","1,311","78,315",1,25
"Feb 20, 2023","1,311","78,338",1,25
"Feb 21, 2023","1,309","78,436",1,25
"Feb 22, 2023","1,306","78,556",1,25
"Feb 23, 2023","1,306","78,600",1,25
"Feb 24, 2023","1,308","78,907",1,25
"Feb 25, 2023","1,307","78,941",1,25
"Feb 26, 2023","1,309","78,955",1,25
"Feb 27, 2023","1,308","78,912",1,25
"Mar 01, 2023","1,304","78,964",1,25
"Mar 02, 2023","1,308","79,013",1,25
"Mar 03, 2023","1,311","79,888",1,25
"Mar 04, 2023","1,315","85,727",1,25
"Mar 05, 2023","1,316","85,520",1,25
"Mar 06, 2023","1,317","85,550",1,25
"Mar 07, 2023","1,323","86,263",1,25
"Mar 08, 2023","1,325","86,298",,
"Mar 09, 2023","1,326","86,336",1,25
"Mar 10, 2023","1,328","86,382",1,25
"Mar 11, 2023","1,328","86,714",1,25
"Mar 12, 2023","1,328","86,730",1,25
"Mar 13, 2023","1,328","86,731",1,25
"Mar 14, 2023","1,332","86,766",1,25
"Mar 15, 2023","1,334","86,914",1,25
"Mar 16, 2023","1,334","86,969",1,25
"Mar 17, 2023","1,337","87,033",1,25
"Mar 18, 2023","1,342","89,051",1,25
"Mar 19, 2023","1,345","89,509",1,25
"Mar 20, 2023","1,348","90,175",1,25
"Mar 21, 2023","1,351","90,211",1,25
"Mar 22, 2023","1,357","90,513",1,25
"Mar 23, 2023","1,359","90,677",1,25
"Mar 24, 2023","1,362","90,726",1,25
"Mar 25, 2023","1,366","90,871",1,25
"Mar 26, 2023","1,367","91,111",1,25
"Mar 27, 2023","1,368","91,149",1,25
"Mar 28, 2023","1,371","89,858",1,25
"Mar 29, 2023","1,375","91,273",1,25
"Mar 30, 2023","1,377","91,341",1,25
"Mar 31, 2023","1,381","91,494",1,25
"Apr 01, 2023","1,385","91,541",1,25
"Apr 02, 2023","1,391","91,680",1,25
"Apr 03, 2023","1,394","91,743",1,25
"Apr 04, 2023","1,398","91,820",1,25
"Apr 05, 2023","1,403","91,864",1,25
"Apr 06, 2023","1,407","91,925",1,25
"Apr 07, 2023","1,408","91,975",1,25
"Apr 08, 2023","1,412","92,001",1,25
"Apr 09, 2023","1,412","92,025",1,25
