"DateTime","Spotify Streams","Change"
"2023-05-14 00:00:00",2272408,3705
"2023-05-13 00:00:00",2268703,3710
"2023-05-12 00:00:00",2264993,3867
"2023-05-11 00:00:00",2261126,3611
"2023-05-10 00:00:00",2257515,3554
"2023-05-09 00:00:00",2253961,3235
"2023-05-08 00:00:00",2250726,0
"2023-05-07 00:00:00",2250726,7330
"2023-05-06 00:00:00",2243396,3942
"2023-05-05 00:00:00",2239454,3919
"2023-05-04 00:00:00",2235535,0
"2023-05-03 00:00:00",2235535,5564
"2023-05-02 00:00:00",2229971,5564
"2023-05-01 00:00:00",2224407,3956
"2023-04-30 00:00:00",2220451,4186
"2023-04-29 00:00:00",2216265,0
"2023-04-28 00:00:00",2216265,8562
"2023-04-27 00:00:00",2207703,4895
"2023-04-26 00:00:00",2202808,4830
"2023-04-25 00:00:00",2197978,3829
"2023-04-24 00:00:00",2194149,4110
"2023-04-23 00:00:00",2190039,0
"2023-04-22 00:00:00",2190039,6748
"2023-04-21 00:00:00",2183291,6748
"2023-04-20 00:00:00",2176543,0
"2023-04-19 00:00:00",2176543,9560
"2023-04-18 00:00:00",2166983,2001
"2023-04-17 00:00:00",2164983,2001
"2023-04-16 00:00:00",2162982,8846
"2023-04-15 00:00:00",2154136,4654
"2023-04-14 00:00:00",2149482,4519
"2023-04-13 00:00:00",2144963,4474
"2023-04-12 00:00:00",2140489,4283
"2023-04-11 00:00:00",2136206,3399
"2023-04-10 00:00:00",2132807,3660
"2023-04-09 00:00:00",2129147,3927
"2023-04-08 00:00:00",2125220,4539
"2023-04-07 00:00:00",2120681,4271
"2023-04-06 00:00:00",2116410,4281
"2023-04-05 00:00:00",2112129,4220
"2023-04-04 00:00:00",2107909,3642
"2023-04-03 00:00:00",2104267,3737
"2023-04-02 00:00:00",2100530,3937
"2023-04-01 00:00:00",2096593,4427
"2023-03-31 00:00:00",2092166,4916
"2023-03-30 00:00:00",2087250,5024
"2023-03-29 00:00:00",2082226,4654
"2023-03-28 00:00:00",2077572,4092
"2023-03-27 00:00:00",2073480,4440
"2023-03-26 00:00:00",2069040,5102
"2023-03-25 00:00:00",2063938,5623
"2023-03-24 00:00:00",2058315,5553
"2023-03-23 00:00:00",2052762,6087
"2023-03-22 00:00:00",2046675,5706
"2023-03-21 00:00:00",2040969,0
"2023-03-20 00:00:00",2040969,10126
"2023-03-19 00:00:00",2030843,5535
"2023-03-18 00:00:00",2025308,5570
"2023-03-17 00:00:00",2019738,5845
"2023-03-16 00:00:00",2013893,5739
"2023-03-15 00:00:00",2008154,6209
"2023-03-14 00:00:00",2001945,5363
"2023-03-13 00:00:00",1996582,5554
"2023-03-12 00:00:00",1991028,5896
"2023-03-11 00:00:00",1985132,0
"2023-03-10 00:00:00",1985132,12343
"2023-03-09 00:00:00",1972789,5673
"2023-03-08 00:00:00",1967116,5595
"2023-03-07 00:00:00",1961521,4850
"2023-03-06 00:00:00",1956671,5518
"2023-03-05 00:00:00",1951153,5904
"2023-03-04 00:00:00",1945249,6053
"2023-03-03 00:00:00",1939196,6456
"2023-03-02 00:00:00",1932740,6119
"2023-03-01 00:00:00",1926621,6292
"2023-02-28 00:00:00",1920329,5510
"2023-02-27 00:00:00",1914819,0
"2023-02-26 00:00:00",1914819,11786
"2023-02-25 00:00:00",1903033,6603
"2023-02-24 00:00:00",1896430,6910
"2023-02-23 00:00:00",1889520,6746
"2023-02-22 00:00:00",1882774,0
"2023-02-21 00:00:00",1882774,12210
"2023-02-20 00:00:00",1870564,6170
"2023-02-19 00:00:00",1864394,6934
"2023-02-18 00:00:00",1857460,7262
"2023-02-17 00:00:00",1850198,7031
"2023-02-16 00:00:00",1843167,7546
"2023-02-15 00:00:00",1835621,6984
"2023-02-14 00:00:00",1828637,0
"2023-02-13 00:00:00",1828637,13265
"2023-02-12 00:00:00",1815372,8125
"2023-02-11 00:00:00",1807247,7918
"2023-02-10 00:00:00",1799329,7905
"2023-02-09 00:00:00",1791424,7412
"2023-02-08 00:00:00",1784012,7502
"2023-02-07 00:00:00",1776510,0
"2023-02-06 00:00:00",1776510,14135
"2023-02-05 00:00:00",1762375,0
"2023-02-04 00:00:00",1762375,8342
"2023-02-03 00:00:00",1754033,16553
"2023-02-02 00:00:00",1737480,8507
"2023-02-01 00:00:00",1728973,8100
"2023-01-31 00:00:00",1720873,6879
"2023-01-30 00:00:00",1713994,7505
"2023-01-29 00:00:00",1706489,8279
"2023-01-28 00:00:00",1698210,8646
"2023-01-27 00:00:00",1689564,8578
"2023-01-26 00:00:00",1680986,0
"2023-01-25 00:00:00",1680986,17349
"2023-01-24 00:00:00",1663637,7000
"2023-01-23 00:00:00",1656637,7625
"2023-01-22 00:00:00",1649012,8060
"2023-01-21 00:00:00",1640952,8817
"2023-01-20 00:00:00",1632135,8867
"2023-01-19 00:00:00",1623268,8702
"2023-01-18 00:00:00",1614566,8077
"2023-01-17 00:00:00",1606489,7265
"2023-01-16 00:00:00",1599224,7801
"2023-01-15 00:00:00",1591423,9518
"2023-01-14 00:00:00",1581905,9390
"2023-01-13 00:00:00",1572515,9166
