"DateTime","Spotify Streams","Change"
"2023-02-11 00:00:00",1233242,6170
"2023-02-10 00:00:00",1227072,6351
"2023-02-09 00:00:00",1220721,6251
"2023-02-08 00:00:00",1214470,6560
"2023-02-07 00:00:00",1207910,5334
"2023-02-06 00:00:00",1202576,5639
"2023-02-05 00:00:00",1196937,6292
"2023-02-04 00:00:00",1190645,6187
"2023-02-03 00:00:00",1184458,6256
"2023-02-02 00:00:00",1178202,6142
"2023-02-01 00:00:00",1172061,6142
"2023-01-31 00:00:00",1165919,5319
"2023-01-30 00:00:00",1160600,5556
"2023-01-29 00:00:00",1155044,6231
"2023-01-28 00:00:00",1148814,6231
"2023-01-27 00:00:00",1142583,6613
"2023-01-26 00:00:00",1135970,7003
"2023-01-25 00:00:00",1128967,6440
"2023-01-24 00:00:00",1122527,5486
"2023-01-23 00:00:00",1117041,5932
"2023-01-22 00:00:00",1111109,6395
"2023-01-21 00:00:00",1104714,7329
"2023-01-20 00:00:00",1097385,7369
"2023-01-19 00:00:00",1090016,7323
"2023-01-18 00:00:00",1082693,6872
"2023-01-17 00:00:00",1075821,6352
"2023-01-16 00:00:00",1069469,6612
"2023-01-15 00:00:00",1062857,7801
"2023-01-14 00:00:00",1055056,7527
"2023-01-13 00:00:00",1047529,7943
"2023-01-12 00:00:00",1039586,8507
"2023-01-11 00:00:00",1031079,8382
"2023-01-10 00:00:00",1022697,7243
"2023-01-09 00:00:00",1015454,7953
"2023-01-08 00:00:00",1007501,8502
"2023-01-07 00:00:00",998999,8592
"2023-01-06 00:00:00",990407,8499
"2023-01-05 00:00:00",981908,8616
"2023-01-04 00:00:00",973292,8052
"2023-01-03 00:00:00",965240,6920
"2023-01-02 00:00:00",958320,8187
"2023-01-01 00:00:00",950133,8436
"2022-12-31 00:00:00",941697,8466
"2022-12-30 00:00:00",933231,8113
"2022-12-29 00:00:00",925118,8317
"2022-12-28 00:00:00",916801,7578
"2022-12-27 00:00:00",909223,6788
"2022-12-26 00:00:00",902435,7703
"2022-12-25 00:00:00",894732,8609
"2022-12-24 00:00:00",886123,9162
"2022-12-23 00:00:00",876961,9423
"2022-12-22 00:00:00",867538,9451
"2022-12-21 00:00:00",858087,9684
"2022-12-20 00:00:00",848403,8239
"2022-12-19 00:00:00",840164,9188
"2022-12-18 00:00:00",830976,10550
"2022-12-17 00:00:00",820426,10560
"2022-12-16 00:00:00",809866,10209
"2022-12-15 00:00:00",799657,10979
"2022-12-14 00:00:00",788678,10443
"2022-12-13 00:00:00",778235,8865
"2022-12-12 00:00:00",769370,9643
"2022-12-11 00:00:00",759727,11314
"2022-12-10 00:00:00",748413,14270
"2022-12-09 00:00:00",734143,13856
"2022-12-08 00:00:00",720287,13288
"2022-12-07 00:00:00",706999,12183
"2022-12-06 00:00:00",694816,13686
"2022-12-05 00:00:00",681130,13686
"2022-12-04 00:00:00",667444,13686
"2022-12-03 00:00:00",653759,13686
"2022-12-02 00:00:00",640073,13686
"2022-12-01 00:00:00",626387,13686
"2022-11-30 00:00:00",612701,16448
"2022-11-29 00:00:00",596253,14857
"2022-11-28 00:00:00",581396,15569
"2022-11-27 00:00:00",565827,16205
"2022-11-26 00:00:00",549622,17232
"2022-11-25 00:00:00",532390,20026
"2022-11-24 00:00:00",512364,19811
"2022-11-23 00:00:00",492553,20639
"2022-11-22 00:00:00",471914,19307
"2022-11-21 00:00:00",452607,22783
"2022-11-20 00:00:00",429824,28287
"2022-11-19 00:00:00",401537,32764
"2022-11-18 00:00:00",368773,38427
"2022-11-17 00:00:00",330346,44080
"2022-11-16 00:00:00",286266,52565
"2022-11-15 00:00:00",233701,0
