Date,Playlist Count,Playlist Total Reach,Editorial Playlist Count,Editorial Playlist Total Reach
"Oct 14, 2022",5,69,,
"Oct 15, 2022",285,"7,910",,
"Oct 16, 2022",350,"12,767",,
"Oct 17, 2022",405,"51,915",,
"Oct 18, 2022",464,"63,495",,
"Oct 19, 2022",497,"63,745",,
"Oct 20, 2022",522,"54,475",,
"Oct 21, 2022",545,"54,483",,
"Oct 22, 2022",561,"54,613",,
"Oct 23, 2022",571,"54,585",,
"Oct 24, 2022",584,"61,576",,
"Oct 25, 2022",593,"60,404",,
"Oct 26, 2022",601,"60,517",,
"Oct 27, 2022",617,"60,701",,
"Oct 28, 2022",628,"60,867",,
"Oct 29, 2022",641,"60,976",,
"Oct 30, 2022",645,"61,020",,
"Oct 31, 2022",651,"61,111",,
"Nov 01, 2022",654,"61,158",,
"Nov 02, 2022",658,"61,228",,
"Nov 03, 2022",663,"61,306",,
"Nov 04, 2022",671,"61,466",,
"Nov 05, 2022",675,"61,509",,
"Nov 06, 2022",678,"61,637",,
"Nov 07, 2022",685,"61,734",,
"Nov 08, 2022",687,"61,830",,
"Nov 09, 2022",694,"61,934",,
"Nov 10, 2022",696,"61,986",,
"Nov 11, 2022",697,"62,214",,
"Nov 12, 2022",699,"62,238",,
"Nov 13, 2022",700,"62,238",,
"Nov 14, 2022",700,"62,265",,
"Nov 15, 2022",701,"62,286",,
"Nov 16, 2022",701,"62,345",,
"Nov 17, 2022",707,"62,435",,
"Nov 18, 2022",672,"62,115",,
"Nov 19, 2022",678,"62,207",,
"Nov 20, 2022",685,"62,075",,
"Nov 21, 2022",706,"60,986",,
"Nov 22, 2022",723,"63,300",,
"Nov 23, 2022",726,"63,327",,
"Nov 24, 2022",733,"63,445",,
"Nov 25, 2022",744,"63,645",,
"Nov 26, 2022",747,"63,705",,
"Nov 27, 2022",755,"63,369",,
"Nov 28, 2022",778,"68,994",,
"Nov 29, 2022",790,"69,696",,
"Nov 30, 2022",802,"69,799",,
"Dec 01, 2022",808,"68,775",,
"Dec 02, 2022",815,"70,256",,
"Dec 03, 2022",809,"68,763",,
"Dec 04, 2022",809,"68,138",,
"Dec 05, 2022",808,"69,059",,
"Dec 06, 2022",808,"68,891",,
"Dec 07, 2022",804,"68,867",,
"Dec 08, 2022",802,"68,828",,
"Dec 09, 2022",798,"68,822",,
"Dec 10, 2022",803,"70,075",,
"Dec 11, 2022",807,"66,376",,
"Dec 12, 2022",820,"68,948",,
"Dec 13, 2022",825,"68,963",,
"Dec 14, 2022",832,"69,136",,
"Dec 15, 2022",837,"69,165",,
"Dec 16, 2022",837,"69,111",,
"Dec 17, 2022",835,"68,855",,
"Dec 18, 2022",838,"68,687",,
"Dec 19, 2022",847,"68,356",,
"Dec 20, 2022",848,"68,078",,
"Dec 21, 2022",851,"69,732",,
"Dec 22, 2022",848,"65,806",,
"Dec 23, 2022",851,"66,393",,
"Dec 24, 2022",835,"64,427",,
"Dec 25, 2022",818,"58,450",,
"Dec 26, 2022",813,"58,505",,
"Dec 27, 2022",809,"58,954",,
"Dec 28, 2022",801,"63,448",,
"Dec 29, 2022",795,"63,252",,
"Dec 30, 2022",793,"61,638",,
"Dec 31, 2022",784,"56,721",,
"Jan 01, 2023",777,"60,793",,
"Jan 02, 2023",776,"62,977",,
"Jan 03, 2023",771,"62,666",,
"Jan 04, 2023",767,"58,809",,
"Jan 05, 2023",750,"62,157",,
"Jan 06, 2023",738,"60,647",,
"Jan 07, 2023",737,"60,644",,
"Jan 08, 2023",738,"60,688",,
"Jan 09, 2023",737,"60,566",,
"Jan 10, 2023",743,"61,920",,
"Jan 11, 2023",754,"64,189",,
"Jan 12, 2023",761,"64,631",,
"Jan 13, 2023",764,"60,705",,
"Jan 14, 2023",766,"60,760",,
"Jan 15, 2023",773,"64,535",,
"Jan 16, 2023","1,160","69,056",,
"Jan 17, 2023","1,162","69,113",,
"Jan 18, 2023","1,163","69,268",,
"Jan 19, 2023","1,166","69,342",,
"Jan 20, 2023","1,166","69,428",,
"Jan 21, 2023","1,167","69,516",,
"Jan 22, 2023","1,168","69,583",,
"Jan 23, 2023","1,169","69,865",,
"Jan 24, 2023","1,172","69,965",,
"Jan 25, 2023","1,172","70,026",,
"Jan 26, 2023","1,172","70,069",,
"Jan 27, 2023","1,175","70,131",,
"Jan 28, 2023","1,175","70,194",,
"Jan 29, 2023","1,177","70,316",,
"Jan 30, 2023","1,177","70,364",,
"Jan 31, 2023","1,177","70,442",,
"Feb 01, 2023","1,178","70,488",,
"Feb 02, 2023","1,178","70,563",,
"Feb 03, 2023","1,178","70,623",,
"Feb 04, 2023","1,179","70,642",,
"Feb 05, 2023","1,178","70,834",,
"Feb 06, 2023","1,180","70,881",,
"Feb 07, 2023","1,180","70,917",,
"Feb 08, 2023","1,179","70,969",,
"Feb 09, 2023","1,180","71,032",,
"Feb 10, 2023","1,182","71,104",,
"Feb 11, 2023","1,183","71,163",,
"Feb 12, 2023","1,182","71,153",,
"Feb 13, 2023","1,183","71,195",,
"Feb 14, 2023","1,184","71,358",,
"Feb 15, 2023","1,186","71,412",,
"Feb 16, 2023","1,186","71,445",,
"Feb 17, 2023","1,186","71,492",,
"Feb 18, 2023","1,188","71,540",,
"Feb 19, 2023","1,187","71,571",,
"Feb 20, 2023","1,187","71,629",,
"Feb 21, 2023","1,185","71,666",,
"Feb 22, 2023","1,183","71,724",,
"Feb 23, 2023","1,182","71,738",,
"Feb 24, 2023","1,182","71,776",,
"Feb 25, 2023","1,183","72,039",,
"Feb 26, 2023","1,183","72,117",,
"Feb 27, 2023","1,183","72,189",,
"Mar 01, 2023","1,179","72,248",,
"Mar 02, 2023","1,182","72,323",,
"Mar 03, 2023","1,184","72,374",,
"Mar 04, 2023","1,185","72,427",,
"Mar 05, 2023","1,188","72,502",,
"Mar 06, 2023","1,189","72,540",,
"Mar 07, 2023","1,193","72,591",,
"Mar 08, 2023","1,196","72,640",,
"Mar 09, 2023","1,198","72,686",,
"Mar 10, 2023","1,199","72,543",,
"Mar 11, 2023","1,201","72,612",,
"Mar 12, 2023","1,202","72,658",,
"Mar 13, 2023","1,201","72,705",,
"Mar 14, 2023","1,202","72,760",,
"Mar 15, 2023","1,204","73,315",,
"Mar 16, 2023","1,206","73,388",,
"Mar 17, 2023","1,208","73,193",,
"Mar 18, 2023","1,209","73,358",,
"Mar 19, 2023","1,212","73,421",,
"Mar 20, 2023","1,214","73,487",,
"Mar 21, 2023","1,217","73,532",,
"Mar 22, 2023","1,216","73,389",,
"Mar 23, 2023","1,218","73,434",,
"Mar 24, 2023","1,217","73,484",,
"Mar 25, 2023","1,227","74,540",,
"Mar 26, 2023","1,228","74,571",,
"Mar 27, 2023","1,231","74,643",,
"Mar 28, 2023","1,231","74,683",,
"Mar 29, 2023","1,238","74,738",,
"Mar 30, 2023","1,239","74,804",,
"Mar 31, 2023","1,241","74,845",,
"Apr 01, 2023","1,247","74,918",,
"Apr 02, 2023","1,252","74,963",,
"Apr 03, 2023","1,253","75,002",,
"Apr 04, 2023","1,259","75,074",,
"Apr 05, 2023","1,269","75,210",,
"Apr 06, 2023","1,272","75,252",,
"Apr 07, 2023","1,272","75,282",,
"Apr 08, 2023","1,273","75,313",,
"Apr 09, 2023","1,277","75,368",,
"Apr 10, 2023","1,282","75,419",,
"Apr 11, 2023","1,286","75,468",,
"Apr 12, 2023","1,289","75,602",,
"Apr 13, 2023","1,289","75,630",,
"Apr 14, 2023","1,293","75,667",,
"Apr 15, 2023","1,294","75,741",,
"Apr 16, 2023","1,299","75,994",,
"Apr 17, 2023","1,306","76,045",,
"Apr 18, 2023","1,311","76,081",,
"Apr 19, 2023","1,313","76,121",,
"Apr 20, 2023","1,315","76,205",,
"Apr 21, 2023","1,320","76,269",,
"Apr 22, 2023","1,321","76,302",,
"Apr 23, 2023","1,325","76,389",,
"Apr 24, 2023","1,325","76,449",,
"Apr 25, 2023","1,330","76,517",,
"Apr 26, 2023","1,331","76,555",,
"Apr 27, 2023","1,338","76,676",,
"Apr 28, 2023","1,341","76,723",,
"Apr 29, 2023","1,346","76,832",,
"Apr 30, 2023","1,353","76,910",,
"May 01, 2023","1,355","76,961",,
"May 02, 2023","1,359","77,017",,
"May 03, 2023","1,361","77,097",,
"May 04, 2023","1,367","77,159",,
"May 05, 2023","1,370","77,223",,
"May 06, 2023","1,375","77,292",,
"May 07, 2023","1,379","77,330",,
"May 08, 2023","1,382","77,400",,
"May 09, 2023","1,385","77,450",,
"May 10, 2023","1,392","77,517",,
"May 11, 2023","1,395","77,563",,
"May 12, 2023","1,393","77,589",,
"May 13, 2023","1,395","77,638",,
"May 14, 2023","1,395","77,616",,
"May 15, 2023","1,397","36,904",,
Invalid date,,,,
