"DateTime","Spotify Streams","Change"
"2023-05-15 00:00:00",1306693,2286
"2023-05-14 00:00:00",1304407,2732
"2023-05-13 00:00:00",1301676,2732
"2023-05-12 00:00:00",1298944,3040
"2023-05-11 00:00:00",1295904,2918
"2023-05-10 00:00:00",1292986,2897
"2023-05-09 00:00:00",1290089,2527
"2023-05-08 00:00:00",1287562,2672
"2023-05-07 00:00:00",1284890,1572
"2023-05-06 00:00:00",1283319,1572
"2023-05-05 00:00:00",1281747,3075
"2023-05-04 00:00:00",1278672,6353
"2023-05-03 00:00:00",1272319,3046
"2023-05-02 00:00:00",1269273,2484
"2023-05-01 00:00:00",1266789,2905
"2023-04-30 00:00:00",1263884,3337
"2023-04-29 00:00:00",1260547,3391
"2023-04-28 00:00:00",1257156,0
"2023-04-27 00:00:00",1257156,7136
"2023-04-26 00:00:00",1250020,3234
"2023-04-25 00:00:00",1246786,3234
"2023-04-24 00:00:00",1243552,3153
"2023-04-23 00:00:00",1240399,3528
"2023-04-22 00:00:00",1236871,3648
"2023-04-21 00:00:00",1233223,3356
"2023-04-20 00:00:00",1229868,3356
"2023-04-19 00:00:00",1226512,3370
"2023-04-18 00:00:00",1223142,0
"2023-04-17 00:00:00",1223142,5945
"2023-04-16 00:00:00",1217197,3415
"2023-04-15 00:00:00",1213782,3409
"2023-04-14 00:00:00",1210373,3295
"2023-04-13 00:00:00",1207078,3271
"2023-04-12 00:00:00",1203807,3261
"2023-04-11 00:00:00",1200546,2510
"2023-04-10 00:00:00",1198036,2935
"2023-04-09 00:00:00",1195101,3071
"2023-04-08 00:00:00",1192030,3485
"2023-04-07 00:00:00",1188545,0
"2023-04-06 00:00:00",1188545,6633
"2023-04-05 00:00:00",1181912,3260
"2023-04-04 00:00:00",1178652,2878
"2023-04-03 00:00:00",1175774,2932
"2023-04-02 00:00:00",1172842,3387
"2023-04-01 00:00:00",1169455,3468
"2023-03-31 00:00:00",1165987,3388
"2023-03-30 00:00:00",1162599,3365
"2023-03-29 00:00:00",1159234,3345
"2023-03-28 00:00:00",1155889,2701
"2023-03-27 00:00:00",1153188,3087
"2023-03-26 00:00:00",1150101,0
"2023-03-25 00:00:00",1150101,6870
"2023-03-24 00:00:00",1143231,3684
"2023-03-23 00:00:00",1139547,0
"2023-03-22 00:00:00",1139547,7293
"2023-03-21 00:00:00",1132254,2917
"2023-03-20 00:00:00",1129337,3335
"2023-03-19 00:00:00",1126002,3749
"2023-03-18 00:00:00",1122253,3870
"2023-03-17 00:00:00",1118383,3945
"2023-03-16 00:00:00",1114438,4027
"2023-03-15 00:00:00",1110411,3732
"2023-03-14 00:00:00",1106679,2932
"2023-03-13 00:00:00",1103747,3231
"2023-03-12 00:00:00",1100516,3556
"2023-03-11 00:00:00",1096960,0
"2023-03-10 00:00:00",1096960,7230
"2023-03-09 00:00:00",1089730,3539
"2023-03-08 00:00:00",1086191,3459
"2023-03-07 00:00:00",1082732,2861
"2023-03-06 00:00:00",1079871,3128
"2023-03-05 00:00:00",1076743,3589
"2023-03-04 00:00:00",1073154,3855
"2023-03-03 00:00:00",1069299,3795
"2023-03-02 00:00:00",1065504,3906
"2023-03-01 00:00:00",1061598,3699
"2023-02-28 00:00:00",1057899,3035
"2023-02-27 00:00:00",1054864,3291
"2023-02-26 00:00:00",1051573,3869
"2023-02-25 00:00:00",1047704,3952
"2023-02-24 00:00:00",1043752,3940
"2023-02-23 00:00:00",1039812,3979
"2023-02-22 00:00:00",1035833,3654
"2023-02-21 00:00:00",1032179,3513
"2023-02-20 00:00:00",1028666,0
"2023-02-19 00:00:00",1028666,3634
"2023-02-18 00:00:00",1025032,4273
"2023-02-17 00:00:00",1020759,8068
"2023-02-16 00:00:00",1012691,4069
"2023-02-15 00:00:00",1008622,3736
"2023-02-14 00:00:00",1004886,0
"2023-02-13 00:00:00",1004886,6945
"2023-02-12 00:00:00",997941,0
"2023-02-11 00:00:00",997941,8429
"2023-02-10 00:00:00",989512,4382
"2023-02-09 00:00:00",985130,4244
"2023-02-08 00:00:00",980886,0
"2023-02-07 00:00:00",980886,7675
"2023-02-06 00:00:00",973211,3855
"2023-02-05 00:00:00",969356,4405
"2023-02-04 00:00:00",964951,4475
"2023-02-03 00:00:00",960476,0
"2023-02-02 00:00:00",960476,8882
"2023-02-01 00:00:00",951594,4249
"2023-01-31 00:00:00",947345,3642
"2023-01-30 00:00:00",943703,3945
"2023-01-29 00:00:00",939758,4558
"2023-01-28 00:00:00",935200,4585
"2023-01-27 00:00:00",930615,4551
"2023-01-26 00:00:00",926064,0
"2023-01-25 00:00:00",926064,9397
"2023-01-24 00:00:00",916667,3812
"2023-01-23 00:00:00",912855,0
"2023-01-22 00:00:00",912855,8974
"2023-01-21 00:00:00",903881,4936
"2023-01-20 00:00:00",898945,5021
"2023-01-19 00:00:00",893924,4898
"2023-01-18 00:00:00",889026,4515
"2023-01-17 00:00:00",884511,4078
"2023-01-16 00:00:00",880433,4285
"2023-01-15 00:00:00",876148,5152
"2023-01-14 00:00:00",870996,5328
"2023-01-13 00:00:00",865668,5332
"2023-01-12 00:00:00",860336,5288
"2023-01-11 00:00:00",855048,5214
"2023-01-10 00:00:00",849834,4220
"2023-01-09 00:00:00",845614,4745
"2023-01-08 00:00:00",840869,5461
"2023-01-07 00:00:00",835408,5418
"2023-01-06 00:00:00",829990,5313
"2023-01-05 00:00:00",824677,5288
"2023-01-04 00:00:00",819389,4589
"2023-01-03 00:00:00",814800,0
"2023-01-02 00:00:00",814800,9209
"2023-01-01 00:00:00",805591,5259
"2022-12-31 00:00:00",800332,5454
"2022-12-30 00:00:00",794878,5786
"2022-12-29 00:00:00",789092,5459
"2022-12-28 00:00:00",783633,4759
"2022-12-27 00:00:00",778874,4345
"2022-12-26 00:00:00",774529,5081
"2022-12-25 00:00:00",769448,6000
"2022-12-24 00:00:00",763448,6135
"2022-12-23 00:00:00",757313,6287
"2022-12-22 00:00:00",751026,6455
"2022-12-21 00:00:00",744571,6682
"2022-12-20 00:00:00",737889,5880
"2022-12-19 00:00:00",732009,6227
"2022-12-18 00:00:00",725782,7359
"2022-12-17 00:00:00",718423,7566
"2022-12-16 00:00:00",710857,7363
"2022-12-15 00:00:00",703494,7914
"2022-12-14 00:00:00",695580,7535
"2022-12-13 00:00:00",688045,5642
"2022-12-12 00:00:00",682403,6237
"2022-12-11 00:00:00",676166,7640
"2022-12-10 00:00:00",668526,7763
"2022-12-09 00:00:00",660763,7728
"2022-12-08 00:00:00",653035,7345
"2022-12-07 00:00:00",645690,7112
"2022-12-06 00:00:00",638578,7769
"2022-12-05 00:00:00",630809,7769
"2022-12-04 00:00:00",623040,7769
"2022-12-03 00:00:00",615271,7769
"2022-12-02 00:00:00",607502,7769
"2022-12-01 00:00:00",599733,7769
"2022-11-30 00:00:00",591964,8968
"2022-11-29 00:00:00",582996,7527
"2022-11-28 00:00:00",575469,8171
"2022-11-27 00:00:00",567298,8184
"2022-11-26 00:00:00",559114,8538
"2022-11-25 00:00:00",550576,10577
"2022-11-24 00:00:00",539999,10977
"2022-11-23 00:00:00",529022,11361
"2022-11-22 00:00:00",517661,9085
"2022-11-21 00:00:00",508576,10248
"2022-11-20 00:00:00",498328,12494
"2022-11-19 00:00:00",485834,13449
"2022-11-18 00:00:00",472385,8271
"2022-11-17 00:00:00",464114,7580
"2022-11-16 00:00:00",456534,7843
"2022-11-15 00:00:00",448691,6683
"2022-11-14 00:00:00",442008,7551
"2022-11-13 00:00:00",434457,8365
"2022-11-12 00:00:00",426092,8641
"2022-11-11 00:00:00",417451,9098
"2022-11-10 00:00:00",408353,9217
"2022-11-09 00:00:00",399136,9274
"2022-11-08 00:00:00",389862,8013
"2022-11-07 00:00:00",381849,8773
"2022-11-06 00:00:00",373076,10019
"2022-11-05 00:00:00",363057,10964
"2022-11-04 00:00:00",352093,11142
"2022-11-03 00:00:00",340951,11003
"2022-11-02 00:00:00",329948,11565
"2022-11-01 00:00:00",318383,9588
"2022-10-31 00:00:00",308795,11221
"2022-10-30 00:00:00",297574,13893
"2022-10-29 00:00:00",283681,14599
"2022-10-28 00:00:00",269082,14263
"2022-10-27 00:00:00",254819,14878
"2022-10-26 00:00:00",239941,15438
"2022-10-25 00:00:00",224503,0
"2022-10-24 00:00:00",224503,28563
"2022-10-23 00:00:00",195940,19573
"2022-10-22 00:00:00",176367,21066
"2022-10-21 00:00:00",155301,23150
"2022-10-20 00:00:00",132151,25760
"2022-10-19 00:00:00",106391,28684
"2022-10-18 00:00:00",77707,23429
"2022-10-17 00:00:00",54278,22046
"2022-10-16 00:00:00",32232,0
