"DateTime","Spotify Streams","Change"
"2023-05-15 00:00:00",4215823,6577
"2023-05-14 00:00:00",4209246,7600
"2023-05-13 00:00:00",4201647,7600
"2023-05-12 00:00:00",4194047,8127
"2023-05-11 00:00:00",4185920,8043
"2023-05-10 00:00:00",4177877,8024
"2023-05-09 00:00:00",4169853,6811
"2023-05-08 00:00:00",4163042,7646
"2023-05-07 00:00:00",4155396,4246
"2023-05-06 00:00:00",4151151,4246
"2023-05-05 00:00:00",4146905,8223
"2023-05-04 00:00:00",4138682,17191
"2023-05-03 00:00:00",4121491,8435
"2023-05-02 00:00:00",4113056,6707
"2023-05-01 00:00:00",4106349,7869
"2023-04-30 00:00:00",4098480,9117
"2023-04-29 00:00:00",4089363,12778
"2023-04-28 00:00:00",4076585,0
"2023-04-27 00:00:00",4076585,28934
"2023-04-26 00:00:00",4047651,13169
"2023-04-25 00:00:00",4034483,13169
"2023-04-24 00:00:00",4021314,13739
"2023-04-23 00:00:00",4007575,13749
"2023-04-22 00:00:00",3993826,9561
"2023-04-21 00:00:00",3984265,8946
"2023-04-20 00:00:00",3975319,8946
"2023-04-19 00:00:00",3966373,8716
"2023-04-18 00:00:00",3957657,0
"2023-04-17 00:00:00",3957657,17121
"2023-04-16 00:00:00",3940536,9717
"2023-04-15 00:00:00",3930819,9252
"2023-04-14 00:00:00",3921567,9032
"2023-04-13 00:00:00",3912535,8527
"2023-04-12 00:00:00",3904008,8136
"2023-04-11 00:00:00",3895872,6953
"2023-04-10 00:00:00",3888919,7848
"2023-04-09 00:00:00",3881071,8616
"2023-04-08 00:00:00",3872455,8860
"2023-04-07 00:00:00",3863595,0
"2023-04-06 00:00:00",3863595,17627
"2023-04-05 00:00:00",3845968,8910
"2023-04-04 00:00:00",3837058,7585
"2023-04-03 00:00:00",3829473,8053
"2023-04-02 00:00:00",3821420,9002
"2023-04-01 00:00:00",3812418,8691
"2023-03-31 00:00:00",3803727,8504
"2023-03-30 00:00:00",3795223,9003
"2023-03-29 00:00:00",3786220,8198
"2023-03-28 00:00:00",3778022,7355
"2023-03-27 00:00:00",3770667,8269
"2023-03-26 00:00:00",3762398,0
"2023-03-25 00:00:00",3762398,17815
"2023-03-24 00:00:00",3744583,8864
"2023-03-23 00:00:00",3735719,0
"2023-03-22 00:00:00",3735719,17481
"2023-03-21 00:00:00",3718238,7576
