Date,Playlist Count,Playlist Total Reach,Editorial Playlist Count,Editorial Playlist Total Reach
"Oct 14, 2022",4,57,,
"Oct 15, 2022",174,"74,662",,
"Oct 16, 2022",210,"78,777",,
"Oct 17, 2022",232,"79,267",,
"Oct 18, 2022",243,"79,357",,
"Oct 19, 2022",256,"79,417",,
"Oct 20, 2022",263,"79,276",,
"Oct 21, 2022",271,"79,159",,
"Oct 22, 2022",275,"77,108",,
"Oct 23, 2022",276,"76,989",,
"Oct 24, 2022",282,"77,073",,
"Oct 25, 2022",284,"75,849",,
"Oct 26, 2022",286,"75,865",,
"Oct 27, 2022",290,"75,947",,
"Oct 28, 2022",296,"76,033",,
"Oct 29, 2022",300,"76,089",,
"Oct 30, 2022",301,"76,513",,
"Oct 31, 2022",302,"76,531",,
"Nov 01, 2022",303,"76,535",,
"Nov 02, 2022",305,"76,584",,
"Nov 03, 2022",310,"76,614",,
"Nov 04, 2022",312,"76,758",,
"Nov 05, 2022",311,"76,777",,
"Nov 06, 2022",310,"76,804",,
"Nov 07, 2022",312,"76,870",,
"Nov 08, 2022",313,"76,878",,
"Nov 09, 2022",313,"76,848",,
"Nov 10, 2022",313,"76,848",,
"Nov 11, 2022",312,"76,868",,
"Nov 12, 2022",312,"76,882",,
"Nov 13, 2022",312,"76,892",,
"Nov 14, 2022",310,"76,902",,
"Nov 15, 2022",311,"76,921",,
"Nov 16, 2022",311,"76,945",,
"Nov 17, 2022",311,"76,954",,
"Nov 18, 2022",298,"76,834",,
"Nov 19, 2022",299,"76,841",,
"Nov 20, 2022",302,"76,875",,
"Nov 21, 2022",307,"77,000",,
"Nov 22, 2022",308,"77,022",,
"Nov 23, 2022",309,"77,031",,
"Nov 24, 2022",311,"77,036",,
"Nov 25, 2022",313,"77,060",,
"Nov 26, 2022",312,"77,049",,
"Nov 27, 2022",315,"76,674",,
"Nov 28, 2022",319,"82,057",,
"Nov 29, 2022",323,"82,696",,
"Nov 30, 2022",323,"82,707",,
"Dec 01, 2022",322,"82,706",,
"Dec 02, 2022",321,"82,731",,
"Dec 03, 2022",315,"82,295",,
"Dec 04, 2022",310,"81,557",,
"Dec 05, 2022",305,"81,531",,
"Dec 06, 2022",305,"81,389",,
"Dec 07, 2022",299,"81,214",,
"Dec 08, 2022",297,"81,465",,
"Dec 09, 2022",294,"81,461",,
"Dec 10, 2022",294,"41,642",,
"Dec 11, 2022",296,"38,138",,
"Dec 12, 2022",298,"40,834",,
"Dec 13, 2022",301,"41,108",,
"Dec 14, 2022",305,"41,122",,
"Dec 15, 2022",305,"40,937",,
"Dec 16, 2022",306,"41,022",,
"Dec 17, 2022",303,"40,589",,
"Dec 18, 2022",303,"40,150",,
"Dec 19, 2022",305,"40,291",,
"Dec 20, 2022",307,"41,602",,
"Dec 21, 2022",309,"41,841",,
"Dec 22, 2022",304,"38,068",,
"Dec 23, 2022",304,"38,386",,
"Dec 24, 2022",297,"37,510",,
"Dec 25, 2022",293,"37,378",,
"Dec 26, 2022",291,"38,247",,
"Dec 27, 2022",288,"38,098",,
"Dec 28, 2022",285,"41,717",,
"Dec 29, 2022",282,"42,264",,
"Dec 30, 2022",281,"41,484",,
"Dec 31, 2022",279,"37,976",,
"Jan 01, 2023",272,"41,787",,
"Jan 02, 2023",268,"41,834",,
"Jan 03, 2023",263,"41,489",,
"Jan 04, 2023",262,"37,958",,
"Jan 05, 2023",259,"41,439",,
"Jan 06, 2023",256,"15,105",,
"Jan 07, 2023",256,"15,105",,
"Jan 08, 2023",256,"15,105",,
"Jan 09, 2023",256,"15,107",,
"Jan 10, 2023",256,"16,148",,
"Jan 11, 2023",262,"16,982",,
"Jan 12, 2023",266,"43,353",,
"Jan 13, 2023",268,"39,441",,
"Jan 14, 2023",269,"39,487",,
"Jan 15, 2023",271,"43,007",,
"Jan 16, 2023",421,"45,168",,
"Jan 17, 2023",421,"45,194",,
"Jan 18, 2023",426,"45,324",,
"Jan 19, 2023",427,"45,417",,
"Jan 20, 2023",426,"45,459",,
"Jan 21, 2023",427,"45,513",,
"Jan 22, 2023",428,"45,586",,
"Jan 23, 2023",428,"45,620",,
"Jan 24, 2023",428,"45,665",,
"Jan 25, 2023",428,"45,707",,
"Jan 26, 2023",430,"45,756",,
"Jan 27, 2023",431,"45,787",,
"Jan 28, 2023",431,"45,841",,
"Jan 29, 2023",431,"45,893",,
"Jan 30, 2023",432,"45,997",,
"Jan 31, 2023",433,"46,060",,
"Feb 01, 2023",433,"46,094",,
"Feb 02, 2023",436,"46,130",,
"Feb 03, 2023",439,"46,175",,
"Feb 04, 2023",440,"46,182",,
"Feb 05, 2023",441,"46,224",,
"Feb 06, 2023",442,"46,260",,
"Feb 07, 2023",441,"46,281",,
"Feb 08, 2023",441,"46,307",,
"Feb 09, 2023",441,"46,356",,
"Feb 10, 2023",443,"46,416",,
"Feb 11, 2023",443,"46,444",,
"Feb 12, 2023",442,"46,443",,
"Feb 13, 2023",442,"46,489",,
"Feb 14, 2023",442,"46,515",,
"Feb 15, 2023",441,"46,538",,
"Feb 16, 2023",441,"46,557",,
"Feb 17, 2023",441,"46,576",,
"Feb 18, 2023",441,"46,616",,
"Feb 19, 2023",441,"46,635",,
"Feb 20, 2023",441,"46,644",,
"Feb 21, 2023",442,"46,692",,
"Feb 22, 2023",441,"46,707",,
"Feb 23, 2023",441,"46,753",,
"Feb 24, 2023",441,"46,800",,
"Feb 25, 2023",441,"46,823",,
"Feb 26, 2023",441,"46,850",,
"Feb 27, 2023",441,"46,893",,
"Mar 01, 2023",441,"46,943",,
"Mar 02, 2023",440,"46,981",,
"Mar 03, 2023",441,"47,012",,
"Mar 04, 2023",442,"47,031",,
"Mar 05, 2023",442,"47,079",,
"Mar 06, 2023",442,"47,103",,
"Mar 07, 2023",444,"47,125",,
"Mar 08, 2023",446,"47,168",,
"Mar 09, 2023",446,"47,196",,
"Mar 10, 2023",445,"47,204",,
"Mar 11, 2023",445,"47,244",,
"Mar 12, 2023",446,"47,268",,
"Mar 13, 2023",446,"47,306",,
"Mar 14, 2023",446,"47,342",,
"Mar 15, 2023",446,"47,358",,
"Mar 16, 2023",446,"47,392",,
"Mar 17, 2023",448,"141,969",,
"Mar 18, 2023",449,"142,020",,
"Mar 19, 2023",449,"142,035",,
"Mar 20, 2023",448,"142,074",,
"Mar 21, 2023",449,"142,091",,
"Mar 22, 2023",449,"142,123",,
"Mar 23, 2023",450,"142,182",,
"Mar 24, 2023",450,"142,211",,
"Mar 25, 2023",452,"142,240",,
"Mar 26, 2023",451,"142,245",,
"Mar 27, 2023",451,"142,262",,
"Mar 28, 2023",451,"142,289",,
"Mar 29, 2023",454,"142,317",,
"Mar 30, 2023",455,"142,356",,
"Mar 31, 2023",456,"142,379",,
"Apr 01, 2023",460,"142,427",,
"Apr 02, 2023",462,"142,490",,
"Apr 03, 2023",462,"142,507",,
"Apr 04, 2023",463,"142,550",,
"Apr 05, 2023",466,"142,586",,
"Apr 06, 2023",468,"142,635",,
"Apr 07, 2023",467,"142,663",,
"Apr 08, 2023",466,"142,682",,
"Apr 09, 2023",468,"142,708",,
"Apr 10, 2023",469,"142,737",,
"Apr 11, 2023",471,"142,773",,
"Apr 12, 2023",472,"142,810",,
"Apr 13, 2023",473,"142,829",,
"Apr 14, 2023",479,"142,877",,
"Apr 15, 2023",478,"142,933",,
"Apr 16, 2023",479,"142,978",,
"Apr 17, 2023",483,"143,004",,
"Apr 18, 2023",484,"143,023",,
"Apr 19, 2023",483,"143,033",,
"Apr 20, 2023",483,"143,042",,
"Apr 21, 2023",483,"143,055",,
"Apr 22, 2023",483,"143,078",,
"Apr 23, 2023",484,"143,129",,
"Apr 24, 2023",484,"143,172",,
"Apr 25, 2023",487,"143,209",,
"Apr 26, 2023",487,"143,238",,
"Apr 27, 2023",491,"143,309",,
"Apr 28, 2023",493,"143,363",,
"Apr 29, 2023",495,"143,441",,
"Apr 30, 2023",498,"143,520",,
"May 01, 2023",500,"143,553",,
"May 02, 2023",500,"143,590",,
"May 03, 2023",501,"143,634",,
"May 04, 2023",503,"143,668",,
"May 05, 2023",504,"143,704",,
"May 06, 2023",506,"143,761",,
"May 07, 2023",507,"143,783",,
"May 08, 2023",509,"143,854",,
"May 09, 2023",511,"143,868",,
"May 10, 2023",514,"143,959",,
"May 11, 2023",516,"143,972",,
"May 12, 2023",516,"144,022",,
"May 13, 2023",517,"144,046",,
"May 14, 2023",518,"144,098",,
"May 15, 2023",519,"144,115",,
Invalid date,,,,
