"DateTime","Spotify Streams","Change"
"2023-05-15 00:00:00",445223,644
"2023-05-14 00:00:00",444579,751
"2023-05-13 00:00:00",443828,751
"2023-05-12 00:00:00",443077,790
"2023-05-11 00:00:00",442287,777
"2023-05-10 00:00:00",441510,857
"2023-05-09 00:00:00",440653,698
"2023-05-08 00:00:00",439955,819
"2023-05-07 00:00:00",439136,421
"2023-05-06 00:00:00",438715,421
"2023-05-05 00:00:00",438294,829
"2023-05-04 00:00:00",437465,1808
"2023-05-03 00:00:00",435657,866
"2023-05-02 00:00:00",434791,721
"2023-05-01 00:00:00",434070,736
"2023-04-30 00:00:00",433334,882
"2023-04-29 00:00:00",432452,956
"2023-04-28 00:00:00",431496,0
"2023-04-27 00:00:00",431496,2093
"2023-04-26 00:00:00",429403,930
"2023-04-25 00:00:00",428474,930
"2023-04-24 00:00:00",427544,902
"2023-04-23 00:00:00",426642,972
"2023-04-22 00:00:00",425670,924
"2023-04-21 00:00:00",424746,1121
"2023-04-20 00:00:00",423625,1121
"2023-04-19 00:00:00",422504,962
"2023-04-18 00:00:00",421542,0
"2023-04-17 00:00:00",421542,1690
"2023-04-16 00:00:00",419852,991
"2023-04-15 00:00:00",418861,901
"2023-04-14 00:00:00",417960,1005
"2023-04-13 00:00:00",416955,899
"2023-04-12 00:00:00",416056,815
"2023-04-11 00:00:00",415241,692
"2023-04-10 00:00:00",414549,947
"2023-04-09 00:00:00",413602,846
"2023-04-08 00:00:00",412756,957
"2023-04-07 00:00:00",411799,0
"2023-04-06 00:00:00",411799,1735
"2023-04-05 00:00:00",410064,921
"2023-04-04 00:00:00",409143,922
"2023-04-03 00:00:00",408221,1061
"2023-04-02 00:00:00",407160,970
"2023-04-01 00:00:00",406190,1108
"2023-03-31 00:00:00",405082,1100
"2023-03-30 00:00:00",403982,1111
"2023-03-29 00:00:00",402871,1049
"2023-03-28 00:00:00",401822,1001
"2023-03-27 00:00:00",400821,839
"2023-03-26 00:00:00",399982,0
"2023-03-25 00:00:00",399982,1960
"2023-03-24 00:00:00",398022,1119
"2023-03-23 00:00:00",396903,0
"2023-03-22 00:00:00",396903,1886
"2023-03-21 00:00:00",395017,846
"2023-03-20 00:00:00",394171,1019
"2023-03-19 00:00:00",393152,1271
"2023-03-18 00:00:00",391881,1311
"2023-03-17 00:00:00",390570,1473
"2023-03-16 00:00:00",389097,1110
"2023-03-15 00:00:00",387987,977
"2023-03-14 00:00:00",387010,891
"2023-03-13 00:00:00",386119,973
"2023-03-12 00:00:00",385146,1062
"2023-03-11 00:00:00",384084,0
"2023-03-10 00:00:00",384084,2013
"2023-03-09 00:00:00",382071,975
"2023-03-08 00:00:00",381096,1190
"2023-03-07 00:00:00",379906,1518
"2023-03-06 00:00:00",378388,946
"2023-03-05 00:00:00",377442,1032
"2023-03-04 00:00:00",376410,1147
"2023-03-03 00:00:00",375263,1157
"2023-03-02 00:00:00",374106,1074
"2023-03-01 00:00:00",373032,0
"2023-02-28 00:00:00",373032,1898
"2023-02-27 00:00:00",371134,991
"2023-02-26 00:00:00",370143,1067
"2023-02-25 00:00:00",369076,1053
"2023-02-24 00:00:00",368023,0
