Date,Playlist Count,Playlist Total Reach,Editorial Playlist Count,Editorial Playlist Total Reach
"Dec 06, 2022",492,"51,886",,
"Dec 07, 2022",488,"51,928",,
"Dec 08, 2022",480,"51,728",,
"Dec 09, 2022",477,"47,024",,
"Dec 10, 2022",478,"47,047",,
"Dec 11, 2022",480,"43,331",,
"Dec 12, 2022",490,"46,726",,
"Dec 13, 2022",495,"46,752",,
"Dec 14, 2022",499,"46,775",,
"Dec 15, 2022",499,"23,385",,
"Dec 16, 2022",501,"23,320",,
"Dec 17, 2022",501,"23,328",,
"Dec 18, 2022",501,"21,095",,
"Dec 19, 2022",504,"20,005",,
"Dec 20, 2022",503,"18,943",,
"Dec 21, 2022",504,"20,624",,
"Dec 22, 2022",497,"15,471",,
"Dec 23, 2022",495,"15,556",,
"Dec 24, 2022",485,"15,382",,
"Dec 25, 2022",478,"15,080",,
"Dec 26, 2022",469,"14,877",,
"Dec 27, 2022",465,"15,345",,
"Dec 28, 2022",458,"19,175",,
"Dec 29, 2022",453,"19,393",,
"Dec 30, 2022",452,"19,401",,
"Dec 31, 2022",443,"14,180",,
"Jan 01, 2023",435,"17,638",,
"Jan 02, 2023",432,"18,955",,
"Jan 03, 2023",424,"18,451",,
"Jan 04, 2023",421,"14,600",,
"Jan 05, 2023",414,"17,996",,
"Jan 06, 2023",408,"16,430",,
"Jan 07, 2023",408,"16,430",,
"Jan 08, 2023",408,"16,430",,
"Jan 09, 2023",408,"16,432",,
"Jan 10, 2023",410,"16,905",,
"Jan 11, 2023",425,"20,879",,
"Jan 12, 2023",432,"21,316",,
"Jan 13, 2023",435,"17,379",,
"Jan 14, 2023",438,"17,876",,
"Jan 15, 2023",440,"21,400",,
"Jan 16, 2023",678,"24,643",,
"Jan 17, 2023",680,"24,658",,
"Jan 18, 2023",681,"24,710",,
"Jan 19, 2023",682,"24,754",,
"Jan 20, 2023",682,"24,805",,
"Jan 21, 2023",682,"24,852",,
"Jan 22, 2023",684,"24,929",,
"Jan 23, 2023",683,"24,966",,
"Jan 24, 2023",683,"25,003",,
"Jan 25, 2023",682,"25,023",,
"Jan 26, 2023",683,"25,062",,
"Jan 27, 2023",685,"25,096",,
"Jan 28, 2023",685,"25,134",,
"Jan 29, 2023",685,"25,189",,
"Jan 30, 2023",684,"25,206",,
"Jan 31, 2023",684,"25,253",,
"Feb 01, 2023",684,"25,290",,
"Feb 02, 2023",684,"25,316",,
"Feb 03, 2023",686,"25,367",,
"Feb 04, 2023",686,"25,376",,
"Feb 05, 2023",686,"25,411",,
"Feb 06, 2023",688,"25,428",,
"Feb 07, 2023",687,"25,445",,
"Feb 08, 2023",688,"25,473",,
"Feb 09, 2023",689,"25,660",,
"Feb 10, 2023",690,"25,732",,
"Feb 11, 2023",693,"25,793",,
"Feb 12, 2023",692,"25,759",,
"Feb 13, 2023",692,"25,794",,
"Feb 14, 2023",692,"25,823",,
"Feb 15, 2023",692,"25,850",,
"Feb 16, 2023",692,"25,872",,
"Feb 17, 2023",691,"25,904",,
"Feb 18, 2023",691,"25,926",,
"Feb 19, 2023",691,"25,950",,
"Feb 20, 2023",691,"25,953",,
"Feb 21, 2023",691,"25,985",,
"Feb 22, 2023",690,"26,009",,
"Feb 23, 2023",691,"26,053",,
"Feb 24, 2023",690,"26,080",,
"Feb 25, 2023",690,"26,093",,
"Feb 26, 2023",690,"26,110",,
"Feb 27, 2023",690,"26,145",,
"Mar 01, 2023",690,"26,199",,
"Mar 02, 2023",689,"26,217",,
"Mar 03, 2023",693,"26,263",,
"Mar 04, 2023",695,"26,290",,
"Mar 05, 2023",696,"26,314",,
"Mar 06, 2023",698,"26,372",,
"Mar 07, 2023",702,"26,411",,
"Mar 08, 2023",703,"26,426",,
"Mar 09, 2023",704,"26,465",,
"Mar 10, 2023",704,"26,478",,
"Mar 11, 2023",703,"26,514",,
"Mar 12, 2023",706,"26,559",,
"Mar 13, 2023",707,"26,767",,
"Mar 14, 2023",707,"26,800",,
"Mar 15, 2023",708,"26,827",,
"Mar 16, 2023",708,"26,852",,
"Mar 17, 2023",708,"26,885",,
"Mar 18, 2023",708,"26,908",,
"Mar 19, 2023",708,"26,745",,
"Mar 20, 2023",708,"26,756",,
"Mar 21, 2023",709,"26,768",,
