"DateTime","Spotify Streams","Change"
"2023-05-15 00:00:00",731521,1177
"2023-05-14 00:00:00",730344,1308
"2023-05-13 00:00:00",729036,1308
"2023-05-12 00:00:00",727728,1364
"2023-05-11 00:00:00",726364,1348
"2023-05-10 00:00:00",725016,1270
"2023-05-09 00:00:00",723746,1091
"2023-05-08 00:00:00",722655,1364
"2023-05-07 00:00:00",721291,717
"2023-05-06 00:00:00",720575,717
"2023-05-05 00:00:00",719858,1512
"2023-05-04 00:00:00",718346,3083
"2023-05-03 00:00:00",715263,1460
"2023-05-02 00:00:00",713803,1245
"2023-05-01 00:00:00",712558,1307
"2023-04-30 00:00:00",711251,1627
"2023-04-29 00:00:00",709624,1723
"2023-04-28 00:00:00",707901,0
"2023-04-27 00:00:00",707901,3580
"2023-04-26 00:00:00",704321,1590
"2023-04-25 00:00:00",702731,1590
"2023-04-24 00:00:00",701141,1567
"2023-04-23 00:00:00",699574,1723
"2023-04-22 00:00:00",697851,1595
"2023-04-21 00:00:00",696256,1602
"2023-04-20 00:00:00",694654,1602
"2023-04-19 00:00:00",693052,1618
"2023-04-18 00:00:00",691434,0
"2023-04-17 00:00:00",691434,2931
"2023-04-16 00:00:00",688503,1653
"2023-04-15 00:00:00",686850,1571
"2023-04-14 00:00:00",685279,1592
"2023-04-13 00:00:00",683687,1541
"2023-04-12 00:00:00",682146,1478
"2023-04-11 00:00:00",680668,1232
"2023-04-10 00:00:00",679436,1372
"2023-04-09 00:00:00",678064,1485
"2023-04-08 00:00:00",676579,1586
"2023-04-07 00:00:00",674993,0
"2023-04-06 00:00:00",674993,3232
"2023-04-05 00:00:00",671761,1534
"2023-04-04 00:00:00",670227,1395
"2023-04-03 00:00:00",668832,1497
"2023-04-02 00:00:00",667335,1662
"2023-04-01 00:00:00",665673,1626
"2023-03-31 00:00:00",664047,1636
"2023-03-30 00:00:00",662411,1773
"2023-03-29 00:00:00",660638,1648
"2023-03-28 00:00:00",658990,1404
"2023-03-27 00:00:00",657586,1540
"2023-03-26 00:00:00",656046,0
"2023-03-25 00:00:00",656046,3416
"2023-03-24 00:00:00",652630,1731
"2023-03-23 00:00:00",650899,0
"2023-03-22 00:00:00",650899,3326
"2023-03-21 00:00:00",647573,1354
"2023-03-20 00:00:00",646219,1561
"2023-03-19 00:00:00",644658,1838
"2023-03-18 00:00:00",642820,1795
"2023-03-17 00:00:00",641025,1798
"2023-03-16 00:00:00",639227,1742
"2023-03-15 00:00:00",637485,1721
"2023-03-14 00:00:00",635764,1429
"2023-03-13 00:00:00",634335,1644
"2023-03-12 00:00:00",632691,1793
"2023-03-11 00:00:00",630898,0
"2023-03-10 00:00:00",630898,3487
"2023-03-09 00:00:00",627411,1729
"2023-03-08 00:00:00",625682,1681
"2023-03-07 00:00:00",624001,1537
"2023-03-06 00:00:00",622464,1607
"2023-03-05 00:00:00",620857,1788
"2023-03-04 00:00:00",619069,1803
"2023-03-03 00:00:00",617266,1881
"2023-03-02 00:00:00",615385,1859
"2023-03-01 00:00:00",613526,1933
"2023-02-28 00:00:00",611593,1630
"2023-02-27 00:00:00",609963,1677
"2023-02-26 00:00:00",608286,1943
"2023-02-25 00:00:00",606343,1914
"2023-02-24 00:00:00",604429,0
"2023-02-23 00:00:00",604429,4070
"2023-02-22 00:00:00",600359,1858
"2023-02-21 00:00:00",598501,1734
"2023-02-20 00:00:00",596767,0
"2023-02-19 00:00:00",596767,1812
"2023-02-18 00:00:00",594955,1987
"2023-02-17 00:00:00",592968,4053
"2023-02-16 00:00:00",588915,2075
"2023-02-15 00:00:00",586840,1790
"2023-02-14 00:00:00",585050,0
"2023-02-13 00:00:00",585050,3596
"2023-02-12 00:00:00",581454,0
"2023-02-11 00:00:00",581454,4416
"2023-02-10 00:00:00",577038,2128
"2023-02-09 00:00:00",574910,2251
"2023-02-08 00:00:00",572659,0
"2023-02-07 00:00:00",572659,3873
"2023-02-06 00:00:00",568786,1995
"2023-02-05 00:00:00",566791,2206
"2023-02-04 00:00:00",564585,2220
"2023-02-03 00:00:00",562365,0
"2023-02-02 00:00:00",562365,4401
"2023-02-01 00:00:00",557964,2054
"2023-01-31 00:00:00",555910,0
"2023-01-30 00:00:00",555910,3966
"2023-01-29 00:00:00",551944,2244
"2023-01-28 00:00:00",549700,2221
"2023-01-27 00:00:00",547479,2270
"2023-01-26 00:00:00",545209,0
"2023-01-25 00:00:00",545209,4501
"2023-01-24 00:00:00",540708,1952
"2023-01-23 00:00:00",538756,0
"2023-01-22 00:00:00",538756,4614
"2023-01-21 00:00:00",534142,2520
"2023-01-20 00:00:00",531622,2396
"2023-01-19 00:00:00",529226,2470
"2023-01-18 00:00:00",526756,2358
"2023-01-17 00:00:00",524398,2117
"2023-01-16 00:00:00",522281,2174
"2023-01-15 00:00:00",520107,2534
"2023-01-14 00:00:00",517573,2538
"2023-01-13 00:00:00",515035,2701
"2023-01-12 00:00:00",512334,2633
"2023-01-11 00:00:00",509701,2709
"2023-01-10 00:00:00",506992,2236
"2023-01-09 00:00:00",504756,2483
"2023-01-08 00:00:00",502273,2731
"2023-01-07 00:00:00",499542,2776
"2023-01-06 00:00:00",496766,2602
"2023-01-05 00:00:00",494164,2741
"2023-01-04 00:00:00",491423,2354
"2023-01-03 00:00:00",489069,0
"2023-01-02 00:00:00",489069,4504
"2023-01-01 00:00:00",484565,2756
"2022-12-31 00:00:00",481809,2547
"2022-12-30 00:00:00",479262,2760
"2022-12-29 00:00:00",476502,2656
"2022-12-28 00:00:00",473846,2315
"2022-12-27 00:00:00",471531,2248
"2022-12-26 00:00:00",469283,2516
"2022-12-25 00:00:00",466767,2873
"2022-12-24 00:00:00",463894,3059
"2022-12-23 00:00:00",460835,3183
"2022-12-22 00:00:00",457652,2986
"2022-12-21 00:00:00",454666,3066
"2022-12-20 00:00:00",451600,2622
"2022-12-19 00:00:00",448978,2941
"2022-12-18 00:00:00",446037,3136
"2022-12-17 00:00:00",442901,3338
"2022-12-16 00:00:00",439563,3517
"2022-12-15 00:00:00",436046,3561
"2022-12-14 00:00:00",432485,3491
"2022-12-13 00:00:00",428994,2936
"2022-12-12 00:00:00",426058,3075
"2022-12-11 00:00:00",422983,3467
"2022-12-10 00:00:00",419516,3510
"2022-12-09 00:00:00",416006,3600
"2022-12-08 00:00:00",412406,3407
"2022-12-07 00:00:00",408999,3174
"2022-12-06 00:00:00",405825,3364
"2022-12-05 00:00:00",402462,3364
"2022-12-04 00:00:00",399098,3364
"2022-12-03 00:00:00",395735,3364
"2022-12-02 00:00:00",392371,3364
"2022-12-01 00:00:00",389008,3364
"2022-11-30 00:00:00",385644,3911
"2022-11-29 00:00:00",381733,3203
"2022-11-28 00:00:00",378530,3425
"2022-11-27 00:00:00",375105,3429
"2022-11-26 00:00:00",371676,3870
"2022-11-25 00:00:00",367806,4563
"2022-11-24 00:00:00",363243,4493
"2022-11-23 00:00:00",358750,4387
"2022-11-22 00:00:00",354363,3772
"2022-11-21 00:00:00",350591,4386
"2022-11-20 00:00:00",346205,4933
"2022-11-19 00:00:00",341272,5352
"2022-11-18 00:00:00",335920,4871
"2022-11-17 00:00:00",331049,4896
"2022-11-16 00:00:00",326153,4919
"2022-11-15 00:00:00",321234,4288
"2022-11-14 00:00:00",316946,5196
"2022-11-13 00:00:00",311750,6705
"2022-11-12 00:00:00",305045,5662
"2022-11-11 00:00:00",299383,6017
"2022-11-10 00:00:00",293366,6019
"2022-11-09 00:00:00",287347,6243
"2022-11-08 00:00:00",281104,5350
"2022-11-07 00:00:00",275754,6138
"2022-11-06 00:00:00",269616,7048
"2022-11-05 00:00:00",262568,7137
"2022-11-04 00:00:00",255431,7260
"2022-11-03 00:00:00",248171,7566
"2022-11-02 00:00:00",240605,8004
"2022-11-01 00:00:00",232601,6720
"2022-10-31 00:00:00",225881,8316
"2022-10-30 00:00:00",217565,9457
"2022-10-29 00:00:00",208108,10232
"2022-10-28 00:00:00",197876,10818
"2022-10-27 00:00:00",187058,11390
"2022-10-26 00:00:00",175668,10237
"2022-10-25 00:00:00",165431,0
"2022-10-24 00:00:00",165431,17477
"2022-10-23 00:00:00",147954,12110
"2022-10-22 00:00:00",135844,13551
"2022-10-21 00:00:00",122293,14905
"2022-10-20 00:00:00",107388,17716
"2022-10-19 00:00:00",89672,22351
"2022-10-18 00:00:00",67321,20286
