Date,Playlist Count,Playlist Total Reach,Editorial Playlist Count,Editorial Playlist Total Reach
"Dec 06, 2022",418,"69,422",,
"Dec 07, 2022",415,"69,614",,
"Dec 08, 2022",413,"68,239",,
"Dec 09, 2022",411,"68,236",,
"Dec 10, 2022",412,"68,282",,
"Dec 11, 2022",415,"64,838",,
"Dec 12, 2022",418,"62,759",,
"Dec 13, 2022",428,"68,133",,
"Dec 14, 2022",433,"69,378",,
"Dec 15, 2022",431,"70,206",,
"Dec 16, 2022",432,"70,308",,
"Dec 17, 2022",431,"70,051",,
"Dec 18, 2022",432,"70,078",,
"Dec 19, 2022",432,"69,222",,
"Dec 20, 2022",433,"69,281",,
"Dec 21, 2022",435,"69,767",,
"Dec 22, 2022",429,"25,563",,
"Dec 23, 2022",429,"25,859",,
"Dec 24, 2022",426,"28,007",,
"Dec 25, 2022",418,"19,849",,
"Dec 26, 2022",414,"19,913",,
"Dec 27, 2022",413,"22,781",,
"Dec 28, 2022",408,"21,174",,
"Dec 29, 2022",400,"23,689",,
"Dec 30, 2022",400,"25,897",,
"Dec 31, 2022",394,"18,770",,
"Jan 01, 2023",390,"24,374",,
"Jan 02, 2023",392,"25,774",,
"Jan 03, 2023",383,"27,475",,
"Jan 04, 2023",377,"18,126",,
"Jan 05, 2023",372,"19,375",,
"Jan 06, 2023",366,"17,921",,
"Jan 07, 2023",366,"17,921",,
"Jan 08, 2023",366,"17,922",,
"Jan 09, 2023",366,"17,924",,
"Jan 10, 2023",370,"23,619",,
"Jan 11, 2023",378,"28,130",,
"Jan 12, 2023",383,"28,418",,
"Jan 13, 2023",389,"25,695",,
"Jan 14, 2023",390,"25,970",,
"Jan 15, 2023",393,"29,497",,
"Jan 16, 2023",583,"32,263",,
"Jan 17, 2023",582,"32,271",,
"Jan 18, 2023",584,"32,318",,
"Jan 19, 2023",586,"32,362",,
"Jan 20, 2023",584,"32,394",,
"Jan 21, 2023",584,"32,444",,
"Jan 22, 2023",585,"32,489",,
"Jan 23, 2023",585,"32,730",,
"Jan 24, 2023",587,"32,782",,
"Jan 25, 2023",586,"32,810",,
"Jan 26, 2023",587,"32,848",,
"Jan 27, 2023",588,"32,874",,
"Jan 28, 2023",589,"32,914",,
"Jan 29, 2023",589,"32,967",,
"Jan 30, 2023",588,"32,989",,
"Jan 31, 2023",588,"33,035",,
"Feb 01, 2023",588,"33,072",,
"Feb 02, 2023",585,"33,101",,
"Feb 03, 2023",585,"33,142",,
"Feb 04, 2023",584,"33,143",,
"Feb 05, 2023",583,"33,299",,
"Feb 06, 2023",584,"33,318",,
"Feb 07, 2023",582,"33,332",,
"Feb 08, 2023",582,"33,371",,
"Feb 09, 2023",583,"33,417",,
"Feb 10, 2023",585,"33,486",,
"Feb 11, 2023",585,"33,520",,
"Feb 12, 2023",583,"33,480",,
"Feb 13, 2023",584,"33,580",,
"Feb 14, 2023",584,"33,623",,
"Feb 15, 2023",585,"33,649",,
"Feb 16, 2023",585,"33,659",,
"Feb 17, 2023",585,"33,688",,
"Feb 18, 2023",585,"33,703",,
"Feb 19, 2023",584,"33,728",,
"Feb 20, 2023",583,"33,746",,
"Feb 21, 2023",584,"33,790",,
"Feb 22, 2023",583,"33,809",,
"Feb 23, 2023",583,"33,861",,
"Feb 24, 2023",583,"33,902",,
"Feb 25, 2023",583,"33,913",,
"Feb 26, 2023",583,"33,932",,
"Feb 27, 2023",583,"33,960",,
"Mar 01, 2023",583,"34,015",,
"Mar 02, 2023",583,"34,047",,
"Mar 03, 2023",586,"34,083",,
"Mar 04, 2023",587,"34,104",,
"Mar 05, 2023",587,"34,150",,
"Mar 06, 2023",587,"34,186",,
"Mar 07, 2023",586,"32,875",,
"Mar 08, 2023",587,"32,909",,
"Mar 09, 2023",588,"32,938",,
"Mar 10, 2023",587,"32,765",,
"Mar 11, 2023",587,"32,810",,
"Mar 12, 2023",588,"32,832",,
"Mar 13, 2023",589,"33,110",,
"Mar 14, 2023",589,"33,133",,
"Mar 15, 2023",590,"33,156",,
"Mar 16, 2023",590,"33,179",,
"Mar 17, 2023",591,"33,210",,
"Mar 18, 2023",591,"33,230",,
"Mar 19, 2023",595,"33,276",,
"Mar 20, 2023",596,"33,309",,
"Mar 21, 2023",598,"33,356",,
"Mar 22, 2023",598,"33,387",,
"Mar 23, 2023",598,"33,418",,
"Mar 24, 2023",598,"33,447",,
"Mar 25, 2023",600,"33,478",,
"Mar 26, 2023",600,"33,485",,
"Mar 27, 2023",601,"33,513",,
"Mar 28, 2023",601,"33,527",,
"Mar 29, 2023",604,"33,540",,
"Mar 30, 2023",605,"33,593",,
"Mar 31, 2023",607,"33,609",,
"Apr 01, 2023",607,"33,637",,
"Apr 02, 2023",607,"33,651",,
"Apr 03, 2023",608,"33,666",,
"Apr 04, 2023",609,"33,691",,
"Apr 05, 2023",614,"33,751",,
"Apr 06, 2023",616,"33,791",,
"Apr 07, 2023",616,"33,820",,
"Apr 08, 2023",616,"33,825",,
"Apr 09, 2023",617,"33,853",,
"Apr 10, 2023",618,"33,867",,
"Apr 11, 2023",620,"33,901",,
"Apr 12, 2023",622,"34,014",,
"Apr 13, 2023",622,"34,027",,
"Apr 14, 2023",624,"34,051",,
"Apr 15, 2023",623,"34,101",,
"Apr 16, 2023",624,"34,123",,
"Apr 17, 2023",628,"34,186",,
"Apr 18, 2023",629,"34,194",,
"Apr 19, 2023",631,"47,626",,
"Apr 20, 2023",631,"47,640",,
"Apr 21, 2023",632,"47,649",,
"Apr 22, 2023",632,"47,655",,
"Apr 23, 2023",633,"47,708",,
"Apr 24, 2023",633,"47,742",,
"Apr 25, 2023",636,"47,779",,
"Apr 26, 2023",637,"47,794",,
"Apr 27, 2023",642,"47,876",,
"Apr 28, 2023",644,"47,909",,
"Apr 29, 2023",648,"47,984",,
"Apr 30, 2023",650,"48,009",,
"May 01, 2023",656,"48,050",,
"May 02, 2023",658,"48,086",,
"May 03, 2023",660,"48,128",,
"May 04, 2023",664,"48,151",,
"May 05, 2023",665,"48,185",,
"May 06, 2023",666,"48,218",,
"May 07, 2023",667,"48,238",,
"May 08, 2023",668,"48,275",,
"May 09, 2023",670,"48,299",,
"May 10, 2023",674,"48,348",,
"May 11, 2023",675,"48,396",,
"May 12, 2023",677,"48,424",,
"May 13, 2023",677,"48,442",,
"May 14, 2023",678,"48,466",,
"May 15, 2023",681,"48,511",,
Invalid date,,,,
