Date,Playlist Count,Playlist Total Reach,Editorial Playlist Count,Editorial Playlist Total Reach
"Aug 12, 2022",184,"1,110,790",1,"1,088,383"
"Aug 13, 2022",238,"1,116,255",2,"1,088,631"
"Aug 14, 2022",258,"1,119,082",2,"1,088,776"
"Aug 15, 2022",279,"1,119,480",2,"1,088,917"
"Aug 16, 2022",318,"1,121,115",2,"1,089,091"
"Aug 17, 2022",335,"1,113,390",2,"1,089,225"
"Aug 18, 2022",349,"1,116,035",2,"1,089,368"
"Aug 19, 2022",363,"1,116,520",2,"1,089,508"
"Aug 20, 2022",371,"1,113,541",2,"1,089,596"
"Aug 21, 2022",375,"1,110,336",2,"1,089,693"
"Aug 22, 2022",377,"1,110,477",2,"1,089,792"
"Aug 23, 2022",382,"1,120,719",2,"1,089,884"
"Aug 24, 2022",381,"1,120,305",2,"1,089,978"
"Aug 25, 2022",388,"1,120,565",2,"1,090,099"
"Aug 26, 2022",391,"1,120,412",2,"1,090,203"
"Aug 27, 2022",392,"1,119,768",2,"1,090,342"
"Aug 28, 2022",394,"1,120,047",2,"1,090,419"
"Aug 29, 2022",392,"1,118,789",2,"1,090,477"
"Aug 30, 2022",392,"1,119,075",2,"1,090,506"
"Aug 31, 2022",394,"1,119,176",2,"1,090,582"
"Sep 01, 2022",393,"1,119,258",2,"1,090,620"
"Sep 02, 2022",393,"1,119,270",2,"1,090,681"
"Sep 03, 2022",395,"1,121,195",2,"1,090,757"
"Sep 04, 2022",395,"1,120,929",2,"1,090,763"
"Sep 05, 2022",398,"1,120,992",2,"1,090,785"
"Sep 06, 2022",398,"1,121,055",2,"1,090,821"
"Sep 07, 2022",399,"1,121,170",2,"1,090,900"
"Sep 08, 2022",401,"1,121,322",2,"1,090,986"
"Sep 09, 2022",401,"1,121,394",2,"1,091,042"
"Sep 10, 2022",402,"1,123,873",2,"1,091,121"
"Sep 11, 2022",400,"1,123,768",2,"1,091,168"
"Sep 12, 2022",400,"1,123,867",2,"1,091,229"
"Sep 13, 2022",401,"1,124,007",2,"1,091,289"
"Sep 14, 2022",401,"1,123,552",2,"1,091,348"
"Sep 15, 2022",401,"1,123,612",2,"1,091,390"
"Sep 16, 2022",407,"1,123,683",2,"1,091,436"
"Sep 17, 2022",407,"1,123,760",2,"1,091,490"
"Sep 18, 2022",406,"1,123,868",2,"1,091,575"
"Sep 19, 2022",406,"1,124,034",2,"1,091,627"
"Sep 20, 2022",407,"1,124,241",2,"1,091,649"
"Sep 21, 2022",406,"1,123,843",2,"1,091,722"
"Sep 22, 2022",406,"1,123,954",2,"1,091,790"
"Sep 23, 2022",410,"1,124,345",2,"1,091,820"
"Sep 24, 2022",411,"1,124,407",2,"1,091,861"
"Sep 25, 2022",412,"1,124,503",2,"1,091,919"
"Sep 26, 2022",412,"1,124,552",2,"1,091,955"
"Sep 27, 2022",412,"1,124,578",2,"1,091,996"
"Sep 28, 2022",410,"1,124,666",2,"1,092,056"
"Sep 29, 2022",410,"1,124,683",2,"1,092,069"
"Sep 30, 2022",412,"1,124,774",2,"1,092,141"
"Oct 01, 2022",413,"1,124,871",2,"1,092,203"
"Oct 02, 2022",413,"1,124,925",2,"1,092,256"
"Oct 03, 2022",413,"1,123,537",2,"1,092,341"
"Oct 04, 2022",416,"1,123,638",2,"1,092,401"
"Oct 05, 2022",416,"1,123,828",2,"1,092,553"
"Oct 06, 2022",416,"1,123,956",2,"1,092,674"
"Oct 07, 2022",416,"1,124,065",2,"1,092,758"
"Oct 08, 2022",417,"1,124,195",2,"1,092,860"
"Oct 09, 2022",417,"1,124,328",2,"1,092,970"
"Oct 10, 2022",417,"1,124,427",2,"1,093,044"
"Oct 11, 2022",418,"1,124,581",2,"1,093,165"
"Oct 12, 2022",417,"1,124,697",2,"1,093,273"
"Oct 13, 2022",419,"1,124,878",2,"1,093,380"
"Oct 14, 2022",418,"1,124,952",2,"1,093,481"
"Oct 15, 2022",417,"1,125,094",2,"1,093,586"
"Oct 16, 2022",418,"1,133,025",2,"1,093,688"
"Oct 17, 2022",418,"1,133,283",2,"1,093,819"
