"DateTime","Spotify Streams","Change"
"2023-05-15 00:00:00",494689,181
"2023-05-14 00:00:00",494508,181
"2023-05-13 00:00:00",494327,190
"2023-05-12 00:00:00",494137,212
"2023-05-11 00:00:00",493925,211
"2023-05-10 00:00:00",493714,0
"2023-05-09 00:00:00",493714,306
"2023-05-08 00:00:00",493408,205
"2023-05-07 00:00:00",493203,205
"2023-05-06 00:00:00",492999,205
"2023-05-05 00:00:00",492794,205
"2023-05-04 00:00:00",492589,190
"2023-05-03 00:00:00",492399,170
"2023-05-02 00:00:00",492229,0
"2023-05-01 00:00:00",492229,287
"2023-04-30 00:00:00",491942,206
"2023-04-29 00:00:00",491736,206
"2023-04-28 00:00:00",491531,206
"2023-04-27 00:00:00",491325,206
"2023-04-26 00:00:00",491119,177
"2023-04-25 00:00:00",490942,177
"2023-04-24 00:00:00",490764,177
"2023-04-23 00:00:00",490587,177
"2023-04-22 00:00:00",490409,177
"2023-04-21 00:00:00",490232,235
"2023-04-20 00:00:00",489997,201
"2023-04-19 00:00:00",489796,198
"2023-04-18 00:00:00",489599,198
"2023-04-17 00:00:00",489401,198
"2023-04-16 00:00:00",489204,198
"2023-04-15 00:00:00",489006,224
"2023-04-14 00:00:00",488782,216
"2023-04-13 00:00:00",488566,192
"2023-04-12 00:00:00",488374,170
"2023-04-11 00:00:00",488204,170
"2023-04-10 00:00:00",488035,170
"2023-04-09 00:00:00",487865,206
"2023-04-08 00:00:00",487659,206
"2023-04-07 00:00:00",487453,227
"2023-04-06 00:00:00",487227,227
"2023-04-05 00:00:00",487000,158
"2023-04-04 00:00:00",486842,158
"2023-04-03 00:00:00",486684,0
"2023-04-02 00:00:00",486684,403
"2023-04-01 00:00:00",486281,235
"2023-03-31 00:00:00",486046,0
"2023-03-30 00:00:00",486046,451
"2023-03-29 00:00:00",485595,203
"2023-03-28 00:00:00",485392,177
"2023-03-27 00:00:00",485215,177
"2023-03-26 00:00:00",485038,214
"2023-03-25 00:00:00",484824,214
"2023-03-24 00:00:00",484610,215
"2023-03-23 00:00:00",484395,199
"2023-03-22 00:00:00",484196,199
"2023-03-21 00:00:00",483996,199
"2023-03-20 00:00:00",483797,232
"2023-03-19 00:00:00",483566,232
"2023-03-18 00:00:00",483334,232
"2023-03-17 00:00:00",483103,232
"2023-03-16 00:00:00",482871,218
"2023-03-15 00:00:00",482653,204
"2023-03-14 00:00:00",482449,0
"2023-03-13 00:00:00",482449,306
"2023-03-12 00:00:00",482144,306
"2023-03-11 00:00:00",481838,224
"2023-03-10 00:00:00",481614,224
"2023-03-09 00:00:00",481390,224
"2023-03-08 00:00:00",481167,224
"2023-03-07 00:00:00",480943,224
"2023-03-06 00:00:00",480719,209
"2023-03-05 00:00:00",480510,0
"2023-03-04 00:00:00",480510,364
"2023-03-03 00:00:00",480147,364
"2023-03-02 00:00:00",479783,235
"2023-03-01 00:00:00",479548,225
"2023-02-28 00:00:00",479323,209
"2023-02-27 00:00:00",479114,209
"2023-02-26 00:00:00",478905,281
"2023-02-25 00:00:00",478624,250
"2023-02-24 00:00:00",478374,237
"2023-02-23 00:00:00",478137,230
"2023-02-22 00:00:00",477907,230
"2023-02-21 00:00:00",477677,252
"2023-02-20 00:00:00",477425,235
"2023-02-19 00:00:00",477190,0
"2023-02-18 00:00:00",477190,589
"2023-02-17 00:00:00",476601,0
"2023-02-16 00:00:00",476601,492
"2023-02-15 00:00:00",476109,262
"2023-02-14 00:00:00",475847,336
"2023-02-13 00:00:00",475512,336
"2023-02-12 00:00:00",475176,294
"2023-02-11 00:00:00",474882,277
"2023-02-10 00:00:00",474605,627
"2023-02-09 00:00:00",473978,0
"2023-02-08 00:00:00",473978,0
"2023-02-07 00:00:00",473978,271
"2023-02-06 00:00:00",473707,271
"2023-02-05 00:00:00",473436,271
"2023-02-04 00:00:00",473165,428
"2023-02-03 00:00:00",472738,428
"2023-02-02 00:00:00",472310,279
"2023-02-01 00:00:00",472031,241
"2023-01-31 00:00:00",471790,194
"2023-01-30 00:00:00",471596,256
"2023-01-29 00:00:00",471340,306
"2023-01-28 00:00:00",471035,306
"2023-01-27 00:00:00",470729,321
"2023-01-26 00:00:00",470408,0
"2023-01-25 00:00:00",470408,582
"2023-01-24 00:00:00",469826,264
"2023-01-23 00:00:00",469562,275
"2023-01-22 00:00:00",469287,318
"2023-01-21 00:00:00",468969,315
"2023-01-20 00:00:00",468654,344
"2023-01-19 00:00:00",468310,344
"2023-01-18 00:00:00",467966,276
"2023-01-17 00:00:00",467690,276
"2023-01-16 00:00:00",467414,276
"2023-01-15 00:00:00",467138,376
"2023-01-14 00:00:00",466762,376
"2023-01-13 00:00:00",466386,349
"2023-01-12 00:00:00",466037,351
"2023-01-11 00:00:00",465686,287
"2023-01-10 00:00:00",465399,266
"2023-01-09 00:00:00",465133,0
"2023-01-08 00:00:00",465133,687
"2023-01-07 00:00:00",464446,320
"2023-01-06 00:00:00",464126,320
"2023-01-05 00:00:00",463806,293
"2023-01-04 00:00:00",463513,262
"2023-01-03 00:00:00",463251,217
"2023-01-02 00:00:00",463034,246
"2023-01-01 00:00:00",462788,301
"2022-12-31 00:00:00",462487,301
"2022-12-30 00:00:00",462187,301
"2022-12-29 00:00:00",461886,268
"2022-12-28 00:00:00",461618,0
"2022-12-27 00:00:00",461618,400
"2022-12-26 00:00:00",461218,259
"2022-12-25 00:00:00",460959,300
"2022-12-24 00:00:00",460659,373
"2022-12-23 00:00:00",460286,358
"2022-12-22 00:00:00",459928,358
"2022-12-21 00:00:00",459570,284
"2022-12-20 00:00:00",459286,229
"2022-12-19 00:00:00",459057,313
"2022-12-18 00:00:00",458744,348
"2022-12-17 00:00:00",458396,348
"2022-12-16 00:00:00",458048,336
"2022-12-15 00:00:00",457712,346
"2022-12-14 00:00:00",457366,343
"2022-12-13 00:00:00",457023,266
"2022-12-12 00:00:00",456757,299
"2022-12-11 00:00:00",456458,343
"2022-12-10 00:00:00",456115,389
"2022-12-09 00:00:00",455726,372
"2022-12-08 00:00:00",455354,348
"2022-12-07 00:00:00",455006,382
"2022-12-06 00:00:00",454624,382
"2022-12-05 00:00:00",454241,382
"2022-12-04 00:00:00",453859,382
"2022-12-03 00:00:00",453477,382
"2022-12-02 00:00:00",453094,382
"2022-12-01 00:00:00",452712,423
"2022-11-30 00:00:00",452289,386
"2022-11-29 00:00:00",451903,317
"2022-11-28 00:00:00",451586,343
"2022-11-27 00:00:00",451243,360
"2022-11-26 00:00:00",450883,426
"2022-11-25 00:00:00",450458,426
"2022-11-24 00:00:00",450032,424
"2022-11-23 00:00:00",449608,446
"2022-11-22 00:00:00",449162,379
"2022-11-21 00:00:00",448783,454
"2022-11-20 00:00:00",448329,489
"2022-11-19 00:00:00",447840,497
"2022-11-18 00:00:00",447343,477
"2022-11-17 00:00:00",446866,474
"2022-11-16 00:00:00",446392,444
"2022-11-15 00:00:00",445948,379
"2022-11-14 00:00:00",445569,494
"2022-11-13 00:00:00",445075,574
"2022-11-12 00:00:00",444501,552
"2022-11-11 00:00:00",443949,619
"2022-11-10 00:00:00",443330,549
"2022-11-09 00:00:00",442781,510
"2022-11-08 00:00:00",442271,419
"2022-11-07 00:00:00",441852,463
"2022-11-06 00:00:00",441389,560
"2022-11-05 00:00:00",440829,644
"2022-11-04 00:00:00",440185,570
"2022-11-03 00:00:00",439615,535
"2022-11-02 00:00:00",439080,532
"2022-11-01 00:00:00",438548,460
"2022-10-31 00:00:00",438088,504
"2022-10-30 00:00:00",437584,640
"2022-10-29 00:00:00",436944,709
"2022-10-28 00:00:00",436235,721
"2022-10-27 00:00:00",435514,725
"2022-10-26 00:00:00",434789,660
"2022-10-25 00:00:00",434129,529
"2022-10-24 00:00:00",433600,663
"2022-10-23 00:00:00",432937,817
"2022-10-22 00:00:00",432120,781
"2022-10-21 00:00:00",431339,780
"2022-10-20 00:00:00",430559,781
"2022-10-19 00:00:00",429778,736
"2022-10-18 00:00:00",429042,657
"2022-10-17 00:00:00",428385,737
"2022-10-16 00:00:00",427648,902
"2022-10-15 00:00:00",426746,932
"2022-10-14 00:00:00",425814,931
"2022-10-13 00:00:00",424883,987
"2022-10-12 00:00:00",423896,895
"2022-10-11 00:00:00",423001,776
"2022-10-10 00:00:00",422225,935
"2022-10-09 00:00:00",421290,1023
"2022-10-08 00:00:00",420267,1065
"2022-10-07 00:00:00",419202,1082
"2022-10-06 00:00:00",418120,1063
"2022-10-05 00:00:00",417057,964
"2022-10-04 00:00:00",416093,775
"2022-10-03 00:00:00",415318,1011
"2022-10-02 00:00:00",414307,1221
"2022-10-01 00:00:00",413086,1261
"2022-09-30 00:00:00",411825,1216
"2022-09-29 00:00:00",410609,1171
"2022-09-28 00:00:00",409438,1148
"2022-09-27 00:00:00",408290,998
"2022-09-26 00:00:00",407292,1091
"2022-09-25 00:00:00",406201,1301
"2022-09-24 00:00:00",404900,1387
"2022-09-23 00:00:00",403513,2988
"2022-09-22 00:00:00",400525,0
"2022-09-21 00:00:00",400525,1422
"2022-09-20 00:00:00",399103,1158
"2022-09-19 00:00:00",397945,1566
"2022-09-18 00:00:00",396379,1737
"2022-09-17 00:00:00",394642,1641
"2022-09-16 00:00:00",393001,1571
"2022-09-15 00:00:00",391430,1592
"2022-09-14 00:00:00",389838,1504
"2022-09-13 00:00:00",388334,1504
"2022-09-12 00:00:00",386830,1898
"2022-09-11 00:00:00",384932,2222
"2022-09-10 00:00:00",382710,2465
"2022-09-09 00:00:00",380245,2629
"2022-09-08 00:00:00",377616,5889
"2022-09-07 00:00:00",371727,0
"2022-09-06 00:00:00",371727,2704
"2022-09-05 00:00:00",369023,2698
"2022-09-04 00:00:00",366325,3350
"2022-09-03 00:00:00",362975,3496
"2022-09-02 00:00:00",359479,3831
"2022-09-01 00:00:00",355648,4007
"2022-08-31 00:00:00",351641,3950
"2022-08-30 00:00:00",347691,3689
"2022-08-29 00:00:00",344002,4694
"2022-08-28 00:00:00",339308,6016
"2022-08-27 00:00:00",333292,6857
"2022-08-26 00:00:00",326435,7175
"2022-08-25 00:00:00",319260,8323
"2022-08-24 00:00:00",310937,9307
"2022-08-23 00:00:00",301630,0
"2022-08-22 00:00:00",301630,17589
"2022-08-21 00:00:00",284042,17589
"2022-08-20 00:00:00",266453,17714
"2022-08-19 00:00:00",248739,21817
"2022-08-18 00:00:00",226922,28334
"2022-08-17 00:00:00",198588,30219
"2022-08-16 00:00:00",168369,30452
"2022-08-15 00:00:00",137917,118369
"2022-08-14 00:00:00",19548,17660
"2022-08-13 00:00:00",1888,0
