Date,Playlist Count,Playlist Total Reach,Editorial Playlist Count,Editorial Playlist Total Reach
"Aug 12, 2022",268,"58,771",,
"Aug 13, 2022",363,"63,345",1,15
"Aug 14, 2022",402,"64,837",1,15
"Aug 15, 2022",444,"74,125",1,15
"Aug 16, 2022",501,"77,146",1,15
"Aug 17, 2022",537,"69,428",1,15
"Aug 18, 2022",566,"70,412",1,15
"Aug 19, 2022",582,"70,833",1,15
"Aug 20, 2022",590,"67,802",1,15
"Aug 21, 2022",601,"68,378",1,15
"Aug 22, 2022",607,"67,992",1,15
"Aug 23, 2022",615,"65,693",1,15
"Aug 24, 2022",617,"63,540",1,15
"Aug 25, 2022",625,"63,680",1,15
"Aug 26, 2022",631,"61,837",1,15
"Aug 27, 2022",634,"61,130",1,15
"Aug 28, 2022",635,"58,173",1,15
"Aug 29, 2022",636,"56,189",1,15
"Aug 30, 2022",643,"118,844",1,15
"Aug 31, 2022",644,"118,835",1,15
"Sep 01, 2022",643,"118,571",1,15
"Sep 02, 2022",645,"118,713",1,15
"Sep 03, 2022",646,"118,807",1,15
"Sep 04, 2022",644,"118,470",1,15
"Sep 05, 2022",644,"118,487",1,15
"Sep 06, 2022",645,"118,517",1,15
"Sep 07, 2022",646,"118,542",1,15
"Sep 08, 2022",649,"118,661",1,15
"Sep 09, 2022",652,"118,667",1,15
"Sep 10, 2022",653,"121,087",1,15
"Sep 11, 2022",650,"120,389",1,15
"Sep 12, 2022",651,"120,457",1,15
"Sep 13, 2022",650,"120,474",1,15
"Sep 14, 2022",648,"120,495",1,15
"Sep 15, 2022",645,"120,516",1,15
"Sep 16, 2022",649,"120,555",1,15
"Sep 17, 2022",649,"121,679",1,15
"Sep 18, 2022",651,"121,733",1,15
"Sep 19, 2022",653,"121,796",1,15
"Sep 20, 2022",658,"122,093",1,15
"Sep 21, 2022",660,"122,176",1,15
"Sep 22, 2022",663,"122,236",1,15
"Sep 23, 2022",670,"122,606",1,15
"Sep 24, 2022",671,"122,615",1,15
"Sep 25, 2022",672,"122,689",1,15
"Sep 26, 2022",671,"121,962",1,15
"Sep 27, 2022",674,"121,973",1,15
"Sep 28, 2022",672,"122,029",1,15
"Sep 29, 2022",676,"122,108",1,15
"Sep 30, 2022",678,"122,147",1,15
"Oct 01, 2022",678,"122,212",1,15
"Oct 02, 2022",678,"122,350",1,15
"Oct 03, 2022",679,"122,357",1,15
"Oct 04, 2022",681,"122,404",1,15
"Oct 05, 2022",682,"122,728",1,15
"Oct 06, 2022",682,"122,742",1,15
"Oct 07, 2022",682,"122,499",1,15
"Oct 08, 2022",683,"122,508",1,15
"Oct 09, 2022",683,"122,509",1,15
"Oct 10, 2022",681,"122,501",1,15
"Oct 11, 2022",682,"122,531",1,15
"Oct 12, 2022",679,"119,047",1,15
"Oct 13, 2022",680,"119,109",1,15
"Oct 14, 2022",679,"119,034",1,15
"Oct 15, 2022",680,"119,068",1,15
"Oct 16, 2022",682,"119,139",1,15
"Oct 17, 2022",682,"119,153",1,15
"Oct 18, 2022",681,"119,147",1,15
"Oct 19, 2022",682,"119,202",1,15
"Oct 20, 2022",684,"119,285",1,15
"Oct 21, 2022",684,"119,319",1,15
"Oct 22, 2022",685,"119,381",1,15
"Oct 23, 2022",687,"119,463",1,15
"Oct 24, 2022",687,"119,514",1,15
"Oct 25, 2022",687,"119,605",1,15
"Oct 26, 2022",687,"119,707",1,15
"Oct 27, 2022",688,"119,723",1,15
"Oct 28, 2022",686,"119,750",1,15
"Oct 29, 2022",687,"119,769",1,15
"Oct 30, 2022",686,"119,758",1,15
"Oct 31, 2022",685,"119,796",1,15
"Nov 01, 2022",684,"119,797",1,15
"Nov 02, 2022",684,"119,804",1,15
"Nov 03, 2022",682,"119,834",1,15
"Nov 04, 2022",682,"119,858",1,15
"Nov 05, 2022",681,"119,868",1,15
"Nov 06, 2022",682,"120,525",1,15
"Nov 07, 2022",684,"120,570",1,15
"Nov 08, 2022",684,"120,607",1,15
"Nov 09, 2022",681,"120,555",1,15
"Nov 10, 2022",681,"120,557",1,15
"Nov 11, 2022",680,"120,566",1,15
"Nov 12, 2022",679,"120,612",1,15
"Nov 13, 2022",679,"120,619",1,15
"Nov 14, 2022",679,"120,621",1,15
"Nov 15, 2022",679,"120,677",1,15
"Nov 16, 2022",678,"120,683",1,15
"Nov 17, 2022",676,"120,684",1,15
"Nov 18, 2022",670,"120,652",1,15
"Nov 19, 2022",670,"120,650",1,15
"Nov 20, 2022",670,"120,622",1,15
"Nov 21, 2022",672,"120,678",1,15
"Nov 22, 2022",674,"120,704",1,15
"Nov 23, 2022",674,"120,715",1,15
"Nov 24, 2022",675,"120,769",1,15
"Nov 25, 2022",677,"120,811",1,15
"Nov 26, 2022",678,"120,836",1,15
"Nov 27, 2022",673,"120,137",1,15
"Nov 28, 2022",675,"120,160",1,15
"Nov 29, 2022",673,"120,352",1,15
"Nov 30, 2022",677,"120,671",1,15
"Dec 01, 2022",678,"120,916",1,15
"Dec 02, 2022",676,"120,912",1,15
"Dec 03, 2022",657,"100,036",1,15
"Dec 04, 2022",652,"118,948",1,15
"Dec 05, 2022",638,"119,160",1,15
"Dec 06, 2022",637,"119,141",1,15
"Dec 07, 2022",623,"118,818",1,15
"Dec 08, 2022",620,"116,240",1,15
"Dec 09, 2022",615,"113,804",1,15
"Dec 10, 2022",615,"113,710",1,15
"Dec 11, 2022",611,"101,337",1,15
"Dec 12, 2022",605,"100,808",1,15
"Dec 13, 2022",599,"79,107",1,15
"Dec 14, 2022",596,"89,363",1,15
"Dec 15, 2022",596,"91,009",1,15
"Dec 16, 2022",596,"80,952",1,15
"Dec 17, 2022",594,"95,918",1,15
"Dec 18, 2022",595,"92,879",1,15
"Dec 19, 2022",602,"113,168",1,15
"Dec 20, 2022",600,"95,701",1,15
"Dec 21, 2022",599,"76,658",1,15
"Dec 22, 2022",598,"78,036",1,15
"Dec 23, 2022",594,"80,038",1,15
"Dec 24, 2022",583,"73,605",1,15
"Dec 25, 2022",566,"73,177",1,15
"Dec 26, 2022",562,"77,128",1,15
"Dec 27, 2022",552,"79,404",1,15
"Dec 28, 2022",538,"73,216",1,15
"Dec 29, 2022",531,"74,532",1,15
"Dec 30, 2022",522,"91,284",1,15
"Dec 31, 2022",516,"91,418",1,15
"Jan 01, 2023",508,"77,979",1,15
"Jan 02, 2023",511,"80,788",1,15
"Jan 03, 2023",502,"78,062",1,15
"Jan 04, 2023",496,"76,281",1,15
"Jan 05, 2023",478,"71,933",1,15
