Date,Playlist Count,Playlist Total Reach,Editorial Playlist Count,Editorial Playlist Total Reach
"Aug 12, 2022",235,"39,423",,
"Aug 13, 2022",309,"43,115",1,15
"Aug 14, 2022",341,"44,458",1,15
"Aug 15, 2022",385,"44,737",1,15
"Aug 16, 2022",431,"45,540",1,15
"Aug 17, 2022",455,"37,742",1,15
"Aug 18, 2022",493,"38,343",1,15
"Aug 19, 2022",509,"36,502",1,15
"Aug 20, 2022",522,"33,430",1,15
"Aug 21, 2022",529,"33,707",1,15
"Aug 22, 2022",538,"33,390",1,15
"Aug 23, 2022",545,"32,983",1,15
"Aug 24, 2022",553,"32,622",1,15
"Aug 25, 2022",561,"32,795",1,15
"Aug 26, 2022",565,"32,597",1,15
"Aug 27, 2022",566,"31,821",1,15
"Aug 28, 2022",572,"32,538",1,15
"Aug 29, 2022",572,"30,568",1,15
"Aug 30, 2022",572,"30,610",1,15
"Aug 31, 2022",572,"30,601",1,15
"Sep 01, 2022",571,"30,485",1,15
"Sep 02, 2022",572,"30,416",1,15
"Sep 03, 2022",577,"30,553",1,15
"Sep 04, 2022",575,"30,204",1,15
"Sep 05, 2022",580,"30,218",1,15
"Sep 06, 2022",580,"30,495",1,15
"Sep 07, 2022",581,"30,509",1,15
"Sep 08, 2022",581,"30,496",1,15
"Sep 09, 2022",581,"30,498",1,15
"Sep 10, 2022",585,"32,905",1,15
"Sep 11, 2022",581,"32,219",1,15
"Sep 12, 2022",583,"31,095",1,15
"Sep 13, 2022",582,"31,097",1,15
"Sep 14, 2022",584,"31,120",1,15
"Sep 15, 2022",584,"31,124",1,15
"Sep 16, 2022",589,"31,192",1,15
"Sep 17, 2022",592,"32,319",1,15
"Sep 18, 2022",591,"32,334",1,15
"Sep 19, 2022",592,"32,358",1,15
"Sep 20, 2022",597,"32,426",1,15
"Sep 21, 2022",598,"32,444",1,15
"Sep 22, 2022",599,"32,474",1,15
"Sep 23, 2022",602,"32,851",1,15
"Sep 24, 2022",606,"32,877",1,15
"Sep 25, 2022",605,"32,865",1,15
"Sep 26, 2022",605,"32,873",1,15
"Sep 27, 2022",606,"32,882",1,15
"Sep 28, 2022",604,"32,952",1,15
"Sep 29, 2022",607,"33,404",1,15
"Sep 30, 2022",610,"33,426",1,15
"Oct 01, 2022",613,"34,481",1,15
"Oct 02, 2022",615,"34,524",1,15
"Oct 03, 2022",615,"34,548",1,15
"Oct 04, 2022",615,"33,590",1,15
"Oct 05, 2022",618,"33,636",1,15
"Oct 06, 2022",619,"33,679",1,15
"Oct 07, 2022",617,"33,732",1,15
"Oct 08, 2022",619,"52,470",1,15
"Oct 09, 2022",620,"52,516",1,15
"Oct 10, 2022",620,"33,870",1,15
"Oct 11, 2022",620,"33,870",1,15
"Oct 12, 2022",620,"33,866",1,15
"Oct 13, 2022",621,"33,952",1,15
"Oct 14, 2022",620,"33,912",1,15
"Oct 15, 2022",622,"34,181",1,15
"Oct 16, 2022",621,"34,243",1,15
"Oct 17, 2022",619,"34,063",1,15
"Oct 18, 2022",619,"34,113",1,15
"Oct 19, 2022",620,"34,205",1,15
"Oct 20, 2022",622,"34,290",1,15
"Oct 21, 2022",622,"34,341",1,15
"Oct 22, 2022",621,"34,442",1,15
"Oct 23, 2022",622,"34,596",1,15
"Oct 24, 2022",623,"34,648",1,15
"Oct 25, 2022",623,"34,740",1,15
"Oct 26, 2022",623,"34,786",1,15
"Oct 27, 2022",623,"34,832",1,15
"Oct 28, 2022",622,"34,917",1,15
"Oct 29, 2022",622,"34,934",1,15
"Oct 30, 2022",622,"35,111",1,15
"Oct 31, 2022",622,"35,141",1,15
"Nov 01, 2022",622,"35,148",1,15
"Nov 02, 2022",622,"35,155",1,15
"Nov 03, 2022",622,"35,195",1,15
"Nov 04, 2022",621,"35,212",1,15
"Nov 05, 2022",620,"35,217",1,15
"Nov 06, 2022",620,"35,279",1,15
"Nov 07, 2022",620,"35,297",1,15
"Nov 08, 2022",620,"35,336",1,15
"Nov 09, 2022",621,"35,364",1,15
"Nov 10, 2022",621,"35,373",1,15
"Nov 11, 2022",620,"35,387",1,15
"Nov 12, 2022",620,"35,458",1,15
"Nov 13, 2022",619,"35,452",1,15
"Nov 14, 2022",619,"35,466",1,15
"Nov 15, 2022",619,"35,516",1,15
"Nov 16, 2022",619,"35,539",1,15
"Nov 17, 2022",617,"35,536",1,15
"Nov 18, 2022",616,"35,555",1,15
"Nov 19, 2022",615,"35,546",1,15
"Nov 20, 2022",614,"35,522",1,15
"Nov 21, 2022",613,"35,529",1,15
"Nov 22, 2022",613,"35,542",1,15
"Nov 23, 2022",612,"35,492",1,15
"Nov 24, 2022",612,"35,549",1,15
"Nov 25, 2022",614,"35,559",1,15
"Nov 26, 2022",612,"35,547",1,15
"Nov 27, 2022",610,"35,170",1,15
"Nov 28, 2022",611,"35,190",1,15
"Nov 29, 2022",609,"35,376",1,15
"Nov 30, 2022",611,"35,387",1,15
"Dec 01, 2022",609,"35,611",1,15
"Dec 02, 2022",609,"35,612",1,15
"Dec 03, 2022",593,"31,428",1,15
"Dec 04, 2022",588,"33,599",1,15
"Dec 05, 2022",574,"32,810",1,15
"Dec 06, 2022",575,"33,105",1,15
"Dec 07, 2022",567,"32,822",1,15
"Dec 08, 2022",558,"31,256",1,15
"Dec 09, 2022",552,"31,238",1,15
"Dec 10, 2022",552,"32,232",1,15
"Dec 11, 2022",546,"34,108",1,15
"Dec 12, 2022",535,"32,516",1,15
"Dec 13, 2022",531,"30,321",1,15
"Dec 14, 2022",531,"29,103",1,15
"Dec 15, 2022",530,"29,452",1,15
"Dec 16, 2022",531,"29,376",1,15
"Dec 17, 2022",529,"28,880",1,15
"Dec 18, 2022",531,"9,613",1,15
"Dec 19, 2022",532,"27,437",1,15
"Dec 20, 2022",533,"27,916",1,15
"Dec 21, 2022",536,"28,643",1,15
"Dec 22, 2022",535,"28,592",1,15
"Dec 23, 2022",532,"31,009",1,15
"Dec 24, 2022",528,"9,547",1,15
"Dec 25, 2022",512,"28,258",1,15
"Dec 26, 2022",507,"30,517",1,15
"Dec 27, 2022",494,"10,942",1,15
"Dec 28, 2022",484,"8,990",1,15
"Dec 29, 2022",479,"8,933",1,15
"Dec 30, 2022",470,"8,437",1,15
"Dec 31, 2022",467,"8,416",1,15
"Jan 01, 2023",462,"29,775",1,15
"Jan 02, 2023",465,"30,029",1,15
"Jan 03, 2023",457,"27,371",1,15
"Jan 04, 2023",458,"29,996",1,15
"Jan 05, 2023",447,"29,068",1,15
"Jan 06, 2023",441,"9,740",1,15
"Jan 07, 2023",441,"9,740",1,15
"Jan 08, 2023",440,"9,419",1,15
"Jan 09, 2023",439,"9,419",1,15
"Jan 10, 2023",445,"11,886",1,15
"Jan 11, 2023",456,"34,756",1,15
"Jan 12, 2023",461,"36,067",1,15
"Jan 13, 2023",467,"36,119",1,15
"Jan 14, 2023",468,"36,137",1,15
"Jan 15, 2023",472,"36,280",1,15
"Jan 16, 2023",686,"39,005",1,15
"Jan 17, 2023",686,"39,024",1,15
"Jan 18, 2023",687,"39,075",1,15
"Jan 19, 2023",685,"39,119",1,15
"Jan 20, 2023",683,"39,153",1,15
"Jan 21, 2023",683,"39,217",1,15
