"DateTime","Spotify Streams","Change"
"2023-05-15 00:00:00",1269097,973
"2023-05-14 00:00:00",1268125,973
"2023-05-13 00:00:00",1267152,959
"2023-05-12 00:00:00",1266193,931
"2023-05-11 00:00:00",1265262,890
"2023-05-10 00:00:00",1264372,0
"2023-05-09 00:00:00",1264372,1464
"2023-05-08 00:00:00",1262908,966
"2023-05-07 00:00:00",1261942,966
"2023-05-06 00:00:00",1260977,966
"2023-05-05 00:00:00",1260011,966
"2023-05-04 00:00:00",1259045,960
"2023-05-03 00:00:00",1258085,789
"2023-05-02 00:00:00",1257296,0
"2023-05-01 00:00:00",1257296,1679
"2023-04-30 00:00:00",1255617,935
"2023-04-29 00:00:00",1254683,935
"2023-04-28 00:00:00",1253748,935
"2023-04-27 00:00:00",1252814,935
"2023-04-26 00:00:00",1251879,884
"2023-04-25 00:00:00",1250995,884
"2023-04-24 00:00:00",1250112,884
"2023-04-23 00:00:00",1249228,884
"2023-04-22 00:00:00",1248345,884
"2023-04-21 00:00:00",1247461,1034
"2023-04-20 00:00:00",1246427,982
"2023-04-19 00:00:00",1245445,919
"2023-04-18 00:00:00",1244527,919
"2023-04-17 00:00:00",1243608,919
"2023-04-16 00:00:00",1242690,919
"2023-04-15 00:00:00",1241771,1009
"2023-04-14 00:00:00",1240762,1007
"2023-04-13 00:00:00",1239755,970
"2023-04-12 00:00:00",1238785,841
"2023-04-11 00:00:00",1237944,841
"2023-04-10 00:00:00",1237103,841
"2023-04-09 00:00:00",1236262,1014
"2023-04-08 00:00:00",1235249,1014
"2023-04-07 00:00:00",1234235,958
"2023-04-06 00:00:00",1233277,958
"2023-04-05 00:00:00",1232319,839
"2023-04-04 00:00:00",1231481,839
"2023-04-03 00:00:00",1230642,0
"2023-04-02 00:00:00",1230642,2022
"2023-04-01 00:00:00",1228620,1114
"2023-03-31 00:00:00",1227506,0
"2023-03-30 00:00:00",1227506,2049
"2023-03-29 00:00:00",1225457,972
"2023-03-28 00:00:00",1224485,869
"2023-03-27 00:00:00",1223616,869
"2023-03-26 00:00:00",1222747,1097
"2023-03-25 00:00:00",1221650,1097
"2023-03-24 00:00:00",1220553,1027
"2023-03-23 00:00:00",1219526,907
"2023-03-22 00:00:00",1218619,907
"2023-03-21 00:00:00",1217711,907
"2023-03-20 00:00:00",1216804,1061
"2023-03-19 00:00:00",1215743,1061
"2023-03-18 00:00:00",1214682,1061
"2023-03-17 00:00:00",1213620,1061
"2023-03-16 00:00:00",1212559,1104
"2023-03-15 00:00:00",1211455,940
"2023-03-14 00:00:00",1210515,0
"2023-03-13 00:00:00",1210515,1497
"2023-03-12 00:00:00",1209019,1497
"2023-03-11 00:00:00",1207522,1037
"2023-03-10 00:00:00",1206485,1037
"2023-03-09 00:00:00",1205449,1037
"2023-03-08 00:00:00",1204412,1037
"2023-03-07 00:00:00",1203376,1037
"2023-03-06 00:00:00",1202339,1084
"2023-03-05 00:00:00",1201255,0
"2023-03-04 00:00:00",1201255,1728
"2023-03-03 00:00:00",1199528,1728
"2023-03-02 00:00:00",1197800,1124
"2023-03-01 00:00:00",1196676,1004
"2023-02-28 00:00:00",1195672,987
"2023-02-27 00:00:00",1194686,987
"2023-02-26 00:00:00",1193699,1208
"2023-02-25 00:00:00",1192491,1090
"2023-02-24 00:00:00",1191401,1216
"2023-02-23 00:00:00",1190185,1104
"2023-02-22 00:00:00",1189081,1042
"2023-02-21 00:00:00",1188039,1024
"2023-02-20 00:00:00",1187015,1067
"2023-02-19 00:00:00",1185948,0
"2023-02-18 00:00:00",1185948,2510
"2023-02-17 00:00:00",1183438,0
"2023-02-16 00:00:00",1183438,2266
"2023-02-15 00:00:00",1181172,995
"2023-02-14 00:00:00",1180177,1088
"2023-02-13 00:00:00",1179090,1088
"2023-02-12 00:00:00",1178002,1376
"2023-02-11 00:00:00",1176626,1372
"2023-02-10 00:00:00",1175254,2753
"2023-02-09 00:00:00",1172501,0
"2023-02-08 00:00:00",1172501,0
"2023-02-07 00:00:00",1172501,1215
"2023-02-06 00:00:00",1171286,1215
"2023-02-05 00:00:00",1170071,1215
