"DateTime","Spotify Streams","Change"
"2023-05-15 00:00:00",2880859,2121
"2023-05-14 00:00:00",2878738,2121
"2023-05-13 00:00:00",2876617,2251
"2023-05-12 00:00:00",2874366,2342
"2023-05-11 00:00:00",2872024,2530
"2023-05-10 00:00:00",2869494,0
"2023-05-09 00:00:00",2869494,4764
"2023-05-08 00:00:00",2864730,3235
"2023-05-07 00:00:00",2861495,3235
"2023-05-06 00:00:00",2858261,3235
"2023-05-05 00:00:00",2855026,3235
"2023-05-04 00:00:00",2851791,2049
"2023-05-03 00:00:00",2849742,1764
"2023-05-02 00:00:00",2847978,0
"2023-05-01 00:00:00",2847978,3358
"2023-04-30 00:00:00",2844620,2031
"2023-04-29 00:00:00",2842589,2031
"2023-04-28 00:00:00",2840559,2031
"2023-04-27 00:00:00",2838528,2031
"2023-04-26 00:00:00",2836497,1925
"2023-04-25 00:00:00",2834572,1925
"2023-04-24 00:00:00",2832647,1925
"2023-04-23 00:00:00",2830722,1925
"2023-04-22 00:00:00",2828797,1925
"2023-04-21 00:00:00",2826872,2175
"2023-04-20 00:00:00",2824697,2030
"2023-04-19 00:00:00",2822667,1898
"2023-04-18 00:00:00",2820769,1898
"2023-04-17 00:00:00",2818871,1898
"2023-04-16 00:00:00",2816972,1898
"2023-04-15 00:00:00",2815074,2171
"2023-04-14 00:00:00",2812903,2154
"2023-04-13 00:00:00",2810749,2100
"2023-04-12 00:00:00",2808649,1804
"2023-04-11 00:00:00",2806845,1804
"2023-04-10 00:00:00",2805040,1804
"2023-04-09 00:00:00",2803236,2141
"2023-04-08 00:00:00",2801096,2141
"2023-04-07 00:00:00",2798955,2212
"2023-04-06 00:00:00",2796743,2212
"2023-04-05 00:00:00",2794531,1875
"2023-04-04 00:00:00",2792657,1875
"2023-04-03 00:00:00",2790782,0
"2023-04-02 00:00:00",2790782,4233
"2023-04-01 00:00:00",2786549,2253
"2023-03-31 00:00:00",2784296,0
"2023-03-30 00:00:00",2784296,4483
"2023-03-29 00:00:00",2779813,2175
"2023-03-28 00:00:00",2777638,1896
"2023-03-27 00:00:00",2775742,1896
"2023-03-26 00:00:00",2773846,2195
"2023-03-25 00:00:00",2771652,2195
"2023-03-24 00:00:00",2769457,2246
"2023-03-23 00:00:00",2767211,2068
"2023-03-22 00:00:00",2765143,2068
"2023-03-21 00:00:00",2763075,2068
"2023-03-20 00:00:00",2761007,2268
"2023-03-19 00:00:00",2758739,2268
"2023-03-18 00:00:00",2756471,2268
"2023-03-17 00:00:00",2754202,2268
"2023-03-16 00:00:00",2751934,2220
"2023-03-15 00:00:00",2749714,2130
"2023-03-14 00:00:00",2747584,0
"2023-03-13 00:00:00",2747584,3229
"2023-03-12 00:00:00",2744356,3229
"2023-03-11 00:00:00",2741127,2322
"2023-03-10 00:00:00",2738805,2322
"2023-03-09 00:00:00",2736483,2322
"2023-03-08 00:00:00",2734162,2322
"2023-03-07 00:00:00",2731840,2322
"2023-03-06 00:00:00",2729518,2219
"2023-03-05 00:00:00",2727299,0
"2023-03-04 00:00:00",2727299,3829
"2023-03-03 00:00:00",2723470,3829
"2023-03-02 00:00:00",2719641,2581
"2023-03-01 00:00:00",2717060,2382
"2023-02-28 00:00:00",2714678,2232
"2023-02-27 00:00:00",2712447,2232
"2023-02-26 00:00:00",2710215,2611
"2023-02-25 00:00:00",2707604,2528
"2023-02-24 00:00:00",2705076,2592
"2023-02-23 00:00:00",2702484,2466
"2023-02-22 00:00:00",2700018,2359
"2023-02-21 00:00:00",2697659,2115
"2023-02-20 00:00:00",2695544,2318
"2023-02-19 00:00:00",2693226,0
"2023-02-18 00:00:00",2693226,5431
"2023-02-17 00:00:00",2687795,0
"2023-02-16 00:00:00",2687795,5350
"2023-02-15 00:00:00",2682445,2441
"2023-02-14 00:00:00",2680004,2350
"2023-02-13 00:00:00",2677654,2350
"2023-02-12 00:00:00",2675304,2993
"2023-02-11 00:00:00",2672311,3000
"2023-02-10 00:00:00",2669311,6049
"2023-02-09 00:00:00",2663262,0
"2023-02-08 00:00:00",2663262,0
"2023-02-07 00:00:00",2663262,2699
"2023-02-06 00:00:00",2660563,2699
"2023-02-05 00:00:00",2657863,2699
"2023-02-04 00:00:00",2655164,4488
"2023-02-03 00:00:00",2650677,4488
"2023-02-02 00:00:00",2646189,2847
"2023-02-01 00:00:00",2643342,2813
"2023-01-31 00:00:00",2640529,2450
"2023-01-30 00:00:00",2638079,2814
"2023-01-29 00:00:00",2635265,3291
"2023-01-28 00:00:00",2631975,3291
"2023-01-27 00:00:00",2628684,3087
"2023-01-26 00:00:00",2625597,0
"2023-01-25 00:00:00",2625597,5584
"2023-01-24 00:00:00",2620013,2305
"2023-01-23 00:00:00",2617708,2899
"2023-01-22 00:00:00",2614809,3203
"2023-01-21 00:00:00",2611606,3220
"2023-01-20 00:00:00",2608386,3173
"2023-01-19 00:00:00",2605214,3173
"2023-01-18 00:00:00",2602041,2689
"2023-01-17 00:00:00",2599352,2689
"2023-01-16 00:00:00",2596664,2689
"2023-01-15 00:00:00",2593975,3355
"2023-01-14 00:00:00",2590620,3211
"2023-01-13 00:00:00",2587409,3263
"2023-01-12 00:00:00",2584146,2945
"2023-01-11 00:00:00",2581201,2979
"2023-01-10 00:00:00",2578222,2532
"2023-01-09 00:00:00",2575690,0
