"DateTime","Spotify Streams","Change"
"2023-05-16 00:00:00",3248379,5212
"2023-05-15 00:00:00",3243167,5844
"2023-05-14 00:00:00",3237323,13351
"2023-05-13 00:00:00",3223972,0
"2023-05-12 00:00:00",3223972,6668
"2023-05-11 00:00:00",3217304,6692
"2023-05-10 00:00:00",3210612,0
"2023-05-09 00:00:00",3210612,12344
"2023-05-08 00:00:00",3198268,6373
"2023-05-07 00:00:00",3191895,6833
"2023-05-06 00:00:00",3185062,7101
"2023-05-05 00:00:00",3177961,7233
"2023-05-04 00:00:00",3170728,7298
"2023-05-03 00:00:00",3163430,7043
"2023-05-02 00:00:00",3156387,6142
"2023-05-01 00:00:00",3150245,0
"2023-04-30 00:00:00",3150245,13629
"2023-04-29 00:00:00",3136616,0
"2023-04-28 00:00:00",3136616,15009
"2023-04-27 00:00:00",3121607,7553
"2023-04-26 00:00:00",3114054,7640
"2023-04-25 00:00:00",3106414,6649
"2023-04-24 00:00:00",3099765,0
"2023-04-23 00:00:00",3099765,15790
"2023-04-22 00:00:00",3083975,4100
"2023-04-21 00:00:00",3079875,4100
"2023-04-20 00:00:00",3075775,16327
"2023-04-19 00:00:00",3059448,8035
"2023-04-18 00:00:00",3051413,6896
"2023-04-17 00:00:00",3044517,7602
"2023-04-16 00:00:00",3036915,8527
"2023-04-15 00:00:00",3028388,8558
"2023-04-14 00:00:00",3019830,8673
"2023-04-13 00:00:00",3011157,8645
"2023-04-12 00:00:00",3002512,7966
"2023-04-11 00:00:00",2994546,6923
"2023-04-10 00:00:00",2987623,7755
"2023-04-09 00:00:00",2979868,8327
"2023-04-08 00:00:00",2971541,9150
"2023-04-07 00:00:00",2962391,8910
"2023-04-06 00:00:00",2953481,9074
"2023-04-05 00:00:00",2944407,8938
"2023-04-04 00:00:00",2935469,7933
"2023-04-03 00:00:00",2927536,8481
"2023-04-02 00:00:00",2919055,9557
"2023-04-01 00:00:00",2909498,9908
"2023-03-31 00:00:00",2899590,9913
"2023-03-30 00:00:00",2889677,10112
"2023-03-29 00:00:00",2879565,9752
"2023-03-28 00:00:00",2869813,8582
"2023-03-27 00:00:00",2861231,9482
"2023-03-26 00:00:00",2851749,10442
"2023-03-25 00:00:00",2841307,10851
"2023-03-24 00:00:00",2830456,11045
"2023-03-23 00:00:00",2819411,10965
"2023-03-22 00:00:00",2808446,11063
"2023-03-21 00:00:00",2797383,9717
"2023-03-20 00:00:00",2787666,0
"2023-03-19 00:00:00",2787666,22003
"2023-03-18 00:00:00",2765663,11715
"2023-03-17 00:00:00",2753948,11997
"2023-03-16 00:00:00",2741951,0
"2023-03-15 00:00:00",2741951,24061
"2023-03-14 00:00:00",2717890,0
"2023-03-13 00:00:00",2717890,22873
"2023-03-12 00:00:00",2695017,13361
"2023-03-11 00:00:00",2681656,13478
"2023-03-10 00:00:00",2668178,13319
"2023-03-09 00:00:00",2654859,13948
"2023-03-08 00:00:00",2640911,13724
"2023-03-07 00:00:00",2627187,12041
"2023-03-06 00:00:00",2615146,13025
"2023-03-05 00:00:00",2602121,0
"2023-03-04 00:00:00",2602121,30226
"2023-03-03 00:00:00",2571895,0
"2023-03-02 00:00:00",2571895,31358
"2023-03-01 00:00:00",2540537,15971
"2023-02-28 00:00:00",2524566,13577
"2023-02-27 00:00:00",2510989,15112
"2023-02-26 00:00:00",2495877,16919
"2023-02-25 00:00:00",2478958,18299
"2023-02-24 00:00:00",2460659,19165
"2023-02-23 00:00:00",2441494,18811
"2023-02-22 00:00:00",2422683,18811
"2023-02-21 00:00:00",2403872,17430
"2023-02-20 00:00:00",2386442,19446
"2023-02-19 00:00:00",2366996,21457
"2023-02-18 00:00:00",2345539,21981
"2023-02-17 00:00:00",2323558,22965
"2023-02-16 00:00:00",2300593,24740
"2023-02-15 00:00:00",2275853,24446
"2023-02-14 00:00:00",2251407,0
"2023-02-13 00:00:00",2251407,48379
"2023-02-12 00:00:00",2203028,30751
"2023-02-11 00:00:00",2172277,31456
"2023-02-10 00:00:00",2140821,32881
"2023-02-09 00:00:00",2107940,34749
"2023-02-08 00:00:00",2073191,0
"2023-02-07 00:00:00",2073191,68570
"2023-02-06 00:00:00",2004621,36048
"2023-02-05 00:00:00",1968573,43469
"2023-02-04 00:00:00",1925104,44821
"2023-02-03 00:00:00",1880283,46929
"2023-02-02 00:00:00",1833354,52344
"2023-02-01 00:00:00",1781010,0
"2023-01-31 00:00:00",1781010,55920
"2023-01-30 00:00:00",1725090,112652
"2023-01-29 00:00:00",1612438,91204
"2023-01-28 00:00:00",1521235,91204
"2023-01-27 00:00:00",1430031,119692
"2023-01-26 00:00:00",1310339,332753
"2023-01-25 00:00:00",977586,174297
"2023-01-24 00:00:00",803289,156687
"2023-01-23 00:00:00",646602,240396
"2023-01-22 00:00:00",406206,0
