Date,Playlist Count,Playlist Total Reach,Editorial Playlist Count,Editorial Playlist Total Reach
"Jan 21, 2023","4,247","289,261",,
"Jan 22, 2023","4,637","519,061",,
"Jan 23, 2023","4,965","575,730",,
"Jan 24, 2023","5,291","587,730",,
"Jan 25, 2023","5,451","592,058",,
"Jan 26, 2023","5,562","594,418",,
"Jan 27, 2023","5,653","594,811",,
"Jan 28, 2023","5,723","593,943",,
"Jan 29, 2023","5,791","548,276",,
"Jan 30, 2023","5,857","554,015",,
"Jan 31, 2023","5,908","553,846",,
"Feb 01, 2023","5,949","555,104",,
"Feb 02, 2023","5,977","555,283",,
"Feb 03, 2023","6,023","561,103",,
"Feb 04, 2023","6,048","523,015",,
"Feb 05, 2023","6,072","525,765",,
"Feb 06, 2023","6,091","524,944",,
"Feb 07, 2023","6,102","526,366",,
"Feb 08, 2023","6,118","533,551",,
"Feb 09, 2023","6,137","536,268",,
"Feb 10, 2023","6,157","538,681",,
"Feb 11, 2023","6,166","539,042",,
"Feb 12, 2023","6,173","538,844",,
"Feb 13, 2023","6,191","540,571",,
"Feb 14, 2023","6,203","541,471",,
"Feb 15, 2023","6,212","540,090",,
"Feb 16, 2023","6,214","540,476",,
"Feb 17, 2023","6,222","561,080",,
"Feb 18, 2023","6,225","561,587",,
"Feb 19, 2023","6,219","562,306",,
"Feb 20, 2023","6,220","563,425",,
"Feb 21, 2023","6,217","563,752",,
"Feb 22, 2023","6,208","555,412",,
"Feb 23, 2023","6,198","555,460",,
"Feb 24, 2023","6,195","556,310",,
"Feb 25, 2023","6,187","554,807",,
"Feb 26, 2023","6,180","555,048",,
"Feb 27, 2023","6,171","554,356",,
"Mar 01, 2023","6,134","550,285",,
"Mar 02, 2023","6,187","551,107",,
"Mar 03, 2023","6,228","548,946",,
"Mar 04, 2023","6,249","516,742",,
"Mar 05, 2023","6,273","517,175",,
"Mar 06, 2023","6,298","517,563",,
"Mar 07, 2023","6,336","514,495",,
"Mar 08, 2023","6,374","518,735",,
"Mar 09, 2023","6,395","518,166",,
"Mar 10, 2023","6,416","517,274",,
"Mar 11, 2023","6,432","521,895",,
"Mar 12, 2023","6,448","523,854",,
"Mar 13, 2023","6,477","524,590",,
"Mar 14, 2023","6,498","524,888",,
"Mar 15, 2023","6,513","525,448",,
"Mar 16, 2023","6,530","530,421",,
"Mar 17, 2023","6,550","531,149",,
"Mar 18, 2023","6,560","534,825",,
"Mar 19, 2023","6,576","535,226",,
"Mar 20, 2023","6,595","571,095",,
"Mar 21, 2023","6,608","572,627",,
"Mar 22, 2023","6,619","574,398",,
"Mar 23, 2023","6,630","575,098",,
"Mar 24, 2023","6,640","572,424",,
"Mar 25, 2023","6,652","572,734",,
"Mar 26, 2023","6,656","570,299",,
"Mar 27, 2023","6,669","566,825",,
"Mar 28, 2023","6,678","566,013",,
"Mar 29, 2023","6,696","557,917",,
"Mar 30, 2023","6,706","554,311",,
"Mar 31, 2023","6,714","550,433",,
"Apr 01, 2023","6,727","550,548",,
"Apr 02, 2023","6,737","549,569",,
"Apr 03, 2023","6,749","550,025",,
"Apr 04, 2023","6,763","547,154",,
"Apr 05, 2023","6,771","546,520",,
"Apr 06, 2023","6,786","545,553",,
"Apr 07, 2023","6,793","569,221",,
"Apr 08, 2023","6,800","570,453",,
"Apr 09, 2023","6,814","570,876",,
"Apr 10, 2023","6,828","570,951",,
"Apr 11, 2023","6,835","571,193",,
"Apr 12, 2023","6,845","567,840",,
"Apr 13, 2023","6,856","568,107",,
"Apr 14, 2023","6,883","569,739",,
"Apr 15, 2023","6,900","570,330",,
"Apr 16, 2023","6,917","570,671",,
"Apr 17, 2023","6,920","570,894",,
"Apr 18, 2023","6,940","571,702",,
"Apr 19, 2023","6,959","572,108",,
"Apr 20, 2023","6,970","572,277",,
"Apr 21, 2023","6,995","550,322",,
"Apr 22, 2023","7,012","553,674",,
"Apr 23, 2023","7,019","549,355",,
"Apr 24, 2023","7,041","567,784",,
"Apr 25, 2023","7,065","568,148",,
"Apr 26, 2023","7,084","572,663",,
"Apr 27, 2023","7,116","573,075",,
"Apr 28, 2023","7,131","569,267",,
"Apr 29, 2023","7,158","574,002",,
"Apr 30, 2023","7,182","574,294",,
"May 01, 2023","7,207","574,538",,
"May 02, 2023","7,234","575,605",,
"May 03, 2023","7,248","575,851",,
"May 04, 2023","7,268","576,765",,
"May 05, 2023","7,280","582,003",,
"May 06, 2023","7,305","580,521",,
"May 07, 2023","7,326","580,671",,
"May 08, 2023","7,339","558,094",,
"May 09, 2023","7,365","560,796",,
"May 10, 2023","7,381","561,210",,
"May 11, 2023","7,400","558,935",,
"May 12, 2023","7,416","560,721",,
"May 13, 2023","7,440","561,215",,
"May 14, 2023","7,454","561,497",,
"May 15, 2023","7,462","561,803",,
"May 16, 2023","7,479","351,989",,
"May 17, 2023","7,485","352,196",,
Invalid date,,,,
