"DateTime","Spotify Streams","Change"
"2023-05-16 00:00:00",7266935,14474
"2023-05-15 00:00:00",7252461,16347
"2023-05-14 00:00:00",7236114,37223
"2023-05-13 00:00:00",7198891,0
"2023-05-12 00:00:00",7198891,18856
"2023-05-11 00:00:00",7180035,18678
"2023-05-10 00:00:00",7161357,0
"2023-05-09 00:00:00",7161357,34851
"2023-05-08 00:00:00",7126506,17813
"2023-05-07 00:00:00",7108693,20102
"2023-05-06 00:00:00",7088591,20067
"2023-05-05 00:00:00",7068524,20246
"2023-05-04 00:00:00",7048278,20058
"2023-05-03 00:00:00",7028220,19292
"2023-05-02 00:00:00",7008928,16546
"2023-05-01 00:00:00",6992382,0
"2023-04-30 00:00:00",6992382,39016
"2023-04-29 00:00:00",6953366,0
"2023-04-28 00:00:00",6953366,41781
"2023-04-27 00:00:00",6911585,21004
"2023-04-26 00:00:00",6890581,20569
"2023-04-25 00:00:00",6870012,17725
"2023-04-24 00:00:00",6852287,0
"2023-04-23 00:00:00",6852287,42242
"2023-04-22 00:00:00",6810045,11282
"2023-04-21 00:00:00",6798763,11282
"2023-04-20 00:00:00",6787481,44742
"2023-04-19 00:00:00",6742739,21738
"2023-04-18 00:00:00",6721001,18584
"2023-04-17 00:00:00",6702417,20299
"2023-04-16 00:00:00",6682118,23092
"2023-04-15 00:00:00",6659026,23554
"2023-04-14 00:00:00",6635472,22969
"2023-04-13 00:00:00",6612503,23683
"2023-04-12 00:00:00",6588820,21970
"2023-04-11 00:00:00",6566850,18991
"2023-04-10 00:00:00",6547859,21472
"2023-04-09 00:00:00",6526387,23241
"2023-04-08 00:00:00",6503146,25558
"2023-04-07 00:00:00",6477588,25517
"2023-04-06 00:00:00",6452071,25673
"2023-04-05 00:00:00",6426398,24426
"2023-04-04 00:00:00",6401972,21750
"2023-04-03 00:00:00",6380222,23383
"2023-04-02 00:00:00",6356839,26692
"2023-04-01 00:00:00",6330147,27616
"2023-03-31 00:00:00",6302531,27173
"2023-03-30 00:00:00",6275358,27595
"2023-03-29 00:00:00",6247763,26849
"2023-03-28 00:00:00",6220914,23360
"2023-03-27 00:00:00",6197554,25420
"2023-03-26 00:00:00",6172134,28990
"2023-03-25 00:00:00",6143144,28940
"2023-03-24 00:00:00",6114204,29969
"2023-03-23 00:00:00",6084235,29541
"2023-03-22 00:00:00",6054694,29680
"2023-03-21 00:00:00",6025014,25636
"2023-03-20 00:00:00",5999378,0
"2023-03-19 00:00:00",5999378,59598
"2023-03-18 00:00:00",5939780,31463
"2023-03-17 00:00:00",5908317,31573
"2023-03-16 00:00:00",5876744,0
"2023-03-15 00:00:00",5876744,63900
"2023-03-14 00:00:00",5812844,0
"2023-03-13 00:00:00",5812844,59552
"2023-03-12 00:00:00",5753292,35851
"2023-03-11 00:00:00",5717441,35729
"2023-03-10 00:00:00",5681712,35599
"2023-03-09 00:00:00",5646113,36342
"2023-03-08 00:00:00",5609771,36289
"2023-03-07 00:00:00",5573482,31651
"2023-03-06 00:00:00",5541831,36036
"2023-03-05 00:00:00",5505795,0
"2023-03-04 00:00:00",5505795,81603
"2023-03-03 00:00:00",5424192,0
"2023-03-02 00:00:00",5424192,80491
"2023-03-01 00:00:00",5343701,41752
"2023-02-28 00:00:00",5301949,37776
"2023-02-27 00:00:00",5264173,38274
"2023-02-26 00:00:00",5225899,44264
"2023-02-25 00:00:00",5181635,46884
"2023-02-24 00:00:00",5134751,47574
"2023-02-23 00:00:00",5087177,47781
"2023-02-22 00:00:00",5039397,47781
"2023-02-21 00:00:00",4991616,43624
"2023-02-20 00:00:00",4947992,48562
"2023-02-19 00:00:00",4899430,54560
"2023-02-18 00:00:00",4844870,56455
"2023-02-17 00:00:00",4788415,69791
"2023-02-16 00:00:00",4718624,73627
"2023-02-15 00:00:00",4644997,72391
"2023-02-14 00:00:00",4572606,0
"2023-02-13 00:00:00",4572606,143116
"2023-02-12 00:00:00",4429490,0
"2023-02-11 00:00:00",4429490,181211
"2023-02-10 00:00:00",4248279,91315
"2023-02-09 00:00:00",4156964,96999
"2023-02-08 00:00:00",4059965,0
"2023-02-07 00:00:00",4059965,185091
"2023-02-06 00:00:00",3874874,99453
"2023-02-05 00:00:00",3775421,117741
"2023-02-04 00:00:00",3657680,118505
"2023-02-03 00:00:00",3539175,124811
"2023-02-02 00:00:00",3414364,132813
"2023-02-01 00:00:00",3281551,0
"2023-01-31 00:00:00",3281551,254687
"2023-01-30 00:00:00",3026864,142884
"2023-01-29 00:00:00",2883980,190923
"2023-01-28 00:00:00",2693058,190923
"2023-01-27 00:00:00",2502135,220961
"2023-01-26 00:00:00",2281174,494580
"2023-01-25 00:00:00",1786594,302183
"2023-01-24 00:00:00",1484411,281760
"2023-01-23 00:00:00",1202651,428986
"2023-01-22 00:00:00",773665,0
